"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.773058380060243,0.538508184139914,0.164260940982763,0.0747642180868801,0.0106790919315631,0.0669908150686883,0.130282036879378,-0.0224026529827553,0.0800588703672847,-0.0537615289105057,-0.0770961651268481,0.0584305867799032,0.110933928892609,-0.126021751335941,-0.0541110874621668,-0.0280132430663987,0.120174170945388,-0.0632197541837903,-0.0143102776591066,-0.0391492738999592,-0.0860199886351911,0.0186168049578786,0.0603897717358522,0.0434997870169471,-0.0125483423090249,-0.0140488128759512,0.0120841966479775,0.00615028985561774,-0.0821331772520436,-0.0736805346313277,-0.030675741885383,0.0212154314469996,0.0137182925866256,0.0227597088402621,0.0148868425312318,-0.0187102777568509,-0.0159950950642267,-0.0110465805842009,0.00958447634500764,-0.0634382992849745,0.000222559637272935,-0.021657498701149,0.0313468889141178,-0.103053547501829,-0.0824246655399637,-0.0661299885157686,-0.0318192125630725,-0.116170189462309,-0.0818566029663941,-0.0659851098432797,-0.0260740044413564,0.00653156490965344,0.140634254613196,0.091100565937492,0.0600458763917125,0.00276210054122859,0.00638168818550008,0.00862151360426952,-0.00483972392023821,0.0117765618493014,0.00178748789933865,-0.00473958301696822,-0.00861276567405685,0.000687214265832603,0.0817352277838034,0.110794702846814,0.0817564729531158
"asc_ruta2",0.773058380060244,1,0.454941933283388,0.0502766156161662,-0.078315720754764,0.0247682292071652,0.0834371741809671,0.0369646674190757,0.0864345725968338,0.092572305042511,0.0100599149693053,-0.122438158625179,0.00922025397877469,0.233572721577542,-0.118513640405332,-0.0640324453127488,-0.0205434616346301,0.100839450824167,-0.1280186084929,-0.00543245769479074,-0.0741309668159235,-0.129801323388207,0.0423345728074116,0.0745629074809359,0.00176258856002408,-0.0602222706075562,0.0661246678697984,0.00811988210519977,0.02714658477701,-0.107780553358399,-0.107157979169435,-0.100137408212074,-0.00569604055989518,0.0381521734406527,0.046388276188964,0.0518160542841619,0.00476150224987234,0.00280907059307862,0.0122035847038319,-0.00436528099113831,-0.0551569543203031,-0.00501751477960148,-0.00634717206340631,0.00962309263562361,-0.115780430258814,-0.0812655661176181,-0.0859590355339984,-0.0899584269259288,-0.143458079496102,-0.10289503826812,-0.112348314480005,-0.133100455088347,-0.0092759230477146,0.103732481067261,0.100166150845054,0.0556483177485292,0.0511057875544662,0.0535194653849528,0.0538191205967132,0.0365572328729862,-0.0553433804854333,-0.0710196777938612,-0.0773721183894756,-0.0902332269948209,-0.00316060697819586,0.109136883023477,0.129614768154942,0.079624882459747
"asc_rutaEC",0.538508184139914,0.454941933283387,1,0.0834992003153879,-0.0998242491521786,0.216539862304833,0.452411835875075,-0.0813854549407468,-0.0259666840819808,0.203956816877146,-0.0464993929964038,0.00566472478063354,0.152443497270348,-0.00288313146822112,-0.146515006039584,0.206235788502017,0.584975751222895,0.0727656732911302,-0.275965680288921,0.132173145878575,-0.0145736508907855,-0.246924949980693,0.0037887967523026,0.0216505357335093,-0.0628703286099647,-0.202164073844728,0.108243164570318,-0.0941687613173559,0.214600747019146,-0.254133857352745,-0.255447459578907,-0.252011258893728,-0.0938103487624977,0.167640187231433,0.190384328584428,0.240593091481962,0.0996664761663294,0.176448305822107,0.186797475465571,0.0838772430951802,0.138438503036873,0.065529115665096,0.0766969669258253,0.0244594699897919,-0.0220225462141626,-0.0236962946862212,-0.0143017625256942,-0.030491744571053,-0.023702220159387,-0.0307633737881651,-0.0122264050000318,-0.0256597442851662,0.102844719095099,0.129805741770045,0.143007668191122,0.0786160887380431,0.202149719305587,0.1977781872975,0.198217955548118,0.185759360116562,-0.110616360420812,-0.119273533933714,-0.109640851088915,-0.106706088754849,0.109760269786264,0.0630795523741061,0.0759024993578269,0.11676575936377
"b_tt",0.164260940982762,0.0502766156161661,0.0834992003153878,1,-0.370579867388087,-0.152907208004673,-0.351245735669625,-0.288504010579997,0.0838153176050669,-0.0340737653364258,-0.269018135433811,0.0167067818228312,-0.0417734262015943,-0.160991816267165,-0.00327595733004387,-0.141208107690023,-0.0260745117178625,0.0681626774828336,0.0827278761228998,0.0144700508521275,0.00434724612910501,0.0822438722219947,0.0899784614507123,0.13176558387141,-0.0081309446446549,0.07100736723935,-0.0401209866742587,0.0904807192247489,-0.0997675912909783,0.0221824102234179,0.0208869869496443,0.0561161495430374,-0.00568513769663943,-0.0146561209911641,-0.0162850076779994,-0.0113032239361543,-0.0658358973633659,-0.108574068472931,-0.115514252824796,-0.0572607821213668,0.00349550906122393,-0.00611959147558092,-0.0295761980951615,-0.0548547388346715,-0.120342893699219,-0.133149711415492,-0.0856271235392105,-0.0870746424146957,-0.119131432245458,-0.086831462731634,-0.0719084313236254,-0.0621281691471827,-0.0716115276265213,-0.053573763585336,-0.0452483565697968,0.0798884768849824,-0.0689909209948008,-0.0711392928208362,-0.0717486400331701,-0.0821902472445288,0.0214566787338951,0.0344344758278599,0.0487360013416131,0.0453062394777793,-0.0190236832346426,0.0526050133123427,0.044655958542201,0.00963770081141226
"b_dt",0.0747642180868802,-0.0783157207547639,-0.0998242491521785,-0.370579867388087,1,0.0403517427182056,0.0649063428808272,0.417239479265976,-0.20065189410512,0.0171492529784216,0.122101089554484,0.0188688116223048,-0.00863544749748004,-0.0699773146204817,0.0159743982759423,-0.0110500525073975,-0.202282617855139,-0.0491622817528954,0.126288768529918,-0.0445785710993217,-0.0107663768497897,0.0603907616963165,-0.120686731484433,-0.120068230175839,0.0563061633402336,0.122575753921381,-0.0466152931371915,0.043687673484541,-0.105125160712161,0.126884724014046,0.125486467228634,0.156765595923899,-0.00230059117689072,-0.0526472376616911,-0.0567385006345853,-0.121185063997052,-0.0484824699292743,-0.065700190902549,-0.0827383260241957,-0.00948976452499536,-0.114051062590505,-0.0231511710592296,0.00107832075655406,-0.0145563732760676,0.0683969511262591,0.166379226228458,0.132839369923645,0.115100861197003,0.0676139488282898,0.111111571229815,0.111356788144799,0.0777701795433054,-0.079475978063448,-0.0254407528479821,-0.0293220627466136,-0.0248182313458966,-0.129418398399082,-0.121910561492552,-0.119651713620619,-0.130245477374021,0.0517447973993183,0.0463692432862469,0.0241773209187306,0.0233657346701959,-0.104529885838842,-0.051615234410413,-0.0316226324381406,-0.0694773798303769
"b_CongCD",0.0106790919315632,0.0247682292071652,0.216539862304834,-0.152907208004673,0.0403517427182058,1,0.529760648172299,0.00355849105337209,0.0335268317985861,0.105595676431,-0.0164220724741402,-0.0285473692529345,0.0968760367227878,-0.100938282391768,-0.166407809072851,-0.0136259800846308,0.106841168741155,0.101117550196812,-0.0179165477598707,0.0533681983599887,0.0839465288583491,-0.0360456837338023,-0.0449492184508958,-0.0501092239898087,-0.050392174683419,0.0235658443356218,-0.0568697606175238,-0.0521976926609839,0.0735846387773761,-0.0350082381685697,-0.0320160854149642,-0.0357615677317265,0.0258059873401848,0.0432030272135257,0.0578993884093986,0.111657182633929,0.0675262217781166,0.0975725282287035,0.0980546969078271,0.0755029978128699,0.0681122584398836,0.04683611565749,0.0700581800441496,0.0276718513154068,0.137871620802302,0.0626880553743859,0.0756378456757709,0.0917666702997143,0.117337843020624,-0.0275277765560534,0.00276314547249529,0.0367479124275691,0.12329408873842,0.0898100786238571,0.15215942636511,0.00482004388146051,-0.0210172311885193,-0.0329755469650291,-0.0287596113834339,-0.0238699557710817,0.0399771373058201,0.0524254768528216,0.0548769601778366,0.0789596792052586,0.112726586011085,-0.0388985981353028,0.00279626489000188,0.0437773861002083
"b_CongEF",0.0669908150686887,0.0834371741809671,0.452411835875076,-0.351245735669624,0.0649063428808272,0.529760648172299,1,-0.014835359303735,0.0472009972889292,0.222870159132862,0.0187400469678648,-0.0568467238984425,0.0946634637859541,0.0595071643210204,-0.130790768315198,0.0514716532345846,0.0858310067160528,0.0242540414969111,-0.0112606550543786,0.0970883528503349,0.0282084819836796,-0.00971392366205838,-0.0726770002194214,-0.0656690737743196,-0.073736885778187,0.0829632694318752,-0.107762720604603,-0.00449701453514798,0.0165428960870109,-0.0231044178197644,-0.0159169302749926,-0.0261881761674971,-0.057006549468199,0.0669828656722289,0.113078636983203,0.132759775104199,0.0378784569272834,0.0485566690309724,0.0498977417803198,-0.0129863219718437,0.0244337186178365,0.0373279939132605,0.0872730823793525,0.0676799397508384,0.101112322366327,0.0939434266020857,0.0606195659717989,0.0669976085951351,0.082041414244956,0.0219316357225741,0.0215809368681328,0.0399765051460702,0.112689164508559,0.124008504216611,0.158398206948316,0.0310724682393219,-0.0795551367314523,-0.0880322555810873,-0.0816483731598199,-0.0858827766183881,0.108743586825025,0.113996425470952,0.115410525944753,0.112315734326191,-0.0207127589702707,-0.0142602607344367,0.0587805228161215,0.144393773349164
"b_Sem",0.130282036879378,0.0369646674190759,-0.0813854549407471,-0.288504010579997,0.417239479265976,0.0035584910533721,-0.0148353593037348,1,-0.122660109250055,-0.0264108583755168,0.0883093748641105,-0.111349750009337,0.0258277456279932,-0.0498552208816616,-0.0493582997330109,0.0489126154551568,-0.0801382165020418,0.0688265039007067,0.00874646263246558,-0.0563202798070147,-0.0647782651618514,-0.0366186971784979,-0.106556551333385,-0.0714872476854214,0.0432321854079189,0.021452459963515,0.0151516565176275,-0.0569939610965125,0.0333049766093923,0.029512607988077,0.029358952650421,0.0570884303476899,0.0579446659211612,-0.044517641059643,-0.0331262164984644,-0.067795255730975,0.0131880404653357,-0.0287998182471405,-0.0337845152949333,-0.0357459835549762,0.037589070517774,-0.031508343954503,0.00133455520789677,0.0543439610792216,0.126875443563058,0.114198559385754,0.0814784624620795,0.0504024349335901,0.0742911388380609,0.0619369957681984,0.0799339839249692,0.0345765438382605,0.070147096957308,0.0342846851144748,0.0248579769274459,-0.0258548087267937,-0.0189127539240564,-0.0257839974069414,-0.0250160084838141,-0.014089671152952,-0.0331119390846292,-0.0165219773190771,-0.031650889400466,-0.027870230020642,0.0318347965563073,-0.0831730860579151,-0.0555684830935622,-0.0658352219359735
"b_ACC_1",-0.0224026529827555,0.0864345725968336,-0.0259666840819809,0.083815317605067,-0.20065189410512,0.0335268317985861,0.0472009972889291,-0.122660109250055,1,0.128075841994862,-0.206907135331932,-0.0849484511171871,-0.102984830859362,0.0836535156595432,0.118134464995165,-0.131562772635557,0.0192378380583423,0.006030850466123,-0.019929222267205,0.0616612979713469,-0.0460863764266396,-0.0509613833267345,-0.0128774477219873,-0.0252752087295717,-0.0869888795904063,-0.0351193671884951,0.0461648566562835,-0.0466767609405811,0.0888003530157079,0.026368319526784,0.0381080319237614,0.00259061999399681,-0.0141471620571441,0.0552757554123547,0.0883344392123382,0.082786017382663,0.0905375065803685,-0.00123625886501861,0.0281511713497335,-0.00321835118640156,0.117326598275818,0.112760248443701,0.121896217314974,-0.025672503127942,0.0376117580996598,-0.034389106517576,0.0230669539997895,-0.0202444030072038,0.0559824039860904,-0.0685023839048715,-0.00730785195573145,-0.0634569028223723,0.0378290691036677,-0.00852273541919163,0.0695140863179323,-0.0503716724083231,0.0392918015776875,0.0367590818640636,0.0410557992039504,0.0312216720979224,-0.0437182671545136,-0.0511262322055536,-0.0368462120098047,-0.0322002065217654,0.104037341233159,0.0160035013934903,0.0205500563606436,-0.0480906970927969
"b_ACC_2",0.0800588703672846,0.0925723050425109,0.203956816877146,-0.0340737653364257,0.0171492529784216,0.105595676431001,0.222870159132862,-0.0264108583755168,0.128075841994862,1,-0.0028082674086005,-0.0425532842559934,0.0200453234326862,-0.0251804720615841,0.0389313449300412,-0.0517459015853853,0.0954489303739316,0.0180626372073638,0.00850580240301488,0.0163571322239698,0.00580347930207013,-0.0181214363873881,0.0375983533422222,0.0190913303808943,-0.040939745541907,0.0230986667655256,0.00761734343517695,-0.0244209101034873,-0.0241766438795055,0.0222056017219088,0.0226982101564352,0.0299691603578256,-0.0269332370843027,0.00718602708704416,0.0135461873853612,0.0265274830836618,-0.0246436171150366,0.0235662690050618,0.0225190144381873,0.00291168149884596,0.00173976957062447,-0.0516038495902387,-0.0619971648663718,0.0231378834690116,-0.0476906475741243,0.0166850866501346,0.0302185172258295,0.00191385889305639,-0.037293139866823,0.00315530139298556,0.0209775865188136,0.00461045877245969,-0.000972122199300424,-0.0478989517652265,-0.0708019955594707,-0.00422708995306895,-0.0236459665852925,-0.0282694545959975,-0.0275630015204572,-0.0452073061590449,-0.00442307040746199,-0.005128024405442,-0.00761554588359295,-0.0266623315889997,0.00970788625559969,0.00419424762086266,0.00972788867952589,-0.0200596534267414
