"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.130833574032044,0.099568268864351,0.0770183596559406,0.0479518955152206,0.00529315294933372,-0.0140198185069564,-0.0159006733034004,0.00525585904632863,-0.0054690116062058,0.0223165495695166,-0.0108190851294862,-0.00760802819849313,0.000660616789653362,0.00502421091007028,-0.0122004910749242,-0.0311101786027579,-0.00682927095670169,0.0123314334712896,0.00262919515364358,0.00689960579593681,-0.0104624458015446,-0.00195293766188808,0.0179610251947174,0.0390247370039307,0.00291498346423057,0.0244716658861103,-0.00864193403723769,0.00686196766629787,-0.0170168829799518,-0.0182863736520373,-0.0168823042280779,0.0171055537287646,0.000903866163451996,0.0114650544154031,0.019562787262747,0.00140922132027774,-0.00903511290502988,-0.0242263836487075,-0.026402559450748,-0.0184792739882342,-0.0086088071953133,-0.000943284085899476,-0.00305354938802571,-0.00120067026925304,-0.00915287758229894,-0.00889809731846385,-0.0071846080710271,-0.00703245502560846,-0.0107130312673671,-0.00980132597062245,-0.00909614701399249,-0.00831568191089911,-0.00147213816622263,0.00406472071259941,0.00315757794688605,0.00922532473436779,-0.0741215610768184,-0.0545608712020917,-0.0447153457726518,-0.0336732891113528,0.0252848541061135,0.0202019677426282,0.0173095192966953,0.0108918394740282,-0.00188995988260693,0.0090788283148736,0.013528118967891,0.00518434297711259
"asc_ruta2",0.099568268864351,0.11826467690656,0.069957470563391,0.028605500485779,-0.00574532409669,-0.00687196883199828,-0.00729839256013868,0.001934473209321,0.00656185124844502,0.025475053394813,-0.00327637729110185,-0.0100436082220394,0.000376315027797889,0.0176295712608604,-0.0103225495579642,-0.037446151959815,-0.00485592439886744,0.0099684318498633,-0.0536363554252607,0.00324354319287025,-0.020913932763263,-0.00733208518855402,0.0232867500852681,0.0408490921712023,0.000867703007410683,-0.00233691763353955,0.00324671332955947,0.00533298484538659,-0.00791372087462755,-0.0358702267595901,-0.0438543238727563,-0.0543176711288587,-0.00342463196960185,0.0153475967001316,0.0244020217613509,0.0314435522192586,-0.00452587804983432,-0.0156369621566513,-0.0154394841718466,-0.0210249042559644,-0.00752959823681508,-0.00101384880990352,-0.00179344527255512,-0.00270009996540711,-0.00962720956244098,-0.00806451963417005,-0.00872001582218038,-0.0142768057681618,-0.0121988072612833,-0.0108874022073595,-0.0125082219213458,-0.0249585229110054,-0.00233864605750707,0.00337788060366325,0.00379529199994646,0.00948267342233875,-0.00366723163874156,-0.00014800241770775,-7.35880464627944e-05,-0.00859066219915214,-0.00944080155929977,-0.0111688805861956,-0.0114025043848191,-0.0103614395291202,-0.00238098984065523,0.012067499721766,0.0162257301767183,0.00926461648772864
"asc_ruta4",0.0770183596559404,0.0699574705633906,0.255931942491582,-0.00672207168828354,0.00633079742698137,0.0307820092960182,0.0783821840823022,-0.00232052001877662,-0.0108341770951674,0.0650897883030871,0.000121834700944313,0.00111366324753145,0.0208018226577041,-0.00145883401444244,-0.0141603588217246,0.142553843168441,0.049042398182446,0.0065244726735527,-0.32010396232829,0.0817285824429433,-0.00436487201955846,-0.0340519719139312,-0.0118301466748489,0.000239219426150302,-0.00543752164060255,-0.137549927878227,0.0252381043120944,-0.0206501765632058,0.107454377189086,-0.189224067798149,-0.240059343236408,-0.378279374311226,-0.0328362427840987,0.0939412763367437,0.141194361735817,0.309687689748937,0.023931139046923,0.0903797769752856,0.103939367242052,0.0973722931001485,0.0168429712553485,0.00654527301954472,0.00894043584672242,0.0113405628042583,-0.000519169018944048,0.00216485924593081,0.00281362022883029,0.00128573824288438,-0.00076460055668255,0.000155988483990176,0.00289295178446609,0.00184494553266933,0.00910585634366147,0.0104106853055709,0.0108707868028194,0.0131627602206477,0.353931069149145,0.275836310337633,0.232984980983505,0.131334523672255,-0.0844820258323646,-0.0759394591028305,-0.0659765627856765,-0.0434169043645418,0.0196117005705422,0.00932647594046815,0.0134944648046694,0.0372764821994874
"b_tt",0.0479518955152206,0.028605500485779,-0.00672207168828354,0.0564538082132024,-0.0133587600811433,-0.0161982259043748,-0.0263575920002349,-0.00158698337237782,0.000508747463946349,0.00957313326629043,-0.012246399903484,-0.00482190389066234,-0.00478652357513874,-0.00495713396877727,-0.00471384095604498,-0.0155714497936943,-0.00590314186515358,0.00585443312634702,0.0604597640568055,0.023055828286459,-0.00262741340955332,0.00646183446164992,0.0180689877100655,0.0276150263067653,0.00208870320878314,0.0410188581784206,-0.0105589324565699,0.00501976222698172,-0.0245569320819861,0.0248627308344569,0.0340413167803089,0.0621916136736182,-0.00576639010270383,0.0135283765990588,0.0176343834902271,0.00248403422347086,-0.00751883698950408,-0.0260681174119161,-0.0306851370280683,-0.0399987179262305,-0.00216560668956293,-0.000645132363863436,-0.00137691815938807,-0.00887422872483029,-0.00474697460247271,-0.0072215333822779,-0.00628607835844175,-0.00882253099290307,-0.00552641149675378,-0.00681563918901303,-0.00753409261967559,-0.0107312627332765,-0.0020010272987952,-0.00272375699575006,-0.000549225271524231,0.0048228508707351,-0.107557954932647,-0.0847072065430595,-0.071404236993272,-0.0448176986990309,0.0290853416274393,0.0284703769037375,0.028005396957071,0.0187600617968617,0.000321208255008698,0.000540983793668062,-0.000563513416967109,-0.0121922654890113
"b_dt",0.00529315294933371,-0.00574532409669004,0.00633079742698136,-0.0133587600811433,0.0574678662038261,-0.00109406871986806,-0.00574562617879021,0.00828453315416839,-0.0176585668438708,-0.00947914078470165,0.00444093442812721,0.00516137172182065,-0.00290231654352257,-0.0111936300458411,-0.000110077082280048,-0.0198854207335862,-0.00593926851282447,-8.44037615595887e-05,0.0484030991901795,-0.0166545790377834,0.00200845532353448,0.00405141658624181,-0.0233144827577824,-0.0263546507288895,-0.000123186451392911,0.0176301732110682,-0.00201483884049301,0.00776114911440025,-0.0169166145401966,0.0272336391061073,0.0329617790851673,0.0755442307210583,0.00179851106532806,-0.0150776665793758,-0.022568126582793,-0.0771478242725512,-0.00250051999681253,-0.0110426583500792,-0.0141342751220167,0.0087673310220025,-0.00794742572053018,-0.00111727621870232,0.000227845068794524,0.00243393018086385,0.00314435642988536,0.00981156024596532,0.0120317464860802,0.0152968840286664,0.0038562920216458,0.00785476885264572,0.00929651173491749,0.0153554019948604,-0.00255789377518212,-0.00146564918564905,-0.00240518712979008,-0.00267911870044015,-0.0516090703832273,-0.0348875091941708,-0.028954985609101,-0.0207343914032801,0.0105733132070008,0.00580244742873189,0.00137779342145249,0.0017399126808279,-0.0100665515264874,-2.61619860632474e-05,0.00183822510704912,-0.0090262324344808
"b_CongCD",-0.0140198185069565,-0.00687196883199838,0.0307820092960181,-0.0161982259043747,-0.00109406871986808,0.0857893139780837,0.0514450732527498,-0.00165268214956042,0.00410443792665824,0.0191540120254483,-0.00084019847488975,-0.00048985933850296,0.00855071327555388,-0.0109238172051868,-0.00851753103277217,-0.00541262662756869,0.00715037240336796,0.0040393405581678,-0.0233098190414752,0.0194868044359641,0.021823157182219,-0.00287818490267887,-0.0196076618484932,-0.0225864783745828,-0.00251557179746348,0.00277697031923519,-0.00325156756079085,-0.00681227707148802,0.0220395016336267,-0.021460644977175,-0.0271217872835609,-0.0442700223700985,0.00374690792659173,0.012659590160061,0.0230702615378759,0.0883783655957297,0.00876082861342207,0.030187349810439,0.0333048936233319,0.0477831231102229,0.00507121595136512,0.00304411147221515,0.00479725723864199,0.00527673246791855,0.00819708830377073,0.00501704501152018,0.00656405971151448,0.0117875315945169,0.00767365764195539,-0.000813554949697119,0.00115013073327921,0.00587219803226914,0.00586896885463233,0.00448123318267557,0.00671605762744629,-0.000115901453312006,-0.00417471725795399,-0.0116770493839878,-0.00803352074956937,-0.00283739378712236,0.00581023571665033,0.00815058596211524,0.00755576438836327,0.00888470456091208,0.012132606540063,-0.00459632968242835,-0.000910006088173069,0.00987150111022882
"b_CongEF",-0.0159006733034004,-0.00729839256013876,0.0783821840823025,-0.0263575920002349,-0.00574562617879019,0.0514450732527499,0.10922968288747,-0.00480643014074021,0.00696486240998117,0.0481897360309292,-0.000489584437358724,-0.000742521478846203,0.00775882729773329,0.00559375541454221,-0.00657986520161578,0.0178676883107818,0.00648949019809028,-0.000473185849442682,-0.0225349507374918,0.0416355753365144,0.010176553637862,-0.000534622547134222,-0.0319011723624744,-0.0280274877302501,-0.00466852465907428,0.0272813851318052,-0.0099214252198243,-0.00140530326594867,0.0084380872631052,-0.0213920279161416,-0.0252327108027737,-0.0430968227428104,-0.0140850724862521,0.0233989936975457,0.0556803580280195,0.123511934876287,0.00535855046557018,0.0194859183679732,0.0223630310833793,-0.00149324933322443,0.00337597666601975,0.00317313314495245,0.00717062023560348,0.0134060981051789,0.00694416018486538,0.00783219206408263,0.00620729488232746,0.0108471731491971,0.00614763877376272,0.00337756989284241,0.00410197412388181,0.00953930810202525,0.00620148350057798,0.00700610783074374,0.00806918732495151,0.00384691693439681,-0.0660252126046751,-0.0606148144827966,-0.0478237742048484,-0.0295310175173843,0.0347838090781106,0.0304834140206548,0.0279815423345376,0.0172667903414808,-0.00199796381241896,-0.00165099079179613,0.00687698845525164,0.0332211864581305
"b_Sem",0.00525585904632865,0.00193447320932101,-0.00232052001877661,-0.00158698337237781,0.0082845331541684,-0.00165268214956042,-0.00480643014074021,0.0145731988179127,-0.00452913754885747,-0.00381808882462634,0.000887023248371915,-0.00171021037639782,-0.000643258816200215,-0.00268625560014666,-0.00165790911578533,0.00202426257104654,-0.00155796757271436,0.00208118720321219,0.00363367641732666,-0.00981032086659467,-0.00531116203694909,-0.00018195852825548,-0.0110334566997972,-0.00657584376556763,0.000275130726123617,0.000739243192933811,0.000609261951581539,-0.00161024644089921,0.00339586394081993,0.00358273445078546,0.00447633292814157,0.0181916337780565,0.00557871917485415,-0.00767996487503646,-0.00733183679627247,-0.0242492224822596,0.000427521014320865,-0.00441422976043593,-0.00488602130983736,-0.00744597285293495,0.00121446518326579,-0.000728777993089573,0.00018064088232371,0.00373615943715948,0.00278407236499309,0.00251413933574334,0.00259502120216486,0.00194468863818968,0.00169843721843235,0.00157064702632526,0.00254595673786797,0.00185851689751167,0.00155848838577087,0.00032596958417818,0.000140381062714338,-0.00095452186853019,-0.00102659229947856,-0.00274738205249061,-0.00237460146255679,6.01371806827961e-05,-0.00492043192186174,-0.00209694012158654,-0.00303939635677488,-0.00137802826526216,0.00139036987993297,-0.00259705775369744,-0.0016231743619381,-0.004723934882088
"b_ACC_1",-0.00546901160620582,0.00656185124844502,-0.0108341770951674,0.000508747463946344,-0.0176585668438708,0.00410443792665822,0.00696486240998118,-0.00452913754885747,0.0936577744346734,0.0337477213858352,-0.0137156483789317,-0.00511146099764602,-0.00418301087382822,0.0103161110156814,0.0100919626954013,-0.041775081370393,0.000905574943486291,-0.00172219418111672,-0.0123504328757356,0.0272240803389469,-0.0120556531498027,-0.00443453239048906,-0.00467495509320024,-0.00891348388594185,-0.0032449221948219,-0.0135152691238198,0.00651047059570055,-0.0079455089320233,0.0237431230455505,0.0101095402041476,0.0198570190217669,0.00473249488650311,-0.00333356336169455,0.0207031543924713,0.0427274033805348,0.0712584504810499,0.0133667270663216,-0.00129587472663389,0.00911896312654877,-0.000859042149109982,0.00998773679793631,0.00697955376010449,0.00899972660191987,-0.00296352953156917,0.00151680391450052,-0.00400336210378296,0.000375519018364046,-0.00532443602349797,0.00301392611330554,-0.00699557120342207,-0.00174895107863248,-0.0132761839579601,0.0016255570735925,-0.000414337034384204,0.0031466607099731,-0.00806860520412802,0.0408207227936653,0.0298019961054961,0.0277033772152606,0.0125708822519454,-0.0206192965989511,-0.0195531614012666,-0.0135711878696946,-0.00871761550511194,0.0138678705423408,-0.000647513762169891,-0.000725526814971538,-0.0109805085230033
"b_ACC_2",0.0223165495695166,0.025475053394813,0.065089788303087,0.00957313326629043,-0.00947914078470165,0.0191540120254483,0.0481897360309292,-0.00381808882462634,0.0337477213858352,0.542539939663054,-0.00433235139110456,-0.00422166877220252,0.00234729750344086,-0.00738442580246465,0.00583534080991237,-0.0504603496045137,0.00700313422509433,0.00480437996313132,0.0537140003353828,0.0243682018479099,0.0151706078861199,-0.000183739408600353,0.0273273350023235,0.0114033689220867,-0.00363544900878248,0.0382128181378157,-0.00169528360160964,-0.0063789422995784,-0.0325487521268456,0.0449258919520232,0.0590229753792888,0.104231018947009,-0.0181999138620828,0.00657196455649631,0.0170494587243251,0.0484020466716099,-0.0145359125792402,0.0192171835350806,0.0197338233605338,0.00619945152818896,-0.00291998253987613,-0.00927929082433657,-0.0114588562593489,0.00457854964400746,-0.00635322296814856,0.00234710639382273,0.00469520333362569,-0.000119544853058481,-0.00551248170693925,0.000530566800671345,0.00504233039392035,-0.000246805431735406,-0.000655305894641803,-0.00472634911323027,-0.0070285950857806,-0.00118696387056676,-0.0998193173574934,-0.0868197095290856,-0.0722017689817282,-0.0586498864809263,0.00894261985583478,0.00728254953324257,0.00450435393114135,-0.00537943098400792,0.00189037488322277,-0.000253316562364307,0.0014027780910194,-0.013547178246644
