"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",1,0.781838354990098,0.639355718859981,0.361775968721792,0.114531410250617,-0.11246115887146,-0.104029364141486,0.144213094855276,-0.0588920418386701,0.0135356321796087,-0.0682116054621315,0.0143288971628727,-0.0544401144037331,0.00113713304820268,0.020526337934584,0.00387331562311253,0.0248937811716674,0.00129398823057452,-0.00134784208590828,-0.000563687368582357,-0.0063847454558416,0.0021504710681974,0.000545568510963237,-0.000568254303900217,0.00191619952369567,0.00142106953644461,0.000407390088747935,6.94628042282845e-05,0.00028144037581568,0.00151657037688363,0.00214767242811011,0.00217502477301427,-0.000569194026434578,-0.000708821559774125,-0.000503221179136747,-0.00031213484171341,0.00288045231406042,-0.00389719761064512,-0.00476022855381034,-0.00491529795691685,0.00297604499595783,0.00376270888900223,0.00332151962463676,0.00290462053982413,0.000855427690720686,0.000230963217985029,1.63804323276453e-05,-0.000242583261313499,0.00157982924279123,0.00133486223431232,0.00084346113573168,0.000803144979360009
"asc_ruta2",0.781838354990098,1,0.617833347942641,0.158935730465854,0.027770414852445,-0.0540859557158143,-0.0282297286137084,0.0576781466802836,-0.00484582696444712,0.033853288388248,-0.00531396667758479,0.00731507301655773,-0.0162648308042911,0.0764482717635857,0.00441156649571482,0.0044645366946092,0.0146702774743461,0.000834108470780519,-0.000626131771844402,-0.00036242493527657,-0.00414474209508145,0.00158906202036254,0.00111458582365268,-0.00111904247559895,0.00120804990867364,0.000862027647098154,0.000277074983592839,9.27145916270797e-05,0.000326059451880098,0.000953657943428907,0.00122206449417621,0.00120604718056699,-0.000365783374779178,-0.000466361187596769,-0.000340525634293231,-0.00021043759957583,0.00188670682714532,-0.00257907270090481,-0.00317090770213112,-0.00329667605119543,0.00194970817544593,0.00249000741633263,0.00225178947607656,0.00197959537992229,1.88429061978648e-05,-0.000499281636432061,-0.000708559335441843,-0.000843608561973151,0.00131873417965844,0.00146760499998348,0.00137215332474302,0.00134158457530353
"asc_ruta4",0.639355718859981,0.617833347942641,1,-0.0588849078903963,0.215572574080352,0.0808308633540912,0.43807807012427,0.0564949681626621,-0.0278495744421817,0.0306469297724514,0.033563156378978,0.0475955600770855,0.0502448268211763,0.02527871262294,0.293627547585171,-0.089985351360602,0.148128173858886,-0.00746917407125567,0.00183288019748154,-0.00140823722332127,-0.038024283155456,0.0211587945935074,-0.0271764738205799,0.0189731201698038,0.00522066681580228,0.0216578050626205,0.0192601176587593,0.0132620464220796,0.0147115095464406,0.0166211233206931,0.0119414701681828,0.00883721772031508,-0.00644508231249858,-0.0090200101673781,-0.00924370211291218,-0.0082569864326879,0.0337658368083039,-0.0129829153654149,-0.0205297827833208,-0.0239762675965883,0.0326448076530122,0.0367875073243242,0.033845041421826,0.0297300715370356,0.0348337227483902,0.0338623159493133,0.0326139017373774,0.0278910848330506,0.00897368420012703,-0.00487371657202399,-0.0178824199607515,-0.0185681400201399
"b_tt",0.361775968721792,0.158935730465854,-0.0588849078903963,1,-0.26597472228066,-0.18497988465158,-0.280098655388649,-0.0452597832870628,-0.0476871754639193,0.00398677788901951,-0.0819183651543107,0.0136739654062014,-0.113583022476101,-0.0685015741607516,0.0230784178207329,0.00892336310546553,0.0335472734152666,0.00406146186717257,-0.00284879207780282,-1.0008626497225e-05,-0.00783661430827055,0.000595979498897894,0.00430534987181738,-0.00342547991962076,0.00436018408447698,0.00159630748629328,-0.000953353938997114,-0.00146820967389322,-0.000255567762706498,0.00242341074402187,0.00386645593383656,0.00395771581265365,-0.000794962675531343,-0.00113891540254618,-0.00102548285578085,-0.000807892828818911,0.0040621628278388,-0.00412803156612887,-0.00529004449110395,-0.00562352801456013,0.00369913967108669,0.00392951765329951,0.00288569182922235,0.00236105045732091,-0.000832240445795455,-0.00258896545483991,-0.00315681621995861,-0.00346498232492928,0.00377189347307607,0.00429051361497781,0.00408847001883485,0.00400402849106165
"b_dt",0.114531410250617,0.027770414852445,0.215572574080352,-0.26597472228066,1,-0.0395095520948542,-0.0384673652233766,0.300077206721069,-0.0669723664161995,-0.0123408348041539,-0.0928815512859427,0.0375349422689222,-0.0943121442903047,-0.109428772343733,0.00613483193407965,-0.0363887552810741,-0.0214139219154654,-0.00243069385134899,0.00228619783080724,-0.00155190338879857,0.00168357014197111,0.00226298555033578,-0.00165310978131654,0.000664962303547551,-0.00299714214588106,-0.000613309825601433,0.000689120672152501,0.000455178873205627,0.000114306952288524,-0.00182293191208367,-0.00292776823018948,-0.00289480099219444,0.000116213498477552,0.000355091399760358,0.00060624290280911,0.000722501875220033,-0.00148430662935985,-2.80179643564298e-05,0.000373068596858841,0.000736411435536937,-0.000454440491672014,0.000107829012439054,0.000644847616553479,0.000822655529895657,0.000158173311659679,0.000676041953956622,0.00108635155100476,0.00133063706118048,-0.0011318532621014,-0.00110586653137862,-0.000860438561053723,-0.000826090043798608
"b_CongCD",-0.11246115887146,-0.0540859557158143,0.0808308633540912,-0.18497988465158,-0.0395095520948542,1,0.520368521731212,0.007809075968226,0.0760980380617385,0.0470790925047239,0.0650956698811814,-0.000776195515843612,0.0728421637172991,-0.0664046639071667,-0.14227661856035,0.0061748386301414,-0.114968048901898,0.00136426881811837,0.000458580949521177,-0.00525893320729331,0.0249604202270778,-0.0111331732215927,0.00752499123978481,-0.00113009750051356,-0.00321110561601952,-0.00890901980220677,-0.00795018149312287,-0.00643750953649388,-0.00516825003069048,-0.00752054306936687,-0.00688995746616028,-0.00617351376632707,0.00127052973954102,0.00257352320082823,0.00323594214711706,0.00341993033379938,-0.0135485006603367,0.0148311374389567,0.0188738907834127,0.0197430457620267,-0.0137567337839993,-0.0170569564687181,-0.0150897516582964,-0.0129904294605786,-0.0108951829829085,-0.010235566096753,-0.00918382196361947,-0.00696453973929034,-0.00558009751517496,-0.00271513588063781,0.0019325873267702,0.00212598575731552
"b_CongEF",-0.104029364141486,-0.0282297286137084,0.43807807012427,-0.280098655388649,-0.0384673652233766,0.520368521731212,1,-0.0103247205242256,0.0294782939230271,0.0651471286523331,0.0365577148961815,-0.0126601749517652,0.0983605792462067,0.0197373190273076,-0.114420990208194,0.0073206161311427,-0.122477640515952,3.22646277028512e-05,-0.00136499821853064,-0.0065125578017293,0.0242735014489288,-0.0104839393190173,0.000221308704694752,0.00298358183593276,-0.00425735175247391,-0.00993570333877757,-0.00809123284409454,-0.00567515503850968,-0.00657528721250856,-0.00850374961007299,-0.00676874294894546,-0.00531109791711354,0.000947699759834976,0.00248589668730972,0.00338006936306091,0.00361459283639015,-0.0123217816012873,0.0151807837002193,0.0193222593624247,0.0201234859488279,-0.0124755071720266,-0.015808518481499,-0.0137596043361464,-0.0116586903079356,-0.00436327558398497,-0.00272565522257174,-0.00142045077047326,0.000186892018103056,-0.00557704020844131,-0.00483835101565963,-0.00204635688901487,-0.00211457223640664
"b_Sem",0.144213094855276,0.0576781466802836,0.0564949681626621,-0.0452597832870628,0.300077206721069,0.007809075968226,-0.0103247205242256,1,-0.0781466970595697,0.017767198692085,-0.0698127436644995,-0.0410180460921525,-0.0629582804186072,-0.119851292590096,0.00891103907673741,-0.0769565532092035,-0.055813757817255,-0.00969507208454047,0.00437511138027257,-0.00109092819582579,0.0155575043102689,-0.00562983091199348,-0.0124846694446126,0.0126421530991278,-0.00980375590575229,-0.0012076955207919,0.00384342374790632,0.00378982834929876,-0.000235152238149107,-0.00422152042987231,-0.0060962825522858,-0.00621020283323301,0.00111505027562815,0.00174801938579593,0.00187042795387763,0.00166072414951468,-0.00640751551324452,0.0093720644409478,0.0108436629509371,0.0115232113725658,-0.00726880664290864,-0.00959200664782782,-0.008858617930503,-0.00798440128910527,0.00492797482994848,0.00865782455948094,0.0105060003473525,0.0113519917839638,-0.00930936812845762,-0.0126528126424374,-0.0134337081910016,-0.0131748552609497
"b_ACC_1",-0.0588920418386701,-0.00484582696444712,-0.0278495744421817,-0.0476871754639193,-0.0669723664161995,0.0760980380617385,0.0294782939230271,-0.0781466970595697,1,0.109892527898987,-0.0293377386064298,-0.0470990542753764,-0.0156539478882889,0.0445289752468351,0.0710218329085883,0.096451835492861,0.110471155636091,0.00393528008427298,-0.00290356732878456,0.000434117245730858,-0.0172264386557356,0.00648305833224586,-0.00829624319303847,0.00346296236388902,0.00687608447744366,0.00460797607083069,0.00198920430353657,0.00211379878244755,0.00280259748385685,0.00582454416801042,0.00696576150860314,0.00664068396046325,-0.001297886318076,-0.00191308507107747,-0.00189886403456618,-0.00160222451435251,0.00786146425494764,-0.0100228912614465,-0.0133486978863077,-0.0146771192083746,0.0083529270354084,0.0113295388181393,0.0100933618014428,0.00800559533238153,0.00750281957333443,0.00881128265463209,0.00881003239604926,0.0077769686769683,0.000360766623059332,-0.00157333896656817,-0.0039770956345285,-0.00406613027607176
"b_ACC_2",0.0135356321796087,0.033853288388248,0.0306469297724514,0.00398677788901951,-0.0123408348041539,0.0470790925047239,0.0651471286523331,0.017767198692085,0.109892527898987,1,-0.0150804267860613,0.0436376580407821,-0.0141456584076026,-0.0310520901085804,-0.0449349190070195,0.0436718176525123,-0.0124616004616366,0.00236680326733701,-0.00136078742693758,-0.00170200995133838,0.00751123151549086,-0.00373914053557511,0.00389243073481603,-0.00205420879143945,0.000620819647694817,-0.00413602963504805,-0.00422523141627503,-0.00274438326935919,-0.00253219632922383,-0.00270974259165291,-0.00141387606493877,-0.000628572647962625,0.000312977610066289,0.000865077432010299,0.00117201741562516,0.00118769142330938,-0.0039679114927799,0.00481617300074824,0.00576484311563907,0.00580373724234816,-0.00334630662676622,-0.00457395694046677,-0.00439852462561315,-0.00402743857886661,-0.00323935085990267,-0.00376918724620831,-0.00389019945242042,-0.00354995082710328,0.000123954680296196,0.00116983417888445,0.00247972322183004,0.00245883532254997
