"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",0.0875438479660136,0.0741242533952659,0.0764581691856643,-0.0123589999600154,0.0583920662157418,-0.00279084764080187,0.0017616734192539,0.00725673156552979,-0.00267088109273191,0.00303235178244496,-0.00276721118655156,-0.00048270886142261,0.000713883696755152,0.00452299693138584,0.00175232896623238,0.000470601547386119,0.00214035448528625,3.53445229595928e-05,-7.37639681817463e-05,-1.29777020791776e-05,-0.000831441883539889,0.000273283087755695,-0.000294340407756959,0.000156515148715615,0.000156956816909142,0.000145827536253055,0.000169185635114701,0.000223001204708995,7.48586805762035e-05,0.000119933760335102,0.000192033441321864,0.000275306653741464,-3.10570280225566e-05,-2.71884499288667e-05,-1.81817680995479e-05,-1.31792418660209e-05,0.00021677224170777,-0.000485430915185814,-0.000853133399073094,-0.00126896860508902,0.000246156747298698,0.000496518876155396,0.000622422057474657,0.000649189117732542,0.000219817294410388,0.000305994463402245,0.000382663159591683,0.000488794602635448,5.91033739365216e-05,-1.54488699102079e-05,-0.000227960241142878,-0.000268445196459047
"asc_ruta2",0.0741242533952659,0.10356180546566,0.0726557073977475,-0.04840769337586,0.00214668136709124,-0.000371884611439014,0.00549263900124261,0.00218993580221196,0.00225262125235292,0.0106321892192615,0.00301867626529193,-0.000601493783920158,0.0024178496835341,0.0138314256163761,-5.98285666699883e-05,0.000292878114769798,0.000996690016505353,-8.7379160983909e-06,-3.34823056774868e-05,-2.73088329782961e-06,-0.000396012280262962,0.000132859204481011,3.43069239523391e-05,-2.87650374817779e-05,5.69777883132628e-05,6.84363297726594e-05,9.95112369887682e-05,0.000144096326348204,3.87027024870568e-05,5.70715726399564e-05,8.86484153116028e-05,0.000122083680753563,-1.27072642290156e-05,-1.16866396660528e-05,-7.99253795373123e-06,-5.76451311185928e-06,9.63905176968559e-05,-0.000243763891593492,-0.000408332645755614,-0.000593185878704263,0.000103852841787952,0.000226019201686891,0.000300238527768984,0.000316131139934359,1.81233811893154e-05,6.2498752951793e-06,-1.11037654127502e-05,-3.78549153032743e-05,3.66963829311034e-05,4.95961346516539e-05,5.90478288116349e-05,6.50690013078744e-05
"asc_rutaEC",0.0764581691856643,0.0726557073977475,0.142686974087602,0.055143659907441,0.0251336021379052,0.00823803487905559,0.0486315944265189,0.000300009018437602,-0.00360471338787751,0.0140327363875831,0.00124648111562329,0.0032024951360475,0.0046221855828196,0.00189161031742062,0.0294706375514207,-0.00647046399041452,0.0150777086006545,-0.00176944325084858,0.000715620739371969,-0.000117547982511708,-0.00633131976422389,0.00267394271959891,-0.00676612155454002,0.00445470389116189,0.00049772056899566,0.0025692040994028,0.00397590160789406,0.00487834836835898,0.00198343107993434,0.00168358400962934,0.00143551978398479,0.00135662674333623,-0.000607695877567744,-0.000588955084815487,-0.000541625168383088,-0.000509021943392732,0.00368506517108525,-0.00160210055630793,-0.00423938924934511,-0.0074833946483224,0.00392105812753715,0.00627695564752617,0.00760967720079222,0.0078654729772161,0.00483518065373119,0.00678897391195686,0.008737324398593,0.0115760913431709,0.000905247515676206,-0.00127237218874384,-0.00623370833588804,-0.0073348605907403
"b_tt",-0.0123589999600154,-0.04840769337586,0.055143659907441,1.19562582115186,-0.461912359902445,-0.0191669740177841,-0.0641180566168004,-0.0241669128124125,-0.0254200302077948,0.00182013013671873,-0.0376870097360399,0.014848410920482,-0.0350835505938421,-0.0517388803935829,0.000197577964753319,-0.00102035194668462,-0.00691494154633639,0.00110074442169122,-0.000215183448911584,-0.000126538463507208,0.000804456125760605,-0.000687055465542235,0.00120670837333566,-0.00108638498540733,0.000623540476443481,-0.000276829420993157,-0.000967185983166136,-0.00155537805851525,-0.00028415413529032,-0.000106627582117302,4.43929807609295e-05,0.000239778650585687,-9.17187641886927e-05,-7.35946009749828e-05,-4.70716257717543e-05,-2.70896233440351e-05,0.00020059526884086,0.0011360814265696,0.00112692493071613,0.000819062010518969,0.000134017479190883,-0.000508935756285352,-0.000958266691078857,-0.00102234424608747,0.000217646975042235,-0.000137615669974593,-0.000481962870441653,-0.00113471328616023,0.000941951123937222,0.00147235300585606,0.00233062458216708,0.00252851574291106
"b_dt",0.0583920662157418,0.00214668136709124,0.0251336021379052,-0.461912359902445,2.00328781712629,-0.0231657653422562,-0.0138181773196745,0.0879806833987181,-0.0144481124889573,-0.00662378262393319,-0.0302552756947498,-0.0116858666793696,-0.0128995346599316,-0.050647756382893,0.0247027356004487,0.00152752377625471,0.0254587490487163,0.000151780693215757,0.000299113625520041,-0.000297670843711005,-0.00967090603252329,0.00445576530616046,-0.00299378003660205,0.000247902129553999,0.00119161040829544,0.00153510306719189,0.00190743116782172,0.0022764102863176,0.00116048287564826,0.00108789589115727,0.00116813072269036,0.00150690757692626,-0.000341367350534948,-0.000280974723733304,-0.00016004288575452,-8.16556497539261e-05,0.00227087269120535,-0.00632001642059081,-0.0106235587869953,-0.0151495508191507,0.00306013763522289,0.00665213673315077,0.00846967646327606,0.00886566640179572,0.0019958495131507,0.00271597791194723,0.00347488258021028,0.00447418734309235,0.000832377262437352,0.000601215658825899,-0.000795716626392979,-0.000998893407646272
"b_CongCD",-0.00279084764080187,-0.000371884611439014,0.00823803487905559,-0.0191669740177841,-0.0231657653422562,0.0753738459383596,0.0410522524569296,0.000542378141624828,0.00564972111527849,0.0139096194602047,0.00483671378843748,-2.3004633417075e-05,0.00327539603787984,-0.00624914226292625,-0.0106338440149336,-0.000104294584881942,-0.00858871208379137,0.000369083422907121,-2.11694129874938e-05,-0.000196756648542068,0.00271384261119377,-0.000937821338921412,0.00183680142249321,-0.000639304102543457,-0.000219557804743544,-0.000710520909937783,-0.00113474855418938,-0.00166109812112479,-0.000454841159952908,-0.00051132767387097,-0.000611034900709642,-0.000790013857140244,6.98694058095227e-05,0.000102100768284466,0.000118856800907136,0.000136664994854406,-0.000949643279300879,0.00143856266278661,0.00275787089384557,0.00420746983422313,-0.00106548287440346,-0.0018774848829957,-0.00215339681363927,-0.00215283604943938,-0.00124337809821678,-0.00178956318957253,-0.00224595477536496,-0.00284195800130365,-0.000329929726617569,1.76407892290454e-05,0.00115913303293945,0.00136398828918423
"b_CongEF",0.0017616734192539,0.00549263900124261,0.0486315944265189,-0.0641180566168004,-0.0138181773196745,0.0410522524569296,0.0898640919481919,0.000429673762522663,0.00213183551659872,0.0215173760066137,0.00246991231042059,-0.00114905694780261,0.00669185387672636,0.00239580480190366,-0.00926316268521819,0.000180838350611979,-0.00943080967065263,0.000310000272104447,-0.000291025991371101,-0.000263173207512696,0.00243221620877163,-0.00084028415417681,0.000900620235664373,-0.0002299095798683,-0.00024327274300873,-0.000802224917697335,-0.00123171963952904,-0.00161955244754681,-0.000602360160593169,-0.000569292737751067,-0.000541331453687745,-0.00056424125797256,4.30696879577423e-05,9.70921080442129e-05,0.000127126454434819,0.000150187059247767,-0.000843017881898043,0.00135072348413769,0.00267316333032552,0.00408823478298934,-0.000944352538197206,-0.00165769128573444,-0.00181049326024433,-0.00173704212511184,-0.000699792206530081,-0.000946470963638804,-0.00110674901372948,-0.00127251578399554,-0.000244609785343498,-8.52290093900817e-05,0.00062494197282944,0.000684408046200777
"b_Sem",0.00725673156552979,0.00218993580221196,0.000300009018437602,-0.0241669128124125,0.0879806833987181,0.000542378141624828,0.000429673762522663,0.0262521770218194,-0.00356107031902335,0.00219317431996469,-0.00267336400328914,-0.00242174163412121,-0.00133531054270796,-0.00685813700446765,0.00140689443247301,-0.00193765873443544,-0.000972498961555187,-0.000676631746367097,0.000264196866337538,-2.14940871560471e-05,0.000641016875429307,-0.000170494916795051,-0.00122691727727905,0.00100569310370287,-0.000586158670363174,3.30609590454045e-05,0.000410015802957112,0.000668111031015772,6.78213963365911e-05,-9.94182588260609e-05,-0.000271552693257682,-0.000440439736774536,2.41491290085548e-05,2.85527687154046e-05,2.99946905490752e-05,2.9000834907934e-05,-0.000142824479785531,0.000335034489267164,0.000543975298875932,0.000871098035903468,-0.000204691259758196,-0.000388936225779996,-0.000491662445886106,-0.000551311432792361,0.000339146389881391,0.000741988879125077,0.0011500540225412,0.00183792059153249,-0.000406809718597931,-0.000851331526963366,-0.00162728803943226,-0.00182335963047815
"b_ACC_1",-0.00267088109273191,0.00225262125235292,-0.00360471338787751,-0.0254200302077948,-0.0144481124889573,0.00564972111527849,0.00213183551659872,-0.00356107031902335,0.0928365465585565,0.0364395067540254,-0.00287631751583142,-0.0027364167969495,-0.00176630717167097,0.00469083280346681,0.00449889160694749,0.00520313370566762,0.00795477231023697,0.000543782940350658,-0.000358651691661427,2.31713550839681e-05,-0.00171518891939902,0.000447494533793149,-0.00135471693398377,0.000530696722203109,0.000798946800202233,0.000293316666855337,0.000121265377200789,0.00025365801141973,0.000138317361695605,0.000366120607592142,0.00068826183131955,0.000999877560612398,-6.75782176324683e-05,-7.21768191695591e-05,-6.81676614569064e-05,-6.21668282642029e-05,0.000482711961128564,-0.000881659903838905,-0.00177657664997659,-0.0028699517597479,0.000573721521264879,0.00113157096828666,0.00131174197118202,0.00116376600204156,0.000602921121326393,0.00107463456256997,0.00147008736082051,0.00205121583507294,-8.04187205700696e-05,-0.000319931962198964,-0.000955998121788592,-0.0010918737052596
"b_ACC_2",0.00303235178244496,0.0106321892192615,0.0140327363875831,0.00182013013671873,-0.00662378262393319,0.0139096194602047,0.0215173760066137,0.00219317431996469,0.0364395067540254,1.2417378041639,-0.00275373706530075,0.0104398873188438,-0.0039469337686123,-0.0117452116553284,-0.0109646700164796,0.00874211491889849,-0.00238511300019747,0.00161028800008658,-0.000836165314431832,-0.000139432212167081,0.00253026107048932,-0.000836798173275719,0.00294696454588282,-0.00162484759251869,0.000733977514621046,-0.00123260963476733,-0.00231522150618292,-0.00280098099731432,-0.000911244511298965,-0.000642197026023542,-0.000221536787480112,0.000195983187187575,7.54781163875163e-05,0.000123730772412099,0.00013853849322945,0.000142308463608396,-0.000968877631937062,0.00143798786930528,0.00264861860374213,0.00385659134803744,-0.000796720599827258,-0.00143352712255099,-0.00172010143632414,-0.00180694318827744,-0.0013995002096882,-0.00232691452038191,-0.00319727478991669,-0.00457436645053563,0.000179154528752435,0.000924560471819581,0.0026962596466928,0.00305323647827891
