"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",1.81359421387475,0.295878096462063,6.12953184287938,8.8138030207574e-10,0.2975133248282,6.09584197589138,1.0886291867962e-09
"asc_ruta2",0.841328517400581,0.321810200996891,2.61436248693903,0.00893941377851015,0.322790078311532,2.60642620058661,0.00914925377561349
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_rutaEC",2.30348807855763,0.37773929380937,6.09808965153652,1.07343534061499e-09,0.417964572471726,5.51120413133451,3.56387104272216e-08
"b_tt",2.99894734811632,1.09344676191933,2.74265510910862,0.00609446590783902,1.17762775191516,2.54660043739558,0.0108777903672341
"b_dt",-2.64742322118,1.41537550393042,-1.87047409950805,0.0614180104393309,1.35068425999701,-1.96006076296903,0.0499886886287606
"b_CongAB",0,NA,NA,NA,NA,NA,NA
"b_CongCD",0.0617928332639014,0.274542976487033,0.225075265281171,0.821920722766915,0.278612895453208,0.22178741283093,0.824479378557399
"b_CongEF",0.209111854376856,0.29977340100181,0.697566407419827,0.485448395889168,0.329418909786643,0.63479007477832,0.525565337374936
"b_Sem",0.300715678185981,0.162025235756099,1.85598050070828,0.0634563374614325,0.133098602789853,2.25934511619762,0.0238619255463364
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.385856548499816,0.304690903307855,-1.2663868343649,0.20537462213038,0.289554503736855,-1.33258693448084,0.182667395161625
"b_ACC_2",-2.59136166737192,1.1143328964739,-2.3254825156574,0.0200461737648026,0.809624708769214,-3.20069488900763,0.00137096620386057
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.634213007026041,0.27902864840865,-2.27293150951729,0.0230303076249012,0.268074171709851,-2.36581168182244,0.0179905928819339
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
