"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",1,0.770631069314755,0.697993641586043,0.165193658746349,0.101814755151151,0.00645556005035891,0.0509724213380459,0.115998189493241,-0.0168847984936223,0.0911986716944404,-0.0425030206622279,-0.0690380823479135,0.0514194523538914,0.101277961351351,-0.0219563373463252,0.010918024024761,0.0381079132978182,-0.00759946495447788,-0.144017229237751,0.050084399446844,-0.0509826806541568,0.0263836360164625,0.059075035223859,0.0137755762218602,0.037561096432295,-0.0360573859383884,-0.0620980809206322,-0.00475373465371569,-0.0332958353195901,0.0230376695050724,0.065820514289705,0.137706881351858,0.0860388966456025,0.0613285571691026,0.0223406816243956,0.0162732733299984,0.0620287571034667,-0.0465950637219225,-0.0742203932273143,-0.0597553210229522,0.0468735625868225,0.0664151147015025,0.0783991360649297,0.0242993636455543,-0.0250720160861107,-0.0358774521085466,-0.0446104685969907,-0.0673397651446869,0.010726937211192,-0.0145235751349857,-0.0219223301259824,-0.0159458826859052
"asc_ruta2",0.770631069314756,1,0.586779940123449,0.0515542561449699,-0.0551770489891308,0.0207165997030825,0.0573226294007991,0.0133548010520387,0.0881297470547334,0.0794897168718457,0.00985953103665173,-0.119271362038388,-0.00208605420163728,0.236779623262074,-0.00956744014628091,0.0330921986342134,0.0678162207385394,-0.0129859773491126,-0.108228800040473,0.0501647920832258,-0.0308844067439556,-0.0124426606526845,0.0679360464797092,-0.00679485309033033,0.0284658264986975,0.0107727194336673,-0.0357071108844555,0.0193879174468458,-0.0362499154405843,0.0270069149027919,0.0460129351516463,0.117378743975483,0.0483098006691698,-0.00425555169601786,-0.0659980968698409,-0.0423727908025957,0.115430638565722,0.0274329649219931,-0.0380321938738584,-0.00401520309837,0.0553741417324252,0.0513797013489322,0.0573529505877065,-0.00712911291600591,-0.002333698801418,-0.0200576820582831,-0.0344049233858155,-0.061204325730192,0.0269760213953306,0.00228171512075727,-0.00594347095697034,0.00549522958861796
"asc_rutaEC",0.697993641586044,0.586779940123448,1,0.167616657781228,0.126549541952902,0.0985275804748017,0.429703607922336,-0.0606153728275191,-0.00107952932124305,0.274332534048339,0.0391596703123577,-0.0229238065498475,0.125646022637858,0.0479284393734765,0.324934542967529,-0.0640552183117093,0.250183539986424,-0.0229792111131695,-0.113356805307624,0.049035903948524,-0.193355605957941,-0.02562344931616,-0.0280348554300546,0.0490242238446104,0.0496964570724883,0.0355091197698947,0.0792773658641307,0.0805008752313224,0.0301139182149379,0.0952643187515852,0.126836454701932,0.170262516804554,0.0925381357737474,0.0123197376153289,0.00404264653949585,-0.0055966260063389,0.124932132049448,-0.090248202272529,-0.160316816966554,-0.183252485338236,0.134796884513986,0.102720633290842,0.172764825259583,0.0890462292242862,0.0671052281753857,0.0606717009970113,0.0535376994706005,0.00893897795897177,0.0447847106651946,-0.0169728497104632,-0.0595747343655958,-0.0616148319405009
"b_tt",0.165193658746349,0.0515542561449699,0.167616657781228,1,-0.363687738135184,-0.138784681275003,-0.323662445947346,-0.289842928251788,0.018533723835897,-0.069255873991964,-0.238374090565108,0.0684741451086698,-0.0223677324738449,-0.185293341071976,-0.0903683310995638,-0.00875435710409037,-0.0839518494252117,-0.0246812648698948,0.0195006633982693,0.0373690322874069,0.0478085604095195,0.0233604207123056,0.0173318900555501,-0.0144246085273036,-0.00873674855881357,0.00130369054259194,-0.0418808807299573,-0.0446926258985317,0.0546117758479085,0.033088949801634,-0.0240511655967258,-0.00933237778244385,-0.00839089573114522,-0.071547594071093,-0.0766160758590549,-0.0462031893024118,0.0239951828651337,0.0561147798651788,0.0488437802191109,0.0353594158155935,0.104329189061338,0.00444326763808534,-0.0462359284768065,-0.0459576252482047,-0.0810867491582022,-0.0521394288814634,-0.0287978815349358,-0.0310198231908786,0.0340621065083542,0.00209796561689581,0.0225863399430064,0.0140746346168178
"b_dt",0.10181475515115,-0.0551770489891312,0.126549541952901,-0.363687738135184,1,0.00708658961367439,0.0269151632299272,0.420999027936121,-0.171734653571119,0.0815747133881533,0.092836742203973,0.0117670498525748,-0.0201535234622955,-0.0415351580769518,0.152558720322984,-0.0120913575578831,0.155492446345846,-0.00789059712922955,-0.054893021071744,-0.0241009410635056,-0.112798540862468,-0.0647982165380316,0.0265447723219827,0.038918030503996,0.0258666493204108,0.0267106044951889,0.129570500618055,0.10904903464226,-0.00670117955489746,0.0183784751180921,0.103624035684887,0.103465226219724,0.00308566101757102,0.0958589838663865,0.122026927526116,0.0896265685260037,-0.0328192145682578,-0.148529185714197,-0.123301849021053,-0.122984868271817,-0.148555245390143,-0.0264669333691196,-0.0174778517554478,0.0049674169830718,0.00259139301148322,-0.0672782332571564,-0.0632000726048391,-0.0775413912857862,-0.0323534442625655,-0.0206657987201964,-0.0589863842816207,-0.0323152749319923
"b_CongCD",0.00645556005035884,0.0207165997030826,0.0985275804748015,-0.138784681275003,0.00708658961367427,1,0.497906446617995,-0.00211352321750103,0.0432830464860873,0.0929304069250212,-0.0302214565194434,-0.0326521940909979,0.0975778666134364,-0.113314503857212,-0.139443392021802,-0.0208335108657701,-0.12019586805799,0.0316269610925335,-0.0410050866024677,0.0235126192712066,-0.0142375315302684,-0.119461289624438,0.000405212941980579,0.0110277867574936,0.0141817351252921,-0.0370778878989281,-0.028048257124337,-0.0282379834337993,-0.0261810441886734,0.0174567392685561,0.0888179969585007,0.0435577522545658,0.00861644338578701,-0.0375005889300285,-0.0610427568388675,-0.0664227596441415,-0.0244371498117396,0.02409553130868,0.00500698843420887,0.014336092792165,-0.0782675064608101,-0.0999434397145273,-0.045974841611692,-0.0854388366544591,-0.0459667701892852,-0.0391040623524714,0.000698736312385081,-0.0251027017784224,-0.0305363599417014,-0.0498193314593835,-0.000434120349749812,-0.026262055349302
"b_CongEF",0.0509724213380456,0.057322629400799,0.429703607922335,-0.323662445947346,0.026915163229927,0.497906446617995,1,-0.0264286793254473,0.0706360437462776,0.261127649053007,-0.0160082919180694,-0.0519337682428923,0.081727742006057,0.0520918160963937,-0.0735198808902497,0.0327886913459409,-0.0571871774480831,0.0303884748784018,-0.0386729661868278,-0.0917664280619021,-0.0203997335309844,-0.151464744809603,0.0015351734623573,-0.0339721992001875,0.0307891714358244,-0.019054229585434,-0.0824342878983153,-0.0367289964036314,-0.0197923538586172,0.0293706396396638,0.0283742340851908,0.0425903720952811,0.111389958737432,0.0620360718139159,0.0625072315715236,0.064598996224061,-0.0963183546789913,-0.0700855028798944,-0.0360769114486605,-0.0443894626033272,-0.036465566316278,-0.0801184812726855,-0.0128916604400088,-0.0694703944380132,-0.033340714410445,-0.0424486638226424,-0.0341832733947789,-0.057251782479035,0.0026491473453486,0.00185388797279811,0.00469667978577668,-0.00573812272666147
"b_Sem",0.115998189493241,0.0133548010520386,-0.0606153728275191,-0.289842928251788,0.420999027936121,-0.00211352321750104,-0.0264286793254473,1,-0.115083545969424,-0.0434786823923258,0.0594707285880379,-0.134081917919842,0.00215119230737312,-0.0347964981309999,0.0648062250392594,-0.130927706723758,-0.0421630036318525,-0.0857176083662503,0.0259243325400042,-0.0638282860768589,0.094800370309672,-0.141412536035784,-0.0408643567739652,0.0433528709294731,-0.0889081918495839,-0.0350535895470885,0.0326246079817731,0.0522492345772892,-0.0575597134865035,-0.0992331057452713,-0.047499658447595,-0.037907581709116,0.0828031226766533,0.159868512923191,0.165044645835912,0.124178855943542,-0.16775190316565,-0.00890178781958879,0.0471986765084028,0.066904061359325,-0.229412069361031,-0.126881190711329,-0.128504876055086,-0.143822298644294,0.0140607410430672,-0.0428172382631815,-0.037788983918866,-0.00794312278141685,-0.04059120660884,-0.0524225302788864,-0.0668560695484609,-0.067506240294165
"b_ACC_1",-0.0168847984936222,0.0881297470547335,-0.00107952932124293,0.0185337238358969,-0.171734653571119,0.0432830464860873,0.0706360437462776,-0.115083545969424,1,0.084079002187597,-0.170640723423262,-0.0991139287361802,-0.0953996703168106,0.082252154146209,0.0109925128888196,0.0996710532626218,0.0768291828915292,-0.00615512982073395,-0.0303353541294471,0.107290141380401,-0.0106301573167506,0.00548499030817904,-0.0457663588802722,-0.0149088806900105,0.0175991785807431,0.00803786158017984,0.0446166241103101,0.0170600222688641,-0.00684092736928381,0.0523719486466678,0.0570412500451992,0.0136359695689848,-0.0121604548051658,-0.0326193272271149,-0.103573730798186,-0.124514372238866,-0.00411272595525509,0.0291692779946784,0.0187859609202508,0.0475117756810512,0.0820732644864938,0.0160886420716068,0.0155385861440738,-0.01530780696861,0.030727054652182,0.063260540561269,0.0868782842004449,0.0591526561566087,0.0225775424992176,0.0653441613556701,0.0249239171995839,0.0153830186089619
"b_ACC_2",0.0911986716944404,0.0794897168718457,0.274332534048339,-0.0692558739919641,0.0815747133881533,0.0929304069250212,0.261127649053007,-0.0434786823923258,0.0840790021875971,1,-0.00282115990305143,-0.0694991126821486,0.045575394006996,-0.032351216321667,0.109727668033353,0.0282436179762606,0.127325118151496,0.010044529827093,-0.046478156492742,0.0861022438273304,-0.347846060354142,0.0746296422010736,0.0362670525416696,-0.0443522781505254,0.0123414657137118,-0.0149087684458806,0.0488444605862778,0.0452935851154023,-0.0343971645385851,-0.00763186020869982,0.0889467025966926,0.0814721330383176,0.200057971669473,0.0610605618814661,-0.0299930148097276,-0.041243230312521,0.0821728570432529,-0.385976186721527,-0.445866767460021,-0.511480195863623,0.1095475915046,0.0944642080870524,0.0956423841186905,0.0731460048922861,0.0686987663995145,0.0223860902886072,0.00667584873150455,-0.0180856385456206,0.115603405921195,0.0826459964316083,0.0603994532497459,0.0592489015144048
