"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"asc_ruta1",0.08851417845033,0.0740070533844961,0.0867955300033254,0.057877241668847,0.0409139096222613,0.000535108143593607,0.00499562938215759,0.0045933668165885,-0.00145456330694445,0.0219674015195141,-0.00338985553519701,-0.00375668727124514,0.00364177513363466,0.00999204400633141,-0.00185392459043172,0.000603578295043672,0.0031275008180452,-0.000936224447660501,-0.0148617673219098,0.00219768646983826,-0.00875114528682967,0.00253404448602263,0.00987689204314742,0.00224530290619265,0.00495179051989959,-0.00346006456533531,-0.00831033517280213,-0.00101771734590829,-0.00313208883725237,0.00190791397123166,0.00746755250573506,0.0224866042752219,0.00508899833960936,0.00269903086000329,0.000929637708625246,0.000714492687423605,0.00556512480270777,-0.0056734984576927,-0.0141391098790132,-0.0181797467511675,0.00465402008808279,0.00967615206151018,0.0153626629639954,0.00566764187275814,-0.00243199859687595,-0.00467049099253126,-0.00762497441190876,-0.0179287195613653,0.00108605671761341,-0.00213222857910929,-0.00534134176877751,-0.00451436845335277
"asc_ruta2",0.0740070533844961,0.104193434656365,0.0791653082877305,0.0195971417459552,-0.0240565024354864,0.00186311587071589,0.00609529607648229,0.000573761094535237,0.00823707509253876,0.0207737490595419,0.000853161813004352,-0.00704151742539804,-0.000160296863107406,0.0253453018823495,-0.000876479332684789,0.00198485573581353,0.00603850740351364,-0.00173574274218284,-0.0121174882030686,0.0023882293773591,-0.00575168703045664,-0.00129660174143412,0.0123233942611409,-0.00120159743230119,0.00407156672796212,0.00112157693489514,-0.00518452328340354,0.00450336510120495,-0.00369968637785859,0.00242666025117947,0.00566383648857242,0.0207955996536801,0.00310017691589139,-0.000203195801042559,-0.00297963097411497,-0.00201847648375367,0.011236128133556,0.00362407799032999,-0.00786074942585452,-0.00132535590940016,0.00596514567868085,0.00812159051859592,0.0121933979342461,-0.001804083975995,-0.000245602408421984,-0.00283292739505752,-0.00638022443968312,-0.0176796454080461,0.00296325087205796,0.000363442240044891,-0.00157114965599286,0.00168790513874891
"asc_rutaEC",0.0867955300033255,0.0791653082877304,0.174694383841472,0.082502038615738,0.0714420467365468,0.0114735682488302,0.0591639276592368,-0.00337206353515638,-0.000130648443108561,0.0928326056769549,0.00438766509723959,-0.00175241155787786,0.0125016539989568,0.00664302253173336,0.0385443834293895,-0.00497481728108748,0.0288452327151047,-0.00397708732099345,-0.0164337491896088,0.00302280756045247,-0.0466264172330958,-0.00345740479776864,-0.00658487732767059,0.0112255839285486,0.00920412443749412,0.00478699442323075,0.014904678855577,0.0242117339315106,0.00397964628898063,0.0110836693400201,0.0202159501526708,0.0390589292298476,0.00768937910515593,0.000761692380718431,0.000236328519153244,-0.000345209076310088,0.0157466810500918,-0.015437701562053,-0.0429053007274088,-0.0783238755822563,0.0188023960132064,0.0210245396913509,0.0475601922421569,0.0291780378633684,0.00914457381622045,0.0110958395165986,0.0128556595050369,0.00334347895066843,0.00637000232255498,-0.0035006447499135,-0.0203919528743466,-0.0245056798948038
"b_tt",0.057877241668847,0.0195971417459552,0.082502038615738,1.38680712208075,-0.57848290504483,-0.045535570039963,-0.125559295149473,-0.0454301569106992,0.00631976666068318,-0.0660310798820278,-0.0752526942772961,0.0147483879453001,-0.00627060218413494,-0.0723603751645184,-0.030202997194736,-0.00191564679262784,-0.0272718212505516,-0.0120355511836777,0.00796538923305756,0.00649047864862229,0.0324825042658815,0.00888099975698936,0.0114700114994852,-0.00930616632523038,-0.00455906149504464,0.000495183414109119,-0.0221849154306815,-0.0378730012994894,0.0203344329524136,0.010846880069877,-0.0108007708552758,-0.00603201142678573,-0.00196447909421259,-0.0124635496279544,-0.0126194034943546,-0.00802964665463695,0.00852133233707542,0.0270451817887752,0.0368306766066859,0.0425812039641712,0.0410022540767909,0.00256235820293322,-0.0358621579851376,-0.042429380379629,-0.0311333290715389,-0.026866359729161,-0.0194833555742596,-0.0326902773359595,0.0136505415282623,0.00121915858419924,0.0217826706266353,0.0157720148473867
"b_dt",0.0409139096222611,-0.0240565024354866,0.0714420467365467,-0.578482905044829,1.82434797020368,0.00266681160243237,0.0119756579307264,0.0756847583184779,-0.0671648581091748,0.0892058117047706,0.0336146585096662,0.0029069083182624,-0.00648013542609986,-0.0186038432874118,0.0584812470325225,-0.00303467404241694,0.0579347286705902,-0.00441320649622536,-0.0257170149323989,-0.00480114344896849,-0.0879008604860169,-0.0282546582178942,0.0201485009343987,0.0287980735144155,0.015481448619305,0.0116364658360636,0.0787216005393334,0.105989168022526,-0.00286182339177007,0.00690998551159687,0.0533734078614128,0.0767025960824223,0.000828577447236488,0.019152494277457,0.0230526260841269,0.017865166001721,-0.0133677227588571,-0.0821051216255782,-0.106638941436242,-0.169867518710247,-0.0669631228753406,-0.01750599496577,-0.0155485786511482,0.00525999746833957,0.00114118160622985,-0.0397615166134876,-0.0490418223885749,-0.0937256979707649,-0.0148711552137686,-0.0137739923339029,-0.065247345443494,-0.0415339953956742
"b_CongCD",0.000535108143593601,0.0018631158707159,0.0114735682488302,-0.045535570039963,0.00266681160243233,0.0776251455128203,0.0456980310610715,-7.83757542187165e-05,0.00349179998742526,0.0209624870026205,-0.00225720798381375,-0.00166388568499485,0.00647189988241716,-0.0104693490899765,-0.0110261755073637,-0.00107856624413777,-0.00923775827955843,0.00364879292968447,-0.00396267570375864,0.000966182278927158,-0.00228860961610895,-0.0107448802311907,6.34445640542821e-05,0.00168324881060504,0.00175084687320426,-0.00333195972950729,-0.00351512710490679,-0.00566135921166637,-0.00230635370944917,0.00135387373249405,0.00943653989807582,0.00666083210572029,0.000477265792456787,-0.00154553193470372,-0.00237873599028373,-0.00273108097340853,-0.00205318069721488,0.00274752928660022,0.000893244187862867,0.00408448062973638,-0.00727740559866492,-0.0136359324848868,-0.00843665441751629,-0.0186619756488007,-0.00417554188118008,-0.00476713679565393,0.000111843232663014,-0.0062588268302662,-0.00289526837151332,-0.0068494060310231,-9.90532182694691e-05,-0.00696260796059912
"b_CongEF",0.00499562938215755,0.00609529607648228,0.0591639276592367,-0.125559295149473,0.0119756579307263,0.0456980310610715,0.10851681812502,-0.00115877064156751,0.00673759988647223,0.06964422953128,-0.00141367147070258,-0.00312901945525219,0.00640910348181052,0.00569050737003384,-0.00687351791689942,0.00200703874327302,-0.00519664475836012,0.00414522367357416,-0.00441881270457292,-0.00445850435775076,-0.00387711627723451,-0.0161076895080477,0.00028419463569383,-0.00613099455604416,0.00449432121626057,-0.00202452648408944,-0.0122149123793213,-0.00870649602574126,-0.00206150175053279,0.00269324432583511,0.00356437398310052,0.00770055048979122,0.00729500550582978,0.00302295370982265,0.00287998138565704,0.00314044175585368,-0.00956826045404315,-0.0094489016619998,-0.00760974796477231,-0.0149531688262985,-0.00400890123856312,-0.0129244053399455,-0.00279708837299025,-0.017941112468892,-0.00358089072240354,-0.00611852972003667,-0.00646930099767773,-0.0168775263002704,0.000296978484175111,0.000301360144462952,0.00126705862530437,-0.00179870679202683
"b_Sem",0.0045933668165885,0.000573761094535233,-0.00337206353515638,-0.0454301569106992,0.075684758318478,-7.83757542187169e-05,-0.00115877064156751,0.017715238064611,-0.00443523928924102,-0.00468525922853287,0.00212193330037552,-0.00326402602117646,6.81603780541285e-05,-0.00153582595151572,0.00244802568259629,-0.00323808469872735,-0.00154803537374915,-0.00472426315820533,0.00119682503506992,-0.00125297821967497,0.00727979812503803,-0.00607623516528979,-0.00305652575747614,0.00316118638081443,-0.00524363985814818,-0.00150483726269145,0.00195322708593705,0.00500425288233668,-0.00242231074370939,-0.00367657901107488,-0.00241087434453675,-0.00276924505609665,0.00219104484779186,0.00314756793938827,0.00307245709692248,0.00243914488841025,-0.00673312008499794,-0.000484903528735523,0.00402249686642633,0.00910606618099931,-0.0101902215896438,-0.0082698965781682,-0.011265277857942,-0.0150072390513064,0.000610167887232328,-0.0024935993274902,-0.00288957449377232,-0.000946097788912776,-0.00183855151923383,-0.00344306545139578,-0.00728738257779147,-0.00854986847284481
"b_ACC_1",-0.00145456330694444,0.00823707509253877,-0.000130648443108546,0.00631976666068318,-0.0671648581091749,0.00349179998742526,0.00673759988647223,-0.00443523928924102,0.0838418106342964,0.0197106809047238,-0.0132454885254232,-0.00524898000005971,-0.0065759190164443,0.00789788073140458,0.000903343775891122,0.00536268785662046,0.00613666450479449,-0.000738002922023688,-0.0030466949909853,0.00458191453714157,-0.0017758481286221,0.000512718933711348,-0.00744708965599231,-0.00236501612737527,0.00225808509464145,0.000750679213665584,0.00581113507935475,0.00355464092728407,-0.000626300905076762,0.00422126756629997,0.00629839583022731,0.00216709604988758,-0.000700021208058315,-0.00139715312073145,-0.00419460272969172,-0.00532066916390122,-0.000359116619327623,0.00345669143533244,0.00348302134595158,0.0140681312018962,0.0079309625916771,0.00228128240336841,0.00296340240275402,-0.00347491655345949,0.00290080742305973,0.00801489333615955,0.0144522925317843,0.0153276590150336,0.00222473014264927,0.00933664649267341,0.00591022285143825,0.00423851677288034
"b_ACC_2",0.0219674015195141,0.0207737490595419,0.0928326056769548,-0.0660310798820279,0.0892058117047706,0.0209624870026205,0.0696442295312801,-0.00468525922853287,0.0197106809047238,0.655492169049634,-0.00061230305916881,-0.0102913634504021,0.00878402258363568,-0.00868575016841639,0.0252130655029468,0.00424900487499566,0.0284363390552111,0.00336747132535598,-0.0130521553056695,0.0102814665194444,-0.162482520977438,0.0195060026926086,0.0165008346176487,-0.0196724490437917,0.00442759691741207,-0.00389322108296148,0.0177882412745493,0.0263879875430055,-0.00880529951355027,-0.00171999816639877,0.0274614964050611,0.0362038413813733,0.0322010972521118,0.0073127921801983,-0.00339636820403283,-0.00492779775234796,0.0200626154380265,-0.127893618411569,-0.231143270843696,-0.423464882382585,0.02959923294837,0.0374524625378808,0.0510015002944176,0.0464275154268008,0.0181342806788937,0.00793042621790825,0.00310517031193374,-0.0131035465558879,0.0318511215633301,0.0330186548771186,0.0400473693970621,0.0456463517970373
