"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",1,0.782447787056598,0.673572602622148,0.360984773659436,0.11232910735786,-0.108214368887874,-0.0987234659835175,0.147927432263537,-0.0602407380429193,0.0170920706288089,-0.0743782526717114,0.0162402921613927,-0.0534701378102842,-0.00187602409084779
"asc_ruta2",0.782447787056598,1,0.65568873699546,0.160026866885675,0.0256558889739938,-0.053434963478603,-0.0237777274577884,0.0604564221372781,-0.00461622891692498,0.0344182577639927,-0.00663654059317131,0.00489382672567009,-0.014128498053653,0.0751891733681643
"asc_ruta4",0.673572602622148,0.65568873699546,1,-0.0634512272497024,0.215964316525889,0.131021517235697,0.50456813912572,0.0482125133840946,-0.0394151706728718,0.0541522256429569,0.019800144217108,0.0723286664979263,0.0494558571093437,0.00555978365174897
"b_tt",0.360984773659436,0.160026866885675,-0.0634512272497024,1,-0.265821905623111,-0.18033602365592,-0.273441205265844,-0.0425761172332615,-0.0509152451355484,0.00731542033469501,-0.0898358323706004,0.0157470687822469,-0.111334873052998,-0.0721955774977251
"b_dt",0.11232910735786,0.0256558889739938,0.215964316525889,-0.265821905623111,1,-0.0381310973465826,-0.0429685722140562,0.29803242136086,-0.0642811810342945,-0.00852029137807233,-0.0893965013983354,0.0400552795837951,-0.0929117415850072,-0.11672822879464
"b_CongCD",-0.108214368887874,-0.053434963478603,0.131021517235697,-0.18033602365592,-0.0381310973465826,1,0.508865480950007,0.00957332814670971,0.0903338296117566,0.0400503980783542,0.0652450257915976,-0.00824996487059696,0.0775704901387595,-0.0568563977625405
"b_CongEF",-0.0987234659835175,-0.0237777274577884,0.50456813912572,-0.273441205265844,-0.0429685722140562,0.508865480950007,1,-0.0137544153809695,0.0408391657471644,0.058696888970515,0.0337423053367559,-0.023462004452748,0.105647512169205,0.036301959885463
"b_Sem",0.147927432263537,0.0604564221372781,0.0482125133840946,-0.0425761172332615,0.29803242136086,0.00957332814670971,-0.0137544153809695,1,-0.0726345264813609,0.0249396306993843,-0.0788281266970275,-0.0356580162507555,-0.0591095513029329,-0.125048907491195
"b_ACC_1",-0.0602407380429193,-0.00461622891692498,-0.0394151706728718,-0.0509152451355484,-0.0642811810342945,0.0903338296117566,0.0408391657471644,-0.0726345264813609,1,0.109900871255691,-0.0283979621149078,-0.0507025763249096,-0.0180772491831592,0.0461738227608501
"b_ACC_2",0.0170920706288089,0.0344182577639927,0.0541522256429569,0.00731542033469501,-0.00852029137807233,0.0400503980783542,0.058696888970515,0.0249396306993843,0.109900871255691,1,-0.0109628484499898,0.0383994907932212,-0.0107316055274117,-0.0262811242556303
"b_SI_CAMFD",-0.0743782526717114,-0.00663654059317131,0.019800144217108,-0.0898358323706004,-0.0893965013983354,0.0652450257915976,0.0337423053367559,-0.0788281266970275,-0.0283979621149078,-0.0109628484499898,1,-0.0719678669687658,0.11424747837619,0.0901994248168339
"b_SI_PANEL",0.0162402921613927,0.00489382672567009,0.0723286664979263,0.0157470687822469,0.0400552795837951,-0.00824996487059696,-0.023462004452748,-0.0356580162507555,-0.0507025763249096,0.0383994907932212,-0.0719678669687658,1,0.0208490339515268,-0.0662243996736084
"b_SI_ZER",-0.0534701378102842,-0.014128498053653,0.0494558571093437,-0.111334873052998,-0.0929117415850072,0.0775704901387595,0.105647512169205,-0.0591095513029329,-0.0180772491831592,-0.0107316055274117,0.11424747837619,0.0208490339515268,1,-0.033429948764901
"b_Si_MTRP",-0.00187602409084779,0.0751891733681643,0.00555978365174897,-0.0721955774977251,-0.11672822879464,-0.0568563977625405,0.036301959885463,-0.125048907491195,0.0461738227608501,-0.0262811242556303,0.0901994248168339,-0.0662243996736084,-0.033429948764901,1
