"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",1,0.770478580365001,0.759734571625369,0.175550681721706,0.0773503865462267,0.00250053072322434,0.0659855983922665,0.113923865556305,-0.0102625922085562,0.0844869131145777,-0.043637260718044,-0.0733851623675101,0.0554240969098414,0.104485811458593
"asc_ruta2",0.770478580365001,1,0.637652968386789,0.0640466414021945,-0.0831533972684649,0.0194248382015483,0.0717615645106204,0.0190236614182393,0.0942017715283333,0.0752860498740216,0.0271395424212389,-0.126473501975412,0.00199339400719477,0.235335988281899
"asc_rutaEC",0.759734571625369,0.637652968386791,1,0.243982594678759,0.0466357966296111,0.145249161713809,0.485802790646885,-0.108375546383443,0.00366686123313768,0.246451582130722,-0.0220416364342723,0.0144830332381237,0.120599991585998,0.0396707098377773
"b_tt",0.175550681721706,0.0640466414021947,0.243982594678759,1,-0.37144121200269,-0.137202675592815,-0.317822523595265,-0.310504134482893,0.035778849439221,-0.0625472524184201,-0.268954742673001,0.0307597965403927,-0.03298688763143,-0.160821482750297
"b_dt",0.0773503865462267,-0.083153397268465,0.0466357966296112,-0.37144121200269,1,0.0403036175855304,0.0550452948617667,0.418042718087388,-0.184971064798076,0.0706640071074409,0.113111124485131,0.0316607896876036,0.00115807602523959,-0.0903046217411992
"b_CongCD",0.00250053072322377,0.0194248382015479,0.145249161713808,-0.137202675592815,0.0403036175855303,1,0.482477230145398,0.0171729116364903,0.0353818960565075,0.118238213127489,-0.0183718809183612,0.00231998784012267,0.108774349406428,-0.116238113712798
"b_CongEF",0.0659855983922671,0.0717615645106214,0.485802790646885,-0.317822523595265,0.0550452948617668,0.482477230145398,1,-0.0141213637286259,0.0608827864557872,0.281850915975113,0.00175157050691976,-0.00988513061845883,0.100040926468689,0.0622927971481029
"b_Sem",0.113923865556305,0.0190236614182393,-0.108375546383443,-0.310504134482893,0.418042718087388,0.0171729116364904,-0.014121363728626,1,-0.102680659128876,-0.0372282445405911,0.0616186245161275,-0.112343728467517,0.0194594585083112,-0.0382114566339433
"b_ACC_1",-0.0102625922085561,0.0942017715283333,0.00366686123313778,0.035778849439221,-0.184971064798076,0.0353818960565075,0.0608827864557872,-0.102680659128876,1,0.0707871163208348,-0.179167858678325,-0.108071195912031,-0.0894113755928997,0.0837004738890976
"b_ACC_2",0.0844869131145777,0.0752860498740217,0.246451582130722,-0.0625472524184201,0.0706640071074409,0.118238213127489,0.281850915975113,-0.0372282445405911,0.0707871163208348,1,0.0192881960637162,-0.0520531114645728,0.0528284770883608,-0.0433567103163897
"b_SI_CAMFD",-0.0436372607180441,0.0271395424212387,-0.0220416364342724,-0.268954742673001,0.113111124485131,-0.0183718809183612,0.00175157050691976,0.0616186245161275,-0.179167858678325,0.0192881960637162,1,-0.048175611237498,0.102376041932852,0.148090884913371
"b_SI_PANEL",-0.0733851623675102,-0.126473501975412,0.0144830332381234,0.0307597965403928,0.0316607896876036,0.00231998784012265,-0.00988513061845897,-0.112343728467517,-0.108071195912031,-0.0520531114645727,-0.048175611237498,1,-0.12471875620028,-0.0859150243607984
"b_SI_ZER",0.0554240969098415,0.0019933940071948,0.120599991585998,-0.03298688763143,0.00115807602523959,0.108774349406428,0.100040926468689,0.0194594585083112,-0.0894113755928997,0.0528284770883608,0.102376041932852,-0.12471875620028,1,-0.0900471785019889
"b_Si_MTRP",0.104485811458593,0.235335988281899,0.0396707098377774,-0.160821482750297,-0.0903046217411992,-0.116238113712798,0.0622927971481028,-0.0382114566339433,0.0837004738890976,-0.0433567103163897,0.148090884913371,-0.0859150243607984,-0.0900471785019889,1
