"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",0.128193913505229,0.097458853703183,0.0907353428096637,0.0448649897851933,0.00502860486735382,-0.0128078318618343,-0.0132016379004171,0.00432064421968545,-0.00563548099583703,0.0241339531072965,-0.0110771190904871,-0.00659334238960577,0.00168664314784421,0.0040992845783991
"asc_ruta2",0.0974588537031829,0.11674142857889,0.0805389129631942,0.0263806988347809,-0.00553631384695952,-0.00593902366942576,-0.006316686481407,0.00103769878064047,0.00555281590771318,0.021476634057139,-0.00235825997544969,-0.00980397244024552,0.000760764353889585,0.0169395500836203
"asc_ruta4",0.0907353428096637,0.0805389129631942,0.14353411312156,0.00614879038008943,0.0210142446582478,0.0129431868398947,0.057593804554103,-0.00164357141216132,-0.00708724369675598,0.0722373538433765,0.00500822057045194,0.00208510453142554,0.0111866275112546,0.00329900770483798
"b_tt",0.0448649897851933,0.026380698834781,0.00614879038008945,0.0525560888580596,-0.0139192224598418,-0.0142950890937,-0.0223734247726816,-0.00192118091463656,-0.000838929031342206,0.00891404861048095,-0.0137114077193566,-0.00330899031308378,-0.00311832596117195,-0.00488217925018727
"b_dt",0.00502860486735384,-0.0055363138469595,0.0210142446582478,-0.0139192224598418,0.0549519953874606,6.66119278269929e-05,-0.00380991538705858,0.00736161664553784,-0.0164545399168704,-0.00246369964751065,0.00445312253340749,0.0051484622519019,-0.0021069534302904,-0.012381405591066
"b_CongCD",-0.0128078318618343,-0.00593902366942576,0.0129431868398947,-0.0142950890937,6.66119278269779e-05,0.0787482831488708,0.042622545898366,-0.00096528884503483,0.0040961732732619,0.0218976247260431,-0.000559581998365647,0.000220865457879964,0.00864005747244286,-0.0121172527850247
"b_CongEF",-0.013201637900417,-0.00631668648140695,0.057593804554103,-0.0223734247726815,-0.0038099153870586,0.0426225458983659,0.0951707429639202,-0.00405806454750656,0.0062155819338071,0.0593967771133064,-0.00053641607213892,0.00136153103449558,0.00736613346421386,0.00461247688478179
"b_Sem",0.00432064421968547,0.00103769878064049,-0.00164357141216131,-0.00192118091463656,0.00736161664553784,-0.000965288845034829,-0.00405806454750657,0.0143884515212944,-0.00357408461466821,-0.00616300263491532,1.13194500105486e-05,-0.00195699097684477,-0.000813881940000089,-0.00195954228496732
"b_ACC_1",-0.00563548099583703,0.00555281590771318,-0.00708724369675598,-0.000838929031342207,-0.0164545399168704,0.00409617327326189,0.0062155819338071,-0.00357408461466821,0.0881527975019508,0.0205323305126895,-0.0119470093634818,-0.00623596974006123,-0.00432753936802063,0.0095078008974524
"b_ACC_2",0.0241339531072965,0.021476634057139,0.0722373538433765,0.00891404861048094,-0.00246369964751066,0.0218976247260431,0.0593967771133065,-0.00616300263491532,0.0205323305126895,0.59079587543491,-0.00373644921377228,-0.00529815544102105,0.00733911559612927,-0.0129268903929011
"b_SI_CAMFD",-0.0110771190904871,-0.00235825997544969,0.00500822057045195,-0.0137114077193566,0.00445312253340749,-0.000559581998365646,-0.000536416072138914,1.13194500105504e-05,-0.0119470093634818,-0.00373644921377228,0.0733078360621745,-0.000331967364985008,0.00708838464692199,0.00837609845280062
"b_SI_PANEL",-0.00659334238960577,-0.00980397244024552,0.00208510453142554,-0.00330899031308378,0.00514846225190189,0.000220865457879964,0.00136153103449558,-0.00195699097684477,-0.00623596974006123,-0.00529815544102105,-0.000331967364985009,0.0332520126824829,-0.00457233312818888,-0.00594085942341562
"b_SI_ZER",0.00168664314784422,0.000760764353889595,0.0111866275112546,-0.00311832596117195,-0.0021069534302904,0.00864005747244286,0.00736613346421388,-0.000813881940000088,-0.00432753936802063,0.00733911559612927,0.00708838464692199,-0.00457233312818888,0.0575123089393337,-0.00737250018460612
"b_Si_MTRP",0.0040992845783991,0.0169395500836203,0.003299007704838,-0.00488217925018727,-0.012381405591066,-0.0121172527850246,0.0046124768847818,-0.00195954228496732,0.00950780089745241,-0.0129268903929011,0.00837609845280062,-0.00594085942341562,-0.00737250018460612,0.0990273817200946
