"","asc_Op2","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_PANEL1","b_ZER1"
"asc_Op2",1,-0.301677842265951,-0.077121017368945,0.267463336055449,0.00290382353811963,0.0257498412410805,0.0438067143501858,-0.139370909292986,-0.0181638223864502,-0.0392545919292922,-0.060753240568316
"b_tt",-0.301677842265951,1,-0.253756718202063,-0.0373768460835569,0.0576988468257034,-0.321911862539832,0.00896045899546285,0.112204394905305,-0.112252350520483,0.0319720727270537,-0.0504033911705214
"b_dt",-0.077121017368945,-0.253756718202063,1,0.102458482140671,-0.0627679753627406,0.488301932074254,-0.149050674570678,-0.097087303478949,0.0285161685401698,0.115466353295443,-0.0392461922222621
"b_CongAB",0.26746333605545,-0.0373768460835569,0.10245848214067,1,0.506867269995088,-0.092175648644106,-0.120365183790374,-0.00201138019153795,0.165190669368806,0.0535615848687667,-0.0625553357937229
"b_CongCD",0.0029038235381196,0.0576988468257034,-0.0627679753627406,0.506867269995088,1,-0.029965271033662,-0.0968851496650623,0.0246818500504541,0.0925587999730624,-0.0553832277315384,-0.0558064325231942
"b_Sem",0.0257498412410804,-0.321911862539832,0.488301932074254,-0.0921756486441061,-0.029965271033662,1,-0.196196997709141,-0.00370157930721821,0.0416240754938542,0.020345109450638,0.0826701885178322
"b_ACC_1",0.0438067143501858,0.00896045899546287,-0.149050674570678,-0.120365183790374,-0.0968851496650623,-0.196196997709141,1,-0.136720423554171,-0.17576872589304,0.00724594599554097,-0.14716626906584
"b_ACC_2",-0.139370909292986,0.112204394905305,-0.097087303478949,-0.00201138019153792,0.0246818500504541,-0.00370157930721822,-0.136720423554171,1,-0.0233262749258581,-0.155467804797005,0.0287631676804416
"b_SI_CAMFD",-0.0181638223864504,-0.112252350520483,0.0285161685401698,0.165190669368806,0.0925587999730624,0.0416240754938542,-0.17576872589304,-0.023326274925858,1,-0.0194953032185478,0.134733488857848
"b_PANEL1",-0.0392545919292922,0.0319720727270537,0.115466353295443,0.0535615848687666,-0.0553832277315384,0.020345109450638,0.00724594599554097,-0.155467804797005,-0.0194953032185478,1,0.0568079826632097
"b_ZER1",-0.0607532405683161,-0.0504033911705214,-0.0392461922222621,-0.0625553357937229,-0.0558064325231942,0.0826701885178322,-0.14716626906584,0.0287631676804416,0.134733488857848,0.0568079826632097,1
