"","asc_Op2","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_PANEL1","b_ZER1"
"asc_Op2",0.0340494120363312,-0.00140439109250068,-0.00159189439487687,0.0105182201224261,0.000112779986324181,0.000721763596847913,0.00240946383051258,-0.017615253105418,-0.000903511180330801,-0.00500921169029669,-0.00263769888734087
"b_tt",-0.00140439109250068,0.00063647256651726,-0.000716133662604075,-0.000200962806177658,0.000306382521376378,-0.00123365134131159,6.73821747058664e-05,0.00193892789330547,-0.000763408101312411,0.000557808010569116,-0.000299192402572743
"b_dt",-0.00159189439487687,-0.000716133662604075,0.0125133441810753,0.00244263065097032,-0.00147785499292914,0.00829737555412218,-0.00496987611230822,-0.00743894041147652,0.000859902762048466,0.00893236075859155,-0.00103296398842087
"b_CongAB",0.0105182201224261,-0.000200962806177658,0.00244263065097032,0.0454199215045443,0.0227365436935224,-0.00298404248378913,-0.00764625882856786,-0.000293615720344561,0.00949030518876713,0.00789406537652848,-0.00313681213180428
"b_CongCD",0.00011277998632418,0.000306382521376378,-0.00147785499292914,0.0227365436935224,0.044301049584958,-0.000958055851705597,-0.0060783981538469,0.00355833361316787,0.00525165513563326,-0.00806137975993698,-0.00276370846132578
"b_Sem",0.000721763596847912,-0.00123365134131159,0.00829737555412218,-0.00298404248378913,-0.0009580558517056,0.0230744426440567,-0.00888347509434846,-0.000385136442252738,0.00170443987700819,0.0021372225623818,0.00295471432253752
"b_ACC_1",0.00240946383051258,6.73821747058666e-05,-0.00496987611230822,-0.00764625882856786,-0.0060783981538469,-0.00888347509434846,0.0888484475857262,-0.0279138835813959,-0.0141233591334109,0.00149363377236368,-0.0103212942946686
"b_ACC_2",-0.017615253105418,0.00193892789330548,-0.00743894041147652,-0.000293615720344556,0.00355833361316787,-0.000385136442252739,-0.0279138835813959,0.469163147862207,-0.0043070390739457,-0.0736421606420331,0.00463553237352991
"b_SI_CAMFD",-0.000903511180330809,-0.00076340810131241,0.000859902762048466,0.00949030518876713,0.00525165513563326,0.00170443987700819,-0.0141233591334109,-0.00430703907394569,0.0726679572536352,-0.00363434022019124,0.00854570686150011
"b_PANEL1",-0.00500921169029669,0.000557808010569116,0.00893236075859155,0.00789406537652847,-0.00806137975993698,0.0021372225623818,0.00149363377236368,-0.0736421606420331,-0.00363434022019124,0.478242557227435,0.00924345724271408
"b_ZER1",-0.00263769888734087,-0.000299192402572743,-0.00103296398842087,-0.00313681213180428,-0.00276370846132578,0.00295471432253752,-0.0103212942946686,0.00463553237352991,0.00854570686150011,0.00924345724271407,0.055360744146085
