"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",2.12057981858976,0.453437504432416,4.67667495048556,2.91563861520849e-06,2.86953469853135,0.738997796289095,0.459908335514201
"asc_ruta2",1.06488107610466,0.39190791921414,2.71717162092559,0.0065842456274432,1.87558149574098,0.567760493757676,0.570197608745939
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",1.90258662526306,0.424073986756635,4.48644973443018,7.24197927981507e-06,0.904781330958742,2.10281375196701,0.0354820534297253
"b_tt",0.559083333604809,0.270746368973824,2.06497075371253,0.0389257676133272,1.41883683078769,0.39404343154415,0.693548974138779
"b_dt",-0.501512969113862,0.245962507529493,-2.03898136407528,0.0414518875184551,0.28662054447421,-1.74974536467321,0.0801622620249196
"b_CongAB",0,NA,NA,NA,NA,NA,NA
"b_CongCD",-0.0403574697840302,0.367017820361468,-0.109960518386499,0.912440686742853,2.18042327125811,-0.0185090070886759,0.98523279217954
"b_CongEF",0.0546770770679812,0.444838586451567,0.122914420496061,0.902174866313874,3.06716588795714,0.0178265796716976,0.985777200615342
"b_Sem",0.371571734309157,0.158366115121864,2.34628306707676,0.0189617006387992,0.184254412048075,2.01662326659623,0.0437348430889517
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.334199202823221,0.336097256712898,-0.994352664736866,0.320051204458359,1.2739801680344,-0.262326848728619,0.793069464317291
"b_ACC_2",-2.73230818955835,1.07052173247302,-2.55231454596109,0.0107009861574203,2.47659801708284,-1.10325057627911,0.269918363194676
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.706790929816156,0.279327621627333,-2.53032953095891,0.0113955444412168,1.07020184979556,-0.660427684694413,0.508979411007425
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.338961113520653,0.224755935106481,-1.50812975577293,0.131521320942041,0.568361119153329,-0.596383359272699,0.550919154634763
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
