"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_CongCD","b_CongEF","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",1,0.777914786895658,0.711327071657277,0.0299364509564312,-0.136398813010142,-0.156843641479125,0.0292439495453022,-0.0139016604099049,0.0362504592667278,-0.00829819436276513,0.0421862962174951,0.0071462489351575,-0.00477215895474753,-0.0404775749798766
"asc_ruta2",0.777914786895658,1,0.633810003480478,0.117939631115717,0.00340119980990785,-0.0392069284862717,0.00152222769163211,-0.0561443941551864,-0.0178930386094884,-0.0167914184527009,-0.0335367474502797,0.0107751010126401,-0.0271377204030019,-0.125136386237163
"asc_ruta4",0.711327071657277,0.633810003480478,1,-0.179693327596565,-0.00870514566749858,0.0182319226086634,-0.165193724825053,-0.493480197951315,0.043671318777786,-0.0493075386691387,0.00828811411686982,-0.0699822439256499,-0.0368840436137365,0.00422652189919013
"b_tt",0.0299364509564312,0.117939631115717,-0.179693327596565,1,-0.324791122080599,-0.142213353752547,-0.0696722359543981,-0.18972031936776,-0.0564143921413437,0.00453717935676384,-0.146708292722534,0.0658427586915533,-0.121138474585219,-0.136950779849278
"b_dt",-0.136398813010142,0.00340119980990785,-0.00870514566749858,-0.324791122080599,1,0.386083091719758,-0.0444315919130945,-0.011370943413245,-0.0535954915733327,0.00925666267825434,-0.0617252853310429,-0.0374347174417769,-0.0335207895138303,-0.114313050129686
"b_Sem",-0.156843641479125,-0.0392069284862717,0.0182319226086634,-0.142213353752547,0.386083091719758,1,0.0273365026830799,0.0148230140404065,-0.0775608147135961,0.0261162383033134,-0.0654094480811073,-0.0689040551389097,-0.026776679105563,-0.133928318811646
"b_CongCD",0.0292439495453022,0.00152222769163211,-0.165193724825053,-0.0696722359543981,-0.0444315919130945,0.0273365026830799,1,0.530642666961087,0.0748568450986159,0.0310699248332426,0.0688524504572677,-0.00351496011499542,0.0504159435844344,-0.0627019321651788
"b_CongEF",-0.0139016604099049,-0.0561443941551864,-0.493480197951315,-0.18972031936776,-0.011370943413245,0.0148230140404065,0.530642666961087,1,0.030164968049737,0.0515519121238171,0.0380068640558507,-0.0280018447381401,0.0865671343709996,0.038741020795596
"b_ACC_1",0.0362504592667278,-0.0178930386094884,0.043671318777786,-0.0564143921413437,-0.0535954915733327,-0.0775608147135961,0.0748568450986159,0.030164968049737,1,0.0167720364174229,-0.034355634852599,-0.0501698242582487,-0.0250696011672046,0.0524541017847811
"b_ACC_2",-0.00829819436276513,-0.0167914184527009,-0.0493075386691387,0.00453717935676384,0.00925666267825434,0.0261162383033134,0.0310699248332426,0.0515519121238171,0.0167720364174229,1,-0.00101559999203241,0.0429014766371318,-0.00195670771297324,-0.0302359840346662
"b_SI_CAMFD",0.0421862962174951,-0.0335367474502797,0.00828811411686982,-0.146708292722534,-0.0617252853310429,-0.0654094480811073,0.0688524504572677,0.0380068640558507,-0.034355634852599,-0.00101559999203241,1,-0.0715928784327923,0.116526519002184,0.112262474971999
"b_SI_PANEL",0.0071462489351575,0.0107751010126401,-0.0699822439256499,0.0658427586915533,-0.0374347174417769,-0.0689040551389097,-0.00351496011499542,-0.0280018447381401,-0.0501698242582487,0.0429014766371318,-0.0715928784327923,1,0.0136097726261815,-0.066524515668097
"b_SI_ZER",-0.00477215895474753,-0.0271377204030019,-0.0368840436137365,-0.121138474585219,-0.0335207895138303,-0.026776679105563,0.0504159435844344,0.0865671343709996,-0.0250696011672046,-0.00195670771297324,0.116526519002184,0.0136097726261815,1,-0.0246942336960872
"b_Si_MTRP",-0.0404775749798766,-0.125136386237163,0.00422652189919013,-0.136950779849278,-0.114313050129686,-0.133928318811646,-0.0627019321651788,0.038741020795596,0.0524541017847811,-0.0302359840346662,0.112262474971999,-0.066524515668097,-0.0246942336960872,1
