"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_CongCD","b_CongEF","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",1,0.771243282609632,0.751234167118646,-0.152848652376088,-0.0885529049118048,-0.126023041893246,-0.0045764933246018,-0.0587813265708625,0.0277258512260973,-0.0523506960843079,0.0416721830070441,0.0690853501671461,-0.0508507482590246,-0.101864781283752
"asc_ruta2",0.771243282609632,1,0.634073678254202,-0.0495263734237474,0.0758531942531205,-0.0237689577387197,-0.0213539666026654,-0.0737265404596376,-0.0817357818166845,-0.0273147723582181,-0.0311828745355232,0.124780476941489,-0.00191556955821794,-0.240888195692377
"asc_ruta4",0.751234167118645,0.634073678254201,1,-0.246139027826487,-0.0442016104782389,0.113153924866462,-0.185319719804236,-0.477883682078204,0.015418269374157,-0.213832479437701,0.0320680095165938,-0.0170032007120519,-0.116004242076064,-0.0297382260267657
"b_tt",-0.152848652376087,-0.0495263734237474,-0.246139027826488,1,-0.419503955447942,-0.326757362096418,-0.159442823179675,-0.334266437044744,0.0546371694803108,-0.0796107208991886,-0.297143316275268,0.0489031984579079,-0.0435850319358834,-0.170869217339728
"b_dt",-0.0885529049118051,0.0758531942531205,-0.044201610478239,-0.419503955447942,1,0.441112268127615,0.0525568459038619,0.090549630787922,-0.213851951586027,0.111339154100067,0.136903409256263,0.0254499651158685,-0.000257017183930713,-0.0837689891228456
"b_Sem",-0.126023041893246,-0.0237689577387196,0.113153924866462,-0.326757362096418,0.441112268127615,1,0.024922994379811,-0.000989960811509731,-0.119079430797602,-0.0164991910200282,0.0744926196718179,-0.117764846238651,0.0212033289853729,-0.0421790428744044
"b_CongCD",-0.00457649332460172,-0.0213539666026652,-0.185319719804236,-0.159442823179675,0.052556845903862,0.024922994379811,1,0.549438281591262,0.0271169676463068,0.124020981109823,-0.00349815657674377,-0.00258826260527511,0.101744121653693,-0.11260007946155
"b_CongEF",-0.0587813265708628,-0.0737265404596375,-0.477883682078204,-0.334266437044744,0.090549630787922,-0.000989960811509663,0.549438281591262,1,0.043184281141642,0.265532136785471,0.016988511414509,-0.0278691733261555,0.102748284293965,0.0637609848399744
"b_ACC_1",0.0277258512260973,-0.0817357818166845,0.015418269374157,0.0546371694803109,-0.213851951586027,-0.119079430797602,0.0271169676463068,0.043184281141642,1,-0.0920289435631973,-0.183032360950415,-0.11064658158208,-0.0927419368346666,0.0944700877789034
"b_ACC_2",-0.0523506960843079,-0.027314772358218,-0.213832479437701,-0.0796107208991887,0.111339154100067,-0.0164991910200282,0.124020981109823,0.265532136785471,-0.0920289435631973,1,0.0467804783572468,-0.0325063565938595,0.0662745126459279,-0.0590938535950917
"b_SI_CAMFD",0.0416721830070441,-0.0311828745355231,0.0320680095165939,-0.297143316275268,0.136903409256263,0.0744926196718179,-0.00349815657674381,0.016988511414509,-0.183032360950415,0.0467804783572468,1,-0.0571758063005695,0.114088247727225,0.151308916370544
"b_SI_PANEL",0.0690853501671461,0.124780476941489,-0.0170032007120519,0.0489031984579078,0.0254499651158685,-0.117764846238651,-0.00258826260527512,-0.0278691733261556,-0.11064658158208,-0.0325063565938595,-0.0571758063005694,1,-0.130021802769118,-0.098575717575227
"b_SI_ZER",-0.0508507482590247,-0.00191556955821784,-0.116004242076064,-0.0435850319358835,-0.000257017183930668,0.0212033289853729,0.101744121653693,0.102748284293965,-0.0927419368346666,0.0662745126459279,0.114088247727225,-0.130021802769118,1,-0.0822767210917085
"b_Si_MTRP",-0.101864781283752,-0.240888195692377,-0.0297382260267657,-0.170869217339728,-0.0837689891228456,-0.0421790428744044,-0.11260007946155,0.0637609848399743,0.0944700877789034,-0.0590938535950918,0.151308916370544,-0.098575717575227,-0.0822767210917085,1
