"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_CongCD","b_CongEF","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",0.0895586916882725,0.0749523027781465,0.0880907517419467,-0.0287003185396991,-0.0188711976849699,-0.00273679253133514,-0.000184694161428763,-0.00276282362638109,0.00126416935866873,-0.0068541183558572,0.00182753766298718,0.00197449146961477,-0.00186393686187946,-0.00540324529186069
"asc_ruta2",0.0749523027781465,0.105457975832267,0.0806827243994838,-0.0100913083356531,0.0175410816865725,-0.000560128797788532,-0.000935157449741526,-0.00376030852373525,-0.00404406788705077,-0.00388072232966932,-0.00148395959730849,0.00386991819919549,-7.6193446962671e-05,-0.0138653868362627
"asc_ruta4",0.0880907517419467,0.0806827243994837,0.153533173828743,-0.060513577313343,-0.0123333764690013,0.00321742760636924,-0.00979240150403058,-0.0294092008308939,0.00092045644629121,-0.03665642052297,0.00184136265805964,-0.000636278463382653,-0.00556743254465673,-0.00206534652484034
"b_tt",-0.028700318539699,-0.0100913083356531,-0.060513577313343,0.393679196100138,-0.187434733920395,-0.0148776610923834,-0.0134909543074883,-0.032940024117121,0.0052230709536976,-0.0218533518274447,-0.0273214291211974,0.00293037989132499,-0.00334956631300654,-0.0190025471648493
"b_dt",-0.01887119768497,0.0175410816865725,-0.0123333764690013,-0.187434733920395,0.507090603063899,0.0227944944849271,0.00504706082288201,0.01012719968045,-0.0232018438690807,0.034686938257587,0.0142864149023878,0.0017307940798046,-2.24173834852993e-05,-0.0105731115056347
"b_Sem",-0.00273679253133514,-0.00056012879778853,0.00321742760636924,-0.0148776610923834,0.0227944944849271,0.00526594228537653,0.000243896029447171,-1.12827758021339e-05,-0.0013165619465383,-0.000523812631000487,0.00079216839006681,-0.000816148421755662,0.000188461254758504,-0.000542514717515621
"b_CongCD",-0.00018469416142876,-0.000935157449741518,-0.00979240150403058,-0.0134909543074884,0.00504706082288203,0.000243896029447172,0.0181858215971973,0.0116371139343624,0.000557152504189238,0.00731706468507199,-6.91308539540363e-05,-3.33342147717255e-05,0.0016805667590137,-0.00269142273426429
"b_CongEF",-0.0027628236263811,-0.00376030852373525,-0.0294092008308939,-0.032940024117121,0.01012719968045,-1.12827758021331e-05,0.0116371139343624,0.0246671977788609,0.00103336108675052,0.0182453528560544,0.000391004223251982,-0.000418022273425174,0.0019765803142284,0.00177497271248402
"b_ACC_1",0.00126416935866873,-0.00404406788705077,0.000920456446291211,0.00522307095369761,-0.0232018438690807,-0.0013165619465383,0.000557152504189238,0.00103336108675052,0.0232130924711913,-0.00613431687025055,-0.00408658556326072,-0.00160997795723042,-0.00173070337769003,0.00255115928961799
"b_ACC_2",-0.0068541183558572,-0.00388072232966931,-0.03665642052297,-0.0218533518274447,0.034686938257587,-0.000523812631000486,0.00731706468507199,0.0182453528560544,-0.00613431687025055,0.191403791766399,0.00299920492710931,-0.00135818519487299,0.003551417990164,-0.00458241414380397
"b_SI_CAMFD",0.00182753766298718,-0.00148395959730849,0.00184136265805965,-0.0273214291211974,0.0142864149023878,0.000792168390066811,-6.9130853954037e-05,0.000391004223251981,-0.00408658556326072,0.00299920492710931,0.0214749631812932,-0.000800191511524299,0.00204779794508178,0.00393013520534929
"b_SI_PANEL",0.00197449146961477,0.00386991819919549,-0.000636278463382652,0.00293037989132499,0.0017307940798046,-0.000816148421755662,-3.33342147717257e-05,-0.000418022273425177,-0.00160997795723042,-0.00135818519487299,-0.000800191511524299,0.00912075639958089,-0.00152093827985572,-0.00166863800871482
"b_SI_ZER",-0.00186393686187946,-7.61934469626673e-05,-0.00556743254465673,-0.00334956631300655,-2.24173834852954e-05,0.000188461254758504,0.0016805667590137,0.00197658031422839,-0.00173070337769003,0.003551417990164,0.00204779794508178,-0.00152093827985572,0.0150023729663585,-0.001786214913933
"b_Si_MTRP",-0.00540324529186068,-0.0138653868362627,-0.00206534652484034,-0.0190025471648493,-0.0105731115056347,-0.000542514717515621,-0.00269142273426429,0.00177497271248402,0.00255115928961799,-0.00458241414380397,0.00393013520534929,-0.00166863800871482,-0.001786214913933,0.0314161898509334
