"","asc_ruta1","asc_ruta2","b_tt","b_dt","b_Sem","b_CongCD","b_CongEF","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta1",1,0.427942825373803,-0.0879656692317257,0.00221766946448098,-0.119453040038124,0.369240156954078,0.368040598878642,0.102202299972561,0.174564496128858,-0.0213535131975993,-0.129805245827045,-0.00224468603264919,-0.126832543128415
"asc_ruta2",0.427942825373803,1,0.00746142811274757,0.0174960896368763,-0.0139044881686122,0.292456472632029,0.260993371324699,-0.0193186683091507,0.286400891961022,-0.0471753083518163,-0.108514005364082,0.129215906658965,-0.21599165794444
"b_tt",-0.0879656692317257,0.00746142811274755,1,-0.0302107719345358,0.130813599460421,-0.184261306902593,-0.22627956418097,-0.00736424983204083,-0.0411046031652149,-0.0937313696417565,-0.100265798085212,-0.0278612117117852,0.0571939581832117
"b_dt",0.00221766946448097,0.0174960896368763,-0.0302107719345358,1,0.00691858140062203,-0.0961494993872447,-0.239828266072862,-0.0823491281290642,0.0341627830055342,-0.0820691098839322,-0.0595993891218182,0.0461782768155465,-0.146840690480463
"b_Sem",-0.119453040038124,-0.0139044881686122,0.130813599460421,0.006918581400622,1,0.0869027560269985,0.152741507200782,-0.0812625023359007,0.0372172318158614,0.063095545973512,-0.148169045810304,0.0164242859636581,-0.0219581704166233
"b_CongCD",0.369240156954078,0.292456472632029,-0.184261306902593,-0.0961494993872448,0.0869027560269984,1,0.702261557318103,0.121648941087265,0.219125703732493,-0.0096508827427869,-0.173717594470262,0.072781034746432,-0.0202747106959186
"b_CongEF",0.368040598878642,0.260993371324699,-0.22627956418097,-0.239828266072863,0.152741507200782,0.702261557318103,1,0.113570110619212,0.25707569412817,-0.0400901147445017,-0.127464256107337,-0.0418118165014097,0.0409276500393675
"b_ACC_1",0.102202299972561,-0.0193186683091506,-0.00736424983204082,-0.0823491281290643,-0.0812625023359008,0.121648941087265,0.113570110619212,1,-0.103882012257855,-0.0164004819041952,-0.00482503610617847,-0.0418658540866398,0.0218814760630748
"b_ACC_2",0.174564496128858,0.286400891961022,-0.0411046031652149,0.0341627830055342,0.0372172318158613,0.219125703732493,0.25707569412817,-0.103882012257855,1,-0.0943237190709308,-0.183303155202983,-0.248064204014269,-0.162732504287937
"b_SI_CAMFD",-0.0213535131975993,-0.0471753083518163,-0.0937313696417565,-0.0820691098839322,0.063095545973512,-0.00965088274278691,-0.0400901147445017,-0.0164004819041952,-0.0943237190709308,1,-0.0500795716891372,0.285223201483308,-0.0435531245036668
"b_SI_PANEL",-0.129805245827045,-0.108514005364082,-0.100265798085212,-0.0595993891218182,-0.148169045810304,-0.173717594470262,-0.127464256107337,-0.00482503610617847,-0.183303155202983,-0.0500795716891372,1,-0.158760855286249,-0.114755143042768
"b_SI_ZER",-0.0022446860326492,0.129215906658965,-0.0278612117117852,0.0461782768155464,0.0164242859636581,0.072781034746432,-0.0418118165014097,-0.0418658540866397,-0.248064204014269,0.285223201483308,-0.158760855286249,1,-0.0855311867068175
"b_Si_MTRP",-0.126832543128415,-0.21599165794444,0.0571939581832117,-0.146840690480463,-0.0219581704166232,-0.0202747106959186,0.0409276500393675,0.0218814760630748,-0.162732504287937,-0.0435531245036668,-0.114755143042768,-0.0855311867068175,1
