"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.836260697738677,0.493255821198012,0.240984036818697,0.584161365477556,0.241478713954916,-0.0782346516267909,0.0104891923324447,-0.0735366701549432,0.0440725626943669,-0.0369862389068795,-0.0208207957225776,-0.00983056430085911,0.0506363522898001,-0.0395983287448699,0.0392647506074327,-0.0799975505718251,0.00105834330447795,-0.006576304362727,0.00490057388163432,0.00239820747102341,-0.00280553042669712,-0.00642652056480714,-0.00659477120756914,-0.00975254647476928,-0.00173740241535057,-0.0142231563079856,-0.00462113012834794,-0.00509893913076474,0.00317380665182177,0.0104502028664432,0.00782963725224747,-0.00776585267083557,0.00294309319059426,0.00506393910443129,0.00481109033760898,0.00312950245905692,0.00497003291149159,0.00121842799606192,0.00612884688003051,-0.00784629209655885,0.0131473186121466,0.00255264507584867,-0.00798861079776763,-0.00711996100254433,-0.00678090366378852,-0.00440479744324594,-0.0076837828162143,-0.00760100257504805,-0.00715686230657918,-0.00599981550202936,-0.00692943887476033,-0.00792918258287713,-0.00768875872035804,-0.00516294828812838,-0.00726952458355303,-0.00750292343841039,-0.00745216625580832,-0.00623569090524102,-0.0123117797891418,-0.00828381976479531,-0.00764267988786502,-0.00631674654617551,-0.0135578788171549,-0.00152779009206882,-0.000904254580731266,0.000368844793154435,0.00988252549522034,0.0102116842252657,0.00970367834712468,0.00497470496044631,-0.0110993831954476,-0.0102358184289537,-0.00934876036579016,0.00302893295300158,-0.00652045678019419,-0.00775072164691011,-0.00772024331180965,-0.00742649644921296
"asc_ruta2",0.836260697738677,1,0.480713589868206,0.106898776564926,0.513041148907124,0.153309261984784,-0.0214034412631749,0.0229256153667295,-0.0245045996484823,0.0461020577873416,-0.0259686979712584,-0.00236206863168965,-0.0206627388702756,0.0275932339739793,-0.0585099625645954,0.0581089162162073,-0.0706606386616063,-0.000205376581692968,-0.00828689098082123,-0.002558643040212,-0.00278859575887292,-0.00437359387056245,-0.00764895702595954,-0.00480980501670829,-0.0109967104181659,-0.000829523203844912,-0.0156912493010936,-0.00102856470978984,-0.00582961991513421,0.00299043722558535,0.00935793036926726,0.00666809401482884,-0.00690309299945074,0.00237923182277901,0.00615028808797545,0.00618008638625062,0.00324433824347752,0.00616800380358015,0.000876790145038121,0.00841974725258993,-0.00897369674328903,0.0132139908079769,0.00366111509190248,-0.0111969680737517,-0.0102274211011305,-0.00975281968336367,-0.00655769605126704,-0.0110422778437924,-0.0106756604127547,-0.0100607128517026,-0.00839732460087246,-0.00957987507466822,-0.0114267228191651,-0.0111698708137547,-0.00799457401783101,-0.0103239248976516,-0.0106967463439476,-0.0105906941299783,-0.00882600494794318,-0.0106414065426631,-0.00653261530517535,-0.00606484588490341,-0.00505183321621273,-0.0122008559690207,0.00207280288765089,0.00258955776924524,0.00368635000080979,0.0101625825436395,0.0101557784804762,0.00935158145645807,0.00420155241323964,-0.0116213271784507,-0.0108493736439648,-0.0100568446175109,0.00199153550558068,-0.00972318499307674,-0.0108386314022003,-0.0107028348682493,-0.0100568149219949
"asc_ruta4",0.493255821198012,0.480713589868206,1,-0.112035088423121,0.377350811087187,0.121815234543194,0.0133411854151997,0.00322793099718798,-0.0960176211748324,0.0682005626732241,-0.0338488942906095,0.0426035553174525,-0.323721021777967,-0.556666080659276,0.147727115466487,-0.11891625614369,0.276901212668498,-0.18670285547796,-0.153184848841373,-0.0670115597113033,-0.160445637655542,-0.091610086478959,0.0535146021295404,0.013348059032837,0.00846744198409119,-0.007981582969234,0.0200677740766875,-0.00548439725792835,-0.018936364875625,-0.0596344078650418,-0.025504985710258,-0.0330593557592404,0.0142811077720811,-0.0172487690013792,-0.0595401770923938,-0.0550512303379157,-0.0454036593519864,-0.0490029674245319,-0.034890046494244,-0.0211065594666457,0.0287543178288219,-0.0566483375376047,-0.048424273788009,-0.1416139313369,-0.151028986506968,-0.146704542896935,-0.127796435639017,-0.152740984524202,-0.145898833982366,-0.140791179885219,-0.126345292244815,-0.144687571631266,-0.140211145228895,-0.135299443064037,-0.111754540384406,-0.135471861307981,-0.150633185184418,-0.149652677305437,-0.125138667307318,0.00971738551295465,-0.00693696560525672,-0.00949116978271677,-0.0119798212105139,0.00896780562736002,-0.00544115774728914,-0.00795544023831023,-0.00952104370696965,-0.0577168304520954,-0.0636251158089253,-0.0631459565250852,-0.0453097646788971,0.0373784140992424,0.0297009232836767,0.0221862595326504,-0.0432144060688834,-0.149356473889767,-0.145103942361754,-0.141663776931812,-0.126977187554357
"b_tt",0.240984036818697,0.106898776564926,-0.112035088423121,1,-0.102090377098372,-0.0282497710832302,-0.121298632320799,0.0301437616691172,-0.0439941214431252,0.018651750882177,-0.0756543001026802,-0.0686417442037543,0.0198466150734699,0.14724692773141,0.0163714976927722,-0.0174966480995971,-0.120103331097395,0.00219637177944975,-0.00212410044385682,0.0298402134800722,0.0116127979556542,7.19064901603315e-05,-0.00460322149455527,-0.00619625554630013,-0.00190016670853576,-0.0021755070493832,-0.00315939712593962,-0.0174249135371445,-0.0060154796572278,0.000463249676827338,0.0122841690238355,0.00105350547277959,-0.00909296045807385,-0.00352971279032728,0.00578074941552419,0.000872129026793129,0.00411665178428123,0.0006089781378384,0.00151484804939692,0.00381879473856527,0.0156236154664222,-0.0197833387421847,0.000673405901525907,-0.0020279601240174,0.00168511936453535,0.00228972283707292,0.00349211188806407,0.000791555690810834,-0.000431267028479343,-0.000581547101559944,-0.000876211576448237,-0.00127117682570715,0.00119750764205885,0.0015906510737602,0.00244167823333555,0.00107511224810582,0.000358505180877602,-0.000105044068043658,-0.000778523460241897,-0.0142539321740404,-0.0117128338296849,-0.0109001091885709,-0.00910457693222319,-0.0143946076083655,-0.0066823026271163,-0.00542567653973466,-0.00400227274114599,-0.0131558573386296,-0.0104809754264837,-0.00749126170261049,0.000799103133623404,0.0198161262004261,0.0199954989726292,0.0197822981409164,0.00830210997108702,0.000991492278047197,-0.000281624012291852,-0.000498831896136931,-0.000948940050295509
"b_dt",0.584161365477556,0.513041148907124,0.377350811087187,-0.102090377098372,1,0.274816202055692,-0.0440179113761744,-0.0188565498013268,-0.0673160206565758,0.0460755741482688,-0.0818695417205862,-0.106241245630811,-0.0346040147625418,0.00236611067326232,-0.119985366230154,0.115706586081203,-0.0926346431412008,-0.000245580437666584,-0.0163066080005414,-0.00846746125343222,-0.00495911215583869,-0.00705727421122697,-0.0109104404333283,-0.00845317657239844,-0.0174111057113141,0.000621459947310086,-0.0249611732116698,-0.000973300171130008,-0.00879311781692282,0.00582282959529385,0.0138423312772715,0.0119866221033164,-0.00854383209302311,0.00452975554797111,0.00907575021528062,0.00960996997019529,0.00370171413606265,0.00955321074117917,0.000357124274164788,0.0132219010559793,-0.0208579855365093,0.0305109396088503,0.00476325446520192,-0.017650935481712,-0.0162013162281787,-0.0155123762636091,-0.0104682950194483,-0.0176861496643854,-0.0167430722474435,-0.0157114247997987,-0.0129648777760541,-0.0146843512024487,-0.018612311059424,-0.018339625584538,-0.0136502529386674,-0.0167375592400681,-0.0169448007722498,-0.0166292414368439,-0.0137371974583992,-0.0152770857482137,-0.00925056460122586,-0.00864757385757486,-0.00736786855824504,-0.0180286496751123,0.00456049862296992,0.00510334010233586,0.00658321789108933,0.0226794333563685,0.0219789889270846,0.019669199016753,0.00776421139670412,-0.0275156056660292,-0.0260443926666178,-0.0244168250790156,0.00149613485740088,-0.0152719162117789,-0.0171550540198977,-0.0169476658823131,-0.0159859118969623
"b_Sem",0.241478713954916,0.153309261984784,0.121815234543194,-0.0282497710832302,0.274816202055692,1,-0.105590752871329,0.00310930843129901,-0.0715123451479073,-0.0207539459506473,-0.0884379073486462,-0.0728808863342427,0.0420297860512004,0.00345220161013673,0.114726990974889,-0.103575005565962,0.0259915508525499,0.000235926745456684,0.0125460899195468,0.00439232502570047,0.0023409231688628,0.00784361604779157,0.00594035987467355,-0.0041726327145256,0.00636381845911871,0.00329729687420892,0.00668225348316424,0.00179172442047329,0.00913019269703269,0.00523772515564182,-0.00118822294412001,0.0105252887946754,-0.000175340616322455,0.00374116404799743,-0.00797720499189449,-0.0017633797393437,0.00253767590335745,-0.00110026745741696,0.00276588852030537,-0.00543280975138433,-0.0170213180117336,0.0295268311374125,-0.000611781439860384,0.0134867155847344,0.00775726488682405,0.00646815824194669,0.00183622007359284,0.010394623615093,0.010519954274985,0.0100546938229417,0.00839817245353027,0.0077635545209317,0.0125757028253071,0.0126095931159478,0.0111371806345742,0.00933673385168369,0.0101008991514974,0.0102783065724535,0.00908067452753497,0.00720534108778343,0.0045789977803591,0.0043561680978919,0.00390262409590907,0.00823901088187957,-0.00282547182559112,-0.00303799395690772,-0.003679695146568,0.0187558787847471,0.0171102800110597,0.0144989622150646,0.00439466145295423,-0.0265289150178017,-0.0265527011420082,-0.0254159924216177,-0.00378228740762965,0.00964199546741016,0.0103109320961874,0.01007601581292,0.00916163930708343
"b_ACC_1",-0.0782346516267909,-0.0214034412631749,0.0133411854151997,-0.121298632320799,-0.0440179113761744,-0.105590752871329,1,0.11535213675127,-0.0310269116334361,-0.0263225454172811,0.0145866807753453,0.00218137814414531,-0.0199523488144556,-0.0933877785693278,-0.0646414582434333,0.082513779524151,0.03263178833892,-0.00758887582430825,-0.0106949386178389,-0.0106140351060271,-0.000734962896639812,-0.00641747616947799,-0.00618377182674613,0.00268471776095875,-0.00706015383318597,-0.00247910682480071,-0.0117794354433842,-0.00163212480443906,-0.00523272042716951,-0.000178679187915947,0.00372250511740084,0.0011796845514637,-0.00258422790368913,0.00226414645731795,0.0053606409953404,0.00411689317870089,-0.000673634808820678,0.00561496828069817,-0.0018315712296057,0.00872003131568647,-0.00051709539671344,0.00228540088069562,0.00285758332993105,-0.0129543255796367,-0.0113405342271524,-0.0106597678372194,-0.00685243241154742,-0.0122254963444781,-0.0121381840764313,-0.0115457903808239,-0.00959066519446738,-0.00962584321374508,-0.0141637756350606,-0.0141043993192316,-0.0115525220772725,-0.0117811070000824,-0.0119540538705266,-0.0116901542055121,-0.00923231506239768,-0.00667268931817119,-0.00293500782832141,-0.00292703153705359,-0.00279181047524047,-0.0081984835814241,0.00676972964269458,0.00676639731363467,0.0069927083676436,0.0010838878368472,0.000723901494722155,0.000401125829409769,0.000348926359732957,-0.00142530736846508,-0.00157046921081704,-0.00180200347831044,-0.000204208024569208,-0.0112717457865166,-0.0119478584724895,-0.0117080658250168,-0.0106181397102647
"b_ACC_2",0.0104891923324447,0.0229256153667295,0.00322793099718798,0.0301437616691172,-0.0188565498013268,0.00310930843129901,0.11535213675127,1,-0.0134346004919615,0.00753790901725933,-0.0413671842431556,-0.0431560471348404,-0.0353624475979248,-0.0152522199442316,-0.0558190632927213,0.0645418533750184,-0.0413732553034847,0.000642507573534199,-0.00477270993802372,0.00181396667075459,-0.00642259237844781,-8.01557940892417e-05,-0.0125517484163128,-0.00635277596038383,-0.00607133579525039,0.00194264110220906,-0.00915006670855112,-0.00566721139698672,-0.00571458025284642,0.00244548445350664,0.00534590325379893,0.00356230773477109,-0.00113542047083356,0.000222175967129513,0.0106095691050891,0.0103971009078226,0.00816630943269574,0.00932813569888558,-2.1625665359417e-05,0.0103700956867718,-0.00589434366889375,0.00649690565250852,0.00873814079430351,-0.0102269282194531,-0.0084407536637208,-0.00778927103026547,-0.00484898078780272,-0.00948153335471663,-0.00923826043116623,-0.00878277315554322,-0.00742836034578714,-0.00901666863894723,-0.00905529535532011,-0.00870736177586646,-0.00561734363646027,-0.00819061863160453,-0.00907128555635026,-0.00923370471704653,-0.00808817987334755,-0.00896016275890215,-0.00613380974059411,-0.0057911063071506,-0.00501729181656313,-0.0106152206012963,0.0043633156496093,0.00495859995137613,0.00581673572497829,0.0063410996372691,0.00621831360061193,0.00552049621248528,0.00207161489329348,-0.00568235970760719,-0.00520682778371775,-0.00474792617645362,0.00157675538655141,-0.00858564411287118,-0.00932169971132736,-0.0091789472752928,-0.00853432189065149
"b_SI_CAMFD",-0.0735366701549432,-0.0245045996484823,-0.0960176211748324,-0.0439941214431252,-0.0673160206565758,-0.0715123451479073,-0.0310269116334361,-0.0134346004919615,1,-0.112501183011214,0.0769339730150711,0.0562438441586534,0.00686002083772197,0.0994454100755137,-0.0542163620098638,0.043063166715372,-0.0894881332912132,0.00368775431378204,0.00163162544554341,-0.00127782436017123,-0.00517709464632446,-0.00813583249926474,-0.0173982325553159,0.00369805800492445,-0.00796876280049887,-0.00388553913138867,-0.0205943916872451,-0.00381675622365378,-0.0102127666906422,0.00228771027026725,0.00630515120098488,-0.00416540806640523,-0.00804675107343945,-0.000324284435855649,0.0121699457974476,0.0119940927189088,0.0114282488947982,0.0130135474929946,0.00188226553995713,0.0110347003135143,0.00138396324672232,0.00022787340030037,0.00891288070478997,-0.0131644860569387,-0.0121226014066421,-0.0115504158897603,-0.00648875570641856,-0.0126189542296136,-0.0129937982006244,-0.012201102480497,-0.00958257055116879,-0.0128452518924615,-0.0119911600114794,-0.0111198630375209,-0.00498979387295293,-0.0120138969619614,-0.0127040408325474,-0.0125181793852931,-0.00984091526999815,-0.0114296442771331,-0.00639489632446282,-0.00540454930204555,-0.00367301181352803,-0.0123889436998405,0.00404927450226978,0.00541180493965228,0.00769017408888265,-0.000777458178114089,-0.000780198223930828,-0.000738202604218721,-0.00112854825342365,0.000356249889498694,-0.000202515836869697,-0.000397511798686359,1.14807069752997e-05,-0.0108297909265448,-0.0129468522677124,-0.0127730834569988,-0.0119387081529425
"b_SI_PANEL",0.0440725626943669,0.0461020577873416,0.0682005626732241,0.018651750882177,0.0460755741482688,-0.0207539459506473,-0.0263225454172811,0.00753790901725933,-0.112501183011214,1,-0.0240329916241049,-0.0319815421882862,0.0567477084154498,-0.0379979217182619,0.00382795441718687,-0.000644473062780263,0.0364147989886636,-0.00381428911809346,-0.00245954260184926,0.000597493665761458,0.001305104359671,0.00148027723531893,-0.00167153849187291,-0.00353938664889233,-0.000522867468551835,-0.00467838621388084,-0.00119045815746871,0.000658846388058885,0.000573758490255112,-0.00354663729882809,-0.00411681499890305,0.00327587297649095,0.00272005430439243,0.00193838991250598,8.1597689335313e-05,0.00148504993545122,0.00335985431611567,0.000824041291079619,-0.00224389143529746,0.000919285458090901,-0.00194355983822843,-0.000238514127541307,0.00254035616912229,-0.00185479266059529,-0.00240818530595819,-0.00267304868199622,-0.00303488693212262,-0.00241356905111766,-0.00201651757661665,-0.00206383249232131,-0.00204515757115935,-0.00355212032293487,-0.000682774304762487,-0.000655248596898123,0.000434589126541937,-0.0015698497562736,-0.00224582636681911,-0.00234642952736067,-0.00231100025481412,-0.0020184291479906,-0.00303068466549918,-0.00301921581992314,-0.00278490424650381,-0.00234072125798541,-0.000145360824473939,3.10443780407274e-05,8.22270432284531e-05,0.00133004609802252,0.00082467795041792,0.00029610041690801,-0.000205196068069616,6.46020794218844e-05,9.38645069201462e-05,9.72709846760903e-05,-0.00068343916533496,-0.002789715176528,-0.00194706908183508,-0.0018628929423481,-0.00159202852339676
