"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.129066795031296,0.104662904230715,0.104382800935712,0.00849311670297091,0.0462392211720108,0.0131469825750334,-0.00874403932289962,0.00420637113427933,-0.00753817000297691,0.00326352809069968,-0.00329594942755422,-0.00263129323507711,-0.00127248685034501,0.00715338205139137,-0.00254352568088653,0.00981107987715851,-0.00500300303057772,0.000148400648576899,-0.00117415098430738,0.000531138037293792,0.000264110053860291,-0.000347594708021308,-0.00114780418709233,-0.000241470716852069,-0.000500883338328621,-9.28305190821418e-05,-0.000629371018050199,-0.000183317104506661,-0.000221871266413434,0.00019274573820069,0.0011384060196737,0.000505793826987469,-0.000697217457153741,0.000178041409207144,0.00051835532955174,0.000282594548225106,0.000398425158356354,0.000162019921501343,0.000158763845816205,0.00212828677068657,-0.000691625374101257,0.00343353256701468,8.65207361618323e-05,-0.00362543619135113,-0.00324490765008436,-0.00320561176648751,-0.00261989246294143,-0.00229749634724128,-0.00234608291569424,-0.00228348718230052,-0.0021707379047638,-0.00373833900997312,-0.00435579036825724,-0.00436532731024346,-0.00390133752003538,-0.00135603231591456,-0.00125823732066853,-0.00125181955688407,-0.00123801443837024,-0.00215486363509753,-0.00179980885833757,-0.001795280216642,-0.0017179708228067,-0.00432068140725362,-0.000800847978702282,-0.000520171040739295,0.000245243798211777,0.00147314097585393,0.00108605141788496,0.000884713804346775,0.000430249771228139,-0.00551589235329364,-0.00372527324228988,-0.00272064462049255,0.000410388855501069,-0.00118097949344747,-0.00140610451300083,-0.00142942699140374,-0.00151810990981887
"asc_ruta2",0.104662904230715,0.121363380334551,0.0986460491393561,0.00365332341733861,0.0393791600434599,0.00809379490577138,-0.00231970694877175,0.00891503619390504,-0.00243582536044556,0.0033103653764558,-0.00224402201546907,-0.000289468297892296,-0.00259357798663346,0.00377996850039841,-0.00364439682442871,0.0140796971375638,-0.0042851714626942,-2.79252276859576e-05,-0.00143473018798418,-0.000268909864393701,-0.000297796996987156,-0.000525452175266638,-0.00132474013236515,-0.000170776763411784,-0.000547668691893294,-4.29789168314952e-05,-0.000673294162457125,-3.95660758805734e-05,-0.000245979007096392,0.000176106577769387,0.000988527694127467,0.000417705473983851,-0.000600979141566589,0.000139569440800722,0.000610479552385302,0.00035200706697421,0.00040052917121539,0.000194980129676687,0.000110785767364442,0.00283522153106948,-0.000767033628067171,0.00334637458252668,0.000120331608758057,-0.00492749295439063,-0.00451988550307912,-0.00447085014322692,-0.00378220771387958,-0.00320165836567142,-0.00319524230195397,-0.00311272848085335,-0.00294609674729408,-0.00501160725771104,-0.00608690906761628,-0.00614957778767574,-0.00585797678574612,-0.00186743474833751,-0.00173948350346845,-0.00172512350066478,-0.0016991896961411,-0.00180606991212141,-0.00137631992484624,-0.00138147463128182,-0.00133231803104659,-0.00377039947112381,0.00105361263187942,0.00144450026535886,0.00237677194667471,0.00146898385151126,0.00104737643602384,0.000826776343610117,0.000352370606715839,-0.0056002734621206,-0.00382892443098443,-0.00283802422452243,0.000261655893548359,-0.00170769164627548,-0.001906718051858,-0.00192161502044065,-0.0019935001125672
"asc_ruta4",0.104382800935712,0.0986460491393561,0.346975594051977,-0.00647403553579607,0.048973953953678,0.0108740428456371,0.00244483508907931,0.00212242319426308,-0.0161382006293582,0.00828035982900628,-0.00494569188412149,0.00882795214061268,-0.0687049390169525,-0.128939495996465,0.0155582837899652,-0.0487188913678187,0.0283936441485738,-0.0429242181778858,-0.0448435571479186,-0.011908371941866,-0.0289713209171385,-0.0186098840380023,0.0156713498149183,0.000801355197379572,0.000713038512469097,-0.000699232476937861,0.00145596911160732,-0.000356718716624973,-0.00135101462074693,-0.00593804426233677,-0.00455553877788178,-0.00350161561382159,0.00210224439431817,-0.00171087120270013,-0.00999289713241474,-0.00530187516736396,-0.00947773397340987,-0.0026192305875814,-0.00745410473256044,-0.0120174139469682,0.00415577203476582,-0.0242567914012721,-0.00269113255183628,-0.105374901888697,-0.112856671002091,-0.11371273696792,-0.124628815008392,-0.0748820172429229,-0.0738357174855635,-0.0736535299722191,-0.0749498485190958,-0.127983517833251,-0.126288350139084,-0.125950179229089,-0.138459617363475,-0.0414338537478075,-0.0414185516746513,-0.0412179026074833,-0.0407356693316149,0.00278862802014035,-0.00247119767165726,-0.00365551456733251,-0.00534213513550995,0.00468585541363405,-0.00467648895049002,-0.00750346517930529,-0.0103796124062766,-0.0141065574189014,-0.0110949103440913,-0.00943961232653616,-0.00642521000644347,0.0304565010723408,0.0177234274019408,0.0105862971173275,-0.00960011969874589,-0.0443537749947367,-0.0431615343457886,-0.0430062928777107,-0.0425585812903391
"b_tt",0.00849311670297091,0.00365332341733861,-0.00647403553579607,0.00962372284721879,-0.00220661607888627,-0.000419977918466677,-0.00370197212090412,0.00330086131389919,-0.00123146169380127,0.000377140305021967,-0.00184093424838028,-0.00236877890706769,0.000701496635177184,0.00568014654996728,0.00028715208366649,-0.00119380423747336,-0.00205103664551608,8.40967820805107e-05,-0.000103557458158245,0.000883134152053468,0.000349220188956106,2.43271119865748e-06,-0.000224500889599538,-6.19524305645675e-05,-2.66486094664093e-05,-3.17406008425531e-05,-3.81750194345081e-05,-0.000188751196491057,-7.14752672547268e-05,7.68216682240032e-06,0.00036541177373289,1.85837335406172e-05,-0.000222919827695896,-5.83069962166199e-05,0.000161579971922636,1.39883116484775e-05,0.000143113261859425,5.42094680165662e-06,5.38995456074065e-05,0.000362111219027912,0.0003760557889644,-0.00141080782989398,6.23262476292275e-06,-0.000251311698126901,0.000209710263737923,0.000295576944649956,0.000567165707679591,6.46287140944353e-05,-3.63482096623701e-05,-5.06669897640671e-05,-8.65650873390139e-05,-0.000187262523731659,0.000179630937389949,0.000246603816508468,0.000503811958406156,5.47623567501759e-05,1.64169235115349e-05,-4.81831312567923e-06,-4.2206284785465e-05,-0.000681236535773768,-0.000694899527774072,-0.000699168276292085,-0.000676155200789879,-0.0012526352176616,-0.000956482052432478,-0.000852263015857638,-0.000726650117795165,-0.000535500415803846,-0.000304382026191033,-0.000186502935240735,1.88721093280511e-05,0.00268905686896794,0.00198715661324373,0.00157202273396387,0.000307155765017517,4.90363304317574e-05,-1.39511315607844e-05,-2.52202563487052e-05,-5.29690647380194e-05
"b_dt",0.0462392211720108,0.0393791600434599,0.048973953953678,-0.00220661607888627,0.0485445895605156,0.0091759855353906,-0.00301720997279515,-0.00463757478375047,-0.00423197950616337,0.00209243974416258,-0.00447430805583794,-0.00823432935365114,-0.00274703692631491,0.000204996863558257,-0.00472662018535622,0.0177310805179597,-0.00355296282118826,-2.11186501249927e-05,-0.00178553688714652,-0.000562829477767894,-0.000334938650745141,-0.000536238904244289,-0.00119508099353617,-0.0001898225629269,-0.000548413406388228,2.03641672722494e-05,-0.000677390193559824,-2.36790756136996e-05,-0.000234653632054327,0.000216871035275555,0.000924793683294176,0.000474888716357873,-0.000470429950822058,0.000168056350661091,0.000569750588092225,0.00034618277263351,0.000289026383048783,0.000190994853445586,2.85387052283451e-05,0.00281584296272376,-0.00112756597480959,0.00488677923061381,9.90140235916238e-05,-0.00491269592707099,-0.00452833115559056,-0.0044974343574468,-0.00381853372717311,-0.00324321842245663,-0.00316935423430207,-0.00307435943630495,-0.0028767430649379,-0.00485845887815747,-0.00627049762706604,-0.00638578362272103,-0.00632586037672667,-0.00191478188813956,-0.00174273626527788,-0.00171314762875248,-0.00167263979310524,-0.00163984433273898,-0.00123261411902079,-0.00124578761578198,-0.0012289305924307,-0.0035236020168341,0.00146609420560833,0.00180041705648905,0.00268445272410517,0.00207334569668382,0.00143358640648538,0.00109980639303473,0.000411826059708955,-0.00838608321179238,-0.0058131689865689,-0.00435782849708442,0.000124319654270091,-0.00169637171493257,-0.00190866937697053,-0.001924438505355,-0.0020041019308145
"b_Sem",0.0131469825750334,0.00809379490577138,0.0108740428456371,-0.000419977918466677,0.0091759855353906,0.0229657133742606,-0.00497819085477635,0.00052597130504304,-0.00309225780675814,-0.000648264798496369,-0.00332438668009839,-0.00388524382435678,0.00229490515432216,0.000205720639631276,0.00310854801875124,-0.0109169580311198,0.000685676045055052,1.39546554000062e-05,0.000944894116241696,0.000200811065427342,0.00010874719142843,0.000409927643887986,0.000447545676682588,-6.44477268946906e-05,0.000137869768374131,7.43157929482405e-05,0.000124728704231898,2.99818696011469e-05,0.000167584514503077,0.000134177510823551,-5.46013151701388e-05,0.000286812854055617,-6.64040153737254e-06,9.54677019553938e-05,-0.000344447116311244,-4.36916877599315e-05,0.000136282571562035,-1.51300418059579e-05,0.000152026438051852,-0.000795808508913583,-0.000632895983273436,0.00325277131055021,-8.74699295064616e-06,0.00258183158221041,0.00149130356180056,0.00128984252937252,0.000460696551632579,0.00131105594504255,0.00136967975530902,0.00135324824952962,0.00128170178678667,0.00176674523623087,0.00291409378841967,0.00301991250280376,0.00354996212912221,0.000734669002512802,0.000714537111704055,0.000728305301577918,0.000760487267174356,0.000531968852760474,0.000419661263698578,0.000431642215407089,0.000447725428766459,0.00110756259441216,-0.000624755492377031,-0.000737182582641727,-0.00103204568823305,0.00117936026332313,0.000767613906944806,0.000557617039921898,0.00016032876636972,-0.0055612079187808,-0.00407640170130084,-0.00312002136736066,-0.00021616886014085,0.000736654703557921,0.000789052855529914,0.000786959782362705,0.000789996440245434
"b_ACC_1",-0.00874403932289962,-0.00231970694877175,0.00244483508907931,-0.00370197212090412,-0.00301720997279515,-0.00497819085477635,0.0967857393807908,0.0400580317548402,-0.00275422197458756,-0.00168789473238433,0.00112562899247712,0.000238726871459006,-0.00223649178220325,-0.011424507208139,-0.00359557902509102,0.017854137359793,0.00176723121842165,-0.000921478278137263,-0.00165355544263543,-0.000996183642395354,-7.0090961940557e-05,-0.00068852681793002,-0.000956409282423567,8.51259158267306e-05,-0.000314001081461978,-0.000114705441820483,-0.000451371004266108,-5.60669044998396e-05,-0.000197172884461478,-9.39672919857967e-06,0.000351160928609656,6.59927457450225e-05,-0.000200913139545872,0.000118609629224781,0.000475175718523976,0.000209405598843791,-7.42667467949046e-05,0.000158509349312195,-0.000206668352454715,0.00262221225004764,-3.9470764767566e-05,0.000516850328717258,8.38739504836219e-05,-0.00509098988194802,-0.00447565562951234,-0.0043638470297444,-0.00352939858516631,-0.0031655171584103,-0.00324432699179383,-0.0031900538037847,-0.00300480745065161,-0.00449694753984482,-0.00673776739014703,-0.00693447518035934,-0.00755946358908279,-0.00190304278960327,-0.00173598384619364,-0.0017005047914864,-0.00158726766816482,-0.00101134255274237,-0.000552208936887141,-0.000595404894445466,-0.000657516548551204,-0.00226252012376475,0.00307295459029172,0.00337063224633567,0.00402622662073354,0.000139913342588381,6.66700693279778e-05,3.16698103468863e-05,2.61327745677575e-05,-0.000613371920027275,-0.000494952371151099,-0.000454121262777872,-2.39594655224183e-05,-0.00176788472992543,-0.00187699862541952,-0.00187721739231574,-0.00187960285491185
"b_ACC_2",0.00420637113427933,0.00891503619390504,0.00212242319426308,0.00330086131389919,-0.00463757478375047,0.00052597130504304,0.0400580317548402,1.24599572847159,-0.00427895517627996,0.00173428694933032,-0.0114537406003071,-0.0169458984112762,-0.0142222459774607,-0.00669473022610973,-0.0111401959040353,0.0501079245023844,-0.0080394212096383,0.000279922944266984,-0.0026476348949191,0.000610858723608425,-0.00219765520297969,-3.08563184191781e-05,-0.00696541733900677,-0.000722735340775361,-0.000968843933361135,0.000322503138229284,-0.00125801561410176,-0.000698514164983269,-0.000772603345992617,0.000461445312017966,0.00180944160089205,0.00071501364654912,-0.000316728277757106,4.17604435063122e-05,0.00337433233300706,0.00189750767124933,0.0032303405011398,0.000944832931399049,-8.75532422348676e-06,0.011188842273151,-0.00161433221681557,0.00527183194144101,0.000920237281640649,-0.0144206628854527,-0.0119524508400717,-0.0114411894897458,-0.00896105206659582,-0.00880864970420231,-0.00885959138527282,-0.00870680054989189,-0.00835051904486947,-0.0151139415394232,-0.0154558247921083,-0.015360246409043,-0.0131885714159378,-0.00474713681654735,-0.00472663318805858,-0.00481932475722002,-0.00498933821640892,-0.00487265727259805,-0.00414073138854941,-0.00422667764306506,-0.00423977399967531,-0.0105109152414781,0.00710647185018228,0.00886268958405574,0.0120166862775409,0.00293691892225726,0.0020548335336636,0.00156385160964458,0.000556689920205028,-0.00877398065959677,-0.00588789134534407,-0.00429311735381098,0.000663775526103517,-0.00483156951255231,-0.00525438128416051,-0.00528049796662422,-0.00542049902336394
"b_SI_CAMFD",-0.00753817000297691,-0.00243582536044556,-0.0161382006293582,-0.00123146169380127,-0.00423197950616337,-0.00309225780675814,-0.00275422197458756,-0.00427895517627996,0.0814159337764745,-0.0066164278573956,0.00544510138803253,0.00564539537841195,0.000705257528706576,0.0111578673023181,-0.00276590388120708,0.00854608823784526,-0.00444495088348017,0.000410694279143077,0.000231371548096122,-0.000109996550970994,-0.000452826389175712,-0.00080058530223072,-0.00246799613853615,0.000107543928857283,-0.00032505503512083,-0.000164888013669428,-0.000723780981171234,-0.000120253203435895,-0.000352949106289431,0.000110345031047597,0.000545525943450486,-0.000213715921657003,-0.000573782255425211,-1.55808287939626e-05,0.000989407456058959,0.000559545117512428,0.00115557619901579,0.00033693978574287,0.000194796017511795,0.00304340225623472,9.68898859131827e-05,4.72655871635946e-05,0.000239935940628433,-0.0047450451906457,-0.00438801388663122,-0.0043367901938443,-0.00306525344029496,-0.00299675028268445,-0.00318534176690653,-0.00309187859390328,-0.00275358800205228,-0.00550390185256361,-0.00523175251072703,-0.00501426704158844,-0.00299464809955517,-0.00177989906101235,-0.00169208186152985,-0.00167012050726848,-0.00155175825276265,-0.00158883613516306,-0.0011035110670526,-0.00100830866576207,-0.0007933998216608,-0.00313575567429623,0.00168581942816276,0.00247254969266004,0.00406104675135693,-9.20451360060085e-05,-6.59030339917984e-05,-5.34551343675807e-05,-7.7521272597073e-05,0.000140610941525945,-5.85385541793874e-05,-9.18787871375592e-05,1.23544089247866e-06,-0.00155787227961218,-0.00186546495845163,-0.00187833989007506,-0.00193831347300159
"b_SI_PANEL",0.00326352809069968,0.0033103653764558,0.00828035982900628,0.000377140305021967,0.00209243974416258,-0.000648264798496369,-0.00168789473238433,0.00173428694933032,-0.0066164278573956,0.042483821567097,-0.0012287194386658,-0.00231886706984006,0.00421432193479835,-0.00307973519975473,0.000141068663819664,-9.23896374924437e-05,0.00130658154139655,-0.000306850875284154,-0.000251942199295443,3.71533769652258e-05,8.24608766957528e-05,0.000105221807598929,-0.000171282427788202,-7.43527903694537e-05,-1.54068801381647e-05,-0.000143413803613302,-3.02224326061838e-05,1.49948969433415e-05,1.43236890679059e-05,-0.000123573577646031,-0.000257299142288685,0.000121412516735343,0.000140107442364454,6.72763893609187e-05,4.79205153000535e-06,5.00455941823901e-05,0.000245412358186118,1.54121295816131e-05,-0.000167748292124307,0.00018314973285223,-9.82898987650789e-05,-3.57373722950485e-05,4.9400222846899e-05,-0.000482935239414379,-0.000629678918766716,-0.000724994551145596,-0.00103562986106303,-0.000414041622788003,-0.000357091090226315,-0.000377793852812024,-0.000424522578558096,-0.00109944322674668,-0.000215189088383833,-0.000213437735554865,0.000188407909327592,-0.000168006716808282,-0.000216079093535257,-0.000226136797302577,-0.000263236221637934,-0.000202682843012417,-0.000377781790433048,-0.000406897722551835,-0.000434547368881752,-0.0004279713736969,-4.37157865991488e-05,1.02457308098317e-05,3.1367042735325e-05,0.000113748999349113,5.03201489834028e-05,1.54885212308081e-05,-1.01818543243926e-05,1.8419081063875e-05,1.95993418458078e-05,1.62407329852496e-05,-5.31263876126142e-05,-0.000289886990894866,-0.000202656877824666,-0.000197889801638508,-0.000186713021533531
