"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.148806738653103,0.114710504715144,0.118275604790018,0.0178448355031716,0.0440279836864469,0.00537647824398384,-0.0159626465619147,0.0299598254678812,-0.00703752879389764,-0.00239489996540223,-0.000383687021820502,0.000285225996603103,-0.00981714772949475,0.00388408641413627,-0.00768307788250765,0.0293812788237451,-0.0150492125724303,-0.00327415556955914,-0.00916886372558459,-0.00393521654578837,0.00183352087350433,0.0120960324023807,0.00815598658688121,-0.00194328407139375,0.000238226045603555,0.00369905716925443,0.00554217320657592,0.00206051758841886,0.00122924380321376,0.00329880347899034,-0.000605973504541628,-0.00480034278357514,-0.00281733584213052,0.00398675979556389,0.000682241763297454,0.00352572894232682,0.00442907854698578,-0.00281705699569093,-0.0206700784842028,-0.0368800314892223,-0.0120320083912157,0.0259424474866903,0.00343558457469057,0.0190891860409017,0.018539782586601,0.0218801438134157,0.0423182382164025,0.0091820543592461,0.0318784565723501,0.0365271074050098,0.030979737137545,0.0182994802695785,0.0402569698906256,0.0421529603032036,0.0567903208271615,0.0118999953409451,0.0113954993954947,0.0108796504093309,0.00592098379149773,0.00737892936809942,-0.0151526631428008,-0.012269507571286,-0.0262650668995097,0.019026852771301,-0.0299639574772219,-0.0342053282885576,-0.0619041148110288,0.0160322713768917,0.00924177202532198,0.00845802415197063,-0.0081380740999329,-0.040913448846652,-0.0325242728498726,-0.0250605212193807,0.000112523871287571,0.00616519700452688,0.0201550326115377,0.0243449665810597,0.0216917656672817
"asc_ruta2",0.114710504715144,0.124359044896725,0.101317678210733,0.0110516193664953,0.0329251083640308,0.0039212206493007,-0.00572534823650463,0.0205111847270519,0.000777734311117534,-0.00413060425737214,-0.00448503167347277,0.00792975249169287,-0.00523261432522904,-0.000192301538985802,-0.0054422288120774,0.0209821148045869,-0.014379495203884,-0.0073876678653953,-0.00819745060242682,-0.00235376918989841,0.00415674538744137,0.00848429229804706,0.00331608270102362,-0.00225820180392044,-0.00208907676697419,0.00371267416906504,0.00195087315966553,-0.000391141827407506,-0.000115377140815615,0.00635206594277764,0.00929005804990063,-0.00142124485351568,-0.00146826917650732,-0.000121296221812958,-0.00177770722388049,0.00464132428674117,-0.000432349057188592,-0.00238648453307036,-0.0106781565534719,-0.011413425430547,-0.00906488967923596,0.0382290111223319,0.00475971494455019,-0.00345111076193261,-0.00249802265487424,-0.00107524866128997,0.00522577365517837,-0.00853687667063712,0.0183074176590551,0.0232839587152285,0.0194369327309109,0.00497970180516774,0.00232135446270497,0.00189969724990907,-0.00534680332946597,0.000575032869228471,0.00169873724964711,0.00129096741749359,-0.00296359857263766,-0.00450424126875661,-0.0139972176830719,-0.0126337578604754,-0.0228509467741208,-0.00824142876571526,-0.0154060498017081,-0.0221000429988538,-0.0463780562430419,0.014789392075405,0.00970354583739406,0.00922879663122366,-0.00476150280649712,-0.0536131447163115,-0.0415514201311274,-0.0318786422257908,-0.000951647689440897,-0.00577792203807352,0.0115600638133107,0.0149855100430611,0.010110658990284
"asc_ruta4",0.118275604790018,0.101317678210733,0.362933563504714,-0.000535514666861828,0.0491105316431039,0.00294180448434252,-0.000628609065074507,0.0303842413052029,-0.0195013902669314,0.0123991814160468,-0.00906103840895953,-0.00224208154320284,-0.0728968507221788,-0.129699085233183,0.0151908919983958,-0.0561761944208311,0.0235511809915407,-0.0443755667014206,-0.0388005733184532,-0.0384184677176379,-0.0174843302064109,-0.0174361872475497,0.0485598939876266,0.00396437778898721,-0.00300882953159534,0.000820621684965437,0.00348089633623712,0.0070623756107726,0.00505166317001675,0.000325416909845523,-0.0207921477047745,-0.00696092566075295,0.0192011758350431,0.00329965206972045,-0.0319266999397293,-0.010034210664431,-0.0158680251518757,-0.00696359927682527,-0.0176030321209654,0.0401750890146812,0.000841630991875825,0.000935622095240419,0.000113036515544065,-0.0153874586267436,-0.0921632620810946,-0.0979592562836743,-0.110438960909325,-0.0456933829123318,-0.0273307799639447,-0.0211734881183325,-0.0163363092927513,-0.0599459903319211,-0.0552615824318402,-0.0518189715286333,-0.090776910582729,-0.0387333416375741,-0.0191520758450583,-0.0180704591049787,-0.014615885271812,0.0275777404780688,0.0100070524516018,0.0142400638357474,0.0192434486745169,0.0409230392989576,0.130202937926383,0.127809942120703,0.149565698811117,-0.0133109199310269,-0.000223288682223837,0.00272339186067813,-0.00218869721767775,0.00327705571816866,0.00486103710894623,0.000634900125307795,-0.00407768342645842,-0.0392662638009502,0.00042317642639757,0.00422392972829715,0.0110890239589229
"b_tt",0.0178448355031715,0.0110516193664953,-0.0005355146668619,0.0105505386800692,-0.00223324896824103,-0.00136610602308138,-0.000456847786067604,0.0127345020735406,-0.00270992377791706,-0.00137162168406263,-0.000240016382018562,-0.00147478880371315,0.00269532868497223,0.00448994081330953,7.28140425273379e-05,0.000302469337069712,-0.00229010620339305,-0.000764005633664271,-0.00145470310503489,0.00464543077907477,0.000884772550294106,0.00213984985623058,-0.00254811048419321,-0.00120803878822663,0.00083434331827136,0.000418334834665601,0.00111774652374485,-0.00134238593749419,0.00111850852061218,-0.000648121177504637,-0.00329435420052537,-0.00235750402180843,-0.000146331595164351,0.00255657164174483,0.0011993879530239,0.00169040843470938,0.00058586589349907,0.00024657142110479,-0.00241267970024119,-0.0143434146389509,0.000734300226896798,-0.00635568759727887,0.000902419568432226,-0.00210275752016923,-0.000483933568709022,0.000944961756731886,0.00352040134431343,0.000254502445432673,0.00341104606777182,0.00242587595360504,0.00683015733784607,0.00133156776879591,-0.000335291783236755,-0.000758488007675224,0.00190349933879386,0.00378214180708375,0.00201527502222492,0.00239896993533582,-0.000673285053566353,-0.00238470273594026,-0.0075024045039665,-0.00527913093465219,-0.0106802785021424,-0.00112929972368476,-0.0308238796526778,-0.0316348543213894,-0.0367990604126061,-0.0019962625847607,-0.00204041981747129,-0.00157264078456835,-0.00273497794779857,0.00780516270364656,0.00621953937886335,0.00585784813470294,0.000995838610333257,0.000634080563932832,0.0011820169650821,0.000977111098250417,0.000856328100770036
"b_dt",0.0440279836864469,0.0329251083640307,0.0491105316431038,-0.00223324896824102,0.0455060424927172,0.00379563388599762,-0.0135005841989445,-0.00225072881570515,7.33493223073429e-05,0.00222092513111714,-0.002380115578709,-0.00996888674065415,-0.0104137887380229,-0.00214213338711452,-0.0116363492828213,0.0437462622692015,-0.00885878921157896,0.000874552489482595,-0.00607705413717611,-0.00693691046113564,0.0054081869393495,-0.00186661650533256,0.00459192968371163,0.00155537409059573,-0.00206825539787602,0.00100626661702299,0.000427825853990822,0.00259939514615386,-0.00178501541676738,0.00303512803915364,0.00379681259826221,0.00127283384904949,-6.24123598439598e-05,-0.0024295595172967,0.00197494717972375,-0.00140911875199504,0.0025213891798561,-0.00126271292837285,-0.00818133158458364,-0.033959571625569,-0.00942777171047674,0.0302376446982402,-0.000467187316049666,0.00970886825904685,0.00958974680481417,0.00889780274922356,0.0195237031279701,0.006115607445306,0.00601004451735247,0.00490575074724832,-0.00626064966515458,0.00910271089769627,0.0160844734252481,0.0144319097223599,0.0298295373156802,0.00179374188361054,0.00223281501023117,0.00107153884471728,-0.00134613259466692,0.00645233323916221,0.00250718772882071,0.00287975258608888,0.00335931847358883,0.011455128031002,-0.0313160794907806,-0.0329201444604242,-0.0396473775922138,0.0168820449495038,0.0118804224553244,0.00850975741510121,-0.00064167257908273,-0.0501160670969316,-0.0381025872239354,-0.0292308613965472,0.000987285021227874,0.00219069915740388,0.00222478305487429,0.00275910762915226,-0.00295813773452276
"b_Sem",0.00537647824398386,0.00392122064930072,0.00294180448434258,-0.00136610602308138,0.00379563388599763,0.0148312573502355,-0.00784776064438913,-0.00769820099610388,0.000436166100978202,-0.00161350899089904,-0.00270604391865105,0.000909876102991458,0.00312725937075074,0.0039297771230711,0.00643406288572457,-0.0241402416326469,-0.000901017545611942,-0.00308436380376303,0.00376412260183341,0.000166493265725017,0.00134633852727815,0.00694780579740979,0.00165510286855767,0.000122565784497693,0.000266833297032983,0.00110424187345843,0.00225435877776514,0.000776208714873393,0.00264684186916161,-0.000625401700125327,-0.000844046643898198,0.00121395477920112,0.000541791907252169,0.00377115662369033,0.00022913232161191,-0.000725840409822155,-0.00026511008511953,-0.000163701016147283,0.00767895447872398,-0.00825170134923141,-0.00131430963733405,0.00434532043443338,-0.000160756894558547,0.0229763072608681,0.0195173768756875,0.0209067516959086,0.0208688037818418,0.0157073910464963,0.0134953985760778,0.0162559981839071,0.00720892463142714,0.0197967787520494,0.0206984521372012,0.0225097452322441,0.00906642852417848,0.00772465736122853,0.00671620781801675,0.00710427111441754,0.00783142599955105,0.00969300102470793,0.0158162157948742,0.0158896332457851,0.0151593532063273,0.0170974353005743,0.000384933222073196,0.00093869885131006,-0.0115913603105268,0.00355101644060767,0.00335565518498578,0.00274253710180643,0.00254636210458177,-0.0082943621981462,-0.00218252914240067,-0.000971253233080806,0.0038263636269083,0.00793251135417873,0.00723003113974931,0.00805248570843091,0.00593948529320781
"b_ACC_1",-0.0159626465619147,-0.00572534823650464,-0.000628609065074537,-0.000456847786067607,-0.0135005841989445,-0.00784776064438913,0.105723071507017,0.0237067114840829,-0.00920400766781294,-0.00397636729511509,-0.00203639443434617,0.00267322486548936,-0.00479745160485383,-0.0106307474021924,0.00130356703412477,0.00287913222560888,0.00168947520134444,-0.00770084184107577,0.00443659538475585,0.00136148918786543,-0.0072237553336524,0.00149771375732249,0.00408836030012163,-0.00108100764585707,0.00203644862718892,0.00595102573249697,0.00267687658175489,-0.0015706787716164,0.00285012374039219,-0.00530389169314323,0.000713874383674136,-0.00360530657917933,-0.00168628203993172,0.00350869493377788,-0.00457542815524602,0.000298803063455122,-0.00103655520380529,-0.00156836997358836,-0.00186194717186741,-0.0136952783336695,0.00321376606559426,-0.011581366066004,-0.001834068808122,-0.00174488548096572,-0.0115017077702839,-0.00839605905030719,-0.00669679088429738,0.00112460155374174,-0.00279103386386618,0.00242070935542995,0.0104948838036179,-0.0129135465303053,-0.00805786574769739,0.00235197886544244,-0.000383809263924388,0.00518525249497051,0.00111759622625305,0.00453172498436758,0.000173559130926536,0.0066999266904594,-0.00472102514287055,0.0046748394347786,0.0140090592943292,0.0135740678519676,-0.0363058954998954,-0.0177589933687693,0.00024374052421832,-0.00859624630856546,-0.00935388476405512,-0.00430873229155531,-0.00219244664781356,0.0118219192522885,-0.000928117528828804,-0.00165073242679632,-0.00712632797359698,0.00698137507795134,-0.00358529193786722,-0.0052086985715631,-0.0105970947724132
"b_ACC_2",0.0299598254678812,0.0205111847270519,0.030384241305203,0.0127345020735406,-0.00225072881570514,-0.00769820099610388,0.0237067114840829,0.603186737510419,-0.00618234551154325,-0.0124723687508662,-0.00996942402523931,-0.0230252265764865,-0.00270010498249518,-0.00283617834541616,-0.00261512005071526,0.0212220050712111,-0.000114231627753276,-0.0043249712628522,-0.0117741756765526,0.00807243546470444,-0.00909163367857269,-0.00472130454542267,-0.00207696988978148,-0.00434910594889011,0.00060938909515575,0.00057108038766626,-0.0059461503332271,-0.00529112262778764,-0.0019003659730061,0.0116351217385037,0.00217634245903652,-0.00692693395605037,-0.0105474896415027,-0.00442712123588709,0.00836479590242129,-0.000909418124303106,0.0021225729028476,0.000404089450504321,0.00634818252435657,0.008757499536489,0.00759639312190496,0.0208654924815574,-0.00275627852748847,-0.0777837915244713,-0.0269608644323995,-0.0175675102584238,0.0172111733611489,-0.0256081876234812,-0.0246368787842939,-0.0284569243430785,-0.0150344307479817,-0.0699731338785796,-0.0425189131183917,-0.0415402414403463,-0.0493717154858322,-0.0214494602602765,-0.0253906324596627,-0.0240429939672538,-0.00235550805290333,-0.0258163607168058,-0.0043229487574653,0.00746016454173337,-0.00192044097141622,-0.0501663497875737,-0.0370018982573725,-0.00867518271741015,-0.00224561431059008,-0.00763529872590765,-0.0101701965367196,-0.00627349190534943,-0.0156313414236379,-0.0259682968588161,-0.0217727751662596,-0.0217924913412915,-0.0163439186705106,-0.0087545021348833,-0.0115709270776526,-0.0126236325945079,-0.0171466921208693
"b_SI_CAMFD",-0.00703752879389767,0.000777734311117517,-0.0195013902669314,-0.00270992377791706,7.33493223073213e-05,0.000436166100978198,-0.00920400766781293,-0.00618234551154324,0.076628513597491,-0.00444748925009378,0.00321804531915168,0.00815685773197974,0.0021356271021134,0.0163366558341888,-0.00524950784264421,0.0201773524978913,-0.00350195902839541,0.00791112966383916,0.00227618500960155,-0.00299010524903823,-0.00284888564864199,-0.00734010595565393,-0.00602474032533525,0.000297305148997554,-0.002046025795445,0.000294561025285277,-0.00287205246428059,-0.00121074290079435,-0.00245857388963294,0.00250513754789323,0.000651699830081369,-0.000825436146640706,0.00263777683779507,0.000205549941107309,0.00153441253230266,0.00235007932789572,-0.000613345950811844,0.000194615380455775,-0.002580865246102,0.00364290671125283,-0.00299647619265888,-0.00905123897310326,0.00076405626355791,-0.0317596651110336,-0.0192700526998889,-0.0225397713328858,-0.0194933647608154,-0.0169883858197695,-0.0054411107421891,-0.00799372080515036,0.00120449791640163,-0.0295132098747454,-0.0287854275407443,-0.0287564950345508,-0.0292705739817438,-0.00942697434855291,-0.00914671945336249,-0.00949875807623974,-0.0124891091352282,-0.0113387986776894,-0.0147336493367587,-0.0203127969193431,-0.0180922517151937,-0.0201886735748071,-0.0210793746827352,-0.0144863755943479,-0.0185998782949955,0.00214103192521053,0.00270978762024844,0.00104322259805639,-0.00104397083481357,0.0181893560033391,0.00830520309241052,0.0101499333994955,-0.00113960020947373,-0.0104333070462035,-0.0107145078546591,-0.0118421649080351,-0.0111092364256959
"b_SI_PANEL",-0.00239489996540224,-0.00413060425737215,0.0123991814160468,-0.00137162168406262,0.00222092513111715,-0.00161350899089904,-0.00397636729511508,-0.0124723687508662,-0.00444748925009377,0.0318749368960581,-0.00373254747460721,-0.00623886174254335,0.0071026005115571,-0.0105433240016918,-0.00015720002826938,0.00156063904377748,0.00124195038729159,-0.00856186863251307,-0.00927959212243073,0.00063027238152736,-0.00599610292960016,-0.00743009263315655,-0.00116812693570027,2.59893141987217e-05,0.00127669464986356,0.00214144419642153,-0.00159764287649386,-0.00122835993654144,-0.00105259369598676,-0.000729800700873483,0.000400711427584034,-0.00256496896905253,-0.0007007053871804,1.26639547267245e-05,0.00442614619778914,-0.00294080184356197,0.00642071530431427,-0.000360201622756919,0.00431291132813104,0.0252345548299532,-0.00597927983508549,0.00690738048888933,-0.000471623320113887,-0.0304423391220718,-0.0244300883438369,-0.0198108442169253,-0.00808503909328291,-0.0136056689080425,-0.0280022722503279,-0.0318672576322127,-0.0326841788027713,-0.0333023003395155,-0.0182062567311237,-0.0165804261439678,-0.00187007426263236,-0.00986401957181987,-0.0117300500662101,-0.0127808598988555,-0.012784893025081,-0.0016725473404547,0.00538476272598069,0.00244008537920004,0.00931444955395101,-0.00663660541623457,0.0413755241030917,0.0425079331865041,0.0500323954742921,0.00248912443283939,0.00103922596330725,-0.000340702531953863,-0.000627337068337144,-0.0188565955480347,-0.0124444491052479,-0.00901273746658927,-0.00393844988948577,-0.00858540035044085,-0.0122452181768159,-0.0132487811149036,-0.0130635175900204
