"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.85314100584814,0.411059822829501,0.497285843602947,0.468076180296625,0.147129249110579,-0.106046304643194,0.27068818162986,-0.0817580049848804,-0.0892066069570809,0.0245432706987743,0.0233729468211439,-0.031362143992993,0.069630321796274,-0.143063210328556,0.147893687886395,-0.260087367656994,-0.0527557130508719,-0.0312539047916484,-0.0165279992831191,-0.0792733860770194,0.0587372566169307,-0.0244179691461174,-0.0620907429669932,-0.0455318360868593,0.0149220168070366,0.0374683967347085,-0.0706485482743855,-0.080200502300252,0.025058212683547,-0.03157880913288,-0.0290966659023073,-0.0865551943841996,0.0408603445442842,0.0383816794569182,0.0163037595262717,0.0410634153136205,-0.0330667149651662,-0.123839256610514,0.0500216426225919,0.0178078154012232,-0.00563594075246583,0.10932495887755,-0.0813332790734112,-0.0867666589807588,-0.0792848615148504,-0.0147419135945719,-0.0671595808877312,-0.0578372624393712,-0.0611634406531926,-0.0573048509065915,-0.0794775059527401,-0.0718387725194783,-0.0680892685394774,-0.0423399271664895,-0.0426070077887,-0.0528613478697817,-0.0393162575220216,-0.0483414516544364,-0.0714294916231461,-0.105411669182838,-0.0905209184340524,-0.121707518494801,-0.0654263239413401,0.0570547921098927,0.0581933493209156,0.0464024867089865,-0.00552994837114112,-0.04047315418096,-0.00135402723392836,-0.112725455661147,0.0250221276799786,0.00409190615587095,0.0119459524462883,-0.0214093395356241,-0.0944982829942041,-0.0386643627146626,-0.0155195035666291,-0.0193411040395415
"asc_ruta2",0.853141005848141,1,0.417416545685729,0.349339551680532,0.396226242877238,0.10910807150157,-0.0256121398951908,0.179717178943632,-0.0189762300510835,-0.0958559813974574,-0.00828492926429686,0.110892558263264,-0.0112502995706094,0.0353476472024129,-0.0942404002477583,0.0993351541181806,-0.252879375064896,-0.0676691093310683,-0.0272541872073935,-0.0379574833166736,-0.0413623756545513,0.0523216887708692,-0.0231877084901475,-0.0534237873843007,-0.0629128580557447,0.0245630907327345,0.0494978591949361,-0.0757140908161551,-0.0556786071321445,0.0547931062189322,0.0392909057761686,0.000392611071839367,-0.0527722157068612,-0.0333165969453655,0.0047772021729881,0.0231420944666983,0.00741408623725214,-0.0489813684280686,-0.0933069679443325,0.0618389416001646,0.0317287725037538,0.0324799031437517,0.134953267374777,-0.086522080988822,-0.0764316645251954,-0.0750560037716232,-0.0283748923404627,-0.0839314778875099,-0.0527204585239223,-0.0580390684694513,-0.0480819657660717,-0.0708130737701259,-0.0725303346287526,-0.0746281991021239,-0.0680655894423158,-0.0614172282979146,-0.0665020650305384,-0.0534068597279329,-0.0545663845122413,-0.0823269286588533,-0.0821904941710906,-0.0743313604626274,-0.104499944537243,-0.0831235975688013,0.0713133000148714,0.0681876012310373,0.0561080559323344,-0.0168338326961863,-0.0440615871149091,0.000259685967217573,-0.0890071413118645,0.0103545077721386,-0.0111795239474307,-0.00645468223797194,-0.0440912548915604,-0.119909451946646,-0.04091672082106,-0.0223629025471815,-0.0346173554175664
"asc_ruta4",0.411059822829502,0.417416545685729,1,-0.0225073804411357,0.225674482819872,0.0712766854522144,0.0407668165193341,0.103347020023516,-0.132603346265719,0.150636361277903,-0.0924437764243447,0.0379261046299419,-0.302011829279871,-0.52499433732544,0.342115535473955,-0.270050427599885,0.267867739936598,-0.314583279244614,-0.288158041873875,-0.0265892031437961,-0.0146101972069889,0.155335256689258,-0.0455083815506189,-0.0472009936337158,-0.0760691459957261,-0.0533369914552421,-0.000662150044232277,-0.0206063843639299,0.0045117348533225,-0.147000104802252,-0.128622416110088,-0.0863079349241158,0.0674445091312983,0.106045834562545,0.061313413090592,0.0764858596423466,0.188974293083111,0.0785391665298788,-0.0740617860578292,0.0774337320511885,-0.0702103443092343,-0.0320729450507986,0.159878061799235,-0.14738929202456,-0.176995733197586,-0.169418887420891,-0.0723433962661261,-0.179201481363153,-0.158239901940172,-0.153215326237027,-0.10973821637804,-0.206936855491209,-0.136662575162569,-0.10671076835997,-0.0793989478413085,-0.19748989083685,-0.159671008907114,-0.151003602981544,-0.127181852546327,-0.0268530629178573,-0.0612703666468499,-0.0608235931183419,-0.0738246838804986,-0.03583923077774,0.0786962830182639,0.0750960938408169,0.0830084117966359,-0.0422204649198616,-0.0282582049811347,-0.022642279604162,-0.0922927855692589,0.00383385903441279,-0.0452403435689535,-0.0488352212232137,-0.105296550707463,-0.221135599293771,-0.131680429687146,-0.122349184350527,-0.0953730322000139
"b_tt",0.497285843602947,0.349339551680532,-0.0225073804411363,1,-0.116633675630453,-0.0800823119708138,0.0422500396055281,0.351858957338056,-0.148644208079585,-0.0878521434016114,0.00262976650790097,-0.0598274290244085,0.0699984338150113,0.128567476012222,-0.0841869815607207,0.0829866266191443,-0.17098470677297,-0.0375277889878904,-0.0525332848119382,0.0537488255259296,-0.00515178891097794,0.0384798344140903,-0.0676005985985031,-0.0870550033920765,-0.0400087673682148,-0.0851627166821439,-0.0471861535149834,-0.0887436045190918,-0.0404085668747379,-0.0399669443149674,-0.0495432980368368,-0.0754565898025601,-0.0686665272396574,0.0928074795325093,0.0545410455575822,0.0885077828148348,-0.00714355011912136,0.042672899994499,-0.0429167753938432,0.081936812391668,0.0376873111841123,0.00842238305968602,0.0930042322610257,-0.110878857617935,-0.125256813757786,-0.110218798106653,-0.0825432272606534,-0.0977280956596296,-0.0861920759853696,-0.0971330805057526,-0.0577888411406678,-0.0657046087129595,-0.124133566148757,-0.130940325815086,-0.0879252843825293,-0.0330046499873766,-0.068105119908104,-0.0556219989217183,-0.10039637940547,-0.11387217764348,-0.114601162923431,-0.0886873013379499,-0.108128151663707,-0.1055591379202,0.0728075799116564,0.0789301902225457,0.0768460333248164,-0.0523967727875538,-0.0789939585815402,-0.0756482179966406,-0.122760317719877,-0.0524630433967798,-0.0125040765652664,-0.00696599813885101,-0.0246538362286183,-0.0865693743519271,-0.0769916566298913,-0.07710590524653,-0.101653445106868
"b_dt",0.468076180296625,0.396226242877237,0.225674482819871,-0.116633675630453,1,0.193441550368826,-0.192759036883676,-0.0265081463736865,-0.00988178267838677,-0.0190882077783157,0.013176305661122,-0.100996687072339,-0.101829878048506,0.0482871006038148,-0.29099590037817,0.295404321673365,-0.276678078381623,0.0271345348209697,0.0519941058696372,-0.0309110401324934,-0.0607695627153142,-0.0291902446648961,-0.0230400380122564,-0.00250248234718154,-0.0744796514632727,-0.00574527817679689,-0.0255236516411871,0.00585356832951423,-0.111460278845226,0.0859123858468647,0.0649607727551135,0.0594228005206865,-0.0559472061975051,-0.0828013174499714,0.04707446879085,-0.0285997635166839,0.0403362214951464,-0.0287946751556299,-0.0778373677258881,-0.00299040046241503,0.0411835559172884,-0.030920170031851,0.0274250167958931,-0.0230500763049644,-0.0296315800998702,-0.0379519956449236,-0.00909720741436695,-0.0135481977894837,-0.0330311261612657,-0.0495860773290254,-0.0696715800779291,-0.030988965331189,-0.0235842953838149,-0.0336208825436586,-0.00664901090994098,-0.0261330912815169,-0.0357668071153526,-0.0390060233538016,-0.0355713327172678,-0.0263521247458955,-0.0250021563804263,-0.0197592187993276,-0.027976890235022,-0.029657473845066,-0.000957349438341501,-0.00140058918743387,-0.00499631664663059,0.0206575325878662,0.0134049251103452,0.0232981861041196,-0.00442016986539094,0.0591350692148026,0.0264802892022975,0.0406615629634051,0.0519739918289265,-0.0553993580676931,-0.0388187203099516,-0.0256091630060052,-0.0560680193284361
"b_Sem",0.147129249110579,0.10910807150157,0.0712766854522141,-0.0800823119708137,0.193441550368826,1,-0.0877030474929393,0.00877011097191745,0.0519509782719335,-0.0890900809841841,-0.106143820669994,-0.0849208302914423,0.0631484954516108,0.085150743708439,0.203776413269945,-0.188807274063675,0.00379578863686626,-0.0680523954250484,0.00338195079253136,-0.044301923003272,-0.0798605934033063,0.163669166357655,-0.0872583169991508,-0.105676134116354,-0.0966060302364466,-0.0747500914788728,0.00714391827805582,-0.0424302370306111,-0.0488624122789892,-0.0180868978421107,0.0521050228145821,-0.0139243731337764,-0.00717789566755737,0.133862416619717,0.129638870560687,0.0491238539461182,0.0349451310338211,0.0711982974143595,0.0875814558986656,0.0685725092035081,0.049820173875391,0.00139214011178242,0.0551382767596596,-0.0828584975302954,-0.0610345158926851,-0.0307904568847289,0.00841276593353592,-0.0485678545751907,-0.0502848603182717,-0.015990956394658,-0.108918641383534,-0.0660761289879936,-0.0787645818642761,-0.0620782950400294,-0.124523736025537,-0.069574818143746,-0.0586149643212585,-0.0467558921540333,-0.0490017144432347,-0.0462285134970502,0.0181719463636588,0.020889258808617,-0.0193371597964835,-0.069773087738293,0.0575851923966188,0.0644817043222315,0.0559385250480556,-0.045816176309236,0.00521329779175374,0.0346258366111417,0.0377799431634224,0.00594346068707553,0.00952745576738895,0.0121625487827528,0.0489188862608262,-0.0627147898564731,-0.0795725159382329,-0.0664172572037007,-0.118524685810675
"b_ACC_1",-0.106046304643194,-0.0256121398951911,0.0407668165193338,0.0422500396055281,-0.192759036883677,-0.0877030474929393,1,0.231622187326991,-0.11619360428647,-0.0564648670044497,-0.0292611215924116,0.0608037175714223,-0.0246295811391534,-0.0761410670136173,0.0971196440780281,-0.0576960286274021,0.060667637408006,-0.0246138446589897,-0.00277943393569472,-0.055719014988723,-0.0561705211229013,0.0556225182377672,0.0381837449951712,-0.118610563189814,-0.0128974938105444,0.0197961325980298,0.0900283004909935,-0.044360792787437,0.0533898097817924,-0.112010917437653,0.00788327705262461,-0.0773442037576243,-0.0278546573396471,0.0856772673260417,-0.0302068912062877,0.0143042615507328,0.0018384667331092,0.00406498671050411,-0.0116703419524306,0.146931964663191,0.0416827319455741,-0.0280809245347543,-0.0225925799864512,-0.00887576478581966,-0.0410919390801926,-0.0396094530466991,-0.00956862465150218,-0.00302424473181479,-0.0375465629681419,-0.0245832944052499,0.00149404993998756,-0.033039843775153,-0.0466155896511499,-0.0244639897246749,-0.023000255661451,-0.00384315979477121,-0.0228732423536786,0.00925859307620706,0.00241475800872366,0.0138383792437271,-0.0407902484791135,-0.0161272048042135,-0.00519425696758369,-0.0300827821181044,0.165306836462795,0.173536923392415,0.161207535659369,-0.0556967142137787,-0.107352708737073,-0.0618787564135313,-0.0182067743576254,-0.0173451668205963,-0.04634133004555,-0.0430255425442742,-0.0537489525082959,0.0271803912884359,-0.0238770002740034,-0.0311664325930624,-0.0417003099348483
"b_ACC_2",0.270688181629861,0.179717178943633,0.103347020023516,0.351858957338056,-0.0265081463736859,0.00877011097191749,0.231622187326991,1,-0.092062331875415,-0.116018071066499,-0.144691746466324,-0.18720968923293,-0.106128853477577,-0.0172385609507254,-0.0958576962124866,0.144517409544673,-0.116996560534101,0.0789382782169512,0.0394804046154146,-0.0731629968489285,-0.0650040452318716,0.106037592598341,0.0304458783642882,0.0456095739385373,0.130917596492775,0.138880558652244,0.167659306046652,0.126616185963878,0.0795773539821817,-0.0591442543660686,-0.00186653982607463,0.0668317969638257,-0.00991303548361195,0.0770309336856401,0.00084468198250681,-0.050983127014923,-0.0692676902767174,-0.0318431050296114,0.0665345160511999,-0.0184196302538745,0.0212621909202795,0.0154060186764237,-0.125147837262541,0.101898070943205,0.131828990562081,0.153403801986686,0.204680914639702,0.173539050239423,0.133601432749521,0.125332169170691,0.193046915964099,0.149768409797107,0.133734755562289,0.136534330077174,0.088818812662525,0.125689683648024,0.12438352785993,0.173323288762287,0.180867864324094,0.132795883936035,0.131672600504102,0.181064929414988,0.132908914380845,0.100070369592492,0.0202692094897848,0.0335572488802848,0.0120550132997336,0.00863942551152678,-0.0208998796310466,0.0257271365112106,-0.0130266245067339,-0.00320793072633457,0.0195794736898716,0.00725850102157288,-0.0269580716540693,0.214015115306643,0.169883070540914,0.182682284510789,0.147926267068469
"b_SI_CAMFD",-0.0817580049848806,-0.0189762300510834,-0.132603346265719,-0.148644208079585,-0.00988178267838687,0.0519509782719336,-0.11619360428647,-0.0920623318754151,1,-0.101590096364166,0.00372095768382461,0.0873101131825847,0.0147114362929739,0.11120844161296,-0.106738897947518,0.124933905009203,-0.0289701494835632,0.0822737018702251,0.0963531448752305,-0.0412352144040376,-0.0227910504480988,-0.0425011295129831,-0.0787009962419456,0.105974916751341,-0.00251182528623704,0.0301591164951909,-0.0580617187346455,0.0909856882099866,-0.00429526130000063,0.0698054742862863,-0.0683626240437911,-0.0634446886482519,0.098308075696452,0.00188763421712196,0.000273160873206743,0.041085653780773,-0.0342235956169603,-0.00818667720618471,-0.0440943146883373,-0.0354488260726641,-0.123663253694653,-0.0195289572608503,0.0736697416273683,0.020555150809298,0.037164821053107,0.0248560828315664,0.0328286582665448,0.0240083882378216,0.0625496576011858,0.0651088231560982,0.0801792286844964,0.0426999584062777,0.0304675088826789,0.0297188918422227,0.018273304840607,0.0255323961894378,0.0240994720502152,0.0181008039253748,0.0129226335463704,0.0226341690466914,0.00604674335239453,-0.0133308501101228,-0.000597089018708449,0.0289313722510033,-0.0344205160873207,-0.0320961878069885,-0.0275135963436181,0.0895298233965222,0.112178195796015,0.0692409741867029,0.018032233513117,0.0219820189000638,0.00166425790552665,0.0131829139556892,0.0134883203859756,0.00797779961056215,0.0221578963818186,0.0187914189414184,0.0310773496364146
"b_SI_PANEL",-0.089206606957081,-0.0958559813974576,0.150636361277903,-0.0878521434016114,-0.0190882077783157,-0.0890900809841841,-0.0564648670044496,-0.116018071066499,-0.101590096364166,1,-0.108134602691828,-0.0549120218825388,0.10497377350667,-0.18870759149171,0.089159488295957,-0.103577695238008,0.14980444307363,-0.0888053145348982,-0.111627342176861,-0.0253984156163958,-0.0233225107426836,-0.0227373401426728,0.115389276323926,-0.0482471976130111,0.101499979848655,0.0801473022361164,0.119769023479245,-0.0501349652370995,0.0488650914861956,-0.104475398727064,0.00120650938739696,-0.0476654823468711,-0.00640805160344093,0.078031516739572,0.0222993977700065,-0.136208132913031,0.0305685430743322,-0.0912520802215973,0.0688263295098177,0.0181423814353081,-0.0831281293604207,0.0391398492979361,-0.10189475852093,-0.0579202271526404,-0.0243614486945255,-0.0120223351231418,0.0215954481770503,0.0134796697866387,-0.0368426631290313,-0.0770666436842193,-0.103985199898885,-0.0465113098067261,0.00563900081750711,0.000841731225566609,0.0108450735001359,-0.010524295962611,-0.0233681594707768,-0.0533021630050102,-0.0374816607979079,0.0135869581626338,0.0549167686225543,0.0348947499747969,0.060800319721353,0.00928345426470682,0.0336859761625786,0.0253862613229941,0.0178070490904272,0.0427010298595744,0.0377969107574614,0.00233255027667641,-0.031196533809494,-0.0610862431569093,-0.0647924947182889,-0.0562238280905788,-0.0835651218219945,-0.0151919629785241,-0.0267238759788192,-0.0486912565498211,-0.0456207352232873
