"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_EXP_2_LV1","gamma_EXP_5_LV1","gamma_HTRB_2_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_EDUSUP_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_HTRB_2_LV3","gamma_HTRB_3_LV3","gamma_SININFOTRF_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.844715047539465,0.326880031325239,0.257323282174774,0.563130669359104,0.259116761641142,-0.0517942182961062,5.44102387969626e-06,-0.0831875152139885,0.0260502940837326,-0.0274134636150306,-0.0316476690072891,-0.00108082407415442,0.0562618995016255,-0.0651704569279763,0.0615076832573492,-0.117710546447569,0.00906306410184372,0.00159177887724107,-0.00361812378325656,0.00921870969651626,-0.0154032101229576,0.00632894286814165,0.00524618599611381,-0.00733266683289003,-0.000676934854401422,0.000115238952678611,-0.0043215435152518,-0.00985862215132315,-0.00376261389741707,0.00393803892171644,0.015876109914615,0.00744167807788285,0.0173385432073405,0.0109572181197933,-0.021776344758609,-0.0321061213590361,-0.0323630306339625,-0.00144309680671933,0.00127554520005037,0.00105559745292811,-0.000240494908719763,-0.00192013105205585,-0.000708225801377465,-0.00281528310020888,-0.00237503158933459,0.0336908305442553,-0.0200763421854329,5.55739197468086e-05,-0.00188201187032962,-0.00108522613735268,-0.00137084473789042,0.000354857829410476,-0.000977846634872131,-0.0016274681286329,-0.00141672792657994,-0.000410841918513637,3.1704854090873e-05,-0.00290700570838154,-0.00326001610702437,-0.00192770242163906,-0.00047289183913307,-0.00104151356952832,-0.00127975743648529,-0.00134239076295703,-0.0102374123190946,-0.007025473378158,-0.00653240196658603,-0.00564741435839694,-0.0115004618927896,-0.00335421026464887,-0.00325004462024421,-0.00334172120001596,-0.0404940757383566,-0.0397794060970835,-0.0390158735513821,-0.0368800131403295,-0.013007006825696,-0.015333387608054,-0.0167578867240893,-0.0220423892244806,-0.00117315985615359,-0.00115056128343034,-0.00110465083690773,-0.000929322547838048
"asc_ruta2",0.844715047539465,1,0.329769233571519,0.125589332549819,0.50211290375324,0.163075261206812,0.00564076783156187,1.597301120401e-06,-0.0434115014067196,0.0388022405641257,-0.0117208802430961,0.011616415257774,-0.0148591884674023,0.0278523460105934,-0.0733987448511021,0.0746595804956555,-0.102815353996506,0.00849178369697372,0.00442047216467981,-0.006205119233617,0.0123207512791421,-0.0148383159258638,0.00293433245770879,-0.000295654068686463,-0.006332108361703,-0.00465107002245219,0.000779305616032792,-0.00563810166696012,-0.011937368186892,-0.001383913856562,0.00221681044909082,0.012258617423556,0.00578422446260351,0.0133228125563722,0.00852645145981172,-0.018775170846816,-0.0260877847049003,-0.0264038728695272,-0.00316143795335081,0.000501238109272728,0.00419403316830847,0.00283839752751629,0.0012715403660387,0.00200792242729128,-0.00280323633448347,0.00024047671750103,0.0264004465029039,-0.0158260000292944,0.00298114589969859,-0.00502854298856923,-0.00387663008477363,-0.00368987349318632,-0.00100491308728753,-0.00397692709533101,-0.00448975924403124,-0.00407837791697576,-0.00241400848658754,-0.00311073086206028,-0.00527455936573988,-0.00534913715297781,-0.00304008834499234,-0.00282153762660337,-0.00398035156110841,-0.0041811596820735,-0.00353490815313421,-0.0105857165977309,-0.00659315490718886,-0.00608661899451642,-0.00526450914150359,-0.0123327405284845,-0.000603042287057496,-0.000427432181300471,-0.00061724035989121,-0.0329600063444333,-0.0324837015219747,-0.0319180159004073,-0.0303205484409439,-0.0115923962156407,-0.0134342528985059,-0.0145647478635819,-0.0187845339308064,-0.00390783075790408,-0.00406391633536569,-0.00388491617858699,-0.00324512358207292
"asc_ruta4",0.326880031325239,0.329769233571519,1,-0.107902142118635,0.21941184456921,0.0641151371252299,0.0402567792201512,8.49162647299909e-07,-0.107145578277895,0.0732162370615013,-0.0324177251627519,0.0304803210345034,-0.204864767272959,-0.509979364274178,0.259982326766274,-0.222647588280574,0.508394855984076,-0.120066079746953,-0.110880004673407,0.0080390071609086,-0.0672702756486062,-0.00151569022522005,-0.0550888289967076,-0.0587767237312143,-0.0439325875660735,0.0407082028004652,-0.0150952836061036,0.00421790767933213,0.0443608942648083,0.0137505952510595,0.00476724191863676,-0.101344795766215,-0.103606239321155,-0.0725348878038874,-0.0844769705716528,0.0386210946346713,-0.310239039182663,-0.313252349000217,-0.0219088675930549,0.0249997012202267,-0.0341920859262827,-0.0165306547570012,-0.0197923216929815,-0.0239799418471808,0.0120826352932702,0.00591546906099934,-0.0393273220060555,-0.0415338344268873,-0.0221976296504871,-0.0817876716015505,-0.0960513601948168,-0.0927177292999464,-0.0748052302311122,-0.0935601923204111,-0.090727127759584,-0.0859260781820654,-0.0724161732607629,-0.0882912885788184,-0.0868197172478863,-0.0817995076252555,-0.0588344965936227,-0.0792979623538307,-0.0918721288428477,-0.0913529147532085,-0.0711308764006456,0.0388144272620802,0.0237211251681034,0.0205540900214787,0.0169774250860289,0.0406629960666994,0.00798607275734061,0.00593070795659056,0.00777690449446384,-0.250145604261462,-0.269364293758279,-0.280071598683016,-0.30130732674164,-0.28949484127654,-0.304714097833103,-0.311583610194942,-0.328460573175614,-0.0876384339054798,-0.0909708576515347,-0.0883612484869999,-0.0759621939072665
"b_tt",0.257323282174774,0.125589332549819,-0.107902142118635,1,-0.0899165811613075,-0.00389601616272046,-0.0890029757856993,1.03487899071018e-05,-0.0494560917418184,-0.00502381985808392,-0.0553167151634826,-0.0919436615187045,0.0114292706168785,0.15240071993939,-0.0177020259531414,-0.00141957493151919,-0.117450678530716,0.00668261028818996,-0.00347656446395029,0.00671049319618756,-0.00619618158451406,0.00672680010145305,0.0198912929606304,0.0170580348012086,-0.000391230566179227,0.00395278194342589,-0.00345849995243755,0.000900708993574553,-0.00242645737785624,-0.0171533142128094,9.73169479559349e-05,0.0225440130712317,0.0103449845626225,0.0190281596949237,0.0167956622680855,-0.0218413192427942,-0.0459682860220077,-0.0498031786861367,0.002978710577593,-0.000940195933732771,-0.00314639166229605,-0.00428857422915129,-0.00815258287772187,-0.00336433579721496,-0.00509885187886703,-0.00368960511619577,0.056269345692332,-0.0445700556005274,-0.00301058433217297,0.00564242129118143,0.00502173938082229,0.00429994483449861,0.00434459598921892,0.00631376363587416,0.00478303725499256,0.00465679738758993,0.00421660723734567,0.00854443846850034,0.00178248379370224,0.00111521218711498,0.00018956864316068,0.00509352057317484,0.00578720936155342,0.00542479230283985,0.00418023023952329,-0.0117509922096819,-0.0111543740233502,-0.0104182314934407,-0.00929171313762289,-0.0124706018040515,-0.00536004118639339,-0.00500350563192997,-0.00551232760190841,-0.064140740442256,-0.0625151527147385,-0.0610489629495546,-0.0569046757181634,-0.0104940241983177,-0.0148874427004266,-0.0176021135427311,-0.0276453465692147,0.00531271965984218,0.00555877639191715,0.00530433341396557,0.0046140645733254
"b_dt",0.563130669359104,0.50211290375324,0.21941184456921,-0.0899165811613075,1,0.267152165999436,-0.0279732733481941,1.53424985350639e-06,-0.083880505360735,0.0304888950646502,-0.0872603780985032,-0.118902419403264,-0.0414489259008959,-0.000335356292489122,-0.164684511241065,0.163396613436043,-0.153218131919591,0.0162444429708176,0.0103788485384673,-0.0113022765748628,0.0245821646511059,-0.0345979341248586,0.00577604580017654,-0.00941094411341373,-0.0135364302452795,-0.00848013446151216,0.00524980153603228,-0.00646551338802722,-0.0170691912222088,0.0018896890014979,0.00807965883034754,0.016059941080321,0.00703710546305451,0.0185794139045534,0.00977894709795028,-0.0232090678738415,-0.0387500312484555,-0.0379132344579888,-0.00689249227244666,0.00252815763492876,0.00904970945831376,0.00538613510923732,0.00516009562006674,0.0030086026222933,-0.00417717495009396,0.000119953300768484,0.0281962252149703,-0.0131149484768025,0.00522158707299451,-0.00847746653641908,-0.00493764918782099,-0.00449141060340304,-0.000120840113536937,-0.00587647207085955,-0.00656255556961649,-0.00613583233491761,-0.00342612558287133,-0.00582440306346789,-0.00669371901533716,-0.0068140713513892,-0.0028692371802494,-0.00336604819246029,-0.00567493890726217,-0.006148997155602,-0.005655832986119,-0.0126252839547527,-0.00657763143089893,-0.00608073192698919,-0.00531176306716453,-0.0155397846535557,-6.42801423272002e-05,0.000133221620129909,-0.000350803410234809,-0.0427901384770612,-0.0428377421867326,-0.0425084168694313,-0.0414353228806239,-0.0237524518826571,-0.0258026501003661,-0.0269768606212223,-0.0313631385524342,-0.00559322292177207,-0.00597965389708191,-0.00569560392435534,-0.00474632643192904
"b_Sem",0.259116761641142,0.163075261206812,0.0641151371252299,-0.00389601616272046,0.267152165999436,1,-0.0530777739962388,2.49409557235547e-06,-0.0328745240402496,-0.0325201871826256,-0.0481090193518708,-0.109670271724327,0.0489020786474405,0.0222793167562288,0.0735434531100931,-0.0726323151734304,-0.0184315907419679,0.00290056605774128,-0.00202829226854836,-0.00274237585148949,-0.0169410520883972,-0.0075102001686757,-0.00317390119065702,0.00855043559060495,-0.000249167444931987,0.00601721174913278,-0.00321057712369246,8.00817403333991e-05,0.00409229046058973,0.00347049560493334,0.00360887289862577,0.00497886702535177,0.00567233951836053,0.00832797370180729,-0.000537317098912795,-0.00639462013588884,-0.000171936582641747,0.00320127319540429,0.00711035965373218,0.00402471702062318,-0.00784760259019908,-0.0049162995441522,-0.00367470235971707,-0.00328338461418113,0.000109214819769348,0.000600095069695927,-0.00739515504354197,0.00752787019111024,-0.00475014838452192,0.00520810797520204,0.00218557772768752,0.000872768986411278,-0.00149476958347983,0.00311947599516116,0.00334611584197059,0.00313925793572162,0.00160573825566788,0.00259542089163438,0.00350052646571859,0.00329511743664638,0.00168643547602036,0.0016025747419143,0.00303066737060128,0.00328272948062442,0.00265153717690759,0.00477705836649342,0.00163017537328628,0.00107227312644237,0.000859547923725954,0.00564334515702797,0.000710257587138163,0.000528709650751046,0.0011113176523072,0.00838210013427204,0.00800804421854896,0.00784198111748284,0.00742723684300043,0.000411357587932866,0.000828160113516396,0.00116060126050045,0.00270976893060985,0.00285181710174027,0.00321787932469993,0.0030851652453159,0.00226586646831827
"b_ACC_1",-0.0517942182961062,0.00564076783156187,0.0402567792201512,-0.0890029757856993,-0.0279732733481941,-0.0530777739962388,1,5.86191070596103e-06,-0.0313356098720881,-0.00249354117564837,0.0230689267852069,0.0438564293918572,-0.00272577569386161,-0.083608190791276,0.00501056232832509,0.0204205844396279,0.0373424320762063,-0.00601167053661155,0.00472028765436906,-0.000616238578530973,0.00386553607678796,-0.00083511423038129,-0.00947229846242256,0.00369574767348728,0.00224581265390502,-0.00362505656194985,-0.00503716267449087,-0.00538323224114392,-0.00646774690744512,-0.00828818075918043,-0.0146624301099817,-0.00738111898358618,-0.00392738737188536,-0.00254063686196288,-0.00271060327631458,0.00462843575708311,0.0107945193363517,0.0110543248133048,-0.00693203743179609,0.00440895553492632,0.00654715272732643,0.000944173337354398,-7.97870084035529e-05,0.00429126447619568,-0.00210745562624631,0.0149283320188905,-0.0056340616804578,0.00458471434626979,0.000762054323399576,-0.0125636058434679,-0.0098863115398454,-0.00788523804231741,-0.0031661994521999,-0.00929896485895619,-0.0115987163336207,-0.0110568581854479,-0.0092333032843939,-0.00835736930296387,-0.0117925080187027,-0.0111161100267741,-0.00757528921271901,-0.00958074206997376,-0.0106501516096032,-0.0104614208736689,-0.00720007393993962,-0.0137839377179726,-0.0110254982349452,-0.0106221960052111,-0.00935162418398181,-0.0164487106318256,0.0118214768644952,0.0116366446104374,0.0126466930801668,0.00976805408650116,0.00962457038960162,0.00953158729145064,0.00918903037934206,0.00492616296655142,0.00566618408256454,0.00589155306330262,0.00680972394211209,-0.00854535948448558,-0.0109951204952006,-0.0109381368573885,-0.0096423322494864
"b_ACC_2",5.44102387969626e-06,1.597301120401e-06,8.49162647299909e-07,1.03487899071018e-05,1.53424985350639e-06,2.49409557235547e-06,5.86191070596103e-06,1,-3.85834028735417e-06,-4.50415003013302e-06,-1.3357621955874e-05,-1.08799607441772e-05,1.12178432383925e-06,-1.15796652218559e-06,-3.64280796595186e-06,5.96168183267256e-06,-3.64657360871707e-06,-2.63183494760581e-07,-3.15386275495039e-07,-8.44819074783356e-07,-2.14018271880702e-07,-1.94689715582422e-06,1.88651101821541e-06,-7.99453508082177e-07,-1.75152194559049e-06,-1.12819329831935e-06,-1.97183509617601e-06,-2.15785785871588e-06,-2.18716393693279e-06,-2.89585923627432e-06,-1.83300141335304e-06,1.6838981381444e-07,-5.42395312394488e-07,-1.59450675633913e-07,9.49957961760454e-07,-1.58840854802649e-07,-1.7604466996391e-06,-1.64993828601873e-06,-7.59948041842881e-06,-8.40603875900581e-07,6.0247431387047e-07,3.07321260166262e-07,4.38672237585807e-07,5.32339847021322e-07,-8.80202089724152e-07,1.28582499783925e-06,-1.20039812863066e-07,1.31718888679836e-07,5.37727141523064e-07,-3.26709542945565e-06,-3.41303631959214e-06,-3.11577441673431e-06,-2.00636684594046e-06,-3.14472364902032e-06,-3.52765585278906e-06,-3.40201623109222e-06,-2.7313890135762e-06,-3.10981569462269e-06,-3.3181099225158e-06,-3.05933553344731e-06,-1.93305701684433e-06,-2.76620809342533e-06,-3.37365140708717e-06,-3.36470796308584e-06,-2.53198633695886e-06,-3.91684283723526e-06,-3.03965159519858e-06,-2.83392327198904e-06,-2.50578427589721e-06,-4.79623287805005e-06,5.65498539515244e-07,6.46635163181118e-07,7.49234512243614e-07,-2.15932503222486e-06,-2.32667270725451e-06,-2.40721852053459e-06,-2.54697033853548e-06,-2.67045491782089e-06,-2.74218810122413e-06,-2.78083339624196e-06,-2.90136630805485e-06,-3.07418528872836e-06,-3.31970431233685e-06,-3.21112502156875e-06,-2.71859643046306e-06
"b_SI_CAMFD",-0.0831875152139885,-0.0434115014067196,-0.107145578277895,-0.0494560917418184,-0.083880505360735,-0.0328745240402496,-0.0313356098720881,-3.85834028735417e-06,1,-0.133393661512021,0.0696387279893826,0.0861740312608874,0.0198694072423628,0.0804730621327248,-0.056773296415471,0.0481008298223821,-0.0690631813937582,0.0177080365996579,0.0263480138339712,-0.0129856048065506,0.0194783121081639,0.0189444207857315,0.00581685680169764,-0.00849878462726582,0.00977037878052694,-0.0252260531960349,0.004931970232505,-0.00937772230102437,-0.0227459990599553,0.0079446544538191,0.00197730563045168,0.00640958066403236,0.00860217603679064,0.00534888161264285,-0.00783507760260796,-0.0099760780082653,-0.00745829288827912,-0.0100013716997998,0.00353479625408306,0.00151503049508638,0.0128098630622427,0.0139515258203337,0.0146946705183395,0.0146241107727972,-0.00637533850786376,0.0124143811519638,0.00177989301009646,-0.0130778629902635,0.0126457217458084,0.00437316020243734,0.00446093716984397,0.0042399952135633,0.00466097440040925,0.00439094285936676,0.00457331139364156,0.00497770737236197,0.004945419291306,0.00290077178190871,0.00524132007779557,0.00609732007650038,0.00672727311659974,0.00459814793624861,0.00467089274008649,0.0046949371070775,0.00409854363170727,-0.010419527762909,-0.00696191567971808,-0.00616851512779708,-0.00503634185252695,-0.0132463986814285,0.0121651540643486,0.0130222823132727,0.0124283053537891,-0.00724720936997847,-0.00748133549217762,-0.0074512871293141,-0.00736956183410465,0.00117189694382476,-6.06776799136608e-05,-0.000708817334585464,-0.00274593429935475,0.00574983252646,0.00455865895076693,0.00448874082400948,0.00365468551734567
"b_SI_PANEL",0.0260502940837326,0.0388022405641257,0.0732162370615013,-0.00502381985808392,0.0304888950646502,-0.0325201871826256,-0.00249354117564837,-4.50415003013302e-06,-0.133393661512021,1,-0.0181956238626096,-0.0258497056445523,0.078342457053566,-0.0218252394966315,0.0718231950292805,-0.0729658596042724,0.0680473726424714,-0.0210282746023819,-0.0180375875713289,0.0119153109380645,-0.00503404051793763,0.00597870682225416,-0.00659254194403538,0.00879197546755745,-0.00357002454652549,0.00568135180108103,-0.00834906175067952,-0.00798748535184531,-9.45351522217168e-05,0.000994494590834493,0.000237890498095662,-0.0200893377453979,-0.0184976336889866,-0.00440377170454352,-0.00281842548345071,0.00730489947915501,0.0250484578075145,0.0255098975324448,-0.000370481357889417,0.00728128081501012,-0.00413346745061481,0.00145864723487793,-0.00266365279294698,-0.00186574330231256,0.00270801437823889,-0.00366945783788066,-0.00428512310178405,0.00988991458331216,-0.000311341067016656,-0.00770027348829028,-0.00971395842183164,-0.00984786957495448,-0.0102245549605509,-0.0105997674524108,-0.0079271963249947,-0.00706860518507399,-0.00624136755317866,-0.00833516362563832,-0.0088689805522447,-0.00895275261139226,-0.00891260005222951,-0.00888402441476239,-0.0092710572274602,-0.00919091530064917,-0.0077819378194585,0.000765337031226107,-0.00140767974103082,-0.0013523354017885,-0.000883107464647086,0.00169218345050138,-0.00508177486783484,-0.00516694107128802,-0.0042639068455007,0.0185022645361588,0.0193887468584771,0.0196972548486563,0.0200495415805973,0.0123909746993632,0.013765309872948,0.0145599623275509,0.0169762716138545,-0.00973311637745499,-0.00891363834983748,-0.00865799700476046,-0.00767069433351984
