"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_EXP_2_LV1","gamma_EXP_5_LV1","gamma_HTRB_2_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_EDUSUP_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_HTRB_2_LV3","gamma_HTRB_3_LV3","gamma_SININFOTRF_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.142736615562313,0.116781691239975,0.0999821189190654,0.0101764881567272,0.0502924340232873,0.0160272628419659,-0.00621611790754287,0.0151113555531827,-0.00950085098666569,0.00215002146747657,-0.00280187480647142,-0.00449560224315403,-0.000150130085092522,0.00878333763048278,-0.00502037516581883,0.0130117576277126,-0.00868802726601581,0.000985936970954565,0.000226061588516289,-0.00039000454233062,0.00072700109783265,-0.00139910524063101,0.000493713734475694,0.00042746066416377,-0.000611030648850981,-7.44561527940419e-05,6.62781504166106e-06,-0.00019914057697973,-0.000403838072046424,-0.000145247418539179,0.000138549020091197,0.00163652736717187,0.000898222181093156,0.0021274853484099,0.000863332908051219,-0.00213797391240507,-0.0125964459015185,-0.0124483903301068,-0.000110080884405547,9.20279570352247e-05,0.000132601210522257,-2.29520697321887e-05,-0.000292943343985762,-2.93269820484525e-05,-0.00041193065121282,-0.00483606877821853,0.00433267435405346,-0.00259732934040876,2.60018121081894e-06,-0.000751540370459684,-0.00040522108219335,-0.000542143334366291,0.000194045153580246,-0.000325923961949317,-0.000505595475798684,-0.000462720580477706,-0.000160055090127798,1.50475204478454e-05,-0.00130744903031445,-0.00155807226904625,-0.00133508106818664,-8.12511539701208e-05,-0.000152551077443888,-0.000188728190830867,-0.000253531300164782,-0.00170643553865585,-0.00157790768913032,-0.0015970720288494,-0.00159998775335993,-0.00729048804410278,-0.0094787973955532,-0.0102632930381213,-0.0133417964089506,-0.0295231627820975,-0.0271637960490352,-0.0257594583603985,-0.0228583033300138,-0.00918064556869299,-0.0103779181196872,-0.0111453967940032,-0.0140778004607539,-0.000213808800633415,-0.000194904965387354,-0.000192528361285996,-0.000186528057679006
"asc_ruta2",0.116781691239975,0.133904035175391,0.0976951975268545,0.00481061649935307,0.0434334163867519,0.00976969643678336,0.000655700206589445,0.00429673652168096,-0.00480217846137816,0.00310181651884751,-0.00116031038353833,0.00159825994270648,-0.0019991111763636,0.00421149319498161,-0.00547650104425328,0.0152975286744596,-0.00735009427174287,0.00089475093028064,0.000608053556065662,-0.000647836644865237,0.000941090204551101,-0.00130542790431369,0.000221708572638119,-2.33327252532959e-05,-0.000511067795387234,-0.000495490952711957,4.34118224858629e-05,-0.000251641872602741,-0.000473618613365346,-5.17436379894274e-05,7.55407250640776e-05,0.00122391089719316,0.000676218688958465,0.00158335765226978,0.000650691969962728,-0.00178537911627557,-0.0099134887797264,-0.00983695718321292,-0.000233577089163357,3.50265325246469e-05,0.000510281884473962,0.000262372505506606,0.000187893627188309,8.05325951201334e-05,-0.000397274677360396,0.00047426955683249,0.00328840074562194,-0.00198309139127353,0.000135096765811493,-0.00194491783241489,-0.0014020234693033,-0.00141340448378862,-0.000532238204911369,-0.00128387372192954,-0.00135096119606592,-0.0012901760114124,-0.000910883151542422,-0.00142998260997721,-0.00229770464532722,-0.00247617149829561,-0.00203930875541594,-0.000469550923953504,-0.000564678060040245,-0.000597220908259075,-0.000646636026928153,-0.00170902765238346,-0.00143426174368153,-0.00144130818990865,-0.00144462133266933,-0.00757233899482525,-0.00165059246762877,-0.00130735567801913,-0.0023868632949467,-0.0232748993577366,-0.0214845772387009,-0.0204108181534046,-0.0182020000742649,-0.00792498053679188,-0.00880673199263825,-0.00938228000313173,-0.0116199884732432,-0.000689816003066228,-0.000666786872140601,-0.000655813686708779,-0.000630867375150868
"asc_ruta4",0.0999821189190654,0.0976951975268545,0.655439327489453,-0.00914423685133315,0.0419906012660035,0.00849812232140753,0.0103532222543201,0.00505373220535842,-0.0262226850048762,0.0129489967265376,-0.00710012348382954,0.00927821087637419,-0.0609787540700209,-0.170606801326729,0.0429168445937272,-0.100930666612081,0.080409154893568,-0.0279893608948594,-0.0337439426191727,0.00185689441728329,-0.0113680685993291,-0.000295017748264761,-0.00920886539732388,-0.0102625762630622,-0.00784488128403158,0.00959476177663251,-0.0018604195952982,0.00041650142447104,0.00389394561042037,0.00113746702837501,0.000359409205288099,-0.0223861380570582,-0.026797689913297,-0.0190721418029401,-0.0142631309763487,0.00812532137818602,-0.26082858193431,-0.258200393740064,-0.0035812523619814,0.00386506940717383,-0.00920392989426624,-0.00338068396955865,-0.00647065217859458,-0.0021278563468101,0.00378845604291909,0.025811355730018,-0.010837703265732,-0.0115144450124061,-0.00222555195908879,-0.0699868345860717,-0.0768553061616781,-0.0785755068045283,-0.0876554499158218,-0.0668244206108374,-0.0603985342902183,-0.06013895844254,-0.0604545320295545,-0.089795710098712,-0.0836750153063851,-0.0837755123036744,-0.0873168856186199,-0.0291963322293071,-0.028835844658256,-0.0288688892385037,-0.0287878571374197,0.0138640917862271,0.0114166801979404,0.0107683312729763,0.0103071210899332,0.0552381651235899,0.0483609440468615,0.0401330803883811,0.0665348851480282,-0.39080743413314,-0.394158360715983,-0.396244286338742,-0.400185332896962,-0.437859959743766,-0.441939911055643,-0.444067960402529,-0.449529228959081,-0.0342264252895183,-0.0330228070704738,-0.0330012266316079,-0.0326718512784471
"b_tt",0.0101764881567272,0.00481061649935307,-0.00914423685133315,0.010957268494252,-0.00222493185607514,-6.67679521524222e-05,-0.0029595517778866,0.00796335023653125,-0.00156497571275466,-0.000114880860100492,-0.00156647927142277,-0.00361869016991778,0.000439860224346147,0.00659197663904657,-0.000377825994452733,-8.32047981912108e-05,-0.00240184392980519,0.000201420509327972,-0.000136797379685124,0.000200412192426217,-0.00013538561393664,0.000169289927826685,0.000429922823899782,0.00038509237795938,-9.03269350909401e-06,0.000120459214704668,-5.5111509446565e-05,1.14997612569626e-05,-2.75389361706791e-05,-0.000183463749312415,9.48626797683352e-07,0.000643863575838614,0.000345960246582561,0.000646895626149258,0.00036665581396771,-0.00059412761545351,-0.0049969148407399,-0.00530767753929762,6.29547069074136e-05,-1.879428252695e-05,-0.000109507885206614,-0.000113399817009558,-0.000344612828635356,-3.85992103200384e-05,-0.000206708285768816,-0.00208154795428514,0.00200493201442524,-0.00159760371744832,-3.90271499977491e-05,0.000624279279063918,0.000519528541097952,0.000471164099066808,0.00065823543776954,0.000583065465498432,0.000411697191812059,0.000421408370930564,0.000455136165079008,0.00112358559909591,0.000222120134104569,0.000147675623527381,3.63762227454436e-05,0.000242476267078996,0.000234856722042693,0.000221654056815779,0.000218744068480475,-0.000542697329845625,-0.00069412015861695,-0.00070571453155916,-0.000729367239563899,-0.00219034328290728,-0.00419676390505925,-0.00437779330628773,-0.00609765108372259,-0.0129565332458611,-0.0118277167893451,-0.0111675302394095,-0.00977201964781903,-0.00205220796417792,-0.00279174458820439,-0.00324357957246772,-0.0048919457406428,0.000268267917420888,0.000260901037546828,0.000256143864418558,0.000256593006839889
"b_dt",0.0502924340232873,0.0434334163867519,0.0419906012660035,-0.00222493185607514,0.0558793767384821,0.0103390498871893,-0.00210058049810444,0.002666103235634,-0.00599409293183266,0.00157445383340634,-0.00558033132032141,-0.010568051532848,-0.00360233486396666,-3.2757422756919e-05,-0.00793772851427145,0.0216275699892969,-0.00707577544230469,0.00110569922084626,0.000922255579131485,-0.000762272503368524,0.00121295064628221,-0.00196628918331568,0.000281924449523048,-0.000479781774112658,-0.00070577012478268,-0.000583598993256686,0.00018891743594897,-0.000186415476476755,-0.000437483885885704,4.5642264336393e-05,0.000177858471761157,0.00103581262997465,0.000531453211407589,0.00142640897232292,0.000482090045918476,-0.00142571656614941,-0.00951240470790736,-0.00912458096310051,-0.000328965846536296,0.000114126410208443,0.000711282085786991,0.000321626104401776,0.000492570720110591,7.79504340504702e-05,-0.000382421921517417,0.000152824632681401,0.00226878520391387,-0.00106161513205815,0.000152859765816368,-0.00211813735603292,-0.00115358631933397,-0.00111139053129373,-4.13444874730027e-05,-0.00122551971212825,-0.00127562129277287,-0.00125390295052091,-0.000835133872453254,-0.00172961197785552,-0.00188366834639529,-0.00203766416661547,-0.00124334649308013,-0.000361864623069332,-0.00052007935756406,-0.000567376685999631,-0.000668355127509981,-0.00131673665635143,-0.000924343973378929,-0.000930176877558277,-0.000941594209397232,-0.0061637411822788,-0.000113657438954918,0.000263226855493855,-0.000876326573201317,-0.0195197010261799,-0.0183027698306607,-0.0175601573080211,-0.0160687365711886,-0.0104896833704556,-0.0109268383447514,-0.0112260189655487,-0.0125329623266544,-0.000637805987233719,-0.00063379276091285,-0.000621108608051708,-0.000596064663884925
"b_Sem",0.0160272628419659,0.00976969643678336,0.00849812232140753,-6.67679521524222e-05,0.0103390498871893,0.0268035494346908,-0.00276044512736671,0.00300167964744331,-0.00162701772818252,-0.00116308554815353,-0.0021307857154059,-0.0067509288040934,0.00294353021355011,0.00150721605546525,0.00245503609207161,-0.00665832424320854,-0.000589518006670818,0.000136736770402079,-0.000124825418230313,-0.000128097801843063,-0.000578940274169726,-0.000295609994099329,-0.000107291642247361,0.000301904209973779,-8.99747808632122e-06,0.000286798891261769,-8.00170694181441e-05,1.59912653681681e-06,7.26416911415039e-05,5.80548788268891e-05,5.50203689287097e-05,0.00022240172920998,0.000296690452787819,0.000442814440260429,-1.83458190915157e-05,-0.000272057451760104,-2.9231892332055e-05,0.00053359924746296,0.000235037127078403,0.00012583102536286,-0.000427183641919712,-0.000203321245263911,-0.000242942439966981,-5.89177081184884e-05,6.92487702627018e-06,0.000529506863698206,-0.000412116565432851,0.000422029695750237,-9.63092984581273e-05,0.000901235712238115,0.000353644167829205,0.00014957314156978,-0.000354202088473604,0.000450563130330451,0.000450464027868165,0.00044431177101034,0.000271080297093487,0.000533796149099435,0.000682245539839358,0.000682444293129566,0.000506134371342591,0.00011932033637039,0.000192361022499542,0.0002097841474521,0.000217009529889657,0.000345055295334328,0.000158660487757583,0.000113601870252664,0.000105527477588245,0.00155026659531708,0.000869775750937875,0.000723507604826203,0.00192269662992964,0.0026482116510647,0.00236966571825121,0.00224362174801723,0.00199484269382192,0.000125818302851241,0.000242892940441037,0.000334493574141583,0.000749957848086744,0.000225225992670791,0.000236217113245456,0.000233011081549115,0.000197079051292471
"b_ACC_1",-0.00621611790754287,0.000655700206589445,0.0103532222543201,-0.0029595517778866,-0.00210058049810444,-0.00276044512736671,0.100911468557138,0.0136887740989934,-0.00300915855524346,-0.000173041103375649,0.00198250719323287,0.00523819893024535,-0.00031835040119618,-0.0109747990806451,0.000324544640216047,0.00363226335312792,0.00231745315912737,-0.000549884955438333,0.000563657212784514,-5.58518667469553e-05,0.000256316889637817,-6.37804520976386e-05,-0.000621300886296883,0.000253196297287428,0.000157353762605325,-0.000335251762178312,-0.000243590092318565,-0.000208577065393351,-0.000222764827460213,-0.000269017509102829,-0.00043374249679326,-0.000639740650008218,-0.000398583394837759,-0.000262119380904222,-0.000179575263800311,0.00038207992855018,0.0035609514885059,0.00357518731248296,-0.000444610699087792,0.000267462077047918,0.000691519120515316,7.57652858049471e-05,-1.02349920844235e-05,0.000149411310876173,-0.000259276431020695,0.0255585922626307,-0.000609212062923788,0.000498720568299832,2.99792720512281e-05,-0.00421839093297073,-0.00310390660212038,-0.00262206363534348,-0.00145575819582411,-0.00260604984303371,-0.00302972478453827,-0.00303645372148254,-0.00302450570779072,-0.00333511906220942,-0.00445951499650023,-0.00446707510820786,-0.004411328792341,-0.00138410625912786,-0.00131162203069167,-0.00129718630565683,-0.00114338410535939,-0.00193185959806986,-0.00208212495746897,-0.00218357683995066,-0.00222769954411591,-0.00876749940496046,0.0280890634593499,0.0308978131325529,0.0424544911585826,0.0059880030340236,0.00552606622214093,0.00529130976941762,0.00478878321729026,0.00292352757027336,0.00322452219887739,0.00329464513353609,0.00365685896042499,-0.0013094872877102,-0.00156608635755169,-0.00160293387538745,-0.00162728024179452
"b_ACC_2",0.0151113555531827,0.00429673652168096,0.00505373220535842,0.00796335023653125,0.002666103235634,0.00300167964744331,0.0136887740989934,54039359.0691358,-0.00857417373699535,-0.00723319896037365,-0.026564482541538,-0.0300719005932159,0.00303186238672738,-0.00351745530453556,-0.00546020667411066,0.0245393348949066,-0.0052369470298312,-0.000557083309915911,-0.000871513713724282,-0.00177189242970208,-0.000328400022298316,-0.00344088019338318,0.00286345773276378,-0.00126745655616355,-0.00283990637257871,-0.00241448565287248,-0.0022066277079103,-0.00193477782678905,-0.00174325039263432,-0.00217512195504931,-0.00125479751921605,0.000337739914653568,-0.00127384392862078,-0.000380686726014414,0.00145636345549535,-0.000303435948406256,-0.0134391085167022,-0.0123486394567165,-0.0112794452866334,-0.0011800562614682,0.00147256708265973,0.000570684359903527,0.00130220785565073,0.000428915757420614,-0.00250594668903763,0.0509439177186055,-0.000300370334449277,0.000331572029359687,0.000489532963686527,-0.0253851172422206,-0.0247970543580042,-0.0239761395389452,-0.0213474570596898,-0.0203946111521419,-0.0213237849537125,-0.0216200224130302,-0.0207045452964716,-0.0287184655548689,-0.029037354671954,-0.0284500058702019,-0.0260495188403509,-0.00924783267706256,-0.00961474896904617,-0.00965481347972254,-0.00930467875284971,-0.0127034954170193,-0.0132836432933486,-0.0134811545484637,-0.0138133202832292,-0.0591601106903329,0.0310943757090271,0.0397323378896438,0.058203522189298,-0.0306321025266641,-0.0309139755330141,-0.0309241880277353,-0.0307159681744114,-0.0366748630646994,-0.0361124343158503,-0.0359864206269388,-0.0360550497443586,-0.0109014890000621,-0.0109420815530567,-0.0108896594988549,-0.0106171959589464
"b_SI_CAMFD",-0.00950085098666569,-0.00480217846137816,-0.0262226850048762,-0.00156497571275466,-0.00599409293183266,-0.00162701772818252,-0.00300915855524346,-0.00857417373699535,0.0913846628075967,-0.00880915636350425,0.00569514262152254,0.0097947086181815,0.00220834331917918,0.0100522822271574,-0.00349943940079668,0.00814194424226932,-0.00407869601892004,0.00154139331388813,0.00299406262407067,-0.00111999835683155,0.00122909430820813,0.0013768588941171,0.000363079196388255,-0.000554087375820163,0.000651450470540335,-0.00222009716819121,0.000226965832737439,-0.000345769910909375,-0.000745529811497318,0.000245393321649796,5.56629496908181e-05,0.000528661583103716,0.000830787936862992,0.000525153081167449,-0.000493958257680343,-0.000783693444390392,-0.00234136205861569,-0.00307816957094474,0.000215749496006284,8.74609644683025e-05,0.00128754554847653,0.00106538513883998,0.00179383121060975,0.000484544932833902,-0.000746404490793474,0.020226331130018,0.000183150111779619,-0.00135378025248736,0.000473418436658144,0.00139731494084144,0.00133280573500073,0.00134171470282858,0.00203936088696853,0.00117104151151894,0.00113681663329105,0.00130086036757779,0.00154158267081019,0.00110159436250776,0.001886203403551,0.00233171681850707,0.00372799793978221,0.000632149236234601,0.00054741816007139,0.000553997561507944,0.000619371404421219,-0.00138968601695323,-0.00125113368896809,-0.00120670523313213,-0.00114169780290772,-0.00671905351661796,0.0275073991669268,0.0329043617572699,0.0397031504726759,-0.00422776810291381,-0.00408771168216194,-0.00393636761519916,-0.00365479945021471,0.000661841863423085,-3.28601885949599e-05,-0.000377206852359636,-0.00140325060960413,0.000838479672606448,0.000617901442618076,0.000625983921053866,0.0005869439968718
"b_SI_PANEL",0.00215002146747657,0.00310181651884751,0.0129489967265376,-0.000114880860100492,0.00157445383340634,-0.00116308554815353,-0.000173041103375649,-0.00723319896037365,-0.00880915636350425,0.0477226923060359,-0.00107534182227666,-0.00212322746991838,0.00629223132212493,-0.00197014856018287,0.00319922583436894,-0.00892526397748065,0.00290410243989784,-0.00132273398218248,-0.001481212134032,0.000742653778937795,-0.000229549528661566,0.000314008331870946,-0.000297366270517877,0.000414222524188472,-0.0001720152753354,0.000361326795674959,-0.000277653736105491,-0.00021282650650252,-2.23912911344048e-06,2.21981081715715e-05,4.83944235180016e-06,-0.00119740086192161,-0.00129099286606543,-0.000312444972108041,-0.000128404225677487,0.00041469274072599,0.00568245422499095,0.00567371475893304,-1.63409603057398e-05,0.000303757129298748,-0.000300233015381026,8.04935370958197e-05,-0.000234976888418142,-4.46727091669621e-05,0.000229111965944062,-0.00432035815693299,-0.000318641549091927,0.000739826262303633,-8.42294115253606e-06,-0.00177799639976205,-0.00209731082351146,-0.00225197161547722,-0.00323286517738628,-0.00204285082225359,-0.00142398387581042,-0.00133493726641331,-0.00140594804257373,-0.00228743142889981,-0.00230646758894806,-0.00247411115241358,-0.00356916671069082,-0.000882616887461328,-0.00078518931220912,-0.000783723103517028,-0.000849836061298203,7.37644638899351e-05,-0.000182811971112882,-0.00019117486437011,-0.000144668950677898,0.000620273936865499,-0.00830372865040747,-0.00943464763785406,-0.0098434326512045,0.00779993614219894,0.00765555493971843,0.00751961952253537,0.00718541973546123,0.00505703656843083,0.00538707334879733,0.00559926866480606,0.00626921587048141,-0.00102568751877858,-0.000873097868442004,-0.000872533058549995,-0.000890240076802135
