"asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_EXP_2_LV1","gamma_EXP_5_LV1","gamma_HTRB_2_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_EDUSUP_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_HTRB_2_LV3","gamma_HTRB_3_LV3","gamma_SININFOTRF_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.15,-0.415,0.087,0.115,0.06,-0.099,0.091,-0.24,0.989,-0.126,-0.192,-0.108,0.172,-0.152,-0.307,0.204,-0.54,-0.334,0.463,-0.97,-0.77,0.196,-0.126,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4173.51457923385
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.15,-0.415,0.087,0.115,0.06,-0.099,0.091,-0.24,0.989,-0.126,-0.192,-0.108,0.172,-0.152,-0.307,0.204,-0.54,-0.334,0.463,-0.97,-0.77,0.196,-0.126,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4173.51457923385
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-0.15,-0.415,0.087,0.115,0.06,-0.099,0.091,-0.24,0.989,-0.126,-0.192,-0.108,0.172,-0.152,-0.307,0.204,-0.54,-0.334,0.463,-0.97,-0.77,0.196,-0.126,1,1,1,1,1,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-4173.51457923385
0.14306690718513,-0.264933085418306,0.586799265875016,0.168776168720797,-0.791814432886895,0.240586334257387,-0.0126273589557968,-0.105558727227617,-0.104899758298416,-0.171616055013146,-0.0686632920405828,0.0159506089403294,0.458609298220836,0.424322301114444,0.186643311986699,0.556082650087774,1.17139206465799,-0.406563806033228,-0.5731955657457,0.013130156381987,-0.0926224191114307,-0.0204622104624286,-0.381309199974407,-0.281042602975853,-0.667863735239953,1.38575915468251,-0.289975128089078,-0.451805776295252,-0.851173943192233,-0.840351225654129,-0.623585582999978,0.888525765069761,0.575782160073053,-0.396291375181172,0.111645324361976,0.743758147710003,-0.723096511994954,0.786348528538365,1.6358198472918,0.38922214198485,1.41055920883082,1.52783264254685,1.47866201930447,0.478933175851125,1.57892580662156,1.64505287446082,1.03057749563595,0.909909944108222,1.24719838984311,-2.51696510490729,-0.132359880604781,0.78412852215115,2.18868568440666,-2.4964504551026,-0.0573507166118359,0.873391650908161,2.11469494347693,-2.55914977565408,0.0276582324877384,0.826849278178997,2.15850195632083,-2.60726951051038,-0.544602491369005,0.413845725939609,2.32279301376548,-2.2921681953012,0.174180441012141,0.957929961965419,2.00238542997977,-2.27805603167508,0.23777305270778,0.949308803479653,2.02382323873462,-2.22621372045251,-0.609005979436915,0.379528024292085,2.21735375048593,-2.12635697930818,-0.879709466767963,0.0223004424478856,1.97980181797175,-2.61982296756469,-0.00294400868006028,0.792027578223497,2.07992086466402,-3445.57522933888
0.234197991275725,-0.281930106029549,0.582008385658055,0.150390535860892,-0.89348525416364,0.264790301305725,-0.018170561511124,-0.12423770181098,-0.119511866216466,-0.192104254915,-0.0733872712694635,0.0192215742964131,0.442899273802358,0.404603296997213,0.229116285432996,0.560643080663856,0.99441437277215,-0.293016441867779,-0.578623285238697,0.0218202612771576,-0.00872073014798769,-0.00842809600001028,-0.282579987451247,-0.165967961319589,-0.574880588370894,1.33109464430064,-0.316015620938497,-0.486073595457546,-0.877012639078546,-0.895793721183159,-0.667703235964654,0.8650002212312,0.602443786922925,-0.399361610469681,0.0921136506995773,0.749127108872394,-0.701854318177058,0.787832581001066,1.62193096859135,0.377346624312361,1.4044852195476,1.55478955978915,1.50010408975604,0.402317701892345,1.69587940318367,1.78087396531615,0.782312281768027,0.8195176547435,1.21066651558305,-2.64406422682135,0.00839571919192783,0.739251761145285,2.23088096706117,-2.62143729540028,0.0987214006217146,0.848693762167284,2.14138066905776,-2.69327899925069,0.202359373801236,0.790372575078276,2.1955757705637,-2.70973855401564,-0.478894907361913,0.303844264696233,2.38006314473335,-2.33854356293067,0.394919068238199,0.954989789123839,2.00268243573108,-2.32365321512853,0.47647130161667,0.941594646555689,2.03032557958881,-2.25034529405874,-0.511354685591131,0.313957699588426,2.29059287654328,-2.14766578106595,-0.846501541990495,-0.134123827665476,1.99440369703287,-2.75621257872679,0.163374114909159,0.747933585283631,2.09434974397237,-3216.85371979255
0.366146146801387,-0.281006407366445,0.515569717422061,0.124572276692784,-0.970236745366273,0.277465573014864,-0.0276520251865061,-0.145011519841014,-0.133217448114332,-0.207608045638455,-0.0689501199145453,0.0255115411902899,0.367670083356148,0.319049376935112,0.239859617683578,0.620994030706826,0.595339181409045,-0.262245153153865,-0.605228528334765,0.0217407392639671,0.0215132935547587,-9.13834133345597e-05,-0.245248080343181,-0.137369738221965,-0.572339366981719,1.28848908673804,-0.344650645295741,-0.533507827971878,-0.898571059482506,-0.915848138807488,-0.71355853524189,0.923501068522005,0.653724641926198,-0.395441012779538,0.104139516562203,0.77523482198132,-0.672688216516832,0.908120501028658,1.71354535732514,0.40181301826589,1.42151846814924,1.57219690130164,1.52351459230951,0.694131042407368,1.77324890114466,1.87533840057098,0.438078396631427,0.627500773044857,1.21386341849562,-2.76905540812485,0.0986318115103937,0.734658360954143,2.28429941317549,-2.75162367728174,0.21122179017737,0.860244224952608,2.17865580834738,-2.82809319823688,0.330936164273697,0.794774110490867,2.24513944517503,-2.74571617491263,-0.472723172600247,0.273516565650316,2.43224070103581,-2.4225610083943,0.54094986507763,0.992604641402275,2.00253385852811,-2.41372748618178,0.655973976776433,0.963343224426145,2.03892444362668,-2.24969428020153,-0.451320203143812,0.327008178538938,2.31293674030166,-2.16500417932524,-0.840158934403531,-0.220203940741151,1.9969592509238,-2.8703964119306,0.272737305096968,0.748490479319215,2.10857168182414,-3024.22427056175
0.484990118324684,-0.2777807204868,0.453275622734145,0.111196275247713,-1.03158551043758,0.287406136864936,-0.0374941020550313,-0.164720409082321,-0.14630797254819,-0.22119180858383,-0.0620069395996287,0.0328304952892536,0.294443356597283,0.234365523389498,0.198894807254478,0.65500366930495,0.165194566604662,-0.197807089442564,-0.623627343072993,0.0256960787312242,0.0752398852461061,0.0171952301289304,-0.176253505225912,-0.0701645465128264,-0.53197552914706,1.20366653580386,-0.365906606849478,-0.568736306487672,-0.876850885918396,-0.876386482081319,-0.729096012101244,1.02988294331686,0.712915405277223,-0.385986237600855,0.135761657530638,0.810453056382278,-0.640797636993496,1.086144898704,1.86268102646594,0.447195520485176,1.43767940958972,1.58393487801144,1.54357618238177,0.831355674435247,1.84068941736038,1.95829527283984,0.111829093615859,0.39968739951457,1.22184859936824,-2.88172513656896,0.161454327671636,0.741187415461211,2.33552768868264,-2.86934480280166,0.295915095502043,0.880504610968807,2.21505860279328,-2.94927545385948,0.427116157797752,0.811743217860059,2.2932823681715,-2.79811101973577,-0.499963115154477,0.254197716880096,2.47757481265352,-2.49816741571503,0.652076322354629,1.03912882069135,2.00281374364235,-2.49638854615583,0.796743061084659,0.997021956920939,2.0477362952505,-2.24121403440531,-0.40464438363104,0.350279843283295,2.31013801998457,-2.17900264109964,-0.839757234901846,-0.274147450893038,1.99530014423737,-2.96763941111742,0.349346661912534,0.762299562541951,2.12146688896241,-2876.86136767371
0.520415444177312,-0.282120622281916,0.458981004799017,0.14508466752654,-1.06167176481203,0.295066808710287,-0.0456298741035664,-0.178760929434828,-0.15658196193938,-0.23280864964923,-0.0551555114443172,0.0395525097014277,0.285684635318317,0.215962781890011,0.0909936316627568,0.610550356029467,0.123635657751657,-0.133408068638272,-0.627924574077614,0.0327192655053357,0.127927289222419,0.0351282287599636,-0.110632004815805,0.00393381976695666,-0.480509459968984,1.14856589566448,-0.376813817776771,-0.584168487504528,-0.82563738154805,-0.803824612703185,-0.719667580406725,1.04324750146472,0.733841480053025,-0.385571193683775,0.136091270740447,0.819803736514868,-0.62984355332742,1.12662482016147,1.89143072263938,0.451113560888768,1.43288010798312,1.57671319173053,1.54165238689134,0.985299489439064,1.87874434795891,2.00699366765641,0.139825104091808,0.344464945154194,1.21690969953726,-2.94808965099324,0.17618305733999,0.753868758587538,2.37025362673928,-2.93949378384961,0.323571600807261,0.901937806615252,2.24096350300069,-3.01944304604759,0.456839312838468,0.835667947745535,2.32692103406368,-2.81393385212123,-0.52508026995,0.250257197175574,2.50091343033044,-2.53682086817689,0.696268019985762,1.07789185445948,2.00367748967435,-2.54074563578392,0.845569898549452,1.04256744874972,2.05446539120161,-2.22856154378024,-0.397637668706022,0.349485676667027,2.29081857342469,-2.18498480858526,-0.841321303963951,-0.284615863325719,1.96185854694541,-3.01786213469689,0.367713746408219,0.780382299186182,2.12976935920014,-2838.37521600634
0.657613528585579,-0.270607245544578,0.455683528185899,0.323548067957961,-1.09255838821917,0.285898220358613,-0.092221068593792,-0.248419625532633,-0.194284262914339,-0.277005649414241,-0.00799395848121631,0.0724949957639814,0.211563255625972,0.11751572097001,-0.198097971770251,0.467879030075075,-0.0516886135968862,-0.0735306833938909,-0.66507619225042,0.0356789006846743,0.219052949842857,0.0539432191170453,-0.025362039249707,0.120671019597115,-0.475613397520041,1.2119484382822,-0.456356586948433,-0.700261530130707,-0.678122304270874,-0.604598872628065,-0.693720296489075,0.976126758970932,0.793053403674042,-0.397296853890092,0.0886975509463712,0.833252659928973,-0.606547397239615,1.14198311810011,1.86950560329425,0.408778596977862,1.5692111968938,1.67468996466528,1.64586430541274,1.14124754125165,1.99120577028871,2.1692744358436,0.0147809303582767,0.736145386932326,1.39099860299117,-3.16415417912902,0.175378462386562,0.867601252287906,2.55498000701426,-3.17165640260113,0.377607771715265,1.05434182232461,2.38707375261428,-3.24647846425707,0.499782648020825,1.0180665885295,2.51201756260937,-3.02243033082165,-0.733995373425978,0.235357252905546,2.60663812151485,-2.72962550687455,0.778457332711914,1.30191908400704,2.017383861512,-2.77062430471792,0.918565784560783,1.33703147015993,2.09869966297913,-2.12488193445875,-0.376051367190146,0.417606407099788,2.19016618570593,-2.20487459847784,-0.873289090878415,-0.26987380232836,1.63700053462157,-3.13551618792276,0.366112904087533,0.907097091410131,2.18146955957858,-2835.96859894983
0.922069772957411,-0.232971332192829,0.452088013176535,0.64423665361926,-1.10906807433878,0.239355385144493,-0.195197317930081,-0.397242619784471,-0.265194407862793,-0.363763184284917,0.0906087825294786,0.137560324208254,0.0607337907614992,-0.0565051129361324,-0.584303218948702,0.280745914259096,-0.358947046275446,-0.130618779279292,-0.759720399070467,0.0168019421951776,0.288408946925964,0.0416242899872961,-0.0164055723095435,0.185844467220188,-0.624671467697051,1.50248327067866,-0.640626016508211,-0.959565564389459,-0.47289700396263,-0.336130912153368,-0.648067880492415,0.673216767573466,0.871058784425575,-0.44069265877077,-0.0770383186821355,0.820665950544986,-0.581535799598187,0.968635719116102,1.63077363276898,0.234010405561133,1.96021617325554,1.99058022971346,1.9594999040151,1.1758381897672,2.20585497610762,2.47999086784627,0.180903762249752,0.55893056877153,1.81705546973361,-3.55331669590019,0.158686548994651,1.11682817027676,2.9500794774499,-3.58123766031981,0.467932404891149,1.38077408086145,2.70565601971573,-3.64558223161513,0.579892618675948,1.39514835479082,2.9123233347463,-3.53151388972118,-1.17357129738172,0.180754689359944,2.82228458500819,-3.12355431881621,0.908788905065156,1.74529270784172,2.06334303562537,-3.24937937654414,1.06492045381362,1.89711846326862,2.21073526849099,-1.90385743473545,-0.367169389469629,0.511318302869255,1.94692604166791,-2.24000255140194,-0.93051297223595,-0.180582520160772,1.20828091654188,-3.33361157478349,0.354328208767841,1.15372190773617,2.30501121983015,-2781.87214405519
