"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_EXP_2_LV1","gamma_EXP_5_LV1","gamma_HTRB_2_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_EDUSUP_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_HTRB_2_LV3","gamma_HTRB_3_LV3","gamma_SININFOTRF_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.852949994873032,0.266088454999134,0.496484152640876,0.474874044840973,0.151140373951423,-0.110249150982994,0.236511310049615,-0.0804935591015859,-0.0877635894325871,0.00864550409802885,0.0127719560305674,-0.0260506479508389,0.0670417310783637,-0.133221324590977,0.136521681782861,-0.243643516898983,-0.0378877247777474,-0.0141350087638699,0.0971576109739853,0.0708515709205801,-0.00146226774384144,-0.00154712098693649,-0.0804883429831731,0.074890905807268,-0.0252196697389838,0.0411629730411968,0.051940952551028,0.0251123964036289,-0.0410092860779508,-0.0270726163000875,0.0725988050694718,0.0662867766082528,-0.0406067459986301,-0.0499243417794587,-0.0826187142406083,-0.0838672998224496,-0.0684941696409191,0.00255398549264331,0.0135876849868372,0.0201696568963428,0.0139168607902719,0.0253355830663688,-0.0264045893641612,-0.124531509070292,0.0433252059993027,0.00735137731212122,-0.0563507788542247,0.101693002486688,-0.0287545779705527,-0.0409400263076455,-0.0318358334031692,0.0328074329554673,-0.0218134267722944,-0.00614685061969244,-0.00971064051726345,-0.0133274085732695,-0.0264827860015881,-0.0242172213441522,-0.018829632312679,-0.000657090941612993,0.000581270006084659,-0.0054240485434261,0.012753891602767,-0.00609538034411028,-0.0529741909431614,-0.100136299308998,-0.0870408549195957,-0.125966653273165,-0.0385179754731886,0.0499798876779094,0.051322854866912,0.0386170217886563,-0.0435512718797578,-0.053602162635197,-0.0483267676157937,-0.0713267250322544,-0.00810648779412476,-0.0209790613656367,-0.0203023395617831,-0.0378943779753473,-0.0486286709926689,0.0284031963196529,0.0570749904511188,0.0498452460915347
"asc_ruta2",0.85294999487303,1,0.281088264896107,0.349905601135486,0.39986772674085,0.110988352336493,-0.0271375205643278,0.12508560165353,-0.0178160474342817,-0.0953745574346316,-0.0238103018040039,0.102502222342839,-0.00833036323071446,0.0324808439938544,-0.0941483813448863,0.0909031676177981,-0.23283900538299,-0.0623494760621443,-0.028322361694973,0.0736786843952232,0.0731521294110955,-0.0265383082939156,-0.0220782911709431,-0.0376573789736719,0.0498872352432547,0.00390666973610133,-0.0243339871830954,0.0820727162260115,0.0262724739541361,-0.0789564537980771,-0.0095482036230998,0.098147428441966,0.0744963892404977,0.0398911052114798,-0.0252945621000248,-0.0624837895663434,-0.0947937164118428,-0.081801036835226,-0.00323517248258778,-0.0495907329172288,-0.0167693844793518,0.00599679064268929,-0.0432049858929066,-0.0635171032168412,-0.093955742986965,0.058020085949766,0.0207451884047949,-0.0177111227595307,0.107999278038887,-0.0536648452761389,-0.0411396669170905,-0.036980850489824,0.0203653320894722,-0.0508256141146644,-0.00672291445890834,-0.0110421803854811,-0.00223183979341399,-0.00944716256575689,-0.0548659099761815,-0.0592698111647481,-0.0517818486539226,-0.0332066087434996,-0.0342726683787478,-0.0159629606860101,-0.0212349392982385,-0.0715974340208569,-0.0786178250053184,-0.0727638832181841,-0.109821227832605,-0.0716846372791386,0.0600296572308576,0.0568344785861642,0.0431181884253596,-0.0591580887024918,-0.0682281499046652,-0.0626526555259966,-0.0832902545867832,-0.0371960116617036,-0.0510999192232073,-0.0508157161986696,-0.0686590684214688,-0.0878603415402064,0.0211537953573048,0.0448734202312784,0.0296210001174326
"asc_ruta4",0.266088454999135,0.281088264896109,1,-0.0632536563436455,0.116419794016736,0.0407748285852273,0.0371817052033948,0.0382386242306532,-0.0894740348572085,0.13086914254054,-0.0693687603233278,0.021899234872846,-0.206032991190563,-0.516821615467382,0.328505123368914,-0.304031557956907,0.498043570154296,-0.249542386986879,-0.244535670350442,0.175302890598072,-0.018602434710798,0.0768858791629774,-0.125879844411208,-0.0336472851899471,0.0889201717988787,0.0359064701588505,-0.124234806718021,0.0117740220745281,0.0619553310807318,0.0516466898309771,0.0253095417991189,-0.164093341580977,-0.0927077887124477,-0.225121932332861,-0.139026340561487,0.193915599295801,-0.0754300304099686,-0.0508393515566459,0.0981056774364197,0.118378877315686,-0.0456313018014942,0.016182254381745,0.0681913339510352,-0.0108974289994686,-0.00170193357310416,-0.0235066191271261,-0.244285200811291,0.133652062406276,0.103632287164872,-0.0097825547574849,-0.0850256602075462,-0.0864302787095449,-0.0330967016390172,-0.0733662173783256,-0.0374903294948144,-0.0303505367301367,-0.0277314615610299,-0.0755525018750164,-0.00158653695618812,0.0180856654448601,0.0031137633074489,-0.0894456457928153,-0.051288550929117,-0.0464025586185599,-0.0443158960971735,0.111982500327686,0.0180396765063253,0.0157120981394735,0.0105486038813217,0.122552623950253,-0.0199740795346686,-0.0308957774689204,-0.0205762477341838,0.08176259437407,0.0728308532136205,0.0642153778017076,0.0405324857216146,-0.14743679202781,-0.158875579426134,-0.153587627999344,-0.125194208793208,-0.125501990196178,-0.0200170237788207,-0.0155004743607024,0.0142176971079984
"b_tt",0.496484152640875,0.349905601135486,-0.0632536563436449,1,-0.102848027747865,-0.0773634038285967,0.037537220596198,0.356578539076849,-0.148866084914537,-0.0868916382309239,-0.00537562192200507,-0.0691926065353927,0.0855058209255867,0.132672626318141,-0.0987148053375227,0.0988991351358531,-0.191867385706504,-0.0308452450575766,-0.0363106227462345,-0.00263914387953372,0.0334667709670285,-0.0302513267679953,0.071423758718756,0.00320436508468005,0.0165319812510602,-0.0794094167605339,-0.0134183171845039,-0.0707762663627845,-0.0354371598945242,-0.047005114394253,-0.000110390031407651,-0.0440743446208406,-0.042311096362289,-0.0705726798544315,-0.0824422773503658,-0.0912461805765211,-0.0856657631937766,-0.0839084246186129,-0.197787475148451,0.117077321696665,0.0654884844678212,0.105546505435959,0.00625788721710615,0.0573433460329127,-0.0183636695056295,0.0423000173943973,0.0598914441921343,-0.0355554394995716,0.11351766454031,-0.119427268459484,-0.12071737169547,-0.0955308404545394,-0.0531262297887779,-0.0991678709159208,-0.0642900355149287,-0.0662844265177987,-0.0158759841255532,-0.0565659211984453,-0.132955947740046,-0.133215606689691,-0.0720206372694899,-0.0161489413083818,-0.0570546283837498,-0.03827288908397,-0.0912033311976484,-0.101565148009234,-0.0911328254883368,-0.0593177553512365,-0.0785873078299561,-0.0871008742205379,0.0176995444507525,0.0246416218900789,0.0297037148383997,-0.125728392694919,-0.132942736989938,-0.13266206244478,-0.149988186695493,-0.101373843612444,-0.0889229091769197,-0.0896999072291677,-0.11028486762896,-0.0861747112505781,-0.0587123660906167,-0.0538525801578598,-0.0775379783248592
"b_dt",0.474874044840974,0.399867726740851,0.116419794016737,-0.102848027747865,1,0.190668483252262,-0.198052524785179,-0.00613264739999974,-0.00906986855284594,-0.014350286262365,9.35655422504182e-06,-0.115923834749642,-0.0993158582380409,0.0382897111581966,-0.267851054010825,0.277899838464719,-0.242163237178995,0.057673963788726,0.0782647437067769,0.048963834685724,0.0836626036141046,0.00747255466704385,0.00728048826959183,-0.0627654129337948,0.00603177775815027,-0.0439735224301824,0.0181301572300714,-0.0296744967052547,-0.0747241824703977,0.0461234827865646,-0.0347652225266373,0.180633056796171,0.19405014253791,0.0736612284724693,0.0484365579139954,-0.0430889853481382,-0.0773641336594216,-0.0836614469250196,0.0746072861837047,-0.118023079078591,0.0513438908151515,-0.0210682338156487,0.0635370415752765,0.00258189514416525,-0.0961680851701586,0.024115088775996,0.0601056958998132,-0.0913845062127633,0.035049998959257,0.0220939375496856,0.00844379586545615,0.000870267586280666,0.028679674286251,0.0285030993831415,-0.0149350584853218,-0.0358336567744597,-0.0594228311295462,0.0001736830809542,0.0223621544258424,0.0181537010085975,0.0381932750239097,-0.00134457817241995,-0.00593929446747819,-0.00606753347203671,-0.00618132205574097,-0.0336579651358913,-0.0408113331145259,-0.0378251961465694,-0.050545815664212,-0.0442970220100899,0.0312434434533389,0.0313920184139954,0.0261982388451821,-0.0469974432847264,-0.0516957067473224,-0.0507011564056363,-0.054396174069314,0.0409077165763941,0.0205822383178287,0.0221840026670179,0.00968467554323451,-0.0202464803374744,-0.00862840007115377,0.00675131355327153,-0.0344145919116681
"b_Sem",0.151140373951424,0.110988352336494,0.040774828585229,-0.0773634038285967,0.190668483252262,1,-0.0880397941126527,-0.0419154625947076,0.0518846997151077,-0.0957712530504521,-0.0989671869072046,-0.0806650293437649,0.0730070158769086,0.0940069502618133,0.191474557885061,-0.184981183887069,-0.0266321931102368,-0.0511830192984924,0.0283401402464355,0.044970876064169,0.0227228984600034,0.0735258870827418,-0.037951705555241,-0.0597694742796846,0.132513134182485,-0.0308674359183374,-0.0484872088275229,-0.0257737510660581,-0.00599720719951323,0.0215399695146997,-0.00516736852685392,0.0234169710541592,0.0158957079487396,0.0439954240470814,0.0141315061594006,-0.0181370548225151,-0.0542841872233079,-0.0699329615887686,0.109206981937915,0.0800680077528018,0.0431366635423334,-0.00777961742797003,0.0166717097877277,0.00595541937637406,0.0818310178377751,-0.0719618936793351,0.0445696003901585,0.00197097257684324,-0.000358457062631092,0.0116523171165083,0.0210728464473004,0.0464840233600859,0.0563727220938155,0.029315456109719,0.0227466394452544,0.0573967964414367,-0.0615906254569551,-0.0210402876444,0.00399325775884078,0.0270691970203781,-0.0373253041806056,0.00685415767767635,0.01932405899439,0.030601584313902,0.0136755649758022,0.024563722081497,0.0751593009952066,0.0791816252437725,0.0374627451749371,0.0102329633405858,-0.0701609135144446,-0.062332606496055,-0.0792455512676283,-0.0572625337959661,-0.0492705448762141,-0.0476120350912633,-0.0512377941766958,-0.0386740832097825,-0.0391730662215741,-0.0401571371612929,-0.0384654471765325,0.0117865448036995,-0.0102454069876312,0.00555276525467891,-0.0627484696771272
"b_ACC_1",-0.110249150982994,-0.0271375205643279,0.0371817052033952,0.0375372205961979,-0.19805252478518,-0.0880397941126527,1,0.20732308368121,-0.116302503482739,-0.0619438598905951,-0.0233312076496314,0.0615913579889176,-0.0104854820927608,-0.0647556723112699,0.0846504371058397,-0.0539893362131059,0.0517762119250046,-0.0217975946604059,-0.0204926386899062,-0.0111298887748693,-0.0810422215334974,-0.0192482726803993,-0.0554189448952352,-0.0310195240966483,-0.016358105882612,0.0408682200385317,0.0233859868284275,0.120583902859413,0.111011135884717,0.0294930072714022,0.137805768360203,-0.0769547308306846,-0.00707978086083457,-0.000318093811034581,-0.0480366971663727,0.0112806216407186,0.0190813740875411,0.0267399442505354,-0.0721468264074653,0.0588417744366386,-0.0662454835021376,-0.0234901618897096,-0.0465545996247364,-0.0478237054833357,-0.00202078113286378,-0.00538496355430904,-0.024141147534823,0.0486626797105533,-0.0639885464864712,0.0416450360036358,0.00418825764186084,0.0052821592526925,0.0309253969920603,0.0477341275100861,0.0204432866713102,0.0365952328667901,0.0634070511383186,0.0183326907931327,-3.71048519571107e-05,0.0226472169653578,0.0121212339151492,0.0666388754702404,0.0353287739069435,0.0702534473006138,0.0461417272425975,0.129211290632577,0.0393964673976977,0.0716018716526874,0.0876733561085673,0.132030214484801,0.00700084744396386,0.0194086070162503,0.0145537480970958,0.0209736586286076,0.0111599101924719,0.0179536251555182,0.0170233482180745,-0.0359748221814919,-0.038764990340215,-0.0319781410619517,-0.0165644029066704,0.0883580386712273,0.0265140722967386,0.0166068614087899,-0.0017167456440494
"b_ACC_2",0.236511310049615,0.125085601653529,0.0382386242306537,0.356578539076849,-0.00613264740000026,-0.0419154625947078,0.20732308368121,1,-0.053375162640841,-0.0744429969377825,-0.114830978196979,-0.183455455097262,0.0152780827870865,-0.052420835894975,-0.128005783085745,0.175552378004834,-0.129543506078224,-0.0245301484412804,-0.0744018920010731,0.0447211327566839,-0.0187062752044933,0.0226617961622667,-0.0206926374218728,-0.0807797057926703,0.0444280871669538,-0.0184620860813886,-0.0037327140495366,-0.0242179417548592,-0.0477921606461948,-0.0776385581512232,-0.0649444506961833,0.0124491403113018,0.0143876247016169,-0.0112866033553055,-0.00325143953602969,-0.0303526187487302,-0.0717278083756469,-0.0788127773540401,-0.192424110543333,0.0933219507696305,0.052212500399476,0.0112330769274339,-0.0393171895351357,0.0315192947592854,-0.0777283022326052,-0.0107687219274402,0.0611019388888034,-0.0616719086739103,-0.0170390683632107,-0.116702515715445,-0.126582296246896,-0.113392846440073,-0.0355284489809101,-0.0555470018515986,-0.118826642714977,-0.143740385399066,-0.0706024077017354,-0.0550032900368774,-0.146610658086727,-0.160358796588084,-0.0905956393748438,-0.0973114576834175,-0.110201817166208,-0.0542240965873679,0.07832306204716,-0.0908065437241759,-0.0673542898039225,-0.0375610303860688,-0.0541985328761206,-0.105620551810415,-0.0308584657538043,-0.0224875456010452,-0.0141937247938242,-0.0988762868656148,-0.110456947590195,-0.104690737996977,-0.108438380839305,-0.0430765451594505,-0.0422430364119982,-0.055475035080173,-0.0817545190098257,-0.0459125385857569,-0.0787574462601344,-0.0662558790358071,-0.0363557861875457
"b_SI_CAMFD",-0.0804935591015862,-0.0178160474342817,-0.089474034857209,-0.148866084914537,-0.00906986855284582,0.051884699715108,-0.116302503482739,-0.053375162640841,1,-0.0989351274855723,-2.31967207191096e-05,0.0790085452093837,-0.00118345929376929,0.113896388482666,-0.0787486477462642,0.104525049952977,-0.0411968460920763,0.0523805306916659,0.0898663159217171,0.0740712302722539,0.0687432716238422,0.0501014204439661,-0.0208119077917782,-0.0229832583643081,0.00134510937154201,-0.0740430849418824,-0.0424066855696816,-0.0342347315549169,-0.0820015050753594,0.0457063215397224,-0.00962424827773871,-0.0204948787740098,-0.0633945731449368,-0.0841332890616371,-0.0737908344072963,0.103142591929828,-0.0366137424666456,-0.0318720560892018,-0.038892900955582,0.0596553956144922,0.0565378950584854,0.0691080989538458,0.0182484844069648,0.0332056827810455,-0.0337796134870903,0.0740363201747514,-0.0899869455708331,-0.0458464866427671,0.103273615613545,-0.0293557121030936,0.00587012357834626,-0.00271943618698775,0.0197901878097874,-0.00192487747455756,0.0318559692750567,0.0311615644417149,0.0515510011166422,0.00729812167958369,-0.0130369547078117,-0.0115981387915581,-0.0101860720696417,-0.0151194766784861,-0.0178170017674393,-0.024264513058194,-0.0247855976543786,-0.041216089359208,-0.0400963921201017,-0.0640213250043255,-0.05259693422786,-0.0469320998300957,0.0543579525744938,0.0580869548638298,0.0659064864328085,0.00906031215342315,0.00790174408800005,-0.000441114347672601,-0.00552290092883863,-0.0131523174575349,-0.0255158621130189,-0.0231823319942022,-0.0318637894427878,-0.0249011841658155,-0.0111919701438424,-0.0133706438852632,0.000523251118594426
"b_SI_PANEL",-0.0877635894325869,-0.0953745574346314,0.130869142540541,-0.0868916382309241,-0.014350286262365,-0.0957712530504521,-0.061943859890595,-0.0744429969377827,-0.0989351274855722,1,-0.097827790116334,-0.0453686372993367,0.102376206161075,-0.183882038594184,0.0716589241738169,-0.082670918395221,0.149130945355285,-0.0980448929171056,-0.137821221701815,0.0454997520479758,-0.0189766899329081,-0.0553552373355952,-0.0342363474200625,-0.079749938018144,-0.0644742687713364,0.0743239028675437,0.116801837260509,0.0834521439926106,0.0672376429650005,-0.0197261715019886,0.0291011850486597,-0.0769383865707476,-0.026939692948508,0.0149408918459919,-0.0562884891110997,0.0136096388874068,0.132249149913138,0.129813256983541,-0.00637326401079654,0.0542231594453538,-0.00602294089292456,-0.12161514836302,0.00735682487938814,-0.0869380952258802,0.0539269568300838,0.0230212667495524,-0.119347940358722,0.0849656870844114,-0.095876704721369,-0.0738968886596402,-0.04401124594188,-0.0317727862718445,0.00763643787188176,-0.0158309987458544,-0.0841964043247859,-0.127508691841677,-0.13871567280909,-0.0641619471523345,-0.00417243296013549,-0.0129121746173202,0.00553850785921025,-0.0388647957612123,-0.0577105567951844,-0.091814472810909,-0.054754586523424,0.0342622630603364,0.0777991598853848,0.0577748157671247,0.0907184131413382,0.0328844362677407,0.0442372099410123,0.0367742128800025,0.0315719112692207,0.149802325564008,0.151723895713595,0.148105411018222,0.14852757014416,0.0388663135576159,0.0502960208756234,0.0595671399577348,0.0751566497955343,-0.045896460067714,-0.0580099738132927,-0.081340417497645,-0.0730786310012767
