"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_EXP_2_LV1","gamma_EXP_5_LV1","gamma_HTRB_2_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_EDUSUP_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_HTRB_2_LV3","gamma_HTRB_3_LV3","gamma_SININFOTRF_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.1613420710793,0.126664175960328,0.0811970595882377,0.022805926662175,0.0441174865871051,0.00824749437754994,-0.014936249910161,0.0414852781682068,-0.00960809045985361,-0.00686015461156137,0.000891637529440643,0.00173426446733704,-0.00393721243582125,0.0112840710132523,-0.0129166448826731,0.0362949099087594,-0.0224272918951598,-0.0051126279097493,-0.00198212898246533,0.00956655753472793,0.00607870666728204,-0.000213972932642687,-0.000129787997329502,-0.00681661217558991,0.00822604569642977,-0.00474435762568763,0.00256062469355031,0.00276821932182705,0.00138274922726398,-0.00191241109899825,-0.0011071757764552,0.00846651824332042,0.00820276388742056,-0.00530574274087972,-0.00442689809319249,-0.00930897601286222,-0.0348494846796728,-0.0281404853283701,0.000213807302097885,0.00104762256366931,0.00385177202800803,0.00225077326359802,0.00542440741577433,-0.00156037839936649,-0.0278963027974818,0.0860583461098484,0.00128943121566176,-0.0087630623956243,0.00729238412876819,-0.0130566458724878,-0.0176121450235437,-0.0144263291917813,0.0208755752676762,-0.00877750467740261,-0.00212678136479536,-0.00353614214057795,-0.00601861555779431,-0.014426147250714,-0.0128319404145562,-0.0105090052660293,-0.000602669670404299,0.000100151620399287,-0.000849759157034425,0.00206156413601239,-0.00131833693018807,-0.0109686283333024,-0.0353642273647236,-0.0302961656017349,-0.0458288052315333,-0.031306064470755,0.141659320448981,0.16552976839601,0.152200270171458,-0.0383668542203948,-0.0432965247201058,-0.0372409900253026,-0.0494253800502878,-0.00649178362096853,-0.0159634016600472,-0.0152542104484577,-0.0262388286917366,-0.00992443364436537,0.00565752592473424,0.0115945077133171,0.0112053045032352
"asc_ruta2",0.126664175960327,0.136682475173826,0.0789477193885659,0.0147936667343175,0.0341925339388778,0.00557444382813735,-0.0033839122067682,0.0201944494753415,-0.00195735642917565,-0.00686174644630285,-0.00226019298568933,0.0128107275914083,-0.00115882234373627,0.00503188260307078,-0.0084017824818006,0.0222436326266843,-0.0197269668541352,-0.00774392383020974,-0.00365550934138384,0.00667733748148218,0.00577658647582268,-0.00357427347025738,-0.00170474063752173,-0.00293540677293119,0.00504352379235667,0.000676436953868965,-0.00139326931788281,0.00402598355094503,0.00133149285440806,-0.00338898217695218,-0.000359410386192759,0.0105350573655128,0.00848498613979871,0.0047974081900103,-0.0020644147145699,-0.00647997669620891,-0.0362548283823036,-0.0309328111609862,-0.000249278114483395,-0.00351918829510392,-0.00294755413528957,0.000892672087916887,-0.00851408278951942,-0.00345480706246382,-0.0193719496852096,0.106075070868034,0.00334911031765672,-0.00253503919150149,0.00712823359187424,-0.0224283390396403,-0.0162894908597192,-0.0154240744635408,0.0119272494464077,-0.018824021568345,-0.00214096898670212,-0.00370100164318457,-0.000927676407600205,-0.00473664331375107,-0.0267579731300728,-0.030446397792036,-0.0437133419726058,-0.00526607688412193,-0.00494200076167184,-0.00237492651696734,-0.00422726267795001,-0.0136448275068707,-0.0255550223498851,-0.0233111119369697,-0.0367749289893296,-0.0536257919236795,0.156602375485085,0.168717365291281,0.156415488680929,-0.0479680525640896,-0.0507244007188742,-0.0444381076699875,-0.053122013372684,-0.0274163907720928,-0.0357883936084583,-0.0351418241376814,-0.0437572652614747,-0.0165039850887605,0.00387820033396961,0.00839031454638176,0.00612889583077822
"asc_ruta4",0.0811970595882382,0.0789477193885665,0.577139652162498,-0.00549534054025404,0.0204562394553045,0.00420823828063168,0.00952713378810523,0.0126855994499056,-0.0201994534246722,0.0193474363484866,-0.0135309595320366,0.00562410597871205,-0.0588943630130417,-0.164523486062519,0.0602399721474199,-0.152872511670248,0.0867073585995538,-0.0636878559322146,-0.0648551833006735,0.0326463461153767,-0.00301854833675485,0.0212787036758254,-0.0199725305500745,-0.00538954709750561,0.0184726401569155,0.0127754845029406,-0.0146166930299678,0.00118681239756265,0.00645209259435372,0.0045552076730854,0.00195766002684339,-0.0361936996351014,-0.0216978236610815,-0.0556329962370089,-0.0233158316772595,0.0413240491072092,-0.0592808777598804,-0.039504323019984,0.0155333415384127,0.0172623625571281,-0.0164813038506899,0.00494989665173556,0.0276132310381641,-0.00121798293317919,-0.000721068702797178,-0.0883098551963991,-0.0810388494670782,0.0393095695963862,0.0140553023775062,-0.00840124321699966,-0.0691800372107001,-0.0740750871458096,-0.0398306652462816,-0.0558354402103466,-0.0245333066659072,-0.02090330009033,-0.023685921941959,-0.0778398845101413,-0.001589955095391,0.0190906583651106,0.00540139695542939,-0.0291478089063639,-0.0151970522801722,-0.0141860896426889,-0.0181280790437243,0.0438535535873436,0.0120494722279516,0.0103434482041432,0.0072584613938691,0.188388453173122,-0.107073819791977,-0.188465157792867,-0.153380259850149,0.136231223025024,0.111263512674862,0.0935920920119707,0.0531211679307076,-0.22330776168757,-0.22864577370576,-0.218256166371962,-0.163953444139052,-0.0484429505939554,-0.00754093999700447,-0.00595549820852311,0.00604499323568296
"b_tt",0.022805926662175,0.0147936667343175,-0.005495340540254,0.0130778706593453,-0.00272033884086127,-0.00120190961782842,0.00144784855029171,0.0178070508673122,-0.00505902033097224,-0.00193371389194061,-0.000157841587564772,-0.00267492929870265,0.00367926191021513,0.00635765010079385,-0.00272491507068823,0.00748568058962956,-0.00502826130907057,-0.00118502794178305,-0.00144965357942622,-7.39837998462663e-05,0.000817466980704868,-0.00126029168510244,0.00170587679048829,7.72631295717417e-05,0.00051698940578135,-0.00425309158461167,-0.000237646790551255,-0.00107392249533744,-0.00055553174312952,-0.000624077989574371,-1.28531894669236e-06,-0.00146337605436505,-0.00149067268713549,-0.00262530226966611,-0.00208128647588665,-0.0029270684531286,-0.0101345785548097,-0.00981472760178201,-0.00471408706333286,0.00256996292371252,0.003560587884127,0.00485991897251434,0.00038145545906385,0.000964779901936128,-0.00117117439980523,0.023921456023495,0.00299081091460769,-0.00157418850747841,0.0023175900617773,-0.0154391302724682,-0.0147852479450524,-0.0123247443182338,-0.00962431666020715,-0.011360903415958,-0.00633298643952986,-0.00687207744460227,-0.00204120325714912,-0.00877276021544764,-0.0200572089265485,-0.0211675006714174,-0.0188063935811229,-0.000792170796457967,-0.00254482470236277,-0.00176132735794346,-0.00561605062692383,-0.00598725009007462,-0.00916309474877998,-0.00587819422344671,-0.00814010600898115,-0.020154973996126,0.0142825802260648,0.0226271208092271,0.033330522224489,-0.0315343161930547,-0.0305724361744464,-0.0291054903230299,-0.0295903085319594,-0.0231127659292637,-0.0192640570434453,-0.0191880280884351,-0.0217410388903559,-0.00500711854779395,-0.00332953530983287,-0.0031146387849523,-0.00496259800860574
"b_dt",0.0441174865871051,0.0341925339388779,0.0204562394553047,-0.00272033884086127,0.0534954729083636,0.00599108042091983,-0.015450103845657,-0.000619405118710122,-0.000623392606948762,-0.00064589926902654,5.5564659778466e-07,-0.00906390515230829,-0.0086431812429558,0.00371096948322364,-0.014953884906068,0.0425419202625327,-0.0128355620668374,0.00448136339902587,0.00631955792425734,0.00277612479619018,0.00413311777135432,0.000629630477017919,0.000351686309217359,-0.00306084044602294,0.000381497826159651,-0.00476336630914938,0.000649419712307647,-0.0009106650081251,-0.00236919681627484,0.00123852803606334,-0.000818683547468786,0.0121299024765988,0.013827127834264,0.00554206555902843,0.00247311978451817,-0.00279559624582469,-0.0185109227393791,-0.0197919256786535,0.00359641708545289,-0.005239755430012,0.00564593069015772,-0.00196201939391771,0.00783308949696188,8.78564830766208e-05,-0.012404608669966,0.0275820109128467,0.00607057456162943,-0.00818301321037593,0.00144727539354455,0.00577673507838541,0.00209163818976282,0.000227079079307023,0.0105081223002415,0.00660425695447522,-0.0029755127577472,-0.00751376604057314,-0.0154521506171984,5.44789722395055e-05,0.00682285854120207,0.00583404332803678,0.0201709084249478,-0.000133398462846708,-0.000535786597037554,-0.00056474320152018,-0.000769824415875702,-0.00401292041038225,-0.00829923610323025,-0.00758106828643253,-0.0105889489661542,-0.020731191117921,0.0509909934281681,0.0583000924396701,0.0594556929559219,-0.0238404409304011,-0.0240441763732401,-0.0224975920143196,-0.0217045502113722,0.0188634551079288,0.00901813416651852,0.00959772400466799,0.00386135240172699,-0.00237929104268836,-0.000989633327992938,0.000789731473815399,-0.00445479008422356
"b_Sem",0.00824749437754996,0.00557444382813736,0.00420823828063185,-0.00120190961782842,0.00599108042091982,0.0184559091625182,-0.00403403112117612,-0.00248662482229098,0.00209463891871679,-0.00253191198535442,-0.00345209829203267,-0.00370456411662403,0.00373188991115086,0.00535148685379694,0.00627886225846308,-0.0166328072984029,-0.000829130354999002,-0.00233596036802792,0.00134410047023416,0.00149762857090997,0.000659355053088221,0.00363886647805275,-0.0010768010240836,-0.00171202043197646,0.0049228303397378,-0.0019639593149366,-0.00102014119994486,-0.000464581726443388,-0.000111685869130689,0.00033973323867951,-7.14742638965791e-05,0.000923634195476394,0.000665284022065269,0.00194423794953583,0.000423808377628788,-0.000691168844226923,-0.00762905854591154,-0.00971748339094376,0.00309206361757253,0.00208791254987879,0.00278613735876446,-0.000425542179329542,0.00120724508931243,0.000119030092099513,0.00619982254193581,-0.0483446978914758,0.00264400404119479,0.000103664598737688,-8.69379743659078e-06,0.00178949640781887,0.00306606421454445,0.00712421854701812,0.0121319082359222,0.00398967700062038,0.00266183627467188,0.00706908816615096,-0.00940717913595853,-0.003876432898781,0.000715631214573754,0.00510962527441966,-0.0115784685319861,0.000399418398443427,0.001023916516425,0.00167298462058137,0.00100037952263674,0.00172018862523521,0.00897737315183006,0.00932143633795034,0.00460974020999178,0.00281293922760924,-0.0672572369307876,-0.067994611556485,-0.1056344183455,-0.0170616024588715,-0.0134602150795749,-0.0124092096881301,-0.01200831485962,-0.0104747879094891,-0.0100814003772616,-0.0102047013382563,-0.00900812399165365,0.000813567799971011,-0.000690211927943444,0.000381513305172019,-0.00477086321707903
"b_ACC_1",-0.014936249910161,-0.00338391220676821,0.00952713378810533,0.00144784855029171,-0.0154501038456571,-0.00403403112117612,0.113758801562162,0.0305357395676345,-0.0116569170570091,-0.00406571077722161,-0.00202047707957838,0.00702257492351576,-0.00133069158814205,-0.00915202289709143,0.00689166038379697,-0.0120523232559697,0.00400194337459882,-0.00246986333585143,-0.0024129726700258,-0.000920213022766008,-0.00583837156102367,-0.0023650612461967,-0.00390379674122996,-0.00220591828291198,-0.00150873768981827,0.0064556865678021,0.00122155657540268,0.00539633139453103,0.00513263644105254,0.00115487982600344,0.00473230180968438,-0.00753580045096942,-0.00073565097634582,-3.48997173253546e-05,-0.00357667110792153,0.0010672722131738,0.00665781979413581,0.00922480439461897,-0.00507154204015491,0.00380946357322558,-0.0106227516680717,-0.00319003291963127,-0.00836956109451463,-0.00237308025193402,-0.000380106561210337,-0.00898160223606768,-0.0035555440754923,0.00635434355663267,-0.00385300349222285,0.0158783934651402,0.00151292087564428,0.00200987845926759,0.0165234288960511,0.0161285324568367,0.0059393592679784,0.0111898700271741,0.0240440231711181,0.00838555078529129,-1.65088726186086e-05,0.0106133699120975,0.00933510867972679,0.00964109620979545,0.00464750152902277,0.00953543387724154,0.00837988667925065,0.022465037251513,0.0116828448258066,0.0209270293353532,0.026783619468552,0.0901066911655609,0.0166616950934277,0.052562783799705,0.0481648475684513,0.0155148733446582,0.00756920236138495,0.0116172761744376,0.00990515798471342,-0.0241907118859437,-0.0247683889106628,-0.0201750932512695,-0.00963083932420622,0.0151418203480251,0.00443460011164682,0.00283277915473147,-0.000324059354734027
"b_ACC_2",0.0414852781682067,0.0201944494753415,0.0126855994499058,0.0178070508673122,-0.000619405118710174,-0.00248662482229099,0.0305357395676346,0.190693793408705,-0.00692643286913356,-0.00632612604402259,-0.0128751277997366,-0.0270821417448507,0.00251034633742161,-0.00959221706845778,-0.0134927361657261,0.0507393939031901,-0.0129637930081966,-0.0035986557371757,-0.0113426432954112,0.00478725014704102,-0.00174479130157986,0.00360512836711432,-0.0018872114687156,-0.00743759167267534,0.00530535091375255,-0.00377583719417678,-0.000252440122001382,-0.00140320874097771,-0.00286092449848456,-0.00393614395572874,-0.00288750576870991,0.00157837140054033,0.0019356056280875,-0.00160326653587774,-0.000313442097257124,-0.00371804045974366,-0.0324030377217653,-0.0352021408093249,-0.0175128997049482,0.00782235727397046,0.0108400434081465,0.00197507532349695,-0.00915162737982641,0.00202498340623856,-0.0189295828961132,-0.0232547131642169,0.0116514217531809,-0.0104264829125573,-0.00132836914020706,-0.0576101904174878,-0.0592013445740057,-0.055862418914534,-0.0245774553595691,-0.024299775511485,-0.0446970107627416,-0.0569056131299643,-0.0346628979476803,-0.0325739047924643,-0.0844555183030134,-0.0972986968764777,-0.0903349098331577,-0.0182279786041723,-0.0187696211466405,-0.00952885940799936,0.0184166116814863,-0.0204408805081545,-0.0258602288154621,-0.0142133509880483,-0.021437046011505,-0.0933271321110307,-0.0950864587031093,-0.0788500228385404,-0.0608173498759166,-0.0946982521615824,-0.0969969836465282,-0.0877073918444739,-0.0816911901238838,-0.037503053772589,-0.0349453167022382,-0.0453143440074908,-0.0615426077291693,-0.010186831050565,-0.01705475276235,-0.0146327297550413,-0.00888521465772753
"b_SI_CAMFD",-0.00960809045985364,-0.00195735642917565,-0.0201994534246723,-0.00505902033097224,-0.000623392606948753,0.0020946389187168,-0.0116569170570091,-0.00692643286913355,0.0883088599050293,-0.00572134806826416,-1.76991715149344e-06,0.00793707166693422,-0.000132328066858552,0.0141826984636251,-0.0056486855915702,0.0205585652238353,-0.00280552582003382,0.00522930388107878,0.00932311611124116,0.00539581118070354,0.00436335175333526,0.00542388288055342,-0.00129166672584855,-0.00144004320978711,0.000109306995727616,-0.010305067800606,-0.00195164961398078,-0.00134985101581312,-0.0033404533804562,0.00157689814563826,-0.000291193375382114,-0.0017682719386936,-0.00580381709375749,-0.00813287677552403,-0.00484080873359809,0.00859784962941004,-0.0112557942928628,-0.00968760414734647,-0.00240881124711388,0.00340280787563578,0.00798785228338133,0.00826889993197231,0.00289052362648787,0.00145174805117333,-0.00559822563608963,0.108799151701333,-0.0116771619146598,-0.00527461014985388,0.00547893532963922,-0.00986155888615861,0.00186827027857958,-0.000911689204406068,0.00931632097996335,-0.000573031622279913,0.0081543497749826,0.00839516845366929,0.0172232981786453,0.00294121054819674,-0.00511060722986849,-0.00478890692954931,-0.0069117643931746,-0.00192728149432099,-0.00206507216965438,-0.00290171018682784,-0.00396600564930394,-0.00631368770359385,-0.0104762597644712,-0.0164860837360597,-0.0141570152581809,-0.0282204109679848,0.113983317745281,0.138602874119583,0.19217333667057,0.0059050942679399,0.00472195682207503,-0.000251485516928061,-0.00283134839121729,-0.00779223265302519,-0.0143640847769359,-0.0128863253700469,-0.0163228282231346,-0.00375977328133478,-0.00164927928884299,-0.00200949584925201,8.7023873285407e-05
"b_SI_PANEL",-0.00686015461156135,-0.00686174644630284,0.0193474363484868,-0.00193371389194061,-0.000645899269026539,-0.00253191198535442,-0.00406571077722161,-0.00632612604402261,-0.00572134806826415,0.037869661736914,-0.00488801084934724,-0.0029845959509412,0.00749620144853417,-0.0149944934915847,0.00336603133970751,-0.0106480174590695,0.00665061252440733,-0.00640977133070412,-0.00936318974041082,0.0021704999971611,-0.000788776682277112,-0.00392430320758964,-0.00139145632018485,-0.00327218502433005,-0.00343099716206554,0.0067738945180478,0.00352014674249113,0.00215476535218554,0.00179365803015301,-0.000445670358890786,0.000576592409830173,-0.0043470071037241,-0.00161509417475686,0.000945793708735496,-0.0024181245582165,0.000742919880890891,0.0266237047295532,0.0258385967285857,-0.000258486529725026,0.00202542465548189,-0.000557240360834509,-0.00952905947885386,0.000763103973665621,-0.00248904375840977,0.00585255103996128,0.0221540675402426,-0.010141829238865,0.00640134823985951,-0.00333091434783633,-0.0162563364775813,-0.00917275297868733,-0.0069753630304562,0.00235412177345249,-0.0030862235932229,-0.0141135293730121,-0.0224953899609365,-0.0303492751741463,-0.0169330863892268,-0.00107109820060647,-0.00349133128328475,0.00246103919977659,-0.00324420549575171,-0.00438025555651399,-0.0071901371242365,-0.00573743806928633,0.00343697151403618,0.0133112684877861,0.00974260256349773,0.0159900671764688,0.0129487344165171,0.0607448558173945,0.0574619799303055,0.0602850213335243,0.0639360503001619,0.0593740413522817,0.0552937818663264,0.049862805368607,0.0150791392568241,0.0185415021005647,0.0216831460044831,0.0252120972289864,-0.00453799926527862,-0.00559801303939854,-0.00800543181252963,-0.00795906810004778
