"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.529937980480054,-0.225972350553825,-0.473526226011434,-0.693735725324286,0.0585618667885447,-0.0501367377897412,-0.017359615808784,-0.0347708677793072,0.0828426332100165,0.0435004776201462,-0.0209848168217892,-0.0174903892740174,0.000548620807241714,-0.00304559457440716,0.0493024312990609,-0.00116705234015575,0.00273863454204719,-0.00165783294508754,-4.90283657502188e-05,0.00550060678930957,-0.00121081942781494,-8.6405566844416e-05,-0.000438857051403974,0.00128230681571179,-0.000447576217543728,0.0018949475246325,0.00103213498122855,-0.0108630316752241,-0.0180727290928159,-0.00383407753003961,0.0109898975075203,-0.012827452247857,0.00157431610869375,0.00187817830008936,-0.00131874962172728,0.00155969932810246,0.00312050657408189,0.000900421757424952,-0.0103108873576558,-0.0129926286584041,0.00110631982623925,0.00164233050789124,0.0024440425989349,0.0026882101383474,0.00238138939902547,0.00156644373360596,0.00263412335827625,0.00282895448160885,0.00226593619909698,0.00279563936034606,0.00103233082003757,0.000860385366124458,8.72387020966566e-05,0.00163243143072075,0.00212568414587356,0.0022626532599573,0.00200795179915445,0.00164085523550661,0.00235449260111459,0.00247382966172486,0.00253510571370063,0.00239162871990864,0.000509318848535639,0.000610774432949206,0.000979605138108392,3.112073604846e-05,-0.00325239381416144,-0.00637089363623672,-0.0119778021349872,0.0032832146660127,0.00248022598556515,0.00122093788630126,-0.00874674730604636,0.0019175911641286,0.00221546462867455,0.0022285384611651,0.00186444246296723
"asc_ruta4",0.529937980480054,1,-0.306124367421643,-0.214691660915354,-0.399659014278641,0.113658556629876,-0.0179324225815102,-0.0581759523999943,-0.0404203499880223,0.0826790054217064,0.0719876110459449,-0.425428915840768,-0.60829677742346,0.0221512166313174,0.0337736172390043,0.345442989635867,-0.0928855879877855,-0.0794627582083365,-0.0586671683611163,-0.118427541882244,-0.0391569290604809,0.00518353312125714,0.00698117590258515,0.0318600211278826,-0.0114672996388972,0.0394458281033351,0.0609942899736302,-0.0184937075746274,-0.0799971006214639,-0.048250416694472,-0.0117284305116911,-0.00513511467547941,-0.0370020715772741,-0.0171557448705804,0.0116278057222131,-0.030192595136758,0.00363355626665022,0.00385024264859044,0.0345914540004354,0.0150886933391506,-0.0764613007598949,0.0119099895133243,-0.108142459597189,-0.117212174617873,-0.114225341584155,-0.0912153736570791,-0.118953847839308,-0.10783975264301,-0.101413044435231,-0.074722705905321,-0.100117043390591,-0.12039545733592,-0.118384489028786,-0.0940732321231108,-0.100906747060288,-0.113205067844425,-0.111569989609665,-0.0836791242600073,0.0348770576751638,0.0218839553663415,0.0195911353849453,0.0155441084381134,0.0295983596953889,0.0412756958267276,0.0402604775790126,0.0375217411311163,-0.0756873252725999,-0.0901680435822607,-0.0951108797354555,-0.0736586008115201,0.0222251343898784,0.0107594812668541,-0.00023677531707786,-0.0673218607492565,-0.11305632177493,-0.109246723755376,-0.104949488884686,-0.0858921257510487
"b_tt",-0.225972350553825,-0.306124367421643,1,-0.12846571587753,-0.0415727668426971,-0.0415948171003276,0.052433493189932,-0.0894259074168841,0.0377482491529689,-0.0750999992989805,-0.0990461868496926,0.0228021655212056,0.0663004278975955,0.135124162519877,-0.13758462023735,0.0210789343450486,-0.0125253059879029,-0.00276738929308473,-0.00794172213093502,-0.0202585013895488,-0.00162214455137224,0.0100121217824021,0.00436437333446245,0.0126641893743712,0.00590343813327201,0.0139230359042544,0.0103859260137961,-0.0123797341319228,-0.000423039358259689,0.000783880035008996,0.0146386013409001,0.00695218386032772,0.00915965557148761,-0.00265654921304748,-0.00815813692731894,-0.0114464946488421,-0.00352374108007566,0.00340515339196966,0.00862043078652146,0.012106746771471,-0.0255729436193862,-0.00480337069346277,-0.00977719997900345,-0.00861437634034331,-0.00793414854907243,-0.0027703655089132,-0.00728054508361615,-0.0108540208900272,-0.0109884986250787,-0.00908632359471951,-0.00596223432516708,-0.0128018785913301,-0.0128504523519692,-0.0079576055494783,-0.00833612410061393,-0.00884375186184827,-0.00865498425567474,-0.00509804807996276,0.0136989683693694,0.00667688091853318,0.00565961647752449,0.00480728572112664,0.0138125884935906,0.00883919083411806,0.00840193584043728,0.00903122451693707,-0.00811920041385021,-0.00448819614394154,-0.0011229526464888,0.00804740646795177,0.0240519354645452,0.0244485156150139,0.0240561723460151,0.0135811877122455,-0.00835473812530641,-0.00929740980026193,-0.00903015270857536,-0.00741848446525355
"b_dt",-0.473526226011434,-0.214691660915354,-0.12846571587753,1,0.204134598575952,-0.0487680016421748,0.0150624809696392,-0.00426921423178992,0.0606561322222539,-0.0690111376207264,-0.0990106775544635,-0.0299767075939998,0.03689594765393,-0.175186074242709,0.177716748687183,-0.164378345825807,0.0126513187876833,-0.010012047279052,0.0260213820774532,0.0278206801082428,0.000583318055938609,-0.0123156463274004,-0.00108935377079908,-0.0106489915738116,0.00322789592653773,-0.00853566114459091,-0.0243216923454516,0.0124507455213053,0.027773105969419,0.0308222443272063,0.00896199296212087,-0.0173519786788152,0.00716270361337279,0.00378323333012446,0.00381189678395841,0.0134762178734333,0.00304179846833569,-0.00713204190141037,-0.0106483168918697,0.0211583149157062,0.030793425921218,0.000304347837146736,0.0137237584097271,0.0134853830721464,0.0125614791054649,0.00758031101641703,0.013666813631744,0.0135386918278089,0.0129388832381236,0.00963357092555553,0.00952886164941679,0.0179478109556986,0.0181406771685274,0.0132111948092392,0.0122308601695678,0.0134801024856605,0.0131915580980824,0.00872953116936858,-0.0169737877096593,-0.00904604104257493,-0.00808301769354287,-0.00713176063030389,-0.018184268859848,-0.00970094606908072,-0.00966615344382556,-0.0106616130325428,0.000281044761165256,0.00652341914895372,0.0123921107741988,0.0230904901503533,-0.0101658059466073,-0.0073050727719851,-0.00487231218301653,0.0147143294115899,0.0146619070582909,0.0128905044993534,0.0121310352615108,0.00913495965831592
"b_Sem",-0.693735725324286,-0.399659014278641,-0.0415727668426971,0.204134598575952,1,-0.10705190534156,0.0248213687563464,-0.0259188245627428,-0.0318142538667859,-0.0523936050365175,-0.0293555482956898,0.044639029832562,-0.0129237337002999,0.060622596085491,-0.0589236963239078,0.0305396947879661,0.000100668148057726,0.0031232791383966,-0.00866244833872797,-0.00729513856472552,-0.00987415714300917,0.00729764461323141,-0.000971379134908847,0.000155228806578564,-0.0072313099947232,0.00184230144866141,0.00591322643676065,-0.000919839840187071,-0.00044798808299291,0.00953083889110334,-0.00371318511011449,-0.00969145292872373,0.00792835412805824,-0.00523640972127495,-0.00357932880868362,-0.00150544108286705,-0.00379656701811194,-0.00110571071393626,0.00272493855830435,-0.00611616598785055,0.014386039760827,-0.00142835205319366,-0.00580391804601491,-0.00782409848845428,-0.00800052301246728,-0.00704932050205281,-0.00671504625596368,-0.0072052511122553,-0.00718536755303802,-0.00555543302466931,-0.00729005039713496,-0.00589477003248176,-0.00569467588348406,-0.00357976282615635,-0.00600019515056741,-0.00705359852545847,-0.00712365545897901,-0.00555179311146053,0.00239401560175376,-0.000825134457051734,-0.00117820751275012,-0.00142784693615868,0.00191312837875131,0.00207601174174356,0.0021237253675617,0.00212322274287075,0.00657634805008018,0.00566778875799677,0.00449825885455032,-0.00051219088088535,-0.0114738807693724,-0.0122409286621435,-0.0115022345525336,-0.00266295382097117,-0.00754713006206764,-0.0067273254789751,-0.00645016637370942,-0.00490389723553135
"b_ACC_1",0.0585618667885447,0.113658556629876,-0.0415948171003276,-0.0487680016421748,-0.10705190534156,1,0.110045962614377,-0.0310351693661661,-0.0201765008903069,-0.00800752690943317,0.0295357445892348,-0.0115360653373837,-0.12068054642989,0.0202956281384704,0.00817862023732548,0.016850514971356,-0.00277792640520673,0.00149542480672961,0.00094622151971932,-0.00110986875331698,0.00716411934274258,-0.00470886958258836,-0.00678164993642455,0.00625386121258229,0.00397333224898612,-0.0117721413260348,-0.00706991083780303,-0.00292306171481842,-0.00595095903160402,-0.00325075488759062,0.0082765944739536,0.00132092377567508,0.0062601366680009,0.00498338054961713,0.00145895367059511,0.00188094791562245,0.00453917343516734,-0.00413927044729224,-0.000890511953356458,0.004615828148091,-0.0031404227384101,0.0019933756484586,-0.00533818556694598,-0.00363087443871928,-0.00282586786185629,0.000338641374765627,-0.00380457560917371,-0.00510775805563295,-0.00489673774738782,-0.00343892936181635,-0.00389752874577277,-0.00466147340395781,-0.00427719869200533,-0.00152153210927976,-0.00382960406021538,-0.00435470259882433,-0.00414114426212351,-0.00211471210095915,-0.0101012262504444,-0.00732438376613874,-0.00682106421398213,-0.00572015553109648,-0.0114608624222802,-0.00245430400357421,-0.00206218870132938,-0.00179905649833467,-0.00446490042095093,-0.00412886220459519,-0.00356544605744604,0.000429803334832425,0.00286617609992097,0.00308204091993499,0.00271835411356915,0.00120746196068725,-0.00348967520303867,-0.00477278980177112,-0.00468005787459635,-0.00382573289836595
"b_ACC_2",-0.0501367377897412,-0.0179324225815102,0.052433493189932,0.0150624809696392,0.0248213687563464,0.110045962614377,1,-0.0025943085391395,0.0397613866299763,-0.0694095208899729,-0.0211687704761372,-0.0244644936960989,-0.0167284514589539,-0.00980255696372106,0.0225398499318769,-0.0506037460664608,-0.00803119652696954,-0.00329140612935764,0.00824744576853328,0.00161892277520117,0.00166444497559918,-0.00567201643303104,-0.000262379018272359,0.000144660772042327,-0.00178977567931807,-0.00873571492109304,-0.00400677873700588,0.000263712698507542,-0.00523836003130341,0.00502949772278869,0.00376142016368781,-0.00278094413873567,-0.000754643752560921,0.00385444449901087,0.0035585914549865,0.00619448648867258,0.00446962947722207,0.00166441700129217,-0.000478991092465478,-0.00693462895207298,0.0100285811600876,0.0035087755817191,-0.00320292123665564,-0.00330674341074171,-0.00311686628046594,-0.00204496941656866,-0.00292526172772853,-0.00339816308526117,-0.00336398971878005,-0.00271464250134891,-0.00401327346562751,-0.00175532344374473,-0.00138666348928346,0.000108529560497259,-0.00285992558849163,-0.00329996322203202,-0.00323358047124584,-0.00240204435453045,-0.00346802422790293,-0.00143318520726378,-0.00099538589246144,-0.000308332614803422,-0.00319496240388463,-0.00173226588713646,-0.00168412671451915,-0.00116623921240156,0.00508823837952834,0.00383576299686041,0.00255337377007217,-0.00284138014688804,-0.00955230868420873,-0.00954874289069681,-0.00917076476736679,-0.00424507994410099,-0.0026626199400727,-0.00338645362415176,-0.00339778415770732,-0.00304285859289928
"b_SI_CAMFD",-0.017359615808784,-0.0581759523999943,-0.0894259074168841,-0.00426921423178992,-0.0259188245627428,-0.0310351693661661,-0.0025943085391395,1,-0.0405897818579158,0.0289341677801761,0.0747680785589851,0.0024791913756875,0.0978021945269933,-0.0935627119692724,0.072552215549349,-0.147600644118692,-0.00596175339110935,-0.00697434781042498,0.0154503538122935,0.022366627683727,0.00480662416034246,-0.00307256676908752,0.010480203886405,-0.00631767095383624,0.00418045139837651,-0.0142375440790346,-0.00696171073970945,-0.00669007038744876,0.00350826931554536,0.00637459388625425,-0.0150294926423632,-0.00308736235471996,0.0157466795062836,0.00472936518169293,-0.000675578806468436,0.00378821519102311,-0.00230423202569037,-0.00466146261160711,-0.014476980079514,0.00735844371410073,0.00180400151275581,-0.0044398337824079,0.00856235357158059,0.0132764296296471,0.0132061079681713,0.0103276370688736,0.0108921045132158,0.0110704178690469,0.0104345422223581,0.00745391079831017,0.00910826887427382,0.0123823674743227,0.0123342369133707,0.0083298013980257,0.00998751667209324,0.0111911215559004,0.0108539606445672,0.00683977504812055,-0.00410853754208855,-0.00225490885850173,-0.00212983466692598,-0.00254576513245123,-0.00197676997545237,-0.0112171827528853,-0.0114247740252652,-0.0127406520608314,-0.00509598178230878,-0.00349604227457608,-0.00150247639671253,0.0033683530406552,0.000152701301316412,0.000255932622861102,0.000384210458695941,0.00253566429230005,0.0118927511306189,0.010268957050822,0.00949227764454817,0.00665576371238162
"b_SI_PANEL",-0.0347708677793072,-0.0404203499880223,0.0377482491529689,0.0606561322222539,-0.0318142538667859,-0.0201765008903069,0.0397613866299763,-0.0405897818579158,1,-0.012253298494829,-0.0817822285254819,0.0824204420048103,0.0195142733633117,-0.0564994881630992,0.0535693167938807,-0.00402952693869333,-0.00514718099065516,-0.0050533013002082,0.00566296188228521,0.00381891131851033,-0.00165207204115048,-0.00172294515820205,0.00146561000480456,-0.00664026604637449,-0.000337867481025239,-0.00559597617404735,-0.00445806113301734,0.00176368831436328,-0.00111412421213421,0.00285615728871775,0.00110229614781815,-0.00320133317121288,0.00176688701386074,-0.000147109186154197,0.00282863928895643,0.00259699123797021,-0.00113707534177127,-0.0033220577183707,-0.00497120247372091,0.000710485200020264,0.00732072446480737,0.0011048090686992,-0.00324673880535282,-0.00246434659746886,-0.00247297608822363,-0.003802425141254,-0.00422783538153331,-0.00143962503176181,-0.00100664473523124,-0.000611983298556132,-0.00418976357670476,-0.000963597696265165,-0.000722856927991566,-0.00219022805001702,-0.00199310025479743,-0.00287872619284464,-0.00294103141369597,-0.00342349162189084,-0.00515993521031176,-0.00384871444670123,-0.00349272087923429,-0.00306408395084648,-0.0054373475615809,-0.00437890945221843,-0.00423486685935637,-0.00487169235648428,0.000101952578343793,-0.000845212967657811,-0.00140279369599096,-0.000623704014085954,-0.00529163545334317,-0.005197445611734,-0.00525697107013647,-0.00291862888264155,-0.00343141535326205,-0.00231699715185707,-0.00222964406390467,-0.00202769285459968
"b_SI_ZER",0.0828426332100165,0.0826790054217064,-0.0750999992989805,-0.0690111376207264,-0.0523936050365175,-0.00800752690943317,-0.0694095208899729,0.0289341677801761,-0.012253298494829,1,-0.0538628683003109,-0.0937378648847586,-0.0167390984544781,-0.111971700856661,0.126123329929024,-0.0395943940008397,0.020795328202622,0.0179913831657294,0.0262618278925277,0.015422373016096,0.0118906036455136,-0.01757155739796,-0.0117842581520012,0.00832173385329377,0.00418356193399537,-0.00707786006801562,-0.00514962478351791,0.00238312480065314,0.0106195270017486,0.0069815294590361,-0.01028943291427,0.00218935103208758,0.00239039935658181,0.0118426465209161,0.0160983738300128,0.00298769668256332,0.0101836848357293,-0.00305582615782105,-0.000418675779836896,0.0125470870495245,-0.00502219028578331,0.0115505858026524,0.0221055565558317,0.0239921729628628,0.023113882285335,0.0174781372505468,0.0208139560897303,0.0256625404736526,0.0255792254909237,0.0218659496290915,0.0252047595871892,0.0180632860495331,0.016738295108441,0.0075698655202352,0.0207637093861531,0.0233134016750226,0.0229981035803194,0.0167400450291225,-0.00875053167547618,-0.00365616018792103,-0.00338204089569701,-0.00333460721638012,-0.0112820311193939,-6.240571429907e-05,-0.000238705395692256,-0.0011887773043339,-0.00833853253979745,-0.00587429112264738,-0.00314640475431563,0.00408804146575743,0.00749855529887401,0.00829909201197086,0.0082133759292292,0.00464218261925573,0.0216525085557176,0.0237761228855264,0.0234277906807498,0.0199332257728087
