"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.0979008677991722,0.0998932978310095,-0.00835077571802048,-0.0444885692517921,-0.0306628738526356,0.00560673359740999,-0.018382244990419,-0.00167064883977752,-0.00238427123966779,0.00697250523423044,0.00469353083728065,-0.00244462554487014,-0.00217065198971808,3.52910317901661e-05,-0.000613693758893405,0.00292519715435683,-0.000116733278888806,0.000336306340219311,-0.000119896758402055,-4.57966452087067e-06,0.000432690491853175,-0.000111201953512933,-3.09101594989866e-06,-2.40786782946839e-05,4.69518833520625e-05,-1.52422500741921e-05,6.30534245697115e-05,3.88361889158071e-05,-0.000628114417007021,-0.00209788416855802,-0.000230502770906043,0.000903753499879478,-0.000758909974520616,0.000147232540973174,0.00011314574678676,-0.000139462232526559,4.47961340929421e-05,0.000430723543500654,0.000464268133545583,-0.000948001882647919,-0.00140316184151022,4.01295696593177e-05,0.000493990710100429,0.000774206180664203,0.000897973840821955,0.00105546552421414,0.000343732395132435,0.000590872536806389,0.000663684930866101,0.000674579577913243,0.000973059753605426,0.000387980624821855,0.00033914290362224,4.78800979199346e-05,0.000208133267513924,0.000240602068396682,0.000259802246045334,0.00030155632618385,0.000223683869418815,0.000431690750232732,0.000495556307549487,0.000612964971562928,0.000627403608676442,0.000322865385271786,0.000426305129348715,0.000832804538114593,4.17098099757172e-06,-0.000315765383115821,-0.000536335331552636,-0.00108682313042572,0.000740286640635508,0.000436473844220829,0.00018453315711079,-0.000826624039697505,0.000283571657909691,0.000314836465030365,0.000324828797541234,0.000318596909276423
"asc_ruta4",0.0998932978310095,0.362941030300432,-0.0217818207838851,-0.0388368806937154,-0.034012078473778,0.0209518274389837,-0.0126591983601362,-0.0107798651724649,-0.00533660382759774,0.0133984623747936,0.0149550605190071,-0.0954242886505114,-0.14535534427635,0.00274355978610161,0.013103338393831,0.0394628050865876,-0.0178886451188832,-0.018788381594726,-0.00816933236991657,-0.0212992213163397,-0.00593062055970496,0.000916608071082573,0.000480853594129099,0.00336573862043077,-0.000808438505907508,0.00258647283736999,0.00390773796678728,-0.00133982740583868,-0.00890608274931488,-0.0107840923532042,-0.00135762529819798,-0.000813076220400188,-0.00421502986750303,-0.00308920130956348,0.0013487266680735,-0.0061477963347302,0.000200935329710139,0.0010232608839184,0.0343412797567718,0.00267109634244915,-0.0158992700067264,0.000831801979056886,-0.0626295407992634,-0.0714900086112082,-0.073466220714563,-0.0778406476597005,-0.0502584305566694,-0.0465759092127404,-0.0458093976241056,-0.0428314587136412,-0.0670951522574659,-0.0871216333089022,-0.0898481803930467,-0.0994115082670134,-0.0247714553974281,-0.0246712557643775,-0.0246659048280342,-0.0241967507011348,0.00915438139731936,0.00772548932328226,0.00755627203737908,0.00723652661044401,0.0149501537531404,0.0503791579485082,0.0541057466274157,0.0614185804795129,-0.019531530323458,-0.0168553898061466,-0.0154166855689066,-0.0128685604290039,0.00964872196093065,0.00364571795566716,-6.8903618826665e-05,-0.0122501759239855,-0.0321904032702728,-0.0298918911169624,-0.0294536744123794,-0.0282599043317176
"b_tt",-0.00835077571802048,-0.0217818207838851,0.0139494309585875,-0.00455592554903466,-0.000693605776068426,-0.00150320843109927,0.00725665112814374,-0.00324857871786651,0.000977061540241297,-0.0023859418906465,-0.00403393026069181,0.00100269357484734,0.00310593263264835,0.00328102901841655,-0.0104648855037481,0.000472085250623333,-0.000472909098992095,-0.000128279188784906,-0.000216803524645793,-0.000714296527350639,-4.81660773376586e-05,0.000347091624985138,5.89340641133259e-05,0.000262284082413969,8.15926537172827e-05,0.000178978555700305,0.000130449281317778,-0.000175831386439766,-9.23322599758553e-06,3.43472796035215e-05,0.000332200145714714,0.000215805532479649,0.0002045568242936,-9.37809675078002e-05,-0.000185514294947164,-0.000456932185230256,-3.82022212588979e-05,0.000177416972789606,0.00167778705549739,0.00042017053263592,-0.00104250089360004,-6.57680380149845e-05,-0.00111008873275096,-0.00103004614011665,-0.00100042785000259,-0.000463484999355958,-0.000603051684884583,-0.000919037692797205,-0.0009731041633906,-0.00102107745309292,-0.000783343744205882,-0.00181614209248837,-0.00191202298977576,-0.00164859211056853,-0.00040119517453332,-0.000377852366793488,-0.00037512512487702,-0.000289004138948547,0.00070491578830704,0.000462097925691507,0.000427952130984382,0.000438757439465911,0.00136777071495434,0.00211509180797298,0.00221362496940759,0.00289816857357725,-0.000410758527145837,-0.000164481930373312,-3.56847345986032e-05,0.000275627566711119,0.00204708387830941,0.001624068868982,0.00137243676461927,0.000484489286854112,-0.000466363571228293,-0.00049873190939671,-0.00049683760609296,-0.00047851189668831
"b_dt",-0.0444885692517921,-0.0388368806937154,-0.00455592554903466,0.0901617354292629,0.00865871162669857,-0.00448072024287705,0.0052997678830214,-0.000394285560798892,0.00399146848726072,-0.00557406464718048,-0.0102519278999592,-0.00335126642180225,0.00439427523243903,-0.0108145766247261,0.0343657507789007,-0.00935942722817085,0.00121438951918551,-0.00117989055774479,0.00180598814699216,0.00249385874643977,4.4034191986341e-05,-0.00108544570647884,-3.73978231858885e-05,-0.000560706908851087,0.000113422300376425,-0.000278956899379829,-0.000776646058005679,0.000449586565057223,0.00154109718670705,0.00343352240938656,0.000517056162791123,-0.00136937758844587,0.000406672397014603,0.00033954149433979,0.000220374026975213,0.00136766631094093,8.38393588196086e-05,-0.000944724668547813,-0.005268921432738,0.0018668614797291,0.00319143944977925,1.05942907447323e-05,0.00396140409365784,0.0040994822565374,0.00402679120491781,0.00322417437090989,0.00287800005029995,0.00291442080587441,0.00291306819505017,0.00275226768789446,0.00318285787047418,0.00647322185519995,0.00686216370141323,0.00695834233596018,0.00149651617706778,0.00146423801394591,0.00145357970496943,0.0012581254304924,-0.00222055240194448,-0.00159166559024908,-0.00155386972717729,-0.001654833109622,-0.00457790690497778,-0.00590151735311194,-0.00647457482795732,-0.008698268406556,3.61477862762005e-05,0.000607791378651497,0.00100115011226817,0.00201063274252747,-0.00219968406533139,-0.00123369946800658,-0.00070669791365388,0.0013345037120999,0.00208072710727036,0.00175795592418874,0.0016968760354726,0.00149801812177532
"b_Sem",-0.0306628738526356,-0.034012078473778,-0.000693605776068426,0.00865871162669857,0.0199549687180776,-0.00462723616039648,0.00410866241139855,-0.00112614061276666,-0.000984904513747212,-0.00199088186677435,-0.00142997386980266,0.00234776251985178,-0.00072412073033117,0.00176059257714625,-0.00536045746270519,0.000818057353841325,4.54599218506489e-06,0.000173158585186835,-0.000282839192116092,-0.000307646549397272,-0.000350670345194254,0.000302585422107453,-1.56884684263134e-05,3.84515753135136e-06,-0.000119539187954661,2.83253333396379e-05,8.88317577935755e-05,-1.56258833660158e-05,-1.16946285543511e-05,0.000499483504564766,-0.000100784585738923,-0.000359813534671251,0.000211770347540601,-0.00022109440039075,-9.73498452613557e-05,-7.18770564961244e-05,-4.9229222458155e-05,-6.89044518160972e-05,0.00063432505270392,-0.000253877770433655,0.000701429861469624,-2.33911366143835e-05,-0.000788155204366745,-0.00111895965092324,-0.00120656605885692,-0.00141056514260041,-0.000665253132305026,-0.000729691137330303,-0.000761057098052831,-0.000746682001523477,-0.00114556872750249,-0.00100020786847086,-0.00101342353295014,-0.000887017816281981,-0.000345385566647847,-0.000360448825757693,-0.000369283630614795,-0.00037642693278346,0.000147341006089284,-6.830183811864e-05,-0.000106555840329909,-0.000155866754284593,0.000226584199224541,0.000594146849036476,0.000669222168053207,0.000814929128105235,0.000397928821829227,0.000248431865896077,0.000170967181208483,-2.09819493879476e-05,-0.0011680010159955,-0.000972553703972582,-0.000784865638539951,-0.000113620668844935,-0.000503872773085349,-0.000431613382537217,-0.000424460774799525,-0.000378325999827979
"b_ACC_1",0.00560673359740999,0.0209518274389837,-0.00150320843109927,-0.00448072024287705,-0.00462723616039648,0.0936275105680426,0.0394570905387248,-0.00292083921748384,-0.00135298957059526,-0.000659085608008413,0.00311646347560243,-0.00131423593386752,-0.0146465878413831,0.00127674170653256,0.00161164032998025,0.000977706384168962,-0.000271727475515006,0.000179586638496277,6.69218539579163e-05,-0.000101383280583859,0.000551109669053342,-0.00042291994371221,-0.00023724843587045,0.000335556974443685,0.000142273631352317,-0.000392054114055567,-0.000230056175267203,-0.00010755895142372,-0.000336498508632233,-0.000369020470775174,0.00048660369673335,0.000106228873147796,0.000362194737777402,0.000455768586264905,8.59510889026316e-05,0.000194526826759438,0.000127492575696729,-0.000558734874390034,-0.0004490256143901,0.00041502213101918,-0.000331670862576894,7.07100953676697e-05,-0.00157021946044039,-0.00112477993616888,-0.000923125585890242,0.000146778390797852,-0.000816432625544207,-0.00112046031777893,-0.00112344369194538,-0.00100119168573352,-0.00132664937945617,-0.00171325821489205,-0.00164876064218327,-0.000816648979003456,-0.00047749507507099,-0.00048202281099403,-0.000465000824609331,-0.00031058099588788,-0.00134662590832162,-0.00131327286813209,-0.00133623800969567,-0.00135255796990813,-0.00294021452651012,-0.00152148810368954,-0.00140759131789183,-0.00149570277158754,-0.000585205765218503,-0.000392012799549871,-0.000293533985035759,3.8138181957714e-05,0.000631992567240348,0.000530412607306564,0.000401786499334078,0.000111594650529936,-0.000504661619762907,-0.000663286231523042,-0.00066710482495993,-0.000639316165292313
"b_ACC_2",-0.018382244990419,-0.0126591983601362,0.00725665112814374,0.0052997678830214,0.00410866241139855,0.0394570905387248,1.37308813097527,-0.000935023712716733,0.010210748703249,-0.0218781168039789,-0.00855376313944119,-0.0106733151034876,-0.00777503587431088,-0.00236149696394099,0.0170093051516358,-0.0112441183792156,-0.00300843435809265,-0.00151369502229272,0.00223378864987444,0.000566328368342571,0.000490334136891339,-0.00195086156374553,-3.51515565661738e-05,2.97246177133066e-05,-0.000245423194685424,-0.00111413154212418,-0.000499301404167236,3.71609738062978e-05,-0.00113432889692526,0.00218644379936875,0.000846882276377293,-0.000856455003726501,-0.000167204426715438,0.00134998704370313,0.000802851978762761,0.00245332740930228,0.000480758652570865,0.000860382539624762,-0.000924924467020378,-0.002387769066918,0.00405607679462558,0.000476645321871577,-0.00360794921787896,-0.00392287342499189,-0.00389919160729806,-0.00339434818464236,-0.00240395497643897,-0.00285468273845011,-0.00295560636394263,-0.00302659347843017,-0.00523134128148721,-0.00247061022143298,-0.00204699478225632,0.000223074441505063,-0.00136558023911969,-0.00139883232174405,-0.00139047922605475,-0.00135098995125721,-0.00177052661018439,-0.000984087387918992,-0.000746742093285744,-0.000279199724090476,-0.00313888164314814,-0.00411246511257112,-0.00440220649018831,-0.00371309109515172,0.00255394615301466,0.00139466239811544,0.00080501946492846,-0.000965532764347699,-0.00806612442789964,-0.00629316481463597,-0.00519089604170114,-0.00150246118270494,-0.00147459215247974,-0.00180227589951833,-0.00185475313421589,-0.00194728841045031
"b_SI_CAMFD",-0.00167064883977752,-0.0107798651724649,-0.00324857871786651,-0.000394285560798892,-0.00112614061276666,-0.00292083921748384,-0.000935023712716733,0.094602711986826,-0.00273599544762169,0.00239389155244925,0.00793013156901829,0.00028390676296753,0.0119315769801779,-0.0059163438295023,0.0143710605175321,-0.00860862085740362,-0.000586187941963614,-0.00084190501744647,0.00109840784825226,0.00205373913621681,0.000371676787737412,-0.000277391333121414,0.000368542668978139,-0.000340741545304225,0.000150467521795067,-0.000476623756394698,-0.000227712036858211,-0.000247451059244153,0.00019940643236089,0.000727392487602466,-0.000888214998716116,-0.000249575802867442,0.000915793096107788,0.000434783686238857,-4.0006997045522e-05,0.000393810624757338,-6.50555543501079e-05,-0.000632490835263426,-0.00733769058234059,0.00066505513676183,0.00019151648378974,-0.000158310252295824,0.00253168635795048,0.00413416383235734,0.004336444942391,0.00449959189978459,0.00234950290842979,0.00244106999318835,0.00240640056365541,0.00218136442236332,0.00311639665007022,0.00457460242523655,0.00477925857027457,0.00449406142124907,0.00125176439423416,0.0012451817839625,0.00122510034106329,0.0010097538121686,-0.000550567006338916,-0.000406408636511869,-0.000419399231228298,-0.000605085073234891,-0.000509762531623956,-0.00698994978628392,-0.00783873260972783,-0.0106473665823364,-0.000671389802290218,-0.000333654194517068,-0.000124337529402112,0.000300440077153705,3.38455747654338e-05,4.42742425877642e-05,5.7083231011437e-05,0.00023556552331769,0.00172881155199896,0.00143451491112144,0.00136007652864249,0.00111801850277323
"b_SI_PANEL",-0.00238427123966779,-0.00533660382759774,0.000977061540241297,0.00399146848726072,-0.000984904513747212,-0.00135298957059526,0.010210748703249,-0.00273599544762169,0.0480279134948362,-0.000722339819868613,-0.00618042271543709,0.00672505269067069,0.00169627670847246,-0.00254560012522861,0.00756047903103726,-0.000167453588313408,-0.000360601375903232,-0.000434640064125709,0.000286855976815516,0.000249850032725176,-9.10226178833178e-05,-0.000110830190344917,3.67224402243761e-05,-0.000255181174879884,-8.66485002166482e-06,-0.000133478564322339,-0.00010389893596323,4.64810076165794e-05,-4.51206053359362e-05,0.000232216714673573,4.64159387838264e-05,-0.000184391464563309,7.3217049254647e-05,-9.63618768183751e-06,0.000119352789334478,0.000192361581337595,-2.28740192233316e-05,-0.00032116948263968,-0.00179530374229256,4.57532324484388e-05,0.000553755930135463,2.80688504531244e-05,-0.000684004820272488,-0.000546768191065582,-0.000578594068121925,-0.00118039645901579,-0.000649796432406917,-0.000226183371785705,-0.000165411543053956,-0.00012760822597578,-0.00102141320916301,-0.000253653282578947,-0.000199570183172467,-0.000841954766646554,-0.000177987411911504,-0.000228220457493718,-0.000236525597438557,-0.000360112352654038,-0.00049267694229959,-0.000494247740263687,-0.000490050329275592,-0.000518912141240151,-0.000999065439980815,-0.00194424634782799,-0.00207029893712425,-0.00290085133941626,9.57062177922376e-06,-5.74752847497865e-05,-8.27148425974735e-05,-3.9638194692781e-05,-0.000835687949356162,-0.000640634780109848,-0.00055650621374479,-0.000193194125389799,-0.000355413304981867,-0.000230621236313025,-0.00022762686573493,-0.000242688016837553
"b_SI_ZER",0.00697250523423044,0.0133984623747936,-0.0023859418906465,-0.00557406464718048,-0.00199088186677435,-0.000659085608008413,-0.0218781168039789,0.00239389155244925,-0.000722339819868613,0.0723574689488684,-0.00499624284877311,-0.00938794708160451,-0.00178595783664218,-0.00619225409424023,0.0218485921533554,-0.00201961654021004,0.00178821009564279,0.00189938908961787,0.00163282649623389,0.00123847106344333,0.000804116672698509,-0.00138736809921746,-0.000362418353491841,0.00039252904551302,0.000131690874722812,-0.00020722038004544,-0.000147311105990157,7.70895137970427e-05,0.000527887407424672,0.000696717556831938,-0.00053180830173262,0.000154781896255751,0.000121581845213937,0.000952158058672577,0.000833742299199946,0.000271630906319813,0.000251450795548428,-0.000362619008517694,-0.000185587681239282,0.000991755188504762,-0.000466285935420222,0.000360193797794914,0.00571620884711352,0.00653380034054507,0.0066377635894006,0.00665973877032084,0.0039265281133494,0.00494886669298505,0.00515907451333901,0.00559631649780342,0.00754204876163172,0.00583628265626903,0.00567217148559631,0.00357176116711164,0.00227593528397748,0.00226858304657241,0.00227020634976058,0.00216132558724433,-0.00102552736541173,-0.000576300559478431,-0.000582439047993258,-0.000693158704581262,-0.00254442092420903,-3.40098337555941e-05,-0.000143235397497287,-0.000868842279913967,-0.000960785392946794,-0.000490303811545712,-0.000227718888487909,0.000318893335593967,0.00145353885095962,0.00125558454892014,0.00106721262810348,0.000377165608575744,0.00275272884705022,0.00290475599254838,0.00293571666745659,0.00292832025453212
