"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",0.303322853050636,0.312891143689259,0.969419746031146,0.332335804191311,0.283820525296764,1.06871359192039,0.285198745083454
"asc_ruta2",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",0.59029575287339,0.602445873336711,0.979832013130032,0.327169046988532,0.631444076193709,0.934834572257993,0.349873559645154
"b_tt",0.440019028446685,0.118107709141222,3.7255741530009,0.000194871153801346,0.122334982623259,3.59683729879424,0.000322109817986638
"b_dt",-0.468861417651411,0.300269438053997,-1.56146899494679,0.118413133836064,0.292598001482818,-1.60240813428435,0.109065387251255
"b_Sem",0.157760970817975,0.141262056894545,1.11679650067496,0.264081345406373,0.123065545757723,1.28192639009261,0.199868469430536
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.351489118780733,0.305986128064725,-1.14870932549721,0.250675859219845,0.314736594417036,-1.11677232649661,0.264091684063484
"b_ACC_2",-2.41512161662295,1.17178843268539,-2.06105603132488,0.0392976948718691,0.760386394941511,-3.1761767868147,0.00149229978962895
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.697009468743708,0.307575538667863,-2.26614077232058,0.0234427655747762,0.298551021662941,-2.33464104346834,0.019562180542009
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.425025881544203,0.219152717288279,-1.93940502679286,0.0524520389178826,0.192183789860556,-2.2115594757112,0.0269971180847191
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.406178553115206,0.268993436627863,1.5099942891065,0.131044881409401,0.256188386761025,1.58546824955845,0.112859985235934
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.00777690524209985,0.344835825905712,0.0225524863075749,0.982007244610192,0.347408641942619,0.0223854685899965,0.982140471833817
"b_No_Info",-0.254201783672697,0.372317879337004,-0.682754704462113,0.49476185595352,0.370864796182406,-0.685429801613391,0.493072743726743
"b_Si_Info",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_P",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_F",-0.212352835443154,0.396640863150475,-0.535378109447571,0.592388424116855,0.401923302757283,-0.528341686053947,0.597262203513512
"lambda1",0.243826779342074,0.205588496410373,1.18599427302282,0.235624561190386,0.230900629611933,1.05598143994612,0.290976694452388
"lambda2",-0.771810732416658,0.644000709458385,-1.19846254993378,0.230736994082313,0.725952631063427,-1.06316955045132,0.287705068354767
"lambda3",0.438295397781618,0.18962410105718,2.3113907743692,0.0208112800728475,0.20780253243116,2.10919180172559,0.0349280292834651
"gamma_EDUBASICA_LV1",-0.0649481389573778,0.319676771095069,-0.203168152427512,0.839003604372603,0.24926860694603,-0.26055482779442,0.79443582877967
"gamma_EDUSUP_LV1",-1.08548220875943,0.39247111817263,-2.76576328422205,0.00567897416052809,0.339188292146202,-3.20023489575977,0.00137315627226009
"gamma_HPICO_LV1",-0.389773107359452,0.231139093053321,-1.68631408132044,0.091735320262039,0.27087622252356,-1.43893437278553,0.150169117623815
"gamma_CSECO_LV1",0.652878771247084,0.298533434490024,2.18695360659477,0.0287459109541355,0.409239460619522,1.59534657351647,0.110634756182211
"gamma_SININFOTRF_LV1",-0.887817501674706,0.251404751009949,-3.53142690465533,0.000413324080305699,0.298385606507821,-2.97540324436338,0.00292603637946587
"gamma_LV2_LV1",2.75713426724119,0.293521396682172,9.39329908622176,0,0.345774360159396,7.97379616571396,1.55431223447522e-15
"gamma_ADULTO40_LV2",0.0718956515560261,0.114331592232817,0.628834516794121,0.529457400056469,0.13733651520391,0.523499896944955,0.600626422726315
"gamma_EXP_3_LV2",-0.549881642441372,0.175354248621693,-3.13583301667062,0.00171366746030288,0.172769350356008,-3.18274995714395,0.00145883536509128
"gamma_EXP_4_LV2",-0.189684032834085,0.117022075422506,-1.62092521559915,0.105033678256476,0.099909579155247,-1.89855701963613,0.0576227440551256
"gamma_EXP_5_LV2",-0.0129026206839139,0.108840069441939,-0.118546604665636,0.905634570222576,0.140590402823757,-0.0917745480826918,0.926877166390023
"gamma_HPICO_LV2",0.15608892317037,0.106345280338608,1.46775599888755,0.142170513534492,0.127351775421317,1.22565172455571,0.220329764204074
"gamma_USODISPMOB_LV2",-0.267869450628705,0.120256022915802,-2.22749301144157,0.0259143423592378,0.154536865526857,-1.73336924956687,0.0830300595269675
"gamma_EDUBASICA_LV3",-0.618630286922166,0.184796799420314,-3.3476244656982,0.00081507377731338,0.179805285434614,-3.44055674129296,0.000580518701749133
"gamma_JOVEN30_LV3",-0.807621572258593,0.370991958644985,-2.1769247376907,0.029486183361056,0.403684626771971,-2.00062503919624,0.0454328131282822
"gamma_ADULTO40_LV3",-0.394944021036598,0.192141859388216,-2.05548141510709,0.0398325289281982,0.206919784451857,-1.90868177290455,0.0563031558853668
"gamma_EXP_2_LV3",0.618205225300631,0.262822825105861,2.35217479703913,0.0186640019567454,0.306779753995695,2.01514349382165,0.0438896161388713
"gamma_USODISPMOB_LV3",-0.253291330643256,0.189084784782021,-1.33956484618926,0.180386859082787,0.207544840884097,-1.22041737854957,0.222306692680208
"zeta_FRbr",1.7965556335388,0.298894963686371,6.01065876581286,1.84770954092528e-09,0.40265954764499,4.46172366716797,8.1303025631918e-06
"zeta_EnfCond",1.29761256441474,0.192534314913812,6.73964308645769,1.58775215197693e-11,0.276640624823264,4.69060740895788,2.72395188183339e-06
"zeta_AFrSem",2.01320703716753,0.337987776727976,5.95644924398503,2.57777110768131e-09,0.413160511745219,4.87269954397046,1.10083575655118e-06
"zeta_CulFr",0.660983509722836,0.0917923271154885,7.20085796377316,5.98410210272959e-13,0.106183909896997,6.22489330411756,4.81883866143562e-10
"zeta_OmLmVel",3.66279753429181,0.441143859579602,8.30295481791893,0,0.648337746802011,5.64952072027106,1.60895792244986e-08
"zeta_IgPare",7.39842098631279,1.64789533490556,4.48961826009224,7.13509261984768e-06,2.26437035063712,3.2673193164851,0.00108571145509262
"zeta_PasoPeaton",1.37479569161907,0.293846070014656,4.67862541619324,2.88804498205231e-06,0.335776294391389,4.09437984331488,4.23299864278359e-05
"zeta_UsoDirec",1.58326873626258,0.345157622549508,4.58708900753158,4.49469089480736e-06,0.398175417345992,3.97630960448473,6.99929887295614e-05
"zeta_UsoPito",0.823061471358968,0.115928585365236,7.09972841267657,1.25011112572793e-12,0.158900474899825,5.17972946196571,2.2220792628147e-07
"tau_FRbr_1",-2.8278267623369,0.961313299329868,-2.94162867018294,0.00326491171918319,0.821306655073445,-3.44308273270234,0.000575123344139339
"tau_FRbr_2",2.96266419727819,1.01240572437051,2.92636057458121,0.00342953191864748,1.09101888227416,2.71550222036736,0.00661753326716652
"tau_FRbr_3",4.1025481398519,1.06759664396099,3.84278853165991,0.000121644275819177,1.21501244574115,3.37654824379134,0.000734014983141185
"tau_FRbr_4",8.61716285821955,1.41651235011361,6.08336585101319,1.17685394762646e-09,1.65214459977181,5.21574374265408,1.8308113736154e-07
"tau_EnfCond_1",-1.93573445808982,0.701313814634573,-2.76015446679665,0.00577740376800584,0.650320679255015,-2.97658450644277,0.00291478739296691
"tau_EnfCond_2",2.75392235336966,0.71690964732658,3.84137996139302,0.000122344562544674,0.729476044633792,3.77520601756316,0.000159875475653326
"tau_EnfCond_3",3.76291235576163,0.749795322208241,5.01858606516694,5.20531725278772e-07,0.779932665578399,4.82466310469386,1.40240112722623e-06
"tau_EnfCond_4",6.85943199647145,0.951463737838842,7.20934673984737,5.62216939670179e-13,1.00722729641923,6.81021257153896,9.74553771015962e-12
"tau_AFrSem_1",-2.87110787901849,1.11241053494812,-2.58097868441383,0.00985206646640036,1.01354364884522,-2.83274221321369,0.00461505874225776
"tau_AFrSem_2",4.48814448084186,1.2011517381614,3.73653414323143,0.000186574125154548,1.35807105604838,3.30479356058227,0.00095046380329733
"tau_AFrSem_3",5.44863676279542,1.25978504450654,4.32505274336674,1.52495371532613e-05,1.47247577486159,3.70032353388467,0.000215324769786918
"tau_AFrSem_4",10.5504075998394,1.75409279026049,6.01473745198654,1.80178472142245e-09,2.29474551124825,4.59763731887654,4.27308990635922e-06
"tau_CulFr_1",-2.64418477942959,0.407486554785224,-6.48901110571188,8.64015525792183e-11,0.341149738623664,-7.75080406069575,9.10382880192628e-15
"tau_CulFr_2",-0.128318198764173,0.361749010952265,-0.354716101161934,0.722802287356181,0.338235333141754,-0.379375500401655,0.704409041028026
"tau_CulFr_3",0.786398049103828,0.36697089827352,2.14294390319118,0.0321176030779171,0.341940689240956,2.29980834059113,0.0214590807235109
"tau_CulFr_4",3.85546790735317,0.47997861657257,8.03258264896109,8.88178419700125e-16,0.460872642775632,8.3655820491609,0
"tau_OmLmVel_1",-0.780176046899232,0.435683516201154,-1.79069443274284,0.0733423436028993,0.435065094598949,-1.79323980844387,0.0729345872976479
"tau_OmLmVel_2",4.42770524725411,0.585979121659683,7.55608021445101,4.15223411209809e-14,0.820060876184921,5.39923970992573,6.69239041961589e-08
"tau_OmLmVel_3",5.29206734651508,0.640221043755061,8.2660003105736,2.22044604925031e-16,0.805254068125539,6.57192252233372,4.96696017648901e-11
"tau_OmLmVel_4",6.77554979245235,0.77276298655598,8.76795331858395,0,0.957775065605909,7.07425995493628,1.50257584152769e-12
"tau_IgPare_1",-0.912968708062412,0.838416818498191,-1.08891984025053,0.27618923621173,0.815710353371853,-1.11923148246008,0.263041397790537
"tau_IgPare_2",8.97664805568454,2.02599545653731,4.43073454420614,9.39126394317036e-06,2.74771926432671,3.26694512508145,0.00108714750994898
"tau_IgPare_3",10.2350240323513,2.23072707393843,4.5882009287138,4.47082223309359e-06,2.91306421549936,3.51349070092396,0.00044225989382185
"tau_IgPare_4",13.2422167865263,2.7170570537056,4.87373526752637,1.09507714407542e-06,3.44529982711015,3.84356005312711,0.000121262308732772
"tau_PasoPeaton_1",-3.23999690632943,0.428346359739397,-7.5639650779351,3.90798504668055e-14,0.421868552672535,-7.68011003855126,1.59872115546023e-14
"tau_PasoPeaton_2",-1.58217064504474,0.310290243431881,-5.09900223592456,3.4144851901452e-07,0.291286386197679,-5.43166697797889,5.58300403685763e-08
"tau_PasoPeaton_3",-0.711933563908634,0.269056062505055,-2.6460417107132,0.00814397738417227,0.247108658342725,-2.8810547096299,0.00396346836684058
"tau_PasoPeaton_4",1.47603239220534,0.289993636137252,5.08987856377216,3.5829289157796e-07,0.288444390489425,5.11721649258233,3.10077640675033e-07
"tau_UsoDirec_1",-5.12612626938316,0.720621743881396,-7.11347709517193,1.13153930669796e-12,0.822349899156444,-6.23350993858147,4.56098492307433e-10
"tau_UsoDirec_2",-3.36436837824851,0.56243676237739,-5.98177182449366,2.20723328503425e-09,0.611197898251314,-5.5045483433013,3.70115893488787e-08
"tau_UsoDirec_3",-2.4936454778242,0.483044977618502,-5.1623463515102,2.43873527594474e-07,0.53749456393066,-4.63938734484744,3.4944355855604e-06
"tau_UsoDirec_4",0.144399574563171,0.302042586443244,0.478076870760422,0.632595493542753,0.291588206137236,0.495217472874088,0.62044661807225
"tau_UsoPito_1",-1.79252665149422,0.472621562575858,-3.79273142284217,0.000148999282557849,0.438503313663885,-4.08782920365387,4.35428530358717e-05
"tau_UsoPito_2",1.77564757209807,0.45417888121107,3.90957758177416,9.24576583545278e-05,0.451378674285612,3.93383133332197,8.36024595352036e-05
"tau_UsoPito_3",2.348416543657,0.465844658357318,5.04120097016479,4.62619311303314e-07,0.465995486239882,5.03956929412851,4.66580675650974e-07
"tau_UsoPito_4",4.15846051855503,0.546134109957717,7.61435779734944,2.64233079860787e-14,0.501349268340284,8.29453792227843,0
