"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.542968139296756,-0.238862317027217,-0.525853999427704,-0.625262396815806,0.0564893710512055,-0.0363983929131866,0.0221829591358485,-0.0116518473345498,0.0368903586937173,0.0596304739527626,-0.097657944675676,-0.0306630164942152,0.0142607201477066,-0.0169284578025566,0.130141241220217,-0.0262460510193663,0.0337253687017797,-0.168457118398005,-0.174359225781438,0.0572328422822798,0.0173873139589109,0.0910504427916937,0.0963595479699111,-0.132947674570225,-0.0366454892867251,0.17098249524654,-0.135533762728341,-0.0685976754030839,-0.0251453166850491,0.0696201816400764,-0.00803286756308797,-0.0327693938836279,0.0180790921924064,0.0523285536775561,-0.0507987815504615,-0.0535214351318724,-0.0569438144147411,0.044215986243894,-0.00927441510338781,-0.0482580827547021,-0.0174534376060067,-0.139224795189639,-0.0871004526623009,-0.0671991737972127,0.00873522184158896,-0.147887822837928,-0.0722164092351586,-0.06534409071783,0.0692438724512763,-0.101599189956749,-0.126953417546737,-0.122438585062235,-0.0585288723657921,-0.134290146900729,-0.100581939110398,-0.13437091520209,-0.00977337353429261,0.0100835448225575,-0.0476140282276863,-0.0505526015438126,-0.0101900189556131,0.0294168578683164,0.0518679243996778,0.0504152472393136,0.0874295506578897,-0.00478271496930272,-0.040589855315184,-0.0474712047067878,-0.0334521725602579,0.0517687927652647,0.0222352902785106,0.0147772575944888,-0.0498109069598969,-0.126164905114631,-0.0786948563330602,-0.0725353282524381,0.0698744914478461
"asc_ruta4",0.542968139296756,1,-0.32563020130689,-0.192660888245187,-0.395585676175245,0.154424208167985,0.0303859619337935,-0.0313695441228749,0.0527999897316955,-0.0666825672647034,-0.0115656807143251,-0.417822864613533,-0.59054930119266,0.135872826239091,-0.088139032150231,0.432913224115353,-0.0695739808345176,0.00428812241268756,-0.237458788822678,-0.252916997210254,0.004790562739724,0.0802897921200122,0.0471332974928874,0.144200400508384,-0.121541132492231,0.0342627205358568,0.241768857795717,-0.126418868151969,-0.075714751652573,-0.133459713435587,0.0514025027943273,0.112236704531259,-0.0519149249805683,-0.0818342267379456,-0.0178235955268333,-0.176932124999232,-0.0270008316117808,-0.0114519158334461,0.107480024449183,0.09153923685025,-0.190144946782678,0.0328619283270782,-0.166975962591334,-0.189478265874134,-0.177147097040714,-0.113367325517728,-0.206873243785426,-0.168421680917877,-0.167312735662368,-0.0373149421857109,-0.0942597319091706,-0.236560918288684,-0.241071318742471,-0.188657226274802,-0.259036187126921,-0.180271607607087,-0.181984987405021,-0.0800885006071748,0.107477567971633,0.0433460813492127,0.0331703331966491,0.0526022973708122,0.0930451461459825,0.121633311112399,0.11763460830338,0.146919445701991,-0.168854142417884,-0.122152716346868,-0.0955723433946359,0.0502837754840653,0.170458726532627,0.146604059906,0.120453057019735,0.0132546219696311,-0.242938769152928,-0.110669904180027,-0.109461293316125,0.0347263667911614
"b_tt",-0.238862317027217,-0.325630201306892,1,-0.0122478813562268,-0.012876200937872,0.0466298468887758,0.174865052379324,-0.210069166753507,0.043848478346862,-0.089828418963126,-0.073604128504154,0.0644681487053483,0.0124942196131658,0.0874212649611692,-0.0869251672059674,-0.0738038289874489,-0.0360039713634988,-0.0301293483322823,0.0398434679918119,0.00494543389739268,0.0641324718463303,-0.0221873955947625,-0.0180445375472729,-0.0536267984548441,-0.0587076592258088,-0.0113193353648553,-0.0529156205065017,0.0743904793343348,0.00481052263338502,-0.124245702141272,-0.148395246456887,0.0176927917796803,0.0997994830168752,-0.02810666043336,0.0894109564447431,-0.00376201029665775,0.0323525422416007,-0.0328763175607754,-0.00426725520653994,-0.133177178819931,-0.0456271704356964,0.0616339163181468,-0.0261202530664883,-0.0419706311793849,-0.0348835578214045,-0.0122552797726028,-0.0540971638743496,0.0704696983122044,0.0582246476138728,0.105362831338651,-0.046714251460291,-0.0148285317954128,-0.013089814320129,0.00793987031221666,0.0209083032472674,0.0107659346752825,0.0454656646764084,-0.013002930644571,-0.101735872501284,-0.0993704421948397,-0.0645662933088223,-0.0618296839468247,-0.0756488796499223,-0.0365106531256274,-0.0247205142753683,-0.00994714064216445,0.106719075932233,0.0567361411720745,0.0344272948697173,-0.139867090928456,-0.00696107806255244,0.00836573250243994,0.0305255452369792,-0.00818903108102655,-0.0203872728107011,0.0369451406655544,0.0127292419009564,0.0240041077919654
"b_dt",-0.525853999427702,-0.192660888245187,-0.0122478813562267,1,0.185107947953344,-0.0906558716783656,0.0739696766022327,0.00118478850662571,0.0890218725113095,0.00603067445133333,-0.175870916222776,-0.0687212018581297,-0.00761557081167134,-0.184890301731962,0.196239474040573,-0.221452075639944,0.0277531771501386,-0.0648170081044492,0.145638593583704,0.181413913563174,-0.0290644393678607,-0.00446927920868232,0.0412108761261537,-0.12335609416646,0.117202188171179,-0.0412401345393166,-0.167865361734531,-0.013187389129192,0.0786167144652247,0.0265319363183484,-0.0764186676377129,-0.00340652432461605,-0.0921061441000406,0.00618002579258596,-0.0375355860421434,0.0949035659716654,0.0238690535739618,-0.0597105085908347,-0.164864874470088,-0.00911566721233605,0.126210592236614,-0.0306401811953213,0.0936647812173849,0.0785727765774983,0.0590230572069263,0.0362195520524148,0.115417544440247,0.0828385473048703,0.0551503918697014,-0.0535461061685544,0.0578835736651639,0.142076411962667,0.125445304529893,0.117573243824478,0.0580438687326967,0.107143872061236,0.102876993682354,0.0314190788733001,-0.0676785591944451,-0.0197496146029114,-0.0240098986448336,-0.0244771470762747,-0.0569423637197799,-0.155166687511829,-0.159373378302541,-0.169738946265705,0.00613222695808656,0.0758744682338419,0.0699961078026834,0.0182775989518448,-0.10518055714237,-0.0846795473395815,-0.102199027782263,-0.00247905674893417,0.102700341806318,0.0579695909850838,0.0459820909587164,-0.0486053960552497
"b_Sem",-0.625262396815806,-0.395585676175246,-0.012876200937872,0.185107947953344,1,-0.182911334881391,-0.0250749198848974,-0.0702166402476632,0.0234202528804236,0.0530268271807796,-0.0568836560669362,0.104828255275824,0.0551110969207342,0.0500655298058426,-0.0539116055460219,0.0120901863444766,0.0298930499658916,-0.0209131868942297,0.121165143387372,0.0755372885049549,-0.133660658488186,0.00206141137566655,-0.0376392460366598,-0.0747301089297245,0.137216823211488,0.0891458109064707,-0.151672845608398,0.146786597958192,-0.0598606126685366,0.0265693949596837,-0.0288668583438972,-0.0545240345683774,0.0604873821220526,0.0108971825672213,-0.0499227519649444,0.0823393779114288,0.0455903893060802,0.0761901535980908,0.00347507918467315,0.00982997096841821,-0.00364985961130613,-0.00137733497482318,0.0972837229098453,0.0337019138430739,0.0211016137739882,-0.0191354128901185,0.104349512640052,0.0129268270114166,0.0144848007104055,-0.106675875069063,0.0294214105010774,0.0810351556757364,0.0846772117089942,0.0485439900600709,0.0841253670914167,-0.000608198133044974,0.0268610205900626,-0.0169339554173349,0.0580802864464719,0.0817498656382211,0.0788921187882732,0.0578387542944454,0.0440503621171316,0.017931276092423,0.021577898695089,-0.00338596251516904,-0.00927742385754694,-0.0395321314861402,-0.055039110034921,-0.0016633630983178,-0.0350049955096274,0.00856400709697147,-0.000912919773977618,-0.0095290796493848,0.0901995242627496,0.0355479193445635,0.0332021167661962,-0.0478782865897952
"b_ACC_1",0.0564893710512054,0.154424208167985,0.0466298468887759,-0.0906558716783657,-0.182911334881391,1,0.110492023235969,-0.0823894353753918,-0.0941539555448322,-0.182880858730876,0.111088090209692,-0.0441018609973768,-0.146013405361942,0.157256843339988,-0.111290301320872,-0.0267970341988437,0.00281645172541214,0.0513389451981026,-0.0745551448618278,-0.111693387248151,0.0564908842903377,0.0212848407865939,-0.0863739411458448,0.0581655263081027,-0.0219037959887275,0.0972081552661411,0.0410192464691919,0.108931907493766,-0.0836351659595096,-0.0176702395191211,-0.0380548564437855,0.0115771651294923,0.0862489819816345,-0.0214041470620638,0.0176088954768345,-0.0358830488324139,-0.0154413936429706,0.0325711178779881,0.0809325097430666,0.0217892458093403,-0.0389878902150053,0.026860174879392,-0.0219520840892771,-0.0258581549344228,-0.015626863752233,-0.0268448905972475,-0.0116180746551636,-0.0168900499618211,0.0016373504909887,0.0223505815571482,-0.0129761631377213,-0.0506888862848111,-0.0323368134534019,-0.0460163248177872,0.0282684816445571,0.00603020909515755,0.0393907773042938,0.000950624382857502,0.0888047825904437,0.0216019848058425,0.0562484697068784,0.0290783943954067,0.0861762143967231,0.0541566544055769,0.0792096955076646,0.0661711398324213,-0.0771231801686116,-0.101160139905174,-0.0537898583930949,0.0026944720764019,0.0355556349776337,-0.0183713248327669,-0.01485158972856,-0.0196821365904722,-0.00229759482638559,-0.0245725968199853,-0.0265465263890187,-0.0636227108151286
"b_ACC_2",-0.0363983929131867,0.0303859619337933,0.174865052379324,0.0739696766022327,-0.0250749198848973,0.110492023235969,1,-0.0521063679296265,-0.00793020739279409,-0.130368539784458,-0.0695780974668442,-0.0527821528326764,-0.0596767158069958,0.0319136652860999,-0.000651237591693453,0.0118461673839067,0.00279092034209035,-0.0376609039081378,0.00219163737171548,0.0509057794315357,0.0499277684187819,0.0208297334550945,-0.048539347444891,-0.0448088046571556,-0.0343940760428681,0.0126119466200258,-0.0800656642629414,0.0574047441051176,0.0884365249335388,0.0116245062790118,-0.0381127988604357,-0.0565034249019113,0.0142281312813849,0.0147636560712303,-0.0215626561309997,0.0253213777120687,-0.0206952721873417,0.0215945812431705,-0.0111346116693841,0.0270756782463577,0.0469378789503296,-0.0385311344892762,-0.0235474937659293,0.0416904066574962,0.0479177581110685,0.0432368780303348,0.0178423097225989,0.0259991910740893,0.0207568256750527,0.0449617948705341,-0.0234269489946262,0.0536338814200193,0.0552948169720733,0.026503647490652,0.00764237303633286,-0.0085679434895804,-0.00415907373671289,0.0421052028841743,-0.0960402883367603,-0.0118164977990871,-0.00822414752778772,-0.00422982061488136,-0.101684029859286,-0.0269174126866564,-0.015249556181065,-0.0248587839556225,-0.0127039993279691,-0.0277264785852641,-0.0138102598023352,-0.0541932773999326,-0.0165082775844204,-0.0134762491672192,-0.0160975753706546,-0.0166251501384144,0.0318871800963196,0.0401267564634316,0.0377265208288555,0.00647618719029462
"b_SI_CAMFD",0.0221829591358483,-0.0313695441228757,-0.210069166753507,0.00118478850662589,-0.0702166402476629,-0.0823894353753919,-0.0521063679296265,1,-0.0507903231341682,0.034012773029526,0.0689311606763778,-0.0555850972989401,0.13438629845671,-0.200397269432097,0.193229961567819,-0.136468677017499,0.0810264697728844,0.0589728607414967,0.00224433415098456,0.0140136230963074,0.0134762334355064,-0.0679045774751512,0.0136556217223854,0.0421400062606776,0.0902176915863034,0.00790338664186699,0.0295665533953432,-0.0663569354006105,0.0953201159609319,-0.00393056736375773,-0.021463694913147,0.0150485272662649,0.132582437812858,0.0693731818870565,0.111968291580679,0.00625061631936963,-0.00937694379498665,-0.0678272840536297,-0.0357246000732188,0.0606701702184244,-0.0298786341626818,0.0500157606744677,0.0091198740796204,0.0829048864194251,0.0783965959509558,0.082274927179652,-0.000399551217117888,0.134715518292057,0.14317279199541,0.136903356107211,0.0600521203349873,0.0445623705607227,0.0424896555205223,0.0126646599870598,0.00150805777094044,0.0503015628432237,0.0285495748611191,0.0185252147430144,0.0123344588736952,-0.0312434471828926,-0.0622149462075272,-0.0446501781044642,-0.00228052565626611,-0.0217603220175593,-0.0268822655435743,-0.0282569957983095,-0.047610970192552,0.0200011789630273,0.0433993226386845,0.0844480409482632,0.0670058652456723,0.0566349785343228,0.0509992498137395,0.0497228134950137,0.0333250985159811,0.0365425858830903,0.0441673887423371,0.0506377712199573
"b_SI_PANEL",-0.0116518473345497,0.0527999897316952,0.043848478346862,0.0890218725113095,0.0234202528804238,-0.0941539555448322,-0.00793020739279408,-0.0507903231341683,1,-0.0584523800228133,-0.121138773538223,0.094751587488149,-0.125804648110069,-0.0784669388309573,0.0816128340913627,0.0504528935687207,-0.0960762549327609,-0.0674500137795893,0.0732020882505071,0.0204756391166765,-0.0017359291617902,-0.0055826771821426,-0.030636475574732,0.0184805013330957,-0.00160454888439849,-0.0943514664490876,-0.0352394734294621,-0.000400850384335701,-0.06312921173308,0.0184738858998432,-0.0573387019011754,-0.0736500909955707,-0.0305285886598355,0.0929851985853452,-0.0648821910097845,0.0482422867001206,-0.0402831047096581,0.0230320840046887,0.0280435627525963,-0.0936125033081167,0.0184754214841747,0.0136276206171509,-0.0700086533448508,0.00826404839560771,0.0333082315505121,0.0372668414150422,-0.00790156513636069,-0.079794213472734,-0.101720270748188,-0.090588925953636,-0.0011385699215154,0.0067560662459248,0.00286264332047207,-0.0155815492727139,-0.0415928956993571,-0.0569731443072212,-0.0496516722656531,-0.0888496522738706,-0.0388272644104146,0.0206361947688994,0.0098790283555534,0.00359812685022112,-0.0640293764142279,0.0336170930116415,0.0363341453383643,0.0200591643930971,0.0155188696921751,0.0452483369550321,0.0341153069681715,-0.0249651821753413,-0.043627427470708,-0.0613308826910407,-0.0523341620104386,-0.0719203891120294,-0.044463015568352,-0.00722701527617414,-0.00727220745627683,-0.0188237721251342
"b_SI_ZER",0.0368903586937173,-0.0666825672647032,-0.0898284189631259,0.0060306744513333,0.0530268271807795,-0.182880858730876,-0.130368539784458,0.034012773029526,-0.0584523800228131,1,-0.0782940284959151,-0.0763841063663154,0.115231936707007,-0.231893534803569,0.22661057325572,-0.15419539220923,0.000999699265275266,-0.0390340270073593,0.162312653759876,0.0295266954925903,-0.0477447160474072,-0.0412051635965079,0.0755069617246548,-0.0466350555388029,0.0566909007491755,-0.0124344604471417,-0.120639436485389,-0.0496397197089637,0.0508772086799762,0.0754936435007824,0.052074424946445,-0.00513130234695366,-0.234858246018804,0.00874527237411958,0.00354454714367552,0.0382953687731489,0.00411731500824352,-0.0317246490967172,0.0315102857415611,-0.0620205576368171,0.0972161034312467,-0.0668879504912006,0.00476831119950046,0.0217918787814676,-0.010489741794197,-0.0119488553866898,0.0303996911630845,0.0318527328154287,0.0104727821141888,0.0172125660969435,-0.0170744855896205,0.04407397610375,0.0250231646479251,0.0321546853028485,0.0223922792275019,0.00904199060174528,-0.0286836574314353,-0.0270402685542123,-0.0660619533248461,-0.0207378948340867,0.00994924606340874,-0.0101277194819428,-0.0749633379641925,0.0312961059071406,0.033254925004127,0.0485818774847595,0.112844194584192,0.103912893708977,0.0653760067819361,0.0109840134043426,-0.0406173441416793,-0.08414547501271,-0.0748858047006232,0.002125676682845,0.0661952773527896,-0.0534810598310974,-0.0735996947370686,-0.0776529178215296
