"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_EXP_5_LV1","gamma_HPICO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_EXP_4_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_HTRB_2_LV3","gamma_HTRB_3_LV3","gamma_SININFOTRF_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.843816375041044,0.321295061110527,0.248447852910467,0.564161435078315,0.254754164627462,-0.0523109327327951,0.00302934203572622,-0.0893209949426172,0.0311141965792106,-0.0330454612649189,-0.032619108204069,0.00981478290855915,0.0570189039023133,-0.0428956217756155,0.0331528018055031,0.0892633997839768,0.0078581759463501,0.00258255214426084,0.0148897525597851,0.00352863034959868,-0.0083896195167762,0.00255204676034508,-0.000140624308754358,-0.00993055197300356,0.00114681239377301,-0.0260607186807444,-0.0227906753746182,-0.0174928618572989,0.0248315328067683,0.0212458695490537,0.0220394968623388,0.000454538512266748,0.00268785037362158,-0.00138956699094134,-0.000484012747651005,-0.00525371365098669,-0.000993952384831104,-0.0135121836575515,-0.0387108899632186,0.0282193475043656,-0.00238481196528215,0.00184802318043343,0.00609285198055522,0.00619807074930317,0.00758217374429221,0.00448921352933285,0.00387178210256114,0.00377534916608039,0.00417389281494597,0.00363059743580136,0.00404715290540358,0.00378822087308003,0.00498688397762505,0.00571922826529032,0.00464938808279914,0.00374761110338792,0.00163786913569144,-0.00397411200552781,-0.00233242330605199,-0.00226705233963781,-0.00253756769767748,-0.00803878761990504,-0.0132600720359844,-0.0134538658874529,-0.014021233183718,-0.0403894595982309,-0.0392944470587602,-0.0382285639844951,-0.0349830812557332,0.00460535333300918,0.00323048878310565,0.00217297511225145,-0.00243285185202585,0.00442539296494032,0.00379416681358483,0.00347137968716054,0.00266076988814849
"asc_ruta2",0.843816375041044,1,0.329922495543403,0.118431052694443,0.497564935650926,0.162869747500463,0.00548089441308672,0.0012327716064535,-0.0491902691326756,0.0447868546613505,-0.016183694282039,0.0136575560892815,0.00123207722938207,0.0282256749592311,-0.0357002611849114,0.0317703428829446,0.0705829402353289,0.00673996158612262,0.00289846069238084,0.0130207601486233,0.00186608841784038,-0.00594738174504561,0.00205185567948866,0.000455130995739528,-0.0071341182340932,0.00112682394195211,-0.0205721161320655,-0.0173857161628564,-0.013782000524484,0.0204133824606487,0.0163112096098331,0.01686349211556,0.00102505883898089,0.00231683963450172,-0.000962422779139916,-0.000363492322724888,-0.00395605368777989,-0.000556129218576633,-0.0105100214236955,-0.0307762846371708,0.0220435852556783,-0.00165658001068872,0.00245421267476103,0.00598092585343939,0.00598244429129602,0.00664860140230021,0.00465382286793069,0.0041743630907386,0.00402042671942331,0.00405420257755428,0.00394737491026154,0.00418928498900836,0.00389136927248893,0.00437496483512415,0.00529989007570994,0.00474265547374525,0.00407153641296488,0.00209514217814924,-0.00267223039186605,-0.00116061324438533,-0.00115513366682266,-0.00148158080847985,-0.00604422359092816,-0.010142075361301,-0.0103476323152639,-0.0108603816019395,-0.0318062029040229,-0.030909748675825,-0.0300378158310336,-0.0273972758328251,0.00381264995762451,0.00274607654031949,0.0019138402028905,-0.0016826157692383,0.00441527250533702,0.00414528328989863,0.00386741600923924,0.00304982502195669
"asc_ruta4",0.321295061110527,0.329922495543403,1,-0.143726184289147,0.234679067439664,0.060534002113262,0.0424686072838356,0.000681168402875457,-0.108211806719939,0.0783430461364232,-0.00332625680510665,0.0382630069425415,-0.212871781780834,-0.552349689817991,0.254176922642232,-0.208738809041076,-0.67472895622938,-0.101381816786663,-0.0891021779331648,-0.0808585727718541,-0.0405731949006534,0.00728934614123352,0.0169002137429945,0.0165069321626242,0.043810703031984,0.0207251274341942,0.103910030886091,0.119243283284626,0.090761143475878,-0.113259612686936,0.142800264622645,0.144154356458122,0.00562738002337666,-0.0409013799546824,-0.0161067213336947,-0.012929573351589,-0.000563929941503058,-0.00566824082129094,0.0400405898765379,0.138667959272204,-0.0613851567504091,-0.0126549742695943,-0.0599788041261418,-0.0846531160252161,-0.0814936712003622,-0.0745539500359962,-0.0791484746249459,-0.0697687569587145,-0.0643105840076862,-0.0564411683959429,-0.0739371592956871,-0.0635196898626365,-0.0568959388349909,-0.0494461384521931,-0.0699938313265187,-0.0762379843798723,-0.0710939720407548,-0.0448027625899031,0.0257717419912552,0.0117787110091476,0.010004386855781,0.0103607937925987,0.0396016267079843,0.0426318213397496,0.042536922264868,0.0440523517306998,0.000364771098359178,-0.0188078373640472,-0.031520255672048,-0.0631528287584496,-0.179741091548488,-0.183791457685597,-0.18437890948621,-0.183019113296106,-0.0723511065897399,-0.0716107554939656,-0.0679263642045816,-0.0551347931471494
"b_tt",0.248447852910467,0.118431052694443,-0.143726184289147,1,-0.0891691551784027,-0.0103593298527974,-0.090613212953759,0.00409193453694613,-0.0515033639965327,-0.0117875391315224,-0.0551509650808989,-0.102569792461397,-0.0126912180434426,0.148211472692884,-0.0987203121504565,0.0736838193976985,0.128601318334938,0.0102763953398341,0.00801489703359329,0.0171341248190406,0.00803043974654147,-0.0153444258253531,0.000440757735478505,-0.00214198987048076,-0.0136425209935821,-0.00211186940475047,-0.0372863223967463,-0.0326403045209724,-0.0230696311036786,0.0318028397039827,0.0349949718626064,0.038339675513343,-0.000582625936491139,0.00787546955016791,-5.55624204260319e-05,0.00114951184784931,-0.00675877999573323,0.000107035728504275,-0.0128756491031333,-0.0587198725596171,0.0457099577066739,-0.000243182428832859,-0.00150055925173442,0.00515480179717428,0.00608589512072431,0.0103386784203576,0.0033416990297173,0.000962722223074178,0.00106586832249581,0.00284599358189379,0.00235248889664447,0.00153429510140106,0.00154833769221989,0.00507663451190191,0.00671827283773421,0.00322459578333052,0.0012262857907191,-0.00132762068215141,-0.00815495453489935,-0.00378371350671822,-0.00339954131109624,-0.00344537306440169,-0.0137495502267051,-0.0131577511930208,-0.0131652685572231,-0.0139143448381655,-0.06405972042345,-0.0627336144926724,-0.0614251718521095,-0.0570292718211275,0.00515828492168128,0.00290583704261442,0.00119470673958337,-0.00646120988465173,0.00285590622128185,0.00149704445666628,0.00117761666154068,0.000994612059332522
"b_dt",0.564161435078315,0.497564935650926,0.234679067439664,-0.0891691551784027,1,0.268692865703682,-0.0276837907362902,0.00123410469165579,-0.0967720888096316,0.0430697125134676,-0.10206626262875,-0.11667125269718,-0.00710838618006188,0.00435198943064414,-0.0786598543914504,0.0690367598574308,0.0966369650607516,0.0153595729324026,0.0108489854901414,0.0180579263885754,0.00326238074819289,-0.00599770856666056,0.000735728544639488,0.000755989798974392,-0.00912026570744823,-0.00187342956003613,-0.0243756789569167,-0.021609633071793,-0.0163111321633789,0.0254350632763867,0.023437813751166,0.0230961497786339,0.00234382732990217,0.00570686032262979,0.00136257186814227,-0.000907444470995942,-0.0037202296091446,-0.00107526436808488,-0.0136790134576355,-0.0348693398234332,0.0234963865371318,-8.63906484656089e-05,0.00700648427509133,0.0128096925053705,0.012584093549258,0.0121977860384064,0.010228809048285,0.0102212182559764,0.00982084882185202,0.00908412595950371,0.0105531660224599,0.00809782992725536,0.00712983671167845,0.00623369174062423,0.0105014726393803,0.010560871924979,0.00965628610866991,0.00563978151969025,-0.00480050368325429,-0.00235918238695122,-0.0022848120464402,-0.00250595197070808,-0.00958442134382031,-0.0134532735553518,-0.0137338263176899,-0.014121121035103,-0.0385499665474112,-0.0378649761797947,-0.0370217245034228,-0.0344246775091524,1.2448995819934e-05,-0.00129824947315527,-0.00228907813537597,-0.00646405135225936,0.00968593625684237,0.0100609978737082,0.00964926657927536,0.00791784230961771
"b_Sem",0.254754164627462,0.162869747500463,0.060534002113262,-0.0103593298527974,0.268692865703682,1,-0.0515603653775767,0.00197491532418404,-0.0363985411360383,-0.0279506826535005,-0.0521074774220479,-0.111601895145115,0.0596169262841083,0.0280747189473019,0.105404218525369,-0.106778449143866,0.0189232484091974,-0.0113756445180848,-0.0144721331609024,-0.0128443179099656,-0.000955708377578727,0.00180985465103878,-0.000630287919372149,-0.0029561016786427,0.00228114923442528,0.00546415636316891,0.00143798839921335,-0.00145746071676568,0.000735478405881627,0.000381251001158329,0.00181837967520968,-0.000328712850701876,0.000694139203971489,-0.0058766660703953,-0.0013782780876124,0.00103344206627047,0.00160882032823329,-0.000827167033330694,-0.00168672095441563,0.00858437054112547,-0.0051122025881291,-0.00100937224119787,-0.00562416952024001,-0.0101957225125202,-0.0105235614451075,-0.00906680826965176,-0.00872881794436725,-0.00763729528728468,-0.0071510975455503,-0.00568312700620615,-0.00941569894013855,-0.00562825442635391,-0.00484198612529745,-0.00254240755350274,-0.00844212567890572,-0.0084888845069222,-0.00756601166211549,-0.00419189847422126,0.00415687266649929,-8.55032693317296e-05,-0.0003083995546782,-0.000308463819323654,0.00668768947573699,-0.00166051768370169,-0.00154992962091937,-0.00140977740736958,0.00587535597577877,0.0053041994950591,0.00501932035867918,0.00403031335429182,-0.00415208064937724,-0.0041426940909498,-0.00402230886138311,-0.00322160468038512,-0.00781340494901655,-0.00793531144458267,-0.00754536756298423,-0.00628385257878091
"b_ACC_1",-0.0523109327327951,0.00548089441308672,0.0424686072838356,-0.090613212953759,-0.0276837907362902,-0.0515603653775767,1,0.00172975752481032,-0.0345969785188687,-0.0056704378340921,0.0295206108715803,0.0462397385910236,0.00130838724815551,-0.0848296839184235,0.0156210895600675,0.0163061737267584,-0.0347574069309412,-0.000858091772537704,0.00681274907858865,0.00271957998654193,-0.00368938320812445,-0.00457621871721159,-0.00322112362045494,-0.00531663213698815,0.00377639701230355,-0.00256952726054565,0.00799981904633066,0.00478978988732267,-0.00229673506049865,-0.00583086880707138,-0.00859886334779467,-0.00844937978779831,0.00081648894620382,0.00266371115520827,0.000346219992145547,-0.00227804271755284,0.00194297479481904,-0.00064847372438768,0.00415400800772387,0.00372689654953498,-0.00553485991368764,0.000868395797352408,-0.00414081662609993,-0.00380593084577965,-0.00266667847678034,-0.000750399827549429,-0.00304909147239316,-0.00469479707455046,-0.00392011021484687,-0.00329334144385936,-0.00128477360589129,-0.00613559294331798,-0.00596385106149509,-0.00499422488967194,-0.0029835709240905,-0.0037902685417384,-0.00391067913713257,-0.0023604085783687,-0.00215201504736966,-0.00190872887898986,-0.00182790085522347,-0.00126595076951355,-0.00104170954376743,0.00340727526710466,0.00347526243347624,0.00413855781240425,0.00752949350500464,0.00781376378401327,0.00792508996472397,0.00809724946172692,0.00243743293268688,0.00284655027324921,0.00308511063083643,0.00411850336645273,-0.00312244663614757,-0.00424034417467943,-0.00406163612333906,-0.0031012306513793
"b_ACC_2",0.00302934203572622,0.0012327716064535,0.000681168402875457,0.00409193453694613,0.00123410469165579,0.00197491532418404,0.00172975752481032,1,-0.00202794537711441,-0.00125903268704551,-0.00549259593461938,-0.00411982222150381,0.000288074865634881,4.71697767453305e-05,0.000519859310300035,0.000378300423062488,0.000979685374040187,-0.000235331665244317,-0.000116930266885995,-3.1135210736125e-05,4.1817355198304e-05,-9.10196002455502e-05,5.93000688108889e-05,1.44496561349617e-05,-0.000152504103964289,2.46650634774129e-05,-0.000117964658351127,-0.000178994215961741,-0.00026901879633461,0.000227044583290169,0.000237535624146046,0.00022752823163685,7.14366682994042e-05,-4.4644728104338e-05,-2.45204853879719e-05,-3.46481017816077e-05,-2.49267680569643e-05,-3.93079379981336e-05,-9.45135998464561e-06,-0.000517062142670448,0.000382881746979781,-1.44769975516862e-05,-0.000173998848081787,-0.000192334463398385,-0.000179999972459631,-0.000106567566467097,-0.000189699376975278,-0.000175222212986359,-0.000158638865337643,-0.000108765272150775,-0.00017620599347758,-0.000167468879083658,-0.000157837104713642,-8.46646194943047e-05,-0.000135920959608536,-0.00017581943717416,-0.00017501297182676,-0.000116870312957433,-3.67713955836319e-05,-5.03347034536503e-05,-5.39782570412844e-05,-5.88391121843102e-05,-4.72714525676595e-05,-1.0208133912322e-05,-1.20558009234027e-05,-2.05924380203496e-05,-0.000530868017032564,-0.000513371452130843,-0.000496591725127577,-0.000451874928901602,7.75185609781533e-05,6.07659321957733e-05,4.80003460579438e-05,-1.10275709606356e-05,-0.000172792293942748,-0.000177236277851869,-0.000170498146306328,-0.000134981170595134
"b_SI_CAMFD",-0.0893209949426172,-0.0491902691326756,-0.108211806719939,-0.0515033639965327,-0.0967720888096316,-0.0363985411360383,-0.0345969785188687,-0.00202794537711441,1,-0.130338320551672,0.0645270178055575,0.0887949233512944,0.0317124956662503,0.0879940350899076,-0.0379467466422254,0.021147081548947,0.0637944054573927,0.00359749818671409,0.0077795650897357,0.0155811246209053,0.00145669666661737,-0.00390588732098501,0.00217942555486739,0.00421372343243042,-0.00338987431559814,0.00494568439510179,-0.0102074365106551,-0.0101229442678187,0.00302524892157034,0.0151048889832382,0.00686827207052082,0.00846512742232343,6.42431983955127e-06,0.0029097266110752,-0.00012664171192483,0.00212341667702159,-0.00206136101439338,0.00318997783907225,-0.00479143004770985,-0.014394993203858,0.0109723693030782,-0.00112561397037835,0.00568161299144999,0.00849844829499128,0.00807462527925617,0.00738086696677602,0.00793079759109346,0.0068338320155885,0.00619597018093178,0.00530007819593943,0.00607850022422757,0.00763176193956748,0.00728181214332491,0.00659279653634262,0.00720006567348649,0.00757745622097858,0.00698071262152399,0.00410242718638636,0.0029107826959396,0.00389207133793138,0.00383133055520013,0.00331144769871156,0.0018173915407586,-0.00412982801897748,-0.00430734335161858,-0.0046082734754891,-0.0154666146886564,-0.0151110609152266,-0.0147647262934872,-0.0137899890655815,0.00146906258564545,0.000866632699056675,0.000439262175491952,-0.00136386687273028,0.00753621167807064,0.00682377453258713,0.00630672831171383,0.00473899943120009
"b_SI_PANEL",0.0311141965792106,0.0447868546613505,0.0783430461364232,-0.0117875391315224,0.0430697125134676,-0.0279506826535005,-0.0056704378340921,-0.00125903268704551,-0.130338320551672,1,-0.00333144619023957,-0.0266056161890244,0.0708261181321834,-0.0313365544500559,0.0557988214962706,-0.0509162248261808,-0.0564905296757905,-0.0145903634202188,-0.00929112450598137,0.00367300615894821,-0.00382910644625274,-0.00789712719455975,0.00717024224394929,0.00267817200762186,0.00644508600924665,-0.000455033529364123,0.00559119642051907,0.00783720448252985,-0.00111834288627403,-0.00739297529208171,-0.0154753715800333,-0.0158928221817135,-0.000350745961459139,-0.00859756374754319,-0.00468935221129357,-0.00848991098941556,-0.00451417033833479,-0.00249227446302857,0.00680979615754867,0.00278982301668572,-0.00699762626603616,-0.00527765521951248,-0.00820679526069355,-0.0117667128824807,-0.0112158228557504,-0.00918716980115768,-0.011002512477089,-0.00911947852641555,-0.00790777998566444,-0.00598407497264811,-0.00807729547072903,-0.0110175700518827,-0.0108739103318389,-0.00896115158319604,-0.00862611348038788,-0.01014372128582,-0.00973941596283532,-0.00642361200859044,0.00121491020506702,-0.00101262584850149,-0.00119708100851747,-0.00126302475598512,0.00309678124139567,0.00705689922485634,0.00709444069133873,0.00691379723372631,0.0114912194002653,0.0124675381387365,0.012938829982901,0.0138445975811821,0.0075296788999901,0.00824036977889801,0.00868761888362309,0.0103008428251468,-0.00954321473679349,-0.00973431126303257,-0.00942025809126159,-0.00782667018055086
