"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_EXP_5_LV1","gamma_HPICO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_EXP_4_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_HTRB_2_LV3","gamma_HTRB_3_LV3","gamma_SININFOTRF_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.140785790873846,0.1151069426452,0.0993074838337628,0.00955972438877772,0.0483972415701666,0.0154819729269588,-0.0061717801364111,0.0216997709470592,-0.00989624479058183,0.00250996622433439,-0.00329570967658039,-0.00450764675085006,0.00128597496236482,0.0087671316205351,-0.00312865932370465,0.0060248976165023,0.00640652684038545,0.00075292843161517,0.00036113032960948,0.00109913208926681,0.000265130234602231,-0.000679418960820722,0.000199577175102136,-5.1165566897634e-06,-0.000312931435260559,3.37676149684394e-05,-0.00177543750175763,-0.00280006326160598,-0.00117253126454,0.00246809768377305,0.00750147900288421,0.00768889279920882,2.97256967540805e-05,0.000321432093582961,-0.000135361402483889,-7.04803656442998e-05,-0.000197015328844204,-0.000132826709053248,-0.0258190643301989,-0.0103395519032789,0.00285874963967826,-0.000121726050522494,0.000562171488251355,0.00186831187938528,0.00208619198671703,0.00391458715889324,0.00112613836951608,0.00104803735168043,0.00111828245742457,0.00164072817428957,0.00130992382680678,0.00154982251582806,0.00158891323021324,0.0032592888316634,0.000763538386859915,0.00050871598286928,0.000418634585695416,0.000264517576697089,-0.000486674058270995,-0.000472593201678615,-0.000509299784453965,-0.000682841853192585,-0.00374936910062608,-0.038425267975194,-0.0431700022731944,-0.0559292128298177,-0.0516253356077862,-0.0451791009419918,-0.0414944647069156,-0.0336778184701958,0.00247329421635915,0.00166451397013844,0.00109923122410131,-0.00115947516444522,0.000676922138355867,0.000553381798794337,0.000527641509867713,0.000492589888390921
"asc_ruta2",0.1151069426452,0.132174694313431,0.0988062921537987,0.00441540411573033,0.0413582092548659,0.00959047636177183,0.000626562160215705,0.00855626459618435,-0.00528069179601785,0.00350069758095717,-0.00156390201602367,0.00182871290127243,0.000156417194185937,0.00420511370128309,-0.00252296628440608,0.0055943042327379,0.00490844259949593,0.000625725875585975,0.00039271457984938,0.000931308336601819,0.000135856384673122,-0.000466676527681933,0.000155476157661607,1.60453260930647e-05,-0.000217826568971776,3.21483598030476e-05,-0.00135797793404722,-0.00206965510131523,-0.000895097969915336,0.00196593218728545,0.00558024543762777,0.00570038762864778,6.49538497932462e-05,0.000268457083121439,-9.08397635272541e-05,-5.12862961688826e-05,-0.000143744269895102,-7.2009582105652e-05,-0.0194586768709442,-0.00796488476072332,0.00216374526954561,-8.19287918732588e-05,0.000723383070746468,0.00177701834399239,0.00195106236488969,0.00332596195352284,0.00113116533365089,0.00109484041287551,0.00115388169486277,0.00154417150437066,0.00137997451646089,0.0015544150902878,0.00158147408131335,0.00277053024609673,0.00068557512674001,0.000502800737662529,0.000440690467032021,0.000327856336049951,-0.000317078458436752,-0.000227856994573551,-0.000251442642484044,-0.000386298110375338,-0.0027315107085273,-0.0284768927564225,-0.0321714555741303,-0.0419751566106937,-0.0393913999383418,-0.0344347251715924,-0.0315911384603035,-0.0255557140442396,0.00198396727889762,0.00137096570191392,0.000938068865919981,-0.000777007993804297,0.000654393737241582,0.000585810848820028,0.000569577037154267,0.000547076227860439
"asc_ruta4",0.0993074838337628,0.0988062921537987,0.678573713886262,-0.0121412981254031,0.0441988196608986,0.00807650567419013,0.011000314584753,0.0107122435080178,-0.0263214996418107,0.0138748674729286,-0.000728302848507003,0.0116084969435025,-0.0612334901917768,-0.186454075406322,0.0407005735709448,-0.0832821136542908,-0.106315767391106,-0.0213260843088733,-0.0273540910723362,-0.0131041115601081,-0.00669285477925008,0.00129599425009438,0.0029015732889585,0.00131856899616343,0.00303092457757596,0.00133975171821763,0.0155415946796035,0.0321635277978194,0.0133561912026963,-0.0247145661838901,0.110693088062193,0.110410151396983,0.000807954129749179,-0.0107384404357236,-0.00344462227073223,-0.00413346863475979,-4.64277756464634e-05,-0.0016629807791666,0.167971086199593,0.0813137124704232,-0.0136524824862674,-0.00141810947730967,-0.0400569895670368,-0.0569889690102238,-0.0602199970687871,-0.0845049204264461,-0.0435896263141887,-0.0414615889914252,-0.041821147544941,-0.0487091378668238,-0.0585665726540366,-0.0534022832429425,-0.0523920341254314,-0.0709488023068039,-0.0205150375375216,-0.0183134469103049,-0.0174354222951185,-0.0158854394650907,0.00692884701877004,0.00523958593671803,0.00493425427633084,0.00612089076339776,0.0405508321021521,0.271221436862242,0.299654045025014,0.385780877629006,0.00102360964661609,-0.0474749336849577,-0.0751122924764384,-0.133474347028576,-0.211923591082137,-0.207904377200538,-0.20476920757949,-0.191496719163973,-0.0242969163323245,-0.0229300926169092,-0.0226670138309609,-0.0224090284958375
"b_tt",0.00955972438877772,0.00441540411573033,-0.0121412981254031,0.0105162626030742,-0.00209065881962979,-0.000172063190560025,-0.00292186947379979,0.00801100152484435,-0.00155956604979643,-0.000259886507216036,-0.00150328576167375,-0.00387390143527312,-0.000454471254906696,0.00622833241763755,-0.00196790045986274,0.00365976215627852,0.00252258579375366,0.000269106415056649,0.000306312070800445,0.000345681097215322,0.000164908756773067,-0.000339623191159344,9.42048983830766e-06,-2.13003186828506e-05,-0.000117495635034743,-1.69952034011155e-05,-0.000694256332968599,-0.0010960141192549,-0.000422625321230064,0.000863924946685843,0.00337698658069505,0.00365562687744305,-1.04136378336397e-05,0.000257401992010801,-1.47927123270676e-06,4.57484199510706e-05,-6.9271282517322e-05,3.90930811109065e-06,-0.00672411900836776,-0.00428652109092238,0.00126558486775185,-3.39244550312234e-06,-0.000124757265999604,0.000432008227278716,0.000559852350881011,0.00145884301711199,0.00022910793140678,7.12226533279256e-05,8.62877693854535e-05,0.000305759921820503,0.000231978014125007,0.000160580405581067,0.000177493263033181,0.000906819354562163,0.000245133339398409,9.64286673751603e-05,3.74389433230308e-05,-5.86004086357684e-05,-0.000272942356669556,-0.000209531654213867,-0.000208729372441916,-0.000253390336323092,-0.00175269937394194,-0.0104208702879551,-0.0115455864842142,-0.0151693354723688,-0.0223785108312897,-0.0197132401213999,-0.0182221602188586,-0.0150049660786153,0.000757128251710832,0.000409205781977103,0.000165175989197943,-0.00084161009227955,0.000119393894280588,5.96752773152062e-05,4.89206340273984e-05,5.03249317996657e-05
"b_dt",0.0483972415701666,0.0413582092548659,0.0441988196608986,-0.00209065881962979,0.0522727806963481,0.00994991878256055,-0.00199022386463726,0.00538663106093785,-0.006533191403043,0.00211709159652113,-0.00620265649552951,-0.00982426438137834,-0.000567520061539803,0.000407741469167963,-0.00349588257072463,0.0076448368818181,0.0042262082904636,0.00089674606202922,0.000924405206300625,0.000812248044180507,0.000149364065424315,-0.000295964175606801,3.50588962250903e-05,1.67606830795489e-05,-0.000175122393245372,-3.36127284664888e-05,-0.00101189188135573,-0.00161776870606506,-0.000666202197770166,0.00154045858722335,0.00504252285729121,0.00490975822790251,9.3399673949071e-05,0.000415852944142092,8.08785141340424e-05,-8.05174100180403e-05,-8.50083827294721e-05,-8.75575248883217e-05,-0.0159267853194846,-0.00567506285619548,0.00145040277697961,-2.68691861701916e-06,0.00129873319822845,0.0023934581691361,0.00258094096601465,0.00383735197093319,0.00156352544475334,0.00168588095400905,0.0017725635042629,0.00217588971957329,0.00232011282625241,0.00188955437467395,0.00182222861202783,0.00248254595097716,0.000854283542943743,0.000704105520710431,0.000657278009395653,0.000555003862668421,-0.000358214606570057,-0.000291272849240862,-0.00031276692093809,-0.000410897621502403,-0.00272390481782606,-0.0237551284936719,-0.0268525118851296,-0.0343225905661722,-0.0300246006927569,-0.0265278760472173,-0.0244859645192497,-0.0201936192131882,4.073854711801e-06,-0.00040760147916995,-0.000705591451232128,-0.00187719320876506,0.00090279027565566,0.000894144884243644,0.000893695416569174,0.000893189096981274
"b_Sem",0.0154819729269588,0.00959047636177183,0.00807650567419013,-0.000172063190560025,0.00994991878256055,0.0262331956122021,-0.00262591192365086,0.00610662855958999,-0.00174079263689006,-0.000973302618724946,-0.00224327937915353,-0.00665726043465886,0.00337184484579918,0.00186337500609126,0.00331855857479491,-0.00837643512161513,0.000586261133044505,-0.000470494062394551,-0.000873561733527384,-0.00040927916742466,-3.09973573699261e-05,6.32681713307584e-05,-2.12768539822167e-05,-4.64283173306119e-05,3.10295650346268e-05,6.94508098770806e-05,4.22883333969841e-05,-7.72954077675057e-05,2.12803946416058e-05,1.63574648240555e-05,0.000277142507672576,-4.95022568433912e-05,1.95953992585192e-05,-0.000303362118141121,-5.79559987725959e-05,6.49596491228035e-05,2.60427805394518e-05,-4.77154733220031e-05,-0.00139124746734199,0.000989744743059977,-0.000223554490288638,-2.22395979974632e-05,-0.000738526341262824,-0.00134956231090165,-0.00152899713336446,-0.00202065818143567,-0.000945198698100663,-0.000892383685400367,-0.000914351700226064,-0.000964337136435536,-0.00146644809401804,-0.000930362637553927,-0.000876666912527201,-0.000717273755754371,-0.000486509634683359,-0.000400937239406185,-0.000364832719677961,-0.000292235033455089,0.000219740952120195,-7.47840541009789e-06,-2.99069327537644e-05,-3.58305036679923e-05,0.0013464490585116,-0.00207711581725083,-0.0021468076883349,-0.00242744404483093,0.00324171788183264,0.00263252460269619,0.00235176153991335,0.00167483062222804,-0.000962553312814081,-0.000921400106993135,-0.000878326338304563,-0.000662772104584067,-0.000515909346945274,-0.00049959560896167,-0.000495066367841797,-0.000502169521001151
"b_ACC_1",-0.0061717801364111,0.000626562160215705,0.011000314584753,-0.00292186947379979,-0.00199022386463726,-0.00262591192365086,0.0988728698983315,0.0103836782999678,-0.00321228601467038,-0.000383340793406742,0.00246729811304666,0.00535491176276417,0.000143663775489928,-0.0109306419535306,0.000954807427057885,0.00248336557498133,-0.00209052686211524,-6.89008919552118e-05,0.000798355674555381,0.000168237730400884,-0.000232308989344942,-0.000310571305911354,-0.000211100272437523,-0.000162111251831472,9.97269659334804e-05,-6.34045459186667e-05,0.000456728720323091,0.000493158211260889,-0.000129013044184223,-0.000485681144811829,-0.00254432504175174,-0.0024702796416311,4.47477109554489e-05,0.00026695031352195,2.82635465227839e-05,-0.000277992045940019,6.10604420539812e-05,-7.26225298474163e-05,0.00665183468182803,0.00083420935795406,-0.000469888640728088,3.7145504394978e-05,-0.0010556174416375,-0.000978022392132145,-0.000752190002733173,-0.000324671463310086,-0.000640989778069665,-0.00106498094192947,-0.000973087342402138,-0.00108490387561513,-0.000388466621796622,-0.00196901058232043,-0.0020962874545706,-0.00273539996244983,-0.000333802026937502,-0.000347543141996944,-0.000366093425864659,-0.000319463818438045,-0.000220852619915891,-0.000324103334856351,-0.00034413095465511,-0.000285481828575875,-0.000407167815215546,0.00827441692473662,0.00934505239801438,0.0138344111642347,0.00806528588570466,0.00752880134715752,0.00720884255766485,0.00653254740344142,0.00109699502610408,0.00122912831396466,0.00130786887340907,0.00164491844367792,-0.000400258956769703,-0.000518285090404164,-0.000517364954796331,-0.000481139930406021
"b_ACC_2",0.0216997709470592,0.00855626459618435,0.0107122435080178,0.00801100152484435,0.00538663106093785,0.00610662855958999,0.0103836782999678,364.464180184181,-0.0114319717854837,-0.00516766443904565,-0.0278716573019479,-0.0289670507643835,0.00192045969345972,0.000369020503005088,0.00192920841833737,0.00349795545292419,0.00357753477617989,-0.00114725597966419,-0.00083193581209602,-0.000116939768509747,0.00015986657336717,-0.000375040643144595,0.000235952973348172,2.67499463497066e-05,-0.000244514910666191,3.6952026478088e-05,-0.000408901711819642,-0.00111891645104893,-0.00091747492557042,0.00114820114226924,0.00426726047029344,0.00403873571641417,0.000237700755427206,-0.000271645393029182,-0.000121532500350274,-0.000256707648526147,-4.75606307715542e-05,-0.000267268704419236,-0.000918876783210785,-0.00702682789831991,0.00197352136159867,-3.75972347270421e-05,-0.00269312051331355,-0.00300077802922887,-0.00308260725230849,-0.00279940218485978,-0.00242122645729711,-0.00241325396058812,-0.00239084816706176,-0.00217537236911119,-0.00323471956389708,-0.00326298051421795,-0.00336838719664643,-0.00281542238082305,-0.000923268229241756,-0.000978801178220084,-0.000994715398324338,-0.000960345613175523,-0.000229116423134943,-0.000518914283918024,-0.000616990981672369,-0.000805594735927635,-0.00112179784684554,-0.00150510013134686,-0.0019682445555228,-0.0041793455086832,-0.0345246608038929,-0.0300321296703396,-0.0274251918256379,-0.0221336048743748,0.00211819794165667,0.00159304258455019,0.00123545430183496,-0.000267407548028149,-0.00134480483035706,-0.00131525234264149,-0.00131857401144255,-0.00127145027283603
"b_SI_CAMFD",-0.00989624479058183,-0.00528069179601785,-0.0263214996418107,-0.00155956604979643,-0.006533191403043,-0.00174079263689006,-0.00321228601467038,-0.0114319717854837,0.0871916567306143,-0.00827445615931343,0.00506450233118002,0.00965659417481532,0.003269943798975,0.0106475563707606,-0.00217810046958587,0.00302439092569569,0.00360321247885918,0.000271263015095141,0.000856107371223363,0.000905147300041476,8.61351213382571e-05,-0.00024892766209804,0.000134128891363853,0.000120653929138809,-8.40654326021498e-05,0.000114602069594135,-0.00054726004356723,-0.000978758499673115,0.000159581569613946,0.00118150184996884,0.00190843744993038,0.00232409396143886,3.30633278743887e-07,0.000273838423884069,-9.70845633398738e-06,0.00024333502513529,-6.08339099087868e-05,0.000335479163137268,-0.00720506933790328,-0.00302578508955529,0.000874757398122317,-4.52144150229126e-05,0.00136016345397865,0.00205081477026133,0.00213883938731707,0.00299887017682738,0.00156565623289403,0.00145575471231968,0.00144431446140255,0.00163959155641124,0.00172592704738465,0.00229993318997167,0.00240360119787654,0.00339094940312522,0.000756463461830908,0.000652470788440168,0.000613674955722399,0.000521403894044619,0.000280521356993298,0.000620610246909723,0.00067736011604162,0.000701258999376326,0.000667074279267887,-0.00941805105511902,-0.0108768345367427,-0.014466011017777,-0.0155577992863144,-0.01367286139103,-0.0126120485774879,-0.0104473914424813,0.00062088501271513,0.000351408555689572,0.000174870344071469,-0.000511535549244631,0.000907189505301742,0.000783233348869819,0.000754395364939044,0.000690435136487607
"b_SI_PANEL",0.00250996622433439,0.00350069758095717,0.0138748674729286,-0.000259886507216036,0.00211709159652113,-0.000973302618724946,-0.000383340793406742,-0.00516766443904565,-0.00827445615931343,0.0462231722544533,-0.00019037959253102,-0.0021066945612861,0.00531735573400724,-0.00276083445472902,0.002331958386783,-0.00530195564990058,-0.00232313974153162,-0.00080102951637,-0.000744446695233734,0.000155358322960707,-0.000164854570343027,-0.00036645022418127,0.000321296898464818,5.58349738917486e-05,0.0001163737373549,-7.6771825889741e-06,0.000218260030519939,0.000551724522835964,-4.29525553328604e-05,-0.000421045016950888,-0.00313086206407471,-0.00317697367070236,-1.31433023134348e-05,-0.000589128474345812,-0.000261745166811696,-0.000708377807301407,-9.69978311614398e-05,-0.000190838573382327,0.00745589070987678,0.000426968343019022,-0.000406191059558114,-0.000154355058123539,-0.00143049209254837,-0.00206744690657748,-0.00216311369175265,-0.00271784346429978,-0.00158148043616421,-0.0014144458291697,-0.00134214496712893,-0.00134785393490118,-0.00166987658976955,-0.00241751198080349,-0.00261337117870261,-0.00335589117629863,-0.000659871048178385,-0.000635956416493812,-0.000623395931806122,-0.000594435994243376,8.52496756936461e-05,-0.000117565411412287,-0.000154094077652479,-0.00019474432882588,0.000827615526793979,0.0117175117687195,0.0130437840775481,0.0158022742481482,0.00841611039293912,0.00821367602999775,0.00804725288800212,0.00763689273723296,0.00231707314438645,0.00243285580458808,0.00251817278416804,0.00281299531594979,-0.000836434685689264,-0.00081351233052016,-0.000820446183942582,-0.000830243854745718
