"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_EXP_5_LV1","gamma_HPICO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_EXP_4_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_HTRB_2_LV3","gamma_HTRB_3_LV3","gamma_SININFOTRF_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.849192655770327,0.252205502032488,0.486268660851323,0.484364317595854,0.160870203879309,-0.120577334729531,0.308423694040421,-0.0935138600002032,-0.0655914669317545,-0.0152952516306048,0.0190429655017536,0.0120932881946555,0.062530725056398,-0.0459536614041696,0.0328911875390393,0.18561299110845,-0.0482013860317268,-0.0465066112086452,0.0241698552650334,0.0176695954304825,-0.0530507782106313,0.0303326038537562,-0.051141756777838,-0.135809215844413,0.0573476838519801,-0.112826420900166,-0.0854632670003149,0.00798210937032918,0.146520084593072,0.0487282044850391,0.0429782627311933,0.0218228326829757,-0.00548917325934101,-0.0201123740177827,0.0417484778855465,-0.0817148850474422,-0.119375895187654,-0.0883153444086554,-0.0814135962152724,0.101087346799822,0.0516075841451837,-0.0872349383511825,-0.0832210046676568,-0.0646305349716083,0.0187853503904401,-0.0794082885810968,-0.0466201750928132,-0.0455414175690572,-0.0401186184921368,-0.105822055311856,-0.0232512235873727,-0.0057203685805213,0.0218701500218181,-0.0544060905182166,-0.0521474886421209,-0.0303559351781235,-0.043273595847779,-0.122644981164783,-0.110688807302469,-0.0928355303494151,-0.130153633735838,-0.104072466986917,-0.0838467890361065,-0.0861259651221989,-0.0920248007072735,-0.0890315422795924,-0.0927417670910364,-0.0864004259650876,-0.100822953261032,0.0684838406546294,0.0525108744813539,0.0529858029571592,0.0377879669191866,-0.082096877391895,-0.000503085689715448,0.0308760637553323,0.018363257880044
"asc_ruta2",0.849192655770326,1,0.261343447822203,0.332225465094046,0.398849668353231,0.126217455125423,-0.0309411339997326,0.197684288658562,-0.0267703513822705,-0.0776790767330118,-0.0434879420899378,0.112426745215249,0.0291809237538477,0.0310123412676831,0.00160101372582421,-0.0130803992947655,0.170833015231448,-0.0686537627748758,-0.0149710053625162,0.0426551348723922,0.00194801231346423,-0.0671181473416751,0.0401945386168822,-0.0321272069821278,-0.104350433671028,-0.00217313926756638,-0.122828059670048,-0.132952731254049,0.0222550161706082,0.107625400264131,0.0544917497595302,0.0481306145671086,0.0480552791944017,-0.038467002823853,-0.0134220290140233,-0.0190888328960661,-0.106391924569884,-0.0929354743584598,-0.0494159427813447,-0.0811500046823826,0.0535588859053931,0.0789720702823974,-0.119075560734796,-0.0864879346147433,-0.07317261823587,-0.00546551033257708,-0.118758475869707,-0.0411433977535534,-0.0381655711648227,-0.0231008095894933,-0.090804452422807,-0.0644936336075294,-0.0530162222103567,-0.0357754580266516,-0.0998089168864131,-0.0905922398825952,-0.0677547789368396,-0.0602293220794414,-0.147751010865041,-0.0858684287508591,-0.0753565197177545,-0.108655570836352,-0.147809902466427,-0.0475165547325084,-0.0517033147783335,-0.0557106152435841,-0.0924530410083258,-0.0970729018955592,-0.0914867644983071,-0.10640148022401,0.0316787537490027,0.0128881029260383,0.0118842614475211,-0.00775358312481726,-0.129308488178179,0.00253022347575221,0.0296947031372376,0.00928970352449139
"asc_ruta4",0.252205502032481,0.261343447822195,1,-0.0785781934530125,0.162585773582844,0.0398419296074881,0.0545557439816785,0.0949503022439721,-0.107383525792956,0.112857068987661,-0.00176033612339795,0.0184135887080457,-0.241188323413345,-0.568155051263866,0.283177775360055,-0.249520172366918,-0.722048006098316,-0.149125200249834,-0.148666944599345,-0.208279215891672,-0.147517624065195,0.144233465713137,0.01118141623502,0.00116463197706028,0.134378890918398,0.0589291220424966,0.290496371320087,0.321736344335072,0.213937387858017,-0.359420677879574,-0.177803722713339,-0.233552988101542,0.0234878231659582,-0.115085231938555,0.00781267208622927,0.00112804491201287,0.0137313164877949,-0.0508025179708911,0.111694154071431,0.403191174619929,-0.285398308124275,0.0937888716331585,0.0143123936336004,-0.153077512344845,-0.140012175942802,-0.111958301214882,-0.0936722651610559,-0.041514833390052,-0.0296605822085466,-0.0307725814041458,-0.0474661345674474,-0.0475184718958118,-0.0229258267992943,-0.0487808325266824,-0.148972848385854,-0.0904095301902096,-0.0536855670825652,-0.00102278151079181,0.101621027737021,-0.00399385947477436,-0.00724222704285849,-0.0133073235007344,0.188186750482578,0.116578583198383,0.112121453662417,0.121347904484981,0.429227075397422,0.433485907322086,0.433385105966214,0.418987846328728,-0.13544577829036,-0.136077724887975,-0.117031337076507,-0.0742300786634508,-0.135843397696964,-0.0116207312324248,0.00631985957446563,0.046183445932113
"b_tt",0.486268660851323,0.332225465094047,-0.078578193453015,1,-0.0940047965263144,-0.0911920528495811,0.00746367845916242,0.344925174357553,-0.149858993911326,-0.0763162961471673,-0.0235661798473514,-0.0780585902356432,0.0795902648846941,0.0987436481920945,-0.141499080437507,0.117625661496567,0.151667602381465,0.0396421369942263,0.0339350502142898,0.0657312149226211,0.0657516843353054,-0.0409553675112766,-0.0873711722370374,0.0262592428981327,-0.12283202832621,0.0680423935960849,-0.0410987602376181,0.00689753809685365,0.0758302749465735,0.133714455711446,0.0636038036659023,0.0611355859063538,0.182417341273917,0.102979307466602,0.0881212488315092,0.0485085238944999,0.0248384398395334,-0.0180159593125854,-0.0642544012723748,-0.0769303707284259,0.0565192371340133,0.106055504921961,-0.0871431273605576,-0.0131216333470886,0.0133134700833907,0.0734963286597831,-0.0162568099044553,0.0163379695053577,0.000351642441905826,0.0331294001509706,-0.0208312534705869,-0.0213695510463774,-0.022495356207063,0.0469216148946718,0.103987999713235,0.0514060478140247,0.0584995786650878,-0.049610587989973,-0.0610409430298219,-0.0599563729477562,-0.0297801319927585,-0.0534767387608375,-0.0523095952425251,-0.0637718653026921,-0.0614613957010461,-0.0680041370933223,-0.115770547454784,-0.124956780205796,-0.126436823580659,-0.144882543420681,-0.0352717198705534,-0.0179085868859224,-0.0173976044468756,-0.0361196296018018,-0.0125274068109432,0.025658058827814,0.0276122935295378,-0.00803602866985331
"b_dt",0.484364317595853,0.398849668353231,0.162585773582848,-0.0940047965263146,1,0.199998207068419,-0.198017086376764,0.00833126937766978,-0.0362989771337878,0.0220581531655595,-0.032440118979596,-0.0991577575215339,-0.0352831486024529,0.0471369835878517,-0.126651130404478,0.116295626579973,0.147831100360693,0.0266442330191017,0.0193875600433724,0.0672335750489781,0.00185359502707289,-0.0883788044425162,0.0273461288534025,-0.0361575835207731,-0.0572738237945049,0.0309575580534224,-0.13154512604346,-0.134723369492053,-0.0584476285532425,0.105329869405671,0.0252960424323652,0.0405490536046026,-0.121862456812873,0.0102896708677387,-0.0385798412482883,0.0452601308607589,-0.0419642164886439,-0.0704611845377653,-0.0937490437015044,-0.0978771433530458,0.111936658776757,-0.0040638011907759,0.0419658354205134,-0.00262875803357729,-0.013110312050906,0.025496708780292,0.0115639611780127,-0.0134290621563343,-0.0279387735250765,-0.042728392626261,-0.00140035005243564,0.0319159267207994,0.0272037495790375,0.0408156544055242,-0.0289142044786449,-0.0124315625685676,-0.0177876788207785,-0.0200897512654066,0.00971130028330962,-0.0135954195690486,-0.00647740336199202,-0.0206474964230885,-0.0198545712854963,-0.0868581035013001,-0.0901535499228112,-0.092607627417213,-0.0778520949254306,-0.0753598919222998,-0.0725803574877729,-0.0701448728913044,0.106385947559278,0.0844678804674738,0.0875334176181218,0.0873714824429334,-0.0318081470495142,-0.0163729139304217,0.000452959742130985,-0.0467069450761001
"b_Sem",0.160870203879309,0.126217455125423,0.0398419296074903,-0.0911920528495814,0.199998207068419,1,-0.0872146703832179,0.0738670756713291,0.0439963551888068,-0.0926793344610829,-0.105768045699587,-0.0821949268590778,0.104664938352163,0.0955021192034104,0.264552455682972,-0.267801947351039,0.0147671508718966,-0.085972450852305,-0.0534856108043202,0.0301597253020199,0.0137635409602453,0.0402999987472848,-0.0287825008347851,-0.0355542831937084,-0.124352885973081,0.0765529004486575,-0.0252160013724833,-0.0119674404135673,0.0311009603968182,0.000928741003079916,0.0395663380635207,0.0675795293216749,-0.0521376047750377,0.0186493653773606,-0.0158033830510303,-0.0067314246803836,-0.00633961010224367,0.0725437390674054,-0.144711505726203,0.0260130768025674,-0.0414276510916103,-0.00933581718410914,-0.0211504896044883,-0.0321520316331042,0.00103801466806845,-0.0129760345546044,-0.0193001067317707,-0.0186678026686543,0.0215130695934752,-0.0913203518863302,-0.071027593647305,-0.051875455760542,-0.0237525722250519,-0.0910040078214383,-0.0500511120403234,-0.0322717927737051,-0.0105240981637493,-0.0179683189619701,0.017736312036478,0.0721709143998968,0.0811036169563892,0.0403474723937693,-0.06847547847309,-0.143122528152123,-0.140862901927985,-0.147185936768235,-0.00216687038954053,-0.00113472150932707,-0.00306462188443042,-0.0155684536513507,-0.0744899365413035,-0.0723908249964004,-0.0712230424941083,-0.0639083283513982,-0.0416639125162017,-0.0532000910784475,-0.0335053138984719,-0.104378987465012
"b_ACC_1",-0.120577334729531,-0.0309411339997327,0.0545557439816791,0.00746367845916256,-0.198017086376763,-0.0872146703832179,1,0.17753424794029,-0.127825064769822,-0.0674183357563208,-0.00874883333555368,0.0672924767776627,-0.0235184373271342,-0.0754877518573477,0.102528007476361,-0.0513763102157254,-0.082754663739056,-0.0206836850087239,0.0722120873793834,-0.0839031989161794,-0.0518782615433035,0.0483392702166001,-0.0471683104319037,-0.00152429019438499,0.104994168805255,-0.0539261365838221,0.10339101139019,0.0261517959460481,0.0470998369330536,-0.0351414149389122,-0.0339667382851163,-0.038466045908557,0.153056458011676,-0.00887476447294725,0.0412989116737705,0.0402082601768802,0.00761998640778925,0.0151087601091764,0.111747280040886,0.0264240015298675,-0.0274486770821688,0.00930468911884915,-0.0179981682881825,-0.0435653361098883,-0.0411009653726302,-0.0220238427870595,0.00154701148004774,-0.021268520837168,0.00276610760039757,0.0318242192557388,-0.0577734037603283,-0.0208466332367719,0.0063211066632307,-0.00426487969636088,0.03558016917146,-0.0172185572756873,0.0270045960135574,0.00905109173273105,0.0444469969760777,-0.0198319297304111,0.0100902543243807,0.0369885189088982,0.0895244514848123,0.090092897664137,0.103660787754856,0.113470405765806,0.0132354873454514,0.00713610137646504,0.0120910703598669,0.00801215522261611,-0.0451741466618521,-0.0526499567279688,-0.0482727952415159,-0.0372056972488504,0.0423972430282466,-0.0195390004026098,-0.0264832509683262,-0.0365630257784493
"b_ACC_2",0.308423694040421,0.197684288658562,0.0949503022439733,0.344925174357552,0.00833126937766973,0.0738670756713292,0.17753424794029,1,-0.162343900183082,-0.068434819792984,-0.209151690635104,-0.21397452033043,-0.0103658163604642,-0.0225045880474435,0.084177637052597,-0.0307667310311755,0.0921896371001577,-0.115915401219138,-0.136384630096896,0.0804697846527418,0.0149963187387919,0.108265158632409,0.117458526072159,-0.0159417845480772,-0.156980067070154,0.133012031319606,-0.00599275125137959,-0.0158673806158668,-0.0471801035681958,0.0668025552025813,0.0212444401787668,0.0383337928977662,0.11931400303633,0.00836765813330119,-0.0412579785202865,-0.0327386023196522,-0.0500317913676865,0.0577055489898693,-0.124640598972808,-0.0517603656078013,0.0526011423858526,-0.137768054302883,-0.0362678619434581,0.0415048683852996,0.0687225220849689,0.106175972070454,0.0675432191556058,0.0170450773926507,0.0139382740975284,0.0831493312531034,0.00436001928314753,0.0447036362561282,0.049521917759436,-0.00103744646214178,0.00837991134580986,0.00620520380791612,0.0770735943811485,0.0787121466367529,0.0127417673899129,0.050359789311494,0.103615881979037,0.0527135904293812,-0.0560060949896633,-0.119686468537402,-0.112382695956553,-0.125943867459765,-0.0744886413080117,-0.079280765800143,-0.0749973963802565,-0.0828296629107124,0.00601584816718984,0.00843925920083233,-0.00166655810237854,-0.0151445661233206,0.1195109470817,0.0369726215701664,0.0479964713101082,-0.0273448231960283
"b_SI_CAMFD",-0.0935138600002031,-0.0267703513822703,-0.107383525792958,-0.149858993911325,-0.0362989771337879,0.0439963551888067,-0.127825064769822,-0.162343900183082,1,-0.093834682780141,-0.00807106411457763,0.0880809818552978,0.0104925859684526,0.132835185077397,-0.0486513431683478,0.0584919941918655,0.0729844915253599,0.0333459743415076,0.0236357981957206,0.0393674059022275,-0.0280482886180567,-0.0396544788865759,-0.0300341045072015,0.00745076943239207,0.0404056230683941,-0.0495995137862114,-0.0328509180292991,0.0134585343712859,0.022842905825753,-0.0362890992175846,0.0701216300938825,0.0653649766381981,0.0219512668033262,0.0208496123303183,0.0337407808187868,-0.0221881036088888,-0.00884338931535377,-0.0305021109556348,0.00989005944509599,-0.00441045445042656,0.0783157592016305,0.0567999989310833,-0.0637582910070244,-0.000495373598735126,-0.0111653439586422,0.0103347491259963,-0.023120974676276,0.0311313740315068,0.0273754910601798,0.0431650312431215,-0.0207481938206736,-0.0256368017562368,-0.0253138828759884,-0.023287323448136,-0.0587092865325045,-0.0527596042200892,-0.0611817776737311,-0.048106180690441,-0.0541017033104761,-0.0365196623093191,-0.063294628630865,-0.0471328647817252,-0.0324660536427838,-0.000103705419215324,0.0031786025850654,0.00831152409389862,-0.038658236064058,-0.0376297514993298,-0.0441340466952339,-0.0458944225841862,0.0240194390011461,0.00802585825315432,0.00886891105861288,-0.00352635130874166,-0.0403883288035787,-0.0182807774023209,-0.0252366195618794,-0.0031984155628908
"b_SI_PANEL",-0.0655914669317545,-0.0776790767330119,0.112857068987662,-0.0763162961471671,0.0220581531655596,-0.0926793344610829,-0.0674183357563208,-0.0684348197929841,-0.0938346827801409,1,-0.0723873341263155,-0.0485143969973768,0.0581928284278131,-0.184437177215929,0.0170295788893929,-0.00266272437180625,-0.0823683956133311,-0.0830200114773506,-0.0825200907157641,0.0314921735504991,-0.0341230296256819,-0.110418592011971,0.0694961829997756,0.0580591646988659,0.0211819995129372,-0.0469240557266802,0.0416050337527575,-0.0760960667366467,0.022253083286838,0.0255032350333974,-0.0880704488594965,-0.0844086217427596,-0.00313692912075206,-0.00851369073449481,-0.123884899408384,-0.0107815969312401,-0.0749207465637185,0.0500675838524593,0.0961204952244526,0.0287618986886952,0.0273887864075158,-0.0918787094094291,-0.0984046339246125,-0.0786806906627491,-0.0643918387354079,-0.0460734405390148,-0.0623819960524981,-0.123562006348269,-0.167261566690582,-0.156143302652254,-0.0734775966855664,-0.0397103056589149,-0.0504937977541561,-0.0529312911093522,-0.0834118449036798,-0.110858925896843,-0.145916046419044,-0.0806709180664402,-0.0410915328509657,0.0488610054842384,0.0254039764310595,0.0583646609431914,-0.0261100093700208,0.101780911906361,0.0981226916946965,0.0937837518172759,0.0579683343526771,0.0655347689065568,0.0677407387700174,0.0803499533165273,0.0647962520529178,0.0687062005923147,0.0744678484520187,0.0698297201399288,-0.0820917164407629,-0.0971183240472374,-0.127891209130738,-0.113155912192836
