"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.84548328093455,0.512676553338714,0.212463316209987,0.565353377396022,0.221087102074551,-0.0740208519332411,0.00891492831801831,-0.0632448189640201,0.0471623656836407,-0.0490774888249839,-0.0356760294219485,-0.00676249221176596,0.0458785423364964,-0.0606758357799714,0.0600183188474857,-0.110424288200127,0.00207618230841038,-0.00530522425007786,0.0044027157181577,-0.000997528725840008,0.00473508668240123,0.00282732412389355,-0.00754810402256976,-0.00553835696294049,-0.00804759759352279,-0.00672440434476434,0.00218349207212582,0.0047028204412843,0.00560541978534292,0.0212401461121154,0.0118608001491577,-0.0169586613870597,0.00511855786044597,-0.00222106091358899,-0.00358822016300232,-0.00235101252495435,-0.00313107486869412,-0.00281380950497988,0.00356361698682133,0.00493524803529402,0.0210506377657039,-0.00440545073813296,-0.000899885647343268,0.000200527658675765,-3.96755718562205e-05,-0.00143089163661784,-0.000436269147890898,-0.000273460659874631,-0.000675518214398024,-0.00168662149383463,-0.000702028236063894,-0.00014064032859374,-0.000299147536313409,-0.00167322733059796,-0.000945022936986246,-0.000605396680650589,-0.000514821305599814,-0.000827795614862993,-0.00770899537556214,-0.00719648450712975,-0.00679022711919194,-0.00561836538415254,-0.0101405816231031,0.00185423736190015,0.00202218868915076,0.00267344861702907,0.00194541741442701,0.00345390211194016,0.00465645417252533,0.0056809595566616,-0.0155282493551774,-0.0143569115946441,-0.013165629458963,0.000822900714196975,5.16745553333839e-06,-0.000141840200514084,-0.000200936107322661,-0.000928813470862854
"asc_ruta2",0.84548328093455,1,0.491845726738122,0.0801808182160779,0.491410084743293,0.154125671913371,-0.0324193432465202,0.0236073565147717,-0.0100455577994314,0.0392293601272959,-0.0282293014434624,0.0242348747729031,-0.00975824085637707,0.0365338170613168,-0.060428244365375,0.0602390328205957,-0.100591185335923,0.00130387334065613,-0.00471127133040905,0.0016440772096529,-0.00210316974297116,0.00456663596177631,0.00369287461695348,-0.00593758018719141,-0.00493052836470188,-0.00729581553713765,-0.00496272068329633,0.00326967906004799,0.00344581198030692,0.00397043292097609,0.0166611902853025,0.00828028801331592,-0.0153122783476319,0.00267552117784841,-0.0023491109579366,-0.0036526022072193,-0.00202067442133849,-0.00271484218023934,-0.00192562558984541,0.00226129569864475,0.00391427247237156,0.0182372934157382,-0.00433963920536484,-0.00125209441171218,-0.000411646084419801,-0.000622263475141694,-0.00171266423815566,-0.000834206829301485,-0.000793624903136662,-0.00113242458554091,-0.00198089311345769,-0.00128655141972099,-0.000572977489316448,-0.000666848510485917,-0.00156748511155794,-0.00155391140385617,-0.00117266931884165,-0.00101184200257727,-0.00103038603546171,-0.00580479996923942,-0.00525158232105081,-0.0049188899284508,-0.00395858378584353,-0.00737876852373547,0.000946165672423071,0.00106234418388193,0.00168604829941911,0.000438448288033659,0.00137747865816731,0.00226005346082632,0.00326583762773176,-0.014676406663597,-0.0138240700966739,-0.0129912817871963,-0.00161047050494614,-0.000433777770247876,-0.000653614240806164,-0.000683862417804754,-0.00126634890967518
"asc_ruta4",0.512676553338714,0.491845726738122,1,-0.0856754795772673,0.353250980228877,0.134799024203877,0.012238876400368,0.00804701443232839,-0.12546819396588,0.0348867677459222,-0.0431536477026532,-0.00115360401711651,-0.361845525447161,-0.557299656721323,0.205118254356677,-0.120184397838983,0.267893367539867,-0.115923820148607,-0.0833936131838313,-0.0381586031675036,-0.11400789750754,-0.0487225833346666,0.0245294581732725,0.0111732211443541,0.0334302234570214,0.0112962661373222,0.0531242961466704,-0.00433088140939703,-0.0590118088293966,-0.0938319407685955,-0.0325561313623162,-0.0266698187079171,0.00501609424735806,-0.0402342963158073,-0.0339403748802305,-0.00619794600366264,-0.0140446457991737,-0.0141864060656625,-0.000967925082624598,-0.0332073710349103,0.0478244455292424,-0.101174636837427,-0.0105867126963754,-0.105565541680357,-0.128916980240539,-0.127281884947953,-0.101888420146735,-0.123505895955279,-0.122514204841364,-0.115839458887894,-0.0932829170999902,-0.111209119083426,-0.124061232496412,-0.121121083711732,-0.0859166656636186,-0.105122545087967,-0.121634724831379,-0.121893376166478,-0.096954326294524,0.0132098359416581,0.0125165481480824,0.011824327802828,0.0102373522494217,0.0310960641200869,-0.0279666844087512,-0.0283298387658231,-0.0303763451637744,-0.0991548252313328,-0.108044463269684,-0.10697121785839,-0.0783488758789085,0.0560413897818576,0.0426885093895235,0.0277347618855557,-0.0736321268916803,-0.117520770293001,-0.123607894240091,-0.120757542340704,-0.103037893242597
"b_tt",0.212463316209987,0.0801808182160779,-0.0856754795772673,1,-0.124645089156085,-0.0671478390333225,-0.0786632525609091,0.0279547101487333,-0.0854682468029687,0.0294266977589602,-0.0918200734294953,-0.0715825128851924,-0.0231295856072782,0.0943397604057727,-0.0155502254164173,0.0122383440853936,-0.11426207196668,-0.000510747551135516,-0.00652057419748667,0.0134866951132069,0.00128094731059574,0.00406898013339791,-0.00207461717133483,-0.0104302479390752,-0.00503154105255839,-0.0108344467627992,-0.00767749972410213,0.00826556933946019,0.0155804125759979,0.00905474321633922,0.0196809364570721,0.012814897035595,-0.0116005820857389,0.0153150780027942,0.000959857541171778,0.00110256957066031,-0.00160457467738753,-0.000395314774709132,-0.00119309711410167,0.0059424670429576,-0.00229633278376803,0.0208643492532464,0.000711491195969383,0.00240285456987694,0.00392431703526143,0.00378697877685292,0.00122249294362568,0.00239809775819009,0.00350509332271879,0.00308811604274699,0.00159688121929085,0.00374732089726632,0.00315307276764932,0.00286554599573458,-0.00103822251713264,0.00225238089238102,0.00310706509470722,0.00302078696437211,0.00167780779460184,-0.00293267348424643,-0.00314921135228083,-0.00359412424325343,-0.00325063693018291,-0.00695228694685268,0.00513793775690074,0.00509564439889163,0.00529064026466823,0.0114885082296136,0.0126479836486202,0.012327431925168,0.00879256175083849,-0.0128082124040973,-0.0109670551161697,-0.00866964613796475,0.00748901521532062,0.00234936009691094,0.00339502736172051,0.00339307177769358,0.00275039373053647
"b_dt",0.565353377396022,0.491410084743293,0.353250980228877,-0.124645089156085,1,0.254638283966588,-0.059903841619329,-0.0113038275273591,-0.0382481551612056,0.0411502363409527,-0.0621417145478337,-0.100958274182099,-0.0226235444204941,0.0277282791898874,-0.125059492801453,0.119151239748127,-0.145423151197117,0.00442196823266926,-0.00591728639163094,0.0016154585986874,-0.00544858468775775,0.00749108060157032,0.00574243788562935,-0.0126542012706514,-0.00670658949653832,-0.00816168747756455,-0.00728634045476646,0.00253678666292609,0.00244014843876515,0.00564155622492961,0.0236657078152351,0.0164971385212565,-0.0189076086419616,0.000106911775312995,-0.00349168290133781,-0.00670716418126103,-0.00146881121897251,-0.0044216734815394,-0.00435074414486831,0.00604826795418526,0.00498816535020503,0.0296683202307153,-0.0083144085328819,-0.00268912223578198,-0.00144184063060057,-0.00179526787508693,-0.00247871616634508,-0.00147276890758007,-0.00219088225500235,-0.00277413563353035,-0.00373537835759638,-0.00350734926278814,-0.00139019203596412,-0.00140666173106039,-0.000991798223622037,-0.00289989678101625,-0.00255289345446814,-0.00229519372876247,-0.00205772002753939,-0.0106864267234731,-0.0102686310245003,-0.00963154022649893,-0.00815051358349464,-0.0150666840136326,0.00364113581833349,0.00385961410148932,0.00476796067075382,0.00129935157628372,0.00297314492445618,0.00463676884459788,0.00592901649518599,-0.0243581920643182,-0.0229933757329888,-0.0216471564028697,-0.00238290002707051,-0.000513410093001929,-0.00179208980817591,-0.00195016132999325,-0.00302886679545488
"b_Sem",0.221087102074551,0.154125671913371,0.134799024203877,-0.0671478390333225,0.254638283966588,1,-0.0723218772441043,0.0176812297445742,-0.0637192646862455,-0.0416336759144282,-0.0475608503825974,-0.10588908600421,0.00403453330186425,-0.0276995681619466,0.0598855491108352,-0.0389808388162489,0.0280081421683268,0.000776625680616073,0.00196465098749264,-0.00505817361368682,-0.00295042974535084,-0.0040918284021865,-0.00439801877437193,0.00276841863162132,0.001508374754504,0.00299391322768278,0.000219870656086409,-0.00846169347112934,-0.0139277970035299,0.000586629415690964,0.00850431314660404,-0.00582701290612621,-0.00876272625268633,0.00115005875513614,-0.00045549935970787,0.000776046926564271,-0.000513801225739832,-0.000545320789216005,-0.00389519849913752,-0.00358249477819566,0.00840589595798476,-0.00626046415255535,0.00163027080736429,-0.00783392709534094,-0.00883177391631344,-0.00871947547636755,-0.00610866093185295,-0.00845039058669048,-0.00849404768115759,-0.0079770581574649,-0.00607207600893877,-0.00742899792293327,-0.00889614867279816,-0.00884527252827196,-0.00599365945605287,-0.00602396562356754,-0.00784301358409932,-0.00814500652707296,-0.00671821891947442,-0.00929525912802705,-0.00765260083878091,-0.00649075839446651,-0.00507568384981973,-0.00687709545078601,-0.0048161440375908,-0.00443486189348615,-0.00406634863567526,-0.00558872895224853,-0.00473473313386393,-0.00326410170941263,0.000191719791484921,0.00829521165516309,0.00682173853269468,0.00569438913420396,0.00164188161605257,-0.008494043142676,-0.00843431666750867,-0.00820086147235845,-0.00698950607883373
"b_ACC_1",-0.0740208519332411,-0.0324193432465202,0.012238876400368,-0.0786632525609091,-0.059903841619329,-0.0723218772441043,1,0.121986757764578,-0.0510161061898127,-0.0454766015452823,-0.0125924020589901,0.0452046204892263,-0.0226415234200986,-0.0849380358056721,-0.00317655061968741,0.0407046319706111,-0.00143291813863224,-0.000855336463360133,-0.00135497975048111,-0.00400872408827465,0.00367324479367736,0.00165801405912605,-0.00602601665182156,-0.00398709011238443,-0.00321312510294213,-0.0052266532908375,-0.00909545467236252,0.00174444990796298,-0.000331734124982481,-0.00080479074117409,-0.00153587295036933,0.00796501559521057,-0.00191719669328853,0.0111232645167453,0.00366998825794208,0.00406364720574602,0.00311611038194479,0.00275473288541059,-0.0042675944772616,0.00859068988093333,0.000172463112240153,0.00291170873171675,0.00404536436465889,-0.00242056278448744,-0.00249192505955329,-0.00226976247663581,-0.000984304686504836,-0.00238524854685851,-0.00260856262687008,-0.00242486246932906,-0.0015734663106783,-0.00192617646696986,-0.00266140777068891,-0.00259085218878163,-0.00109595012247596,-0.00120919880668167,-0.0019779914263025,-0.0022930905141531,-0.00218198879472144,-0.00443791601451615,-0.00564628878315575,-0.0057698225174325,-0.00587867041304183,-0.00967519103067248,0.00776162390637363,0.00792302641159317,0.00767946341359116,0.00367943670571229,0.00406524165419609,0.00414010591317195,0.00429073431211402,4.39469433302214e-05,0.0011941857858065,0.0016380611010538,0.00508629052365188,-0.00243308457411532,-0.00249838275793882,-0.00248647383744461,-0.00206350770604248
"b_ACC_2",0.00891492831801831,0.0236073565147717,0.00804701443232839,0.0279547101487333,-0.0113038275273591,0.0176812297445742,0.121986757764578,1,-0.00694987362724426,0.0388895414665469,-0.00146351269815284,-0.0232497087350812,-0.0282930907731135,-0.0103052307342412,-0.0276208429891137,0.0487756314416085,-0.0548063461833314,-0.0019051130033235,-0.00270646183671206,0.00212672078532347,-0.00364944518203807,0.00185185443287812,-0.00536867647890188,-0.00887840023823114,-0.00268744183466452,-0.00286092864445537,-0.00874970224389357,0.0044719525353262,0.0050968133753202,-0.00243007897366482,0.00129090153960865,0.00666688086589331,0.00018695719105018,0.00242699141570725,0.00304051937788244,0.00309928694237876,0.00361015306732144,0.00285758412731246,-0.00488679413476251,0.0115088226026127,-0.0057672068335241,0.0107894532068775,0.00389031058020312,-0.00347702657929988,-0.00354545830563102,-0.00358153213305335,-0.00262252697417426,-0.00332369703351189,-0.0037726334676755,-0.00384315591771838,-0.00332674801458282,-0.00355620462489809,-0.00361668626993055,-0.00359217999726393,-0.00202839403289987,-0.00289468023915289,-0.00344218514902099,-0.00356378797919108,-0.00323083271101526,-0.00159562402250992,-0.00532535546322674,-0.00582745290505324,-0.00601198657103091,-0.0101640621211559,0.0106014512456288,0.0106450991272616,0.0106909001430701,0.00515696538840084,0.00470140421622023,0.00402464432958445,0.000922142265245585,-0.0103209626739369,-0.00959175338993407,-0.00880047621852072,-0.00141925827723266,-0.00372998488189474,-0.0035413115500992,-0.00345205383847667,-0.00303072734839636
"b_SI_CAMFD",-0.0632448189640201,-0.0100455577994314,-0.12546819396588,-0.0854682468029687,-0.0382481551612056,-0.0637192646862455,-0.0510161061898127,-0.00694987362724426,1,-0.0674720508420063,0.11063167342943,0.0818641868463957,0.0463445848292355,0.127758894911705,-0.0613897168177631,0.0325617665710313,-0.124222952108795,0.00545176865732518,0.00651473464342292,0.00356623094043979,0.000364978762340696,0.0108061016984643,-0.00112379116211868,-0.00565469722371213,-0.00140582636515714,-0.00233860636003962,9.76912881569953e-05,0.0128793625225681,0.0073518464830332,-0.00241893948392357,0.00875004162066481,-0.00912014357453118,-0.0188691899956956,0.0129090480792474,0.00327028108954165,-0.000247316662690719,0.00473267306958884,0.00284267691684123,-0.000221720749786665,0.000672950579668475,-0.00349100332726669,0.0195645023478553,-0.00206771545984522,0.00602432316368506,0.00930106060139497,0.00902735681051665,0.00702385599835353,0.00832190033688723,0.00847229693244737,0.00767972640590995,0.00548710686133496,0.00511493238751554,0.00961017155785701,0.00970288008958451,0.00806077174739534,0.00551926847065203,0.00768309119011281,0.00816197432957955,0.00690715045836428,0.00244490305287271,0.00170962256775797,0.00115791677137397,0.000906740873927164,0.00167649724828849,0.00119902384692472,0.00106590070393488,0.00114401197023503,0.000416575834017819,-0.00122454873812338,-0.00301250250843597,-0.0064792790392464,-0.020629833588253,-0.02231933936576,-0.0218996618928159,-0.0115961452466192,0.00919962457382667,0.0086749148253529,0.00832597924443029,0.00626304594490065
"b_SI_PANEL",0.0471623656836407,0.0392293601272959,0.0348867677459222,0.0294266977589602,0.0411502363409527,-0.0416336759144282,-0.0454766015452823,0.0388895414665469,-0.0674720508420063,1,0.016425321909903,-0.0732314610894616,0.0938355392147796,-0.00757488860274705,0.0028669830311958,0.00738915479104479,0.00803969082978024,-0.0048984076471411,-0.00879021080889351,-0.000800084358161461,0.00338870548978491,-0.00466012031136299,0.00303837709340701,0.00187999166978868,0.000870886834027197,-0.00157715429858156,-0.00696130317296551,-0.0044500108694826,-0.000974544928612363,-0.00177888668981078,0.00288698801905033,0.00535255459821506,0.00362453189364905,-0.00436225570879523,-0.00331984201892691,-0.00137645875095015,-0.00204491011350273,-0.00204097147004484,-0.00268881051915038,0.00626689072009573,-0.00158095300406411,0.00325333728294816,-0.000844042434371592,-0.000931545433252839,-0.00259838784754154,-0.00292134768695659,-0.00407678704594796,-0.00219092974516171,-0.00240929944462466,-0.00240594906819733,-0.00249719252290879,-0.00166744803991338,-0.00266480612708821,-0.00281595013851784,-0.00341986427109329,-0.00203888802483768,-0.00221528504609644,-0.00232532716653482,-0.00242645855380429,0.00180331916673777,-0.00236919783788228,-0.0026785199757024,-0.00291278625272542,-0.00268240450683529,0.00592897454673755,0.0059658086592101,0.00590762501355771,0.0027261614887386,0.00184227359755319,0.00124003875435987,0.000551238648027473,-0.00126019474072856,-0.00122216951938787,-0.00153839962903767,-0.000990349222835393,-0.0027143460380686,-0.00236076891566975,-0.00241860539998837,-0.00247323596822478
