"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",0.143925528893851,0.119090654773209,0.116296939144306,0.00816462609994741,0.0480814207501942,0.0132670263567827,-0.00877518535064795,0.00392727534624636,-0.00696106877377578,0.00381856767503199,-0.00487366758236503,-0.00466023336329762,-0.000867559247037069,0.0069042715173921,-0.00458081974403015,0.0104790026310798,-0.00816759050601544,0.000191356837838844,-0.000596931289432113,0.000305063798314022,-9.08809174132724e-05,0.000324607533132871,0.000192112617831154,-0.00026416727002608,-0.000324400329702889,-0.00033649205341498,-0.00026939239651773,8.31718726693187e-05,0.000160022423869189,0.000371795675668744,0.00289547485187615,0.000876590563536181,-0.0017544467045498,0.000350981567254784,-0.000298600412930334,-0.000293984149243319,-0.000339520014817677,-0.000140889946878548,-0.000469528851995177,0.00509829332961453,0.000419545728094162,0.0035488009924821,-0.000242662045714893,-0.00036758770457546,7.56245671559689e-05,-1.54019986256656e-05,-0.000757526458628397,-0.000128239707510465,-7.55399178220266e-05,-0.000192542992808122,-0.000581361160357274,-0.00032840631579233,-5.73087126805489e-05,-0.000123592412162387,-0.00100270961242921,-0.000177781285798873,-9.95559009711295e-05,-8.41562642634499e-05,-0.000166130855420515,-0.00130818296635103,-0.00159931678507733,-0.00170862190561044,-0.00180707920735951,-0.00466816081980636,0.00314481758177045,0.00384075913954429,0.00667492172339388,0.000277121306508977,0.000370726803982989,0.000432854519763863,0.000523968549255437,-0.00560686202210984,-0.00375328791761022,-0.00285499568019365,0.000103699996999937,1.09928036170232e-06,-2.78282943657696e-05,-4.01317127430479e-05,-0.00021193563659183
"asc_ruta2",0.119090654773209,0.137850226490652,0.109191430603405,0.00301548834226214,0.0409012132765469,0.00905148826402413,-0.00376132843178362,0.010177841410017,-0.00108208120206185,0.00310850063078306,-0.00274352250745918,0.00309818078598339,-0.00122517668462036,0.00538069191198234,-0.00446480233941937,0.01029316508852,-0.00728155439123282,0.000117611213324188,-0.000518792321468929,0.000111487727541079,-0.000187523820163459,0.000306381034178529,0.000245572470087514,-0.000203369323622801,-0.000282636749405752,-0.000298550106400058,-0.000194574611133678,0.000121889083498924,0.000114748983950978,0.000257732318296161,0.00222281411923448,0.000598912077477866,-0.00155032678860287,0.000179547726330061,-0.000309078140138309,-0.00029287482026726,-0.000285589086510793,-0.00011955451063898,-0.000314466412103231,0.00316610985881784,0.000325653835537149,0.00300892663178539,-0.000233937559131097,-0.000500547795874509,-0.000151931362505016,-0.000236408463420057,-0.000887356460130461,-0.000239980847694488,-0.000214551602490684,-0.000315889193394242,-0.000668227355559684,-0.00058900488130495,-0.000228498401212579,-0.000269630109701448,-0.000919302577926909,-0.000286091379741754,-0.000188728443956113,-0.00016187413677285,-0.000202377379907535,-0.000964034971013527,-0.00114219197132732,-0.00121133313877236,-0.00124606838018895,-0.00332431106830183,0.00157047903665794,0.00197467426078402,0.00411982882683359,6.11237966672874e-05,0.000144698379052372,0.000205608072094881,0.000294790127946105,-0.00518623192583863,-0.00353689043759746,-0.00275708817423468,-0.000198618137404434,-9.0309583288231e-05,-0.000125499958734214,-0.000133669792162779,-0.000282789766260289
"asc_ruta4",0.116296939144306,0.109191430603405,0.357529451914943,-0.00518914592538534,0.047350838204343,0.0127492291693056,0.00228681358046042,0.00558721354491147,-0.0217656485298036,0.00445197420160186,-0.00675426471227974,-0.000237506175038566,-0.0731648634320467,-0.132185561824701,0.0244072439354183,-0.0330728186439489,0.0312304544037212,-0.0168398484450172,-0.0147890536100047,-0.00416724939567401,-0.0163707743634552,-0.00526438886776084,0.00262697077317621,0.000616320368152349,0.00308621812280445,0.000744441320039205,0.00335437565385964,-0.000260008859881853,-0.00316481529318438,-0.00980920669248191,-0.00699490924356158,-0.00310663235474539,0.000817902044325534,-0.00434830597816407,-0.00719173314161465,-0.000800349385437987,-0.00319674668740587,-0.00100611108582315,-0.0002545636156259,-0.0748781813579307,0.00640777505136271,-0.026882833149489,-0.000919093356790307,-0.0679646095367152,-0.0766276906672652,-0.0778766888562031,-0.0850164338467248,-0.0572193213151539,-0.0533402553957391,-0.0520396262847051,-0.0506777700611653,-0.0819944233202795,-0.0796771638137552,-0.0788702323937389,-0.0811492737146948,-0.0311692645303525,-0.0315261939591537,-0.0314048727315207,-0.0306677113752321,0.00353309343918134,0.00438415267115584,0.00468948471658309,0.00518969518666602,0.0225618839895155,-0.0747580745657891,-0.084805983127411,-0.119535485325692,-0.0222616815854455,-0.0182782020244011,-0.0156725822730128,-0.0113894640053022,0.0318928451191718,0.0175893114687456,0.00947927808020034,-0.014624655498081,-0.0394033680520453,-0.0382226201562611,-0.038012897154416,-0.0370560776758351
"b_tt",0.00816462609994741,0.00301548834226214,-0.00518914592538534,0.0102604605802103,-0.00283039458539567,-0.00107586241671868,-0.00248993855436169,0.00328808473121539,-0.00251171452598761,0.000636152078069211,-0.00243458935040026,-0.00249662090392601,-0.000792272767309381,0.00379068355483277,-0.000313457478205307,0.000570523178985809,-0.00225655515624086,-1.2568958831508e-05,-0.000195893916889332,0.000249511220159842,3.11596857288282e-05,7.44784690623775e-05,-3.76385401426279e-05,-9.74653562923455e-05,-7.86893349108602e-05,-0.000120956667026956,-8.21231944388781e-05,8.4064405339412e-05,0.000141551968091375,0.000160356600880169,0.000716345550342355,0.000252878807650405,-0.000320437182052652,0.000280395097561371,3.44549184943146e-05,2.41193359315366e-05,-6.18706791852286e-05,-4.74945864264159e-06,-5.31566860966839e-05,0.00226994372907969,-5.21218300993883e-05,0.000939151686602908,1.04639473723192e-05,0.000262068998236553,0.000395154757963592,0.000392519527612034,0.00017280326069819,0.000188212910815228,0.000258520952368007,0.000235016728771335,0.000146965537640238,0.000468050072278855,0.000343051470555702,0.000316102749137138,-0.00016612124730249,0.000113135796531305,0.000136424331621415,0.000131845267783126,8.99050110131187e-05,-0.000132876728925783,-0.000186866056178224,-0.000241473382799762,-0.000279158068834892,-0.00085452572996211,0.00232666298671377,0.00258409823762106,0.00352693194353771,0.000436953547338975,0.000362476427408401,0.000305966407708042,0.000216527698761435,-0.00123481075796015,-0.000765517973233182,-0.000501972251216355,0.00025198258597588,0.00013344300723627,0.000177846385009154,0.000180941117570883,0.000167565599111222
"b_dt",0.0480814207501942,0.0409012132765469,0.047350838204343,-0.00283039458539567,0.0502547096496324,0.00902928477939804,-0.00419639499862111,-0.00294251364404251,-0.00248760218893317,0.00196877783535037,-0.00364650043640824,-0.00779278216406357,-0.00171503299175717,0.00246575905364764,-0.00557909254364616,0.0122928945308759,-0.00635597770915441,0.000240831663232954,-0.000393425634743527,6.61432192422052e-05,-0.000293325935298862,0.000303455209443117,0.000230566424329923,-0.000261694946556065,-0.000232124795738,-0.000201654532715484,-0.000172488617200833,5.7098969901178e-05,4.90634587020694e-05,0.000221113154223256,0.00190634395960084,0.00072046168759958,-0.00115585853135342,4.33193269372413e-06,-0.000277385782737848,-0.000324715662637564,-0.00012534178824598,-0.000117568963386036,-0.000428993392821233,0.00511310002680841,0.000250570896824986,0.00295548536334583,-0.000270621522004738,-0.000649088122250876,-0.000321310816343466,-0.000411815427171815,-0.000775420587460992,-0.000255812693923919,-0.000357618646756526,-0.000467237629905344,-0.00076082092521912,-0.000969516942497768,-0.000334738020763889,-0.000343412040035897,-0.00035120688544251,-0.00032236337966983,-0.0002480727885288,-0.000221701561874551,-0.000244024218963224,-0.0010715752741511,-0.00134848498938392,-0.00143211165464684,-0.00154907217050145,-0.00409845424775521,0.0036491059841955,0.00433170375223165,0.00703439039367589,0.000109371272084653,0.000188572999204025,0.000254695655090528,0.000323136225519849,-0.00519710977212227,-0.00355200082364604,-0.00277385751967669,-0.000177442069431703,-6.45380130472493e-05,-0.000207762177855816,-0.000230154631059214,-0.00040839002370624
"b_Sem",0.0132670263567827,0.00905148826402413,0.0127492291693056,-0.00107586241671868,0.00902928477939804,0.0250197252049488,-0.00357473835781501,0.00324756845109486,-0.00292411249722005,-0.00140547141901446,-0.00196922587217377,-0.00576706307901219,0.000215803269680534,-0.00173801532007691,0.00188504543374852,-0.00283765539801488,0.000863745902423676,2.98443825079712e-05,9.21676171048378e-05,-0.000146128898824927,-0.000112074012275816,-0.000116955439070658,-0.000124597612576003,4.03966401369837e-05,3.68368044705437e-05,5.21939445782885e-05,3.67257891683057e-06,-0.000134386146273271,-0.000197595580256453,1.62230452325262e-05,0.000483363543241945,-0.000179556500952526,-0.000377972502941003,3.28797927338146e-05,-2.55323069015561e-05,2.6509721600472e-05,-3.09369806049435e-05,-1.02308321198199e-05,-0.000271000153500537,-0.00213693698286555,0.000297938536473099,-0.000440043156890414,3.74406696507067e-05,-0.00133421410440049,-0.00138870152560906,-0.00141129107955834,-0.00134837108738823,-0.00103565987590406,-0.000978292436487919,-0.000947994381486963,-0.000872645660737997,-0.00144897038191084,-0.00151141999590267,-0.00152366659812623,-0.00149756141929153,-0.000472496427173466,-0.000537752316048671,-0.000555128755743024,-0.000562151899105075,-0.00065766473781295,-0.000709080450954576,-0.000680972326933812,-0.000680666102670799,-0.00131995871268535,-0.00340566517857906,-0.00351194613688668,-0.0042330295209164,-0.000331926951043743,-0.000211890662381806,-0.000126509359561523,7.37263647970837e-06,0.00124881237808076,0.000743563862676422,0.000514853086009316,8.62671589182509e-05,-0.000753387715694264,-0.000689937110386226,-0.000682906957015406,-0.000664958161562199
"b_ACC_1",-0.00877518535064795,-0.00376132843178362,0.00228681358046042,-0.00248993855436169,-0.00419639499862111,-0.00357473835781501,0.097648731137625,0.0442639910555761,-0.00462511636586568,-0.00303289446244253,-0.00103002208822862,0.00486382974090518,-0.00239255756153214,-0.0105287023938693,-0.000197536612028537,0.00585388707811639,-8.73001746570401e-05,-6.4935153486343e-05,-0.000125579221941029,-0.000228791865845929,0.000275652254227696,9.3623151149428e-05,-0.000337267896338886,-0.000114937452702321,-0.000155021652967117,-0.000180010002384862,-0.000300137535917773,5.47328104265171e-05,-9.29773109081815e-06,-4.39686922398791e-05,-0.000172457455555319,0.000484879494864845,-0.000163372768163062,0.000628251222305898,0.000406404955078104,0.00027423647300893,0.000370670186705802,0.000102101102511372,-0.000586563617295873,0.0101233959898662,1.2076217415013e-05,0.000404323237279804,0.00018354118648198,-0.000814431172725101,-0.000774083805089832,-0.00072576944838031,-0.000429224989902173,-0.000577518688148233,-0.000593536325283997,-0.000569301268277569,-0.000446735245009119,-0.000742193896113884,-0.000893277893511224,-0.000881684893561248,-0.000540972767372547,-0.000187372472842798,-0.000267926555989983,-0.000308756081099932,-0.000360698287987871,-0.000620317693874964,-0.0010335739913833,-0.00119588249434429,-0.00155743778375168,-0.00366865504455623,0.0108429414158994,0.0123951242519575,0.0157931804090958,0.000431720668008766,0.000359413771925523,0.000317002334283062,0.000325971424654764,1.30704467240615e-05,0.000257150360389465,0.000292589212473063,0.000527954933754924,-0.000426337281656841,-0.000403748211287534,-0.000409051499981317,-0.000387834074996544
"b_ACC_2",0.00392727534624636,0.010177841410017,0.00558721354491147,0.00328808473121539,-0.00294251364404251,0.00324756845109486,0.0442639910555761,1.34837023647857,-0.00234133490732735,0.00963769980433541,-0.000444841941750361,-0.00929574773735028,-0.0111098557430072,-0.00474680764280066,-0.0063826352461828,0.0260660176579477,-0.0124078306832118,-0.000537446083811093,-0.000932090683543039,0.00045104115071953,-0.00101767662135643,0.000388573489660322,-0.00111656288257723,-0.000951067874685097,-0.000481809188642641,-0.000366143432006682,-0.00107290297480765,0.000521384009686391,0.000530831688575849,-0.00049334671585596,0.000538630668772039,0.00150813826513244,5.92006462141701e-05,0.000509378480914973,0.00125116149936417,0.000777216981794612,0.00159577521709231,0.000393569322881172,-0.00249590066999678,0.0503964976812903,-0.00150062268662297,0.00556738795360121,0.000655890651980062,-0.00434727709935354,-0.00409257515105033,-0.00425557646943999,-0.00424958662622279,-0.00299037124798266,-0.00318978877507404,-0.00335285151276201,-0.00350981278418571,-0.0050918936547631,-0.00451083851354015,-0.00454255432617571,-0.00372055915957812,-0.00166678641232609,-0.0017325942145178,-0.00178310721525927,-0.00198461976787464,-0.000828775554362213,-0.00362241633908449,-0.00448824032456065,-0.00591862566085348,-0.0143214145657166,0.0550340042885885,0.0618843405579157,0.0817004164790308,0.00224846948017728,0.00154456865229008,0.00114511681439033,0.000260325740040784,-0.0114065219748742,-0.00767510844556669,-0.00584124823699772,-0.000547429758357389,-0.00242870325359274,-0.00212660607266812,-0.00211029384625236,-0.00211669367875599
"b_SI_CAMFD",-0.00696106877377578,-0.00108208120206185,-0.0217656485298036,-0.00251171452598761,-0.00248760218893317,-0.00292411249722005,-0.00462511636586568,-0.00234133490732735,0.0841713140834933,-0.00417774528843703,0.00840168102924568,0.00817783305264647,0.00454678582996745,0.014703222672416,-0.00354434674121513,0.00434767646476306,-0.00702658541235635,0.000384263429867962,0.000560570791812513,0.000188969898360963,2.54289262563973e-05,0.000566516870762265,-5.83954541306453e-05,-0.000151343447978921,-6.29716631572711e-05,-7.47788571359486e-05,2.99295706398603e-06,0.00037517368154379,0.000191307507599116,-0.000122697109654758,0.000912190516514673,-0.000515463139932817,-0.00149284598849809,0.000676930445029834,0.000336223569322903,-1.5495705255471e-05,0.000522673016403477,9.78198950752716e-05,-2.82935255880985e-05,0.000736258135582491,-0.000226951845430683,0.00252230923502008,-8.70994508344642e-05,0.00188189352749585,0.00268246602189593,0.00267995579406716,0.00284367393252381,0.00187069792389102,0.00178976477186266,0.00167397720350902,0.00144638842726025,0.0018298266758634,0.00299471196627707,0.00306563311721394,0.00369411140802213,0.000794032630092087,0.000966220163160823,0.00102032446059527,0.00106008144477279,0.00031728203642483,0.000290554415188047,0.000222818963790826,0.000223030130818408,0.000590199620286718,0.00155514571689578,0.00154819364879245,0.00218432894619204,4.5379982897785e-05,-0.000100515531636687,-0.000214154486617676,-0.000457007516079983,-0.00569647549905676,-0.00446216193405521,-0.0036317368619043,-0.00111752716212085,0.00149663177910462,0.00130156424044328,0.00127168096609305,0.00109288437661488
"b_SI_PANEL",0.00381856767503199,0.00310850063078306,0.00445197420160186,0.000636152078069211,0.00196877783535037,-0.00140547141901446,-0.00303289446244253,0.00963769980433541,-0.00417774528843703,0.0455482805422733,0.000917602392740549,-0.00538140808466785,0.00677215353386591,-0.000641285732933813,0.000121764204058352,0.000725768247591712,0.000334530540071884,-0.00025398057408424,-0.000556399799505217,-3.11869486745909e-05,0.00017367935363322,-0.000179719361088376,0.000116141930574766,3.70138391021469e-05,2.86965141232375e-05,-3.70979422391815e-05,-0.000156887787460796,-9.53570942847888e-05,-1.86548340253687e-05,-6.63760729094189e-05,0.000221398337467477,0.000222541486843399,0.000210944211942315,-0.000168273174588906,-0.000251081334586438,-6.34417436178116e-05,-0.000166131404851645,-5.16643016470516e-05,-0.000252403205956531,0.00504374354898438,-7.56060163104966e-05,0.000308540766758387,-2.61542856708874e-05,-0.000214064558104341,-0.000551264050305806,-0.000637975806579956,-0.00121416067847669,-0.000362296005065775,-0.000374403161689264,-0.000385783954255977,-0.000484225309899388,-0.000438809788303112,-0.000610862514180091,-0.000654483067252511,-0.00115291204084492,-0.000215776500257532,-0.000204938552263062,-0.000213836126531269,-0.000273947369001909,0.00017215132903452,-0.000296198261086452,-0.000379160978346044,-0.00052703918006707,-0.000694663196883736,0.00565687775219389,0.00637428962499469,0.008297635109584,0.000218461933743951,0.000111241072342175,6.48468609773217e-05,2.86015953106781e-05,-0.000255977687657532,-0.00017974192117887,-0.000187672254199556,-7.0208023367389e-05,-0.000324835892753257,-0.000260560036675572,-0.000271745152075011,-0.000317473963104675
