"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"asc_ruta1",1,0.849835124364374,0.472595238408224,0.445343533044155,0.506494436407028,0.12486669467417,-0.109737206170114,0.0825072485433905,-0.0447065594481363,-0.0184232382573991,0.0371298585141898,-0.0215564639488746,0.0179557662632533,0.131646270931378,-0.0407087377130769,0.0368858594342299,-0.269141869241173,-0.0541518805272339,-0.0382939059052445,0.0215402644456113,-0.0935028485484609,0.0898442537963382,0.00648940391617027,-0.00508762388939106,-0.085685439854308,-0.0796403015053417,0.0763225459449344,0.000570909025646924,-0.0726459780378447,0.0665109073113368,0.00868370237865352,-0.107098548890783,-0.0610447003041778,0.0069952550568002,-0.0216261107654891,0.0473405414802767,0.0147696863026159,-0.0374252522041205,-0.0666458104286131,-0.118299847493532,-0.112133700072117,0.128988639382011,0.0579174852786924,-0.0621765562427965,-0.0848515469280127,-0.0851110368534304,-0.0322291665203721,-0.102698425470687,-0.0263903614817707,-0.00402693688185581,-0.0122211138218251,-0.0813834979652958,-0.059506822745829,-0.0623921798831021,-0.0267087179976616,-0.0750396995887668,-0.0390262930074398,-0.0455886285388822,-0.0250622505150698,-0.089559164885216,-0.0851617926325758,-0.0641789733047665,-0.0484432154070833,0.0532371477665784,-0.12579099408897,-0.121474641028197,-0.120019077871464,0.0826256672304754,0.0780097175900001,0.0700612253933919,-0.0942980752322132,-0.119923886471477,-0.123485421095112,-0.122092679093584,-0.0444627394983342,-0.107768735115395,-0.0299137853832998,0.00190186825870026,-0.0246422160570175
"asc_ruta2",0.849835124364372,1,0.439254467937255,0.303643644664606,0.411847436595173,0.0915622198251796,-0.0408960024686269,0.0736348416704096,0.0244892889945424,-0.0651374824806138,0.0173051403293677,0.0841888534644592,0.0631284135486709,0.0950178314595226,0.00519541030142113,-0.0108629875742351,-0.266516061631933,-0.0744600593166891,-0.0599603935173062,0.0336053846052068,-0.0182442211909983,0.0532800292017409,0.0388611348102239,-0.00595873738863014,-0.138187317265148,-0.0995944643339365,0.0593233838137276,-0.00131900332431969,-0.00383242780664176,0.104750805233455,0.0872050794631981,-0.0706730651766237,-0.0801007130126226,-0.0313324326042472,-0.0619477029695028,0.0487183440099286,-0.0199149933145863,-0.068081351223629,-0.0409208646333243,-0.105143771669366,-0.080152709974313,0.158063385326873,0.0590952111553663,-0.0329554109362649,-0.0350735552822389,-0.0424505194735709,-0.0377989501235131,-0.0967289099593863,0.016212595131907,0.0362695116254342,0.034585236544545,-0.0478291407197837,-0.0246081323803636,-0.0267346127185741,-0.032821763143528,-0.06481026757657,-0.01244703081849,-0.0145413741671939,-0.0197982685574046,-0.0875582644136576,-0.0538758125266435,-0.0429871869197291,-0.0397383600416586,0.0353953533458363,-0.112328945876681,-0.110444907012269,-0.112516771507974,0.0684792538028859,0.0742412122528964,0.0635733607163916,-0.0907702170475252,-0.118059754832869,-0.127013377067212,-0.127863277404993,-0.0527007903944404,-0.0989786649987399,0.0101394453590758,0.0363913058296854,-0.00809197974254039
"asc_ruta4",0.472595238408223,0.439254467937255,1,-0.0111113609403721,0.343806335487621,0.0270859973863859,0.0145886507793757,0.0578710070814888,-0.13468670291561,0.0499914607353275,-0.0720840116787623,-0.000406864476433575,-0.347270893952829,-0.470954568933553,0.288217656896586,-0.217169905838279,0.197653437225516,-0.161325804252566,-0.0547345341731985,-0.0791249418580063,-0.107521235107341,-0.0311049105642131,0.0723696210108266,0.0825661384881932,-0.0441589967033524,-0.022124363087598,0.0957544445444535,-0.00730439556721919,-0.081150200626961,-0.0492063975893149,-0.0773255559144456,-0.119182176975823,0.104574050237588,-0.0386880001384665,-0.104248187402756,-0.0138196376634517,-0.00156196786272691,-0.0448482549623403,0.0158119645510314,-0.109073776558955,0.051930321295389,-0.0787565403004685,0.0327666941524651,-0.0808076748952884,-0.179154789366132,-0.183625047092131,-0.156125288531324,-0.172826444392436,-0.136381881250459,-0.117205800836858,-0.0685133398245703,-0.138143507507688,-0.137438641995678,-0.125268355655722,-0.069604385038564,-0.212309809680424,-0.144010884325472,-0.13610638435372,-0.08169788377936,-0.0542268033081774,0.0265573290949927,0.0481337612567273,0.0720877222876466,0.0857044379307065,-0.102686316359718,-0.105306291093278,-0.101837103934198,-0.169022643375846,-0.0830719074854439,-0.0571350134800142,-0.0484548239782485,0.0402443572712871,0.0331953251910797,0.0178491591449026,-0.0693308976693295,-0.210931632910729,-0.0989686306434109,-0.0788220920706572,-0.0669262932467374
"b_tt",0.445343533044155,0.303643644664606,-0.0111113609403712,1,-0.0878007773862351,-0.180664982452681,0.0154934697280322,0.133330348096839,-0.221406743364846,-0.0545144581891964,0.0029585536923744,-0.0975636451813179,0.101338522180707,0.0699327675703028,-0.0720079480893295,0.0773955248878975,-0.151135410312356,-3.18370187630646e-05,-0.0528825064490406,0.0622055727855472,-0.0372758784181098,0.0180096196459451,-0.0903088342682839,-0.0553530122865302,-0.0239950663286489,-0.0988396899846685,-0.0094016982315866,-0.0690959576611979,0.0433383394229541,-0.0160080587090455,-0.0482128416280548,-0.0526789923092445,-0.0351683011969939,0.0621643718650195,0.0307781770447061,0.0569640649609342,0.0198086441465769,0.0564416434682143,-0.0716497090570185,-0.0178766434938026,-0.0823130970466954,0.0628753115988264,0.0674919387164528,-0.0688812455055505,-0.103418575173457,-0.088540800789599,-0.0441409571791987,-0.0579616692319498,-0.0761585603172536,-0.0710991180702285,-0.0294704606615991,-0.0507538377270807,-0.0897644605175776,-0.0881615997765928,-0.0587419028769293,-0.0132208630324192,-0.0518491247635747,-0.0388211873297827,-0.0832767906581912,-0.0787334141321244,-0.149655176604854,-0.11910234709004,-0.123703842816987,-0.0390981915003573,-0.0368504557901625,-0.029547451382616,-0.0274480288265917,0.0868958495138548,0.0233677216458051,0.0176557628316746,-0.0883023640514442,-0.105609295458785,-0.0797028436278107,-0.0463033510301455,-0.00332965706260712,-0.0511233133586659,-0.0639739669902254,-0.0484686361464052,-0.0594314557887568
"b_dt",0.506494436407028,0.411847436595173,0.343806335487622,-0.0878007773862355,1,0.243154085727828,-0.198835964187607,0.00153794685137035,0.101671174543622,0.0748217687564837,-0.0229933871411312,-0.119544520023731,-0.0915450045285872,0.0619639213046871,-0.151246819283243,0.156806876153327,-0.298496208015225,-0.023712113893355,0.0426667892820931,0.0590552422938575,0.00444291828518865,0.0590573539358754,0.044547968756843,0.108607997245368,-0.128576665070222,0.0108835348470462,0.124277008633093,-0.0419915567072871,-0.0930835259346852,0.157084503158725,0.066548475206913,-0.0938802939616686,-0.0590801139361451,-0.0613148705825205,0.00345508960151488,-0.0702093073155108,0.0329739318817399,-0.0314556223540538,-0.0153500242926817,-0.177761530142712,-0.0374453433212746,0.0819271384969225,-0.0581700245835397,0.00279531555483894,0.0405791498500603,0.0308250033399111,0.0616181934097138,0.0215907067135639,0.0415382673947818,0.040176660754019,-0.0421875162940924,-0.0258462960936548,0.0571569544994492,0.0511997044370088,0.0785243433036603,0.000250254448426133,0.0370396740268967,0.0476038845252008,0.0572809137490707,-0.0420658393225201,0.0293167144736766,0.0460048213453,0.0465076233298203,0.130166896608242,-0.176042174627565,-0.174205711507927,-0.174843946136165,0.0300502199182677,0.0667329395808711,0.0855428367166151,-0.0157221378327476,-0.0488395883284712,-0.0569090706977785,-0.0656501757161304,0.0124086733958033,0.0152333717323023,0.0210499420297179,0.0286218257197017,-0.0424169046351132
"b_Sem",0.12486669467417,0.0915622198251803,0.0270859973863865,-0.180664982452681,0.243154085727829,1,-0.106197451774661,-0.0576968827611048,0.0708343843311415,-0.0795703476209174,-0.0106291121721949,-0.0337382287703689,-0.0221318717066647,0.118809232973371,0.107187922624209,-0.112842146295275,-0.0622654637507952,-0.047742359314596,0.0352349321402313,0.0284944908207338,-0.031933534249357,0.0821926515928634,0.00707441651567849,0.0260794321702529,-0.0329129174742222,-0.021933266312363,0.0657594572200133,0.0149233758073736,-0.0392956500088681,-0.00166406217032792,0.0387977311108978,0.0170832071653878,-0.0254519743561277,0.117111389544021,0.0167055645570077,-0.00907598552401455,-0.0254360737651478,0.0102647935731738,0.05817780589309,-0.0767197702161167,0.0397683239636734,0.0606054299628969,-0.00934726599978333,0.0210781534734091,0.00766142845270215,0.00599191128595782,0.0241609097686165,0.0275873029279937,0.0189843794397904,0.0521717872806032,-0.00563515877124484,0.0138046467037488,-0.0060887085139165,-0.00687152307257567,-0.0435287180061525,0.0257407036986913,-0.0157314453664765,-0.00192351501558888,0.0461691128541086,0.0437645756352627,0.0615598652272126,0.0620072384615502,0.0529668112755695,0.0915340210188104,-0.0730156455576702,-0.073225049516492,-0.0800063952956739,0.0404891006062531,0.0118024499901396,0.0231061688935565,0.101291645976451,-0.0566968846307108,-0.0120543162532503,-0.0196631649453722,0.0390832669075668,0.0211874580127188,-0.00378537159274575,0.0177156517312635,-0.0032476892286555
"b_ACC_1",-0.109737206170114,-0.0408960024686268,0.0145886507793757,0.0154934697280321,-0.198835964187607,-0.106197451774661,1,0.142228659403517,-0.173633973298903,-0.0967285416023293,-0.0653909274773192,0.0813964612565339,-0.0549526202499728,-0.0790165343218793,0.0701634552844592,-0.00251607443308362,-0.0164539208191418,-0.0450446100910672,-0.0470132932285534,-0.0282019301808564,-0.02207870725536,-0.01532305354356,0.0454108667714161,-0.0246555492460509,0.0231785508171642,0.063106704412942,-0.00648948439840142,0.053225346437831,0.0835863984323476,-0.149452689826916,0.0151487978231599,0.0453204000128893,-0.0293690630411915,0.0837590432940231,0.0195468334630444,-0.0541352300303225,-0.0224336102343332,-0.0718910517232178,-0.0214222638860638,0.0414642102803452,0.00810895867128288,0.0413351585663548,-0.0649779301990327,-0.0235267384477113,0.00599785225402032,0.0283698821897035,0.0275505917951546,0.0385052316813284,-0.032042921269797,-0.0134901402175581,-0.0170058640843389,-0.00579204196586805,-0.0177001912553012,0.0092320196737988,-0.0139850696247443,0.0539161470984665,0.0285530202922876,0.0403751652479349,-0.0461697585626887,0.0943268264460759,0.00175073074956864,0.0328875504996734,0.00523543864966363,0.0266610544950205,0.0409994913142062,0.0481629349666033,0.04447113747786,-0.0284832873513476,-0.0545798686284273,-0.0274174349839953,-0.070376827303922,-0.076406917896457,-0.0990750398739989,-0.0800693970451439,-0.0881934157516297,0.0593218211197868,-0.00591044221347027,-0.00594763155666233,-0.0436955647529206
"b_ACC_2",0.0825072485433907,0.0736348416704098,0.0578710070814891,0.133330348096839,0.00153794685137042,-0.0576968827611048,0.142228659403517,1,-0.0108537181365293,-0.0298544217570217,0.0230037962089722,-0.0550737144490476,-0.0237967808221598,0.0150815576856896,0.00323925347326409,0.0393355179860502,-0.0328007472742413,-0.00685472886639559,-0.042152046382559,0.00402006066468116,-0.00816740933464493,0.0628574662369598,0.00990321763684721,-0.0579231305023522,-0.0377812285115202,0.0503357663974005,0.0494907636344241,-0.082540615473994,-0.0289076782403237,0.0628024228745662,0.0142605977716249,0.00299993128146595,-0.0504857211212191,-0.0122811932021102,0.0316782845937696,-0.0283451171380555,0.000794250585629466,-0.0311115759105587,0.0160689783087115,0.00528276402734524,0.0293504354511423,0.0722888180572801,-0.0341953293075739,-0.0757368624892006,-0.011734328474288,-6.64673710576146e-05,0.0353946706634615,-0.0159017359289364,-0.0274131069877096,-0.0303099674356149,-0.00888218646114734,-0.043487629972669,-0.010824734433073,-0.0105619463276273,-0.0250520393271213,-0.0156579282635567,-0.051981343840458,-0.0587240289972195,-0.0117266269184514,-0.110218338932184,-0.0150795201501899,0.00903572627350313,-0.00878281493214334,-0.077746915005165,-0.00449736877800149,-8.71378341303143e-05,3.33500580224486e-06,-0.00745283754094069,-0.0343332177125982,-0.0245657858814876,-0.0872971851758754,-0.0568486032604372,-0.0543461556488612,-0.0522969592886871,-0.0539317115492732,-0.00424380392614006,-0.0121231562085873,-0.00886313674078581,-0.0296286582619845
"b_SI_CAMFD",-0.0447065594481363,0.0244892889945422,-0.134686702915609,-0.221406743364846,0.101671174543622,0.0708343843311414,-0.173633973298903,-0.0108537181365292,1,-0.00975424711884506,0.0893922780429839,0.110872186648174,0.00984299439312919,0.184305937677685,-0.153508355513251,0.137744025928756,-0.143712627888019,0.0630430233987257,0.0433812689206482,-0.0367158976818051,0.0240346377987506,-0.00872080403287082,-0.0562878729295179,-0.065946668577708,-0.0834425266777978,-0.0432259384707049,-0.0606646040963655,0.0351095031816078,0.0756964959057261,0.0589140145430491,-0.030962675972419,-0.0994965883754943,0.0258274607168206,0.116597135246257,0.0397567394186366,0.0794667456747169,0.00817875550185297,0.020103270275005,-0.0219109373894128,0.0194737488916952,-0.0874017422871011,-0.000899486148353797,0.0293727922195203,-0.0364328017250941,0.0213617258625698,0.0156204730123863,0.0621278742329408,-0.0309723781136353,0.0462003190510354,0.035166717021262,0.099675512056707,-0.00748277377343705,0.011019744061491,0.0108368162685024,0.0145237488588413,-0.0159421698476508,0.00298592730891279,-0.0141171706177463,0.0166993347823904,-0.035765980438204,-0.0174774867682627,-0.0481084164361224,-0.0369251330279438,-0.0493730711774605,0.0138286428997532,0.0150934559459835,0.0167510057114749,0.0680420274362676,0.0718639929117689,0.0172880519318239,-0.0171573103407302,0.00428309715031505,-0.00554722016351239,0.00803067424712862,-0.00728376738113466,-0.0159367912346765,-0.0185556141457609,-0.0341675347837273,0.000105955863433441
"b_SI_PANEL",-0.0184232382573988,-0.0651374824806134,0.0499914607353282,-0.0545144581891965,0.0748217687564839,-0.0795703476209173,-0.0967285416023294,-0.0298544217570216,-0.00975424711884512,1,-0.129672000043209,-0.101301264459191,0.128443838448677,-0.109415075418921,0.00773834197410933,0.0114723936049059,0.0416624134608148,-0.0447583618325303,-0.018973613164993,0.00255733942810237,0.0430216664170982,0.0536696720808355,-0.0121057351040436,-0.0716341194109467,0.000166225257853243,0.0947274462159956,-0.0841489239642398,0.0419926556785562,0.0679483806356742,-0.0107735262925709,0.0313081479456487,-0.0140175689086766,-0.027117605283814,0.0479919033892171,0.0726544533167808,-0.105627062141357,0.0723088931519534,-0.0385843096972594,0.00935509609238537,0.115007585190672,-0.178799512940306,0.10951814942024,0.00573272507388623,-0.0274211292386467,0.0386699735279258,0.0597334461381225,0.0687197191864974,0.0711387631980167,-0.020764954162531,-0.0366498899671007,-0.0516731062229742,0.0243439813550314,0.0616763184620094,0.057887796463987,0.043764857236743,0.0813291323404373,0.0423482052543427,0.0164424320777859,-0.00746899717374977,0.00501993827815988,0.0314567451031114,0.0141873107076334,-0.0030329593599818,-0.108385572361995,0.120921457845123,0.118448449866475,0.116240524174816,0.122627793797051,0.102789695630714,0.0813497398134353,-0.00173014845433818,-0.0857654733181329,-0.0973627954393655,-0.0573711843187513,-0.0144012936352307,0.0207888775212237,-0.004484186470851,-0.00395531111276177,-0.000571533326025103
