"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr"
"asc_ruta2",0.0337155266086132,0.0104255308702723,0.00635432658274497,-0.000622103339796303,0.000512688980965103,0.00153792988579454,0.00109203504426124,0.000457580568438217,-1.06254565375276e-05,0.000155581753524963,0.000193585395112796,0.00022850303918531,-0.000597862371595937,-0.000225800419118427,-0.000165252555855518,0.00114820303643462,-0.0011633595206496,-8.00085865595298e-05,1.73799830475871e-07,-1.37052345818996e-06,-9.87333292332752e-07,1.24572611253379e-06,-2.68444437159287e-07,-2.4519824243061e-07,-2.46257131551827e-07,-3.83713289620241e-07,-5.27260976956569e-08,8.64073125654481e-09,-3.32482438256565e-08,1.25689637551455e-07
"asc_ruta3",0.0104255308702723,0.0596075697589693,0.00503292234262438,-0.00123270280556719,0.00197541314169032,0.00216983374191433,0.00143559459379556,0.000163774106673518,-1.16064628459427e-05,0.000366843802528475,0.000144655136334978,0.000261937657407837,-0.000472579023461091,-0.000522943520381418,-0.000385523503365665,0.00170827063022629,-0.00162254031413956,-6.03428153386411e-05,1.65722965111382e-07,-1.0774086357172e-06,-9.42185003314481e-07,1.0132579854513e-06,-1.99503108190174e-07,-1.34145855814314e-07,-1.44552088118935e-07,-2.66715578011335e-07,1.56462745984456e-08,-2.68988969937062e-08,-5.41938550257533e-08,9.69928803822486e-08
"asc_rutaEC",0.00635432658274497,0.00503292234262438,0.74187986408251,0.0018037289569199,-0.00352493549261207,-0.101933113031696,-0.00546377523778079,0.000916536439723041,-0.0023158279097086,-0.0336787259463633,-0.00727002300086705,-0.0399667709211316,-0.152769758424321,-0.101542744869209,-0.0833822289485359,-0.0753332605766298,-0.0170749739759942,-0.0108535845958147,2.29300604777247e-05,-0.000168775175341575,-0.000132717162930208,0.000153685444188752,-3.56134840798903e-05,-3.56776908089127e-05,-3.58113197548625e-05,-5.57389638386264e-05,-1.21741857432683e-05,2.52674137180861e-06,-2.62930059056391e-06,1.91360053543961e-05
"b_time",-0.000622103339796303,-0.00123270280556719,0.0018037289569199,0.000548328214195272,-0.000975569252244418,-0.000705714061371629,-0.000680884328991439,-0.000208814062202409,-1.96676292607345e-06,-0.000166573790477566,-5.35194446535852e-05,-0.000116125489050989,-0.000384847439415282,-8.73554593801693e-06,-0.000169235923352959,-0.00066138066110971,0.00077485807554783,1.69929196844988e-05,-3.98751160584779e-08,3.03246685033169e-07,2.33646550216232e-07,-2.94587112614031e-07,4.89353478826738e-08,3.05946586384314e-08,2.58574899413227e-08,5.88591254199696e-08,-1.43664211441157e-08,4.21737507935929e-09,2.34722724223933e-08,-2.17435648848425e-08
"b_dist",0.000512688980965103,0.00197541314169032,-0.00352493549261207,-0.000975569252244418,0.00736469893510697,0.00229864897947621,0.00010865977550633,1.81876591526576e-05,1.68243870770214e-05,0.000339390713692393,0.000177236905767323,-0.000224766762464645,0.000760395020495602,0.00104855563371953,0.000868223227235063,0.000544995463197702,0.000305817067966097,-0.000232351253440072,5.92503278889807e-07,-3.75201703854614e-06,-3.14939369962696e-06,3.35134722495566e-06,-7.23922616648421e-07,-6.79866327201894e-07,-7.190606795809e-07,-1.09264836404947e-06,-2.132311310799e-07,1.11052622283552e-08,-4.09754657264537e-08,3.65083919360452e-07
"b_clima",0.00153792988579454,0.00216983374191433,-0.101933113031696,-0.000705714061371629,0.00229864897947621,0.0904886177156271,0.00170486419438798,-0.00444699529770696,-2.7518645462989e-05,-0.000136114735061371,-0.00997963126427194,-0.00280196701647021,0.00189282141983076,-0.00744091843188259,-0.00405930878374864,0.0150278978208119,-0.000911917501141428,0.00223037647666691,-4.39776999746508e-06,2.87940126635582e-05,2.76653855917759e-05,-2.6350773363064e-05,6.88857245894421e-06,8.07522043403403e-06,7.94339189177241e-06,1.12749916468255e-05,3.77837604874396e-06,-1.25988960697762e-06,-2.93612422264365e-07,-3.62155999664988e-06
"b_cong",0.00109203504426124,0.00143559459379556,-0.00546377523778079,-0.000680884328991439,0.00010865977550633,0.00170486419438798,0.00582506794793427,-0.00131432520677077,-3.33749606124893e-05,2.20975486063455e-05,0.00214779658970017,0.00147911007812713,0.00535272888983081,0.00314958360241805,0.0022702692242402,0.00239438052549969,-0.00301790220191809,-0.00103262752849975,2.58540994621983e-06,-1.70722326411389e-05,-1.03989353451345e-05,1.46270350177463e-05,-3.55103972857489e-06,-3.56781536275882e-06,-3.44409481990327e-06,-5.06236405088062e-06,-9.73650229988111e-07,3.86239983159793e-07,-3.05949016630501e-07,1.54818588996575e-06
"b_Hvalle",0.000457580568438217,0.000163774106673518,0.000916536439723041,-0.000208814062202409,1.81876591526576e-05,-0.00444699529770696,-0.00131432520677077,0.0558040340449959,-9.7679614537706e-06,-0.00137377054265749,0.00239286963558289,0.000914174518500599,-0.00266201640154213,0.00353735336598907,0.00307904839076203,-0.00349784079564892,0.00163222308039229,0.000757949500911702,-2.94606417633377e-06,1.3240971236288e-05,9.33317112630406e-06,-1.05265222411887e-05,3.08947059098114e-06,3.05186453658598e-06,2.61653814346353e-06,4.55744844975765e-06,5.82105057351399e-07,-4.03446707347375e-07,8.04618362285797e-07,-1.58377854118162e-06
"b_T_prof",-1.06254565375276e-05,-1.16064628459427e-05,-0.0023158279097086,-1.96676292607345e-06,1.68243870770214e-05,-2.7518645462989e-05,-3.33749606124893e-05,-9.7679614537706e-06,0.000161485224394316,-4.50575376229752e-05,-0.000385263052123657,-5.82548970822883e-06,0.00245301615811933,0.00159949889876304,0.000749383973491992,4.16181653272905e-05,3.44951960586996e-05,-5.40915142537178e-06,5.56330873840717e-08,-3.77547936142626e-08,-6.75102698224866e-08,4.11659566928508e-09,5.51820411391369e-09,-2.47626414602313e-08,-1.22672545761452e-08,-2.28079245773966e-08,-3.43125002802222e-08,1.97655539520432e-08,4.41210258351127e-09,1.2121133401145e-08
"b_Hor_trab",0.000155581753524963,0.000366843802528475,-0.0336787259463633,-0.000166573790477566,0.000339390713692393,-0.000136114735061371,2.20975486063455e-05,-0.00137377054265749,-4.50575376229752e-05,0.0029962332853942,-0.00131059019600225,0.00167648368439952,0.000400782600404858,-0.00114463940389649,-0.00167322279838726,-0.000586474187889942,0.00027066132934207,0.000637235867368071,-1.56895983911042e-06,1.03863286289082e-05,7.73042302105068e-06,-9.20528850718578e-06,2.02064990961074e-06,2.06635291454356e-06,2.06382961885742e-06,3.26358757853271e-06,7.60706766995292e-07,-1.61418787520807e-07,1.46501366193329e-07,-1.15139295183834e-06
