"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4"
"asc_ruta2",-36.3616135034277,2.72941354824928,20.1978959058067,18.2090081671327,-9.63120748080074,15.5085505421556,4.56858902525382,4.63136161028866,175.384913833388,166.027349838603,8.04185673473573,2.30537966545687,1.22537665274822,3.81660510804934,6.71573129177159,10.6227498297507,5.12045764062953,3.24144982792037e-15,-3.58513529724751e-09,-3.59517848083034e-12,-2.04988890933694e-10,-2.76354742156103e-09,-1.31558319051988e-10,-2.31446550275043e-10,-1.02488698064894e-10,-3.14646167607494e-15,2.24071814166071e-15,-1.26227831773142e-10,-1.00799455932132e-10,-5.312611972916e-11,-1.26918119472334e-09,-1.92900038336812e-10,-1.48930217306343e-10,-1.19780277897252e-13,8.63613511429617e-15,1.78566376852533e-16,-9.83161964539038e-14,-5.29153468607113e-14,-3.87724838911988e-10,-8.89910994126005e-11,-4.4670946377503e-10,-6.42862246713927e-16
"asc_ruta3",2.72941354824928,-19.5618940766771,10.0724583266839,-14.9231737340306,-4.09312680370189,7.82099257693318,0.806161746297494,2.19195847971942,87.573888516031,83.6276166516746,4.03866944648666,1.17229497606826,0.647904704012046,1.94591309489999,3.32538435894498,5.32908834108354,2.60235158246959,4.94689043197229e-15,1.95659909692894e-10,1.91411848158568e-14,2.15276645226339e-12,-1.83605730217861e-09,-8.07788768736545e-11,-1.41335488719556e-10,-6.25866183612661e-11,1.96267090028524e-11,6.09931853215908e-13,-7.69746601442239e-11,-7.89598972074919e-15,-3.24423363588835e-11,1.08685286910854e-12,-1.27994986519314e-10,1.54729245564733e-15,5.07081840738345e-12,8.95458997192882e-15,2.50571168752205e-16,4.0744727917875e-12,3.69340784119462e-17,-1.92457798669026e-11,1.26700776011273e-14,-3.46844912341138e-13,7.74911540966865e-12
"asc_rutaEC",20.1978959058067,10.0724583266839,-80.3094661701875,-162.755111876556,29.8964418470711,57.7219008278544,-15.6038179382824,17.7610920594421,672.130443775982,623.469298812654,29.5418281048852,8.15257064441645,4.49565064175983,13.2686431711485,25.7609955869874,39.4938697144931,18.7311192263192,4.56269829261858e-15,2.24459880249548e-09,1.05512958386317e-14,7.82324278258491e-10,-1.05458179966953e-08,-4.25916786693802e-10,-8.1076073444505e-10,6.41173570882117e-11,1.10835835913791e-10,-2.81912053714427e-15,-4.42175117949211e-10,3.14606319941721e-11,1.66258852263768e-11,4.03514071746222e-10,-6.74861305286683e-10,3.60399816251489e-15,2.90846980392126e-11,4.87534731161078e-10,2.7036184909012e-11,4.67504831143846e-11,1.2911569131841e-11,4.55402914014082e-15,3.3439193495317e-10,1.29095649789623e-10,4.44466096308474e-11
"b_time",18.2090081671327,-14.9231737340306,-162.755111876556,-3577.03556342917,-345.716343156641,188.362462027762,-394.898390211819,75.4543391162924,2324.74836870843,2058.76358901657,89.1248265708361,23.0148070113077,9.88003571653163,25.3507421951399,91.2102162461133,135.851344345109,40.9989611975724,-2.21813773513997e-14,6.27407054469746e-09,5.93556380890738e-08,6.71857211007722e-11,-5.80495649493695e-08,2.12571582676037e-10,-4.45661071894888e-09,1.79105267654004e-10,6.1007024901162e-10,-8.21743223120576e-15,2.21044058195128e-10,1.73167931713646e-10,9.29436545703722e-11,2.22105137174927e-09,-3.71478218309916e-09,-2.59074067313819e-15,2.11208419489899e-09,2.09376693280794e-11,1.48820823389496e-10,2.57332150297546e-10,8.66473937091342e-10,9.61883200989818e-12,1.869343597102e-09,8.56349094249043e-15,-3.24246233256448e-14
"b_dist",-9.63120748080074,-4.09312680370189,29.8964418470711,-345.716343156641,-198.322244994728,-20.073218253128,-40.0867380838859,-1.96991734349852,-220.96855631725,-207.779324228347,-12.4405491984955,-1.47626058740815,-0.471948079130865,-8.99525573966129,-6.27342127498248,-12.6512316326558,-9.09397998397688,3.28089780511053e-15,3.22940204144169e-11,1.98746794481621e-08,1.61561789558501e-08,9.90521851600932e-14,-6.17732129984769e-14,3.64394370455895e-14,-7.68041384459549e-14,-4.18955876412449e-14,4.59092183930233e-09,4.58939131186756e-14,-9.08667706774873e-14,-6.65577784702607e-15,-1.29860175919458e-15,-1.11210685897662e-10,-8.71571757666957e-11,1.30887412952374e-09,6.56049747889593e-15,-1.17630772847189e-15,-6.94497369666113e-13,2.9012909806199e-10,-3.94239808250778e-15,-9.654225165729e-12,2.04674240518917e-14,1.00006091873545e-09
"b_clima",15.5085505421556,7.82099257693318,57.7219008278544,188.362462027762,-20.073218253128,-102.68745546828,10.5281067762826,-28.8488548053117,-1082.50495852411,-1008.90724161894,-50.162899641328,-13.5773639275477,-7.30951160534847,-22.6576009695301,-40.9509452094318,-62.1518900521044,-30.8789149553899,-1.40418958613739e-15,3.11064144724099e-11,9.56226190442725e-09,1.08316932424626e-11,1.20577546899916e-11,3.4245886593924e-11,1.02039092471566e-12,2.88543667230577e-11,9.98200911747709e-11,3.08112571799812e-12,1.11656178337034e-12,-4.27943339935642e-14,1.49741714614212e-11,5.50156323287945e-12,8.79530664844445e-13,2.01632003642039e-15,2.619521750091e-11,3.37557423071467e-12,3.73621327879519e-13,-1.00274726793575e-14,1.39589953660946e-10,3.10959997213951e-12,-1.03424030140717e-14,8.01953301213266e-15,-4.77176581574577e-15
"b_cong",4.56858902525382,0.806161746297494,-15.6038179382824,-394.898390211819,-40.0867380838859,10.5281067762826,-233.752468503715,8.70149605286744,193.973106004719,130.93825138356,1.32108056014667,1.27259942088832,-2.17852777564118,-0.234974115428179,5.82495894585045,6.59241949265037,7.44769105907956,-1.34844335229816e-15,5.61319495039383e-08,4.07913150853388e-08,4.63729963795693e-11,-3.98423364206529e-08,4.37090252350469e-12,-3.05842611577304e-09,1.23094642063167e-10,4.25839103739897e-10,1.31093711060642e-11,1.5424669841655e-10,1.45473136749913e-09,6.38749588623868e-11,1.54987504760011e-09,3.75318323873423e-12,9.51432495398759e-15,1.45320833475935e-09,2.88207154264026e-11,1.59026583788538e-12,8.84072814955061e-11,5.95467301228885e-10,-4.11057301581106e-10,1.2847537330488e-09,-4.88265830045662e-10,2.05253571849766e-09
"b_Hvalle",4.63136161028866,2.19195847971942,17.7610920594421,75.4543391162924,-1.96991734349852,-28.8488548053117,8.70149605286744,-24.5844121488171,-334.357498124961,-313.314364711546,-13.6025553126967,-3.36216311184145,-2.64629885901626,-6.01517095187113,-12.2585639667234,-19.9815134472738,-8.66987319529899,3.6337864618581e-16,2.21812638394e-09,2.09843011777988e-08,1.8558831396864e-08,9.18117681741794e-14,-6.5694701266929e-14,1.41039114229803e-10,-6.97695784688803e-10,2.15695215666458e-10,-1.44170997983092e-14,7.8148219287675e-11,-9.62207331008036e-14,3.28594305594764e-11,7.73146954078867e-10,9.72158585995624e-14,-1.10314878007852e-09,7.46693162327682e-10,7.41544221502991e-12,6.41411935249218e-10,6.00135209605047e-10,3.06327778531475e-10,-2.14871387241901e-10,1.3000192750199e-14,1.97065927065317e-14,1.14104589746902e-09
"b_T_prof",175.384913833388,87.573888516031,672.130443775982,2324.74836870843,-220.96855631725,-1082.50495852411,193.973106004719,-334.357498124961,-19363.0009696176,-11796.8227964572,-588.891827090994,-157.347138546981,-23.6862879253011,-185.539237897774,-548.569206461676,-738.273506765851,-313.318252484868,1.71885286714179e-14,4.58338937223982e-08,2.16803238857949e-07,2.07718683170844e-07,2.72774033421488e-10,7.76458153446432e-10,1.47986971686709e-09,6.54216052528446e-10,2.26332798804972e-09,5.45551700306525e-08,8.19819066524268e-10,6.42428396635178e-10,3.39494370479388e-10,8.11274797654779e-09,1.23255929671767e-09,-1.13973825236497e-08,7.72373878035858e-09,6.47241669898212e-08,7.17897533659554e-09,6.67049293402744e-09,3.42450457144866e-09,7.05292110034087e-11,8.86825707836373e-08,2.5955190903064e-09,1.18028942105115e-08
"b_Hor_trab",166.027349838603,83.6276166516746,623.469298812654,2058.76358901657,-207.779324228347,-1008.90724161894,130.93825138356,-313.314364711546,-11796.8227964572,-11181.0987687573,-523.981861484766,-135.577666562057,-74.7996496185259,-235.401331556489,-453.297776851333,-693.365061606248,-324.098934425603,6.47597728430499e-15,1.37234610155225e-08,1.29833771016833e-07,1.14826462838564e-07,1.04161845932244e-08,6.75414509993704e-12,8.86226650295586e-10,3.91780226371544e-10,1.33448633871674e-09,3.26288315803155e-08,7.7310305974481e-12,3.78775648853079e-10,3.06539853730491e-12,7.47465306073109e-11,6.02524492490344e-13,-6.82541071192786e-09,4.61992936129432e-09,2.98089821960862e-09,3.25520473891813e-10,2.81378007313846e-10,1.89287758130902e-09,2.10691752510073e-11,-1.00128488686889e-13,5.22079292516656e-14,-8.42926807954542e-14
