"asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158,0.144,0.205,-0.233,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2806.42641963561
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158,0.144,0.205,-0.233,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2806.42641963561
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158,0.144,0.205,-0.233,1,1,1,1,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2,-1,1,2,-2806.42641963561
-0.0033446651941631,-0.00468866518349387,0.00683399557601661,0.0259102274430916,-0.0031065299117472,0.00816282347659581,0.00453927661874332,0.00280249112984166,0.0895971418940462,0.0868965547415428,0.00384929552092217,0.00134918687399477,0.000234147621085867,0.00195337028708309,0.00345410700538196,0.0054907939338591,0.00199369894107804,0.994449221849209,0.1482847421763,0.130431598110357,0.203052243754501,-0.246478684908478,1.00625289004529,1.00579382566502,1.00626618793467,1.00137464448926,-2.00232226424851,-0.989981551974779,0.997133643046254,2.00219460396329,-2.00279782892903,-0.98883245702018,0.99840339642833,2.00133703296888,-2.00304628166487,-0.987921263294993,0.997840880445438,2.00182477198541,-2.00401328396401,-0.993619350774679,0.993798823677935,2.00367163404007,-2706.31669339616
-0.0413753860249581,-0.0806954536153655,0.0327047213572989,0.166288451582879,-0.0548554489829747,0.0397296567896647,0.0480765365329384,0.0152738952687813,-0.170000757966976,0.399936885354454,0.011579515413974,0.00827912406558429,-0.000516058458306118,0.0188972510441079,0.00690598507044664,0.0286394600366318,0.00489392180793493,0.939028239947652,-0.158115648540693,-0.294418671832783,0.13689474165202,-0.668000419959576,1.18333071989186,1.174034195835,1.18996234654303,1.01904115268032,-2.07471406427363,-0.726670589915462,0.916110681177697,2.06025155617553,-2.08793519903106,-0.695288607765576,0.952648073731592,2.03661880764263,-2.09518397136393,-0.669549215531697,0.936960769560327,2.05030346710228,-2.11966316298115,-0.829402707821277,0.820125986415867,2.10016421639645,-2410.69827914318
-0.0966592982364714,-0.225022893081653,0.0152951003221664,-0.0318031708509455,-0.170126856339567,0.0186635330857446,0.1061426082181,0.010274590334214,0.138825983582205,0.0867079538014064,-0.00307387526187272,0.0115093152193575,-0.0210761035314932,0.0188716345965489,-0.00672754699256874,0.0163685875563821,-0.0173637893996954,0.939529942332252,-0.613964586746451,-0.938035936267561,0.0417421651054083,-1.30618076319613,1.48070920617274,1.46390833990519,1.51262561300889,0.967434146611512,-2.22917293159171,-0.26956958461423,0.752881618037026,2.17016337442798,-2.25785662865052,-0.188499830623689,0.85943888072565,2.10488372169895,-2.27719708119705,-0.11745636357128,0.813637612445473,2.14454334779701,-2.34512029775629,-0.558036382641732,0.483737050217395,2.26695685504168,-2250.53216027327
-0.130574235297413,-0.307411975772257,0.0104808049408373,0.153823170873358,-0.176620890570238,0.0104358865539166,0.162988814943201,0.0104391248478087,0.176231828879419,-0.0196138218641805,-0.00746952958228242,0.0123459097440719,-0.0312439368168554,0.0210855930710248,-0.0132207258069646,0.0146135844177027,-0.0303846609472281,0.945019897484379,-0.568551622915905,-0.891023211696794,0.0609031814498537,-1.25653259030711,1.5230315127718,1.51444176201623,1.58066839521314,0.843173298077174,-2.33334769158754,-0.106004123451299,0.668622823375167,2.22038215990175,-2.36234425798241,-0.0081129435755467,0.811548668693558,2.13758308468952,-2.38985723265141,0.0865380353420997,0.74836178321666,2.19042194090077,-2.45292951657158,-0.484394659119349,0.328570986300676,2.32814271181468,-2205.73122724008
-0.23272286406662,-0.548712171561824,0.0210440741870069,0.0347834885801343,-0.297517204534107,0.0154095437879618,0.236836989998052,0.0159119061538297,0.165021986614688,-0.00445748748671783,-0.00365154175674171,0.018359349950184,-0.0535879558885472,0.0399229387659456,-0.0234475857166319,0.0273680082007918,-0.0508043569158689,0.91395720653174,-0.367355563712143,-0.656165917834288,0.126825211651038,-1.01508585235005,1.6100885132557,1.62339025082681,1.73466686207664,0.547327582566839,-2.60725842722702,0.285364636022322,0.457907542195187,2.34968823888991,-2.63487004911272,0.42501219554793,0.694800608386188,2.22292328918498,-2.68564860864383,0.583052608745022,0.584946289071198,2.31035090819971,-2.71198257571736,-0.329405661414403,-0.0481811404890575,2.47760119476083,-2171.58929377729
-0.23943841778724,-0.564538539846984,0.0217304366668085,0.028327294930052,-0.305344923315712,0.0157412329201893,0.241859252028019,0.0162806100709196,0.164276608213734,-0.00353801879895457,-0.00343031403118439,0.0187638242565342,-0.055059182326789,0.0411542464009933,-0.024123161749325,0.0282044408065622,-0.0521623884037553,0.911887080444765,-0.356177246120905,-0.643494118547077,0.130679782884519,-1.0019785884025,1.61665351904513,1.63130543277245,1.74554391797839,0.528721818467963,-2.62515584211358,0.31142426535096,0.444320114542369,2.35828171796921,-2.6527362008437,0.454042834454689,0.687273744829071,2.22858312943991,-2.70504564960368,0.592757896439265,0.597866671380346,2.31829898452048,-2.72909633031189,-0.319025685377415,-0.0728052518426067,2.48765762452996,-2168.35231966205
-0.280953445351635,-0.655913344262953,0.024891950523679,0.0249423547173094,-0.333793401416719,0.0163037454511673,0.263990875678106,0.0178577989689594,0.164319898109925,-0.00937748320955435,-0.00266037891927259,0.0214855842389956,-0.0642034633569524,0.0478450647888174,-0.0285282479078077,0.0326402272788883,-0.0616547737819288,0.899730087676274,-0.324228190874706,-0.612596519484735,0.143920623801674,-0.96955075869264,1.67011458328365,1.6878275337161,1.81600533591589,0.534355621061911,-2.71194393534027,0.302678006026144,0.512450001352525,2.40660037068009,-2.73884201417961,0.531644958668592,0.717498194547806,2.26153805195448,-2.80221471094131,0.650084746605815,0.656111578379606,2.36486921103313,-2.7884646849415,-0.401502037828065,-0.0539062950097814,2.53777130759445,-2138.13137883602
