"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4"
"asc_ruta2",0.0335208211996792,0.0126206544612957,0.0210377408435422,-0.00116305659329688,0.00190510698850927,-0.0070895880373805,0.00159807514095684,-0.00248369722010454,0.000162863525505384,-6.58590487153439e-05,0.00276603172966746,-0.00545282070537333,-0.00294538328626967,-0.00430314989233033,-0.00526604530065573,0.00272295851634808,0.000433425521193814,-0.00173961747824754,-0.00213423204096594,0.00113539624777083,-0.000491337698363108,-0.00196194457356069,0.269269379240436,-0.000899545146043288,-0.0097477387295564,-0.00302341928655742,-0.156351766545131,0.242240864322157,0.315883766960244,0.483028258744776,-0.0067252686264614,-0.00524873562844476,-0.00475556901828772,-0.00858853940480202,-0.0123603748153446,-0.0180250982670099,-0.017422806910086,-0.0338229339560271,-0.00490418864325219,-0.00590531540018664,-0.00661005787091728,-0.00864395002723584
"asc_ruta3",0.0126206544612957,0.0689424120943865,0.0220830151577386,-0.00372838354280876,0.00904046524544725,-0.00334754950556921,0.00082006409621946,-0.00526920766961991,2.90980128563224e-05,0.00063530404871743,0.00277343042505304,-0.00242469217339468,-0.00327134975125659,-0.00458101788222826,-0.00702813812645994,-0.00117149939518103,-0.000504751293836563,0.00223506167366753,-0.000599645951691759,0.000789853152352905,0.000133672369747062,-0.00126824435965364,-0.130251885849895,-0.0108816315998845,0.00374959218090494,-0.000487823534450199,0.00513361791021984,-0.120479126231204,-0.156446076534846,-0.361130008580658,-0.00590095673564422,-0.0166332358009698,-0.0170162799525743,-0.0256241519305611,-0.00213604916197059,0.00394674629453798,0.00458493569473196,0.0108671266403459,-0.00113464631395727,-0.00298008596770013,-0.00378640291458843,-0.00322855256479681
"asc_rutaEC",0.0210377408435421,0.0220830151577387,0.798858564671626,0.000635087266556973,-0.000264372976759521,-0.121075036258142,-0.00738170822094433,0.00242433855233664,-0.00203267852050465,-0.0345877823502444,-0.00556612932097374,-0.0592827639051665,-0.128237124425009,-0.105165925879198,-0.0914648917500611,-0.0792974748953839,-0.0304870225242978,-0.0111056617331539,0.00456179377605842,-0.000812076848519528,0.00110477008702527,0.00162316749567825,0.260990601422069,0.0252721355973805,-0.0084339009659011,0.00181840759446906,0.270125893112063,0.350691720569502,0.548450115299271,0.912417238885053,0.0134690955261977,0.0245725843513673,0.0425508822451791,0.0159032829413232,0.0141374682490748,-0.00638606818317062,0.00453178161398949,0.0208518756305213,-0.00022066706613637,-0.000227148816584427,0.014424793932803,0.0188941801993042
"b_time",-0.00116305659329688,-0.00372838354280876,0.000635087266556945,0.000888823776836608,-0.00169618841575103,-0.000345907777916752,-0.000931731124402185,0.000709278918046216,2.01182444062243e-05,-0.00025443722552954,-0.000177758350884397,0.000226637017723996,-0.000160207066098642,-0.000146464235631792,-4.14983848313848e-05,-0.000847606468989421,0.00166557330161423,-0.000323974508578248,0.00013178779615932,-8.32083030095196e-05,4.90857710524841e-05,-1.37268551745327e-06,0.0271272411142899,0.00105175975154456,-0.000777415092026903,0.000657000973238167,-0.00558039131792476,0.0234177690830716,0.0295591735081358,0.0655578122998176,0.000391211985012272,0.00154064317445692,0.00116966600048894,0.00198408650067972,-6.92804927135836e-05,-0.00118026164190895,-0.00138622698229335,-0.000380430436974236,0.000300218903692198,0.000918742484499922,0.0011310725088093,0.000508652826887319
"b_dist",0.00190510698850927,0.00904046524544725,-0.000264372976759448,-0.00169618841575103,0.00653920819687241,0.00195429512919922,1.27042730952057e-05,-0.00133594470262964,-6.72196836989246e-05,0.000584538132497274,0.000153128458827604,-0.00123714819046738,-0.00227408972889413,0.000492957247041948,-0.000468350352854724,0.000955480501850279,-0.000956521590017098,0.000504167041951152,-0.000275591920731868,0.000266155351662018,-8.8131044025216e-05,-8.5460445743694e-05,0.0748465411255356,-0.000944528274874493,0.00269791898145571,-0.000942242685040081,0.00101125696955029,0.087137655368956,0.0995227566286555,0.158731681965516,-0.00135765108690585,-0.00114704039194115,-0.00100559065511193,-0.00387706410830964,-0.000526776247584175,0.00383534959649102,0.00354009186399344,0.00543365193729859,-0.000996265718536234,-0.00111275329439524,-0.00160587320549964,-0.00194781204577953
"b_clima",-0.00708958803738049,-0.00334754950556926,-0.121075036258141,-0.000345907777916754,0.00195429512919922,0.100434252210231,0.00192544726254696,-0.00441956856080696,-0.000254810593471168,0.000637954966062717,-0.0123728710064066,0.00153518741711636,-0.00753147042835758,-0.00952148270076546,-0.00589105223488757,0.0164196651759107,-0.00223890337277698,0.00273983458800448,-0.00306947142115529,0.00175197391677715,0.000435374402856437,-0.000969075018232141,0.0412875211826741,-0.00523883582115142,-0.00697576812792951,-0.00207936041370174,-0.0741265477368915,0.0958211643040765,0.0861042350855602,-0.0228439326169567,0.00347899451912534,-0.0025356933928478,-0.00879129777537102,-0.0110636485984223,-0.000613589234809855,-0.00208052446534926,-0.00573304841243384,-0.021855685811011,0.000941876809251139,0.0032881330961071,0.00220385450060018,-0.00587972712713354
"b_cong",0.00159807514095684,0.00082006409621946,-0.00738170822094423,-0.000931731124402185,1.27042730952033e-05,0.00192544726254697,0.0060936438271015,-0.00174242481509369,-3.63696705822885e-05,9.56410679782153e-05,0.00166482475943522,0.00208712124533762,0.00513618994567458,0.0040324658190949,0.00332008851753952,0.00306255003877231,-0.00371865446335629,-0.000561083995543743,-0.000429135887410467,0.000194307597027834,-0.000136344288924754,-1.26321422834652e-05,-0.257510487457238,-0.00180049429393765,0.00151936992974774,-0.00196320226117702,0.0115097664828182,-0.259593541384906,-0.312555164745895,-0.591076695198169,-0.000566427251711001,-0.0028871099159971,-0.00166432762643419,-0.00136475322052233,1.65482545985862e-05,0.00291817110023321,0.00411187679706334,0.000739469438791063,0.00081676815024844,-0.00207232469749808,-0.0018067488085195,-0.000493546775751662
"b_Hvalle",-0.00248369722010454,-0.00526920766961991,0.00242433855233694,0.000709278918046217,-0.00133594470262963,-0.00441956856080699,-0.00174242481509369,0.0545952128244221,-4.08315002770265e-05,-0.00167084043556645,0.00301661411915226,0.00154372408100724,-0.0105984858249533,0.00161043281623683,0.00227306894456429,-0.00460454749785515,0.00275083792045885,-0.000450555634674419,0.000818457586271263,-0.000141676027841287,0.000932423478420701,0.000856063736289137,0.0502045041055965,0.00171769704387168,0.00612284042700476,0.00268069267751908,0.0982953214829653,0.0992708704925638,0.0717136408015164,0.176366112287989,0.00849315388704139,0.00431238233020646,0.00418846077892922,0.00964170354717669,0.0115481339917819,0.00758784903068659,0.0083556329131773,0.0348638616513075,0.00327349313083894,0.00357588281178797,0.00478325120270316,0.00946439205457838
"b_T_prof",0.000162863525505384,2.90980128563227e-05,-0.0020326785205046,2.01182444062243e-05,-6.72196836989249e-05,-0.000254810593471171,-3.63696705822888e-05,-4.08315002770252e-05,0.000171605748495248,-4.76236539311842e-05,-0.000280763181749976,9.23329260960678e-05,0.00237841206816752,0.00148861996296423,0.000645304697053966,-1.1828313426644e-05,-6.75931774371229e-05,-3.23926435623473e-05,1.2426491504518e-05,-1.56350884553576e-05,-1.55592952637227e-05,-2.42977576642573e-05,0.0171455667819647,-0.000293045854556606,-0.000116516848440584,0.000258216856765611,-0.00214484291126386,0.015488709522106,0.0191602560433591,0.0367398983694194,-8.08210049656132e-05,-0.00041434131858431,-0.000488750623625071,-0.000863729062926618,-0.000178292637134323,-0.000451868676199758,-0.000490481226115904,-0.00136853768949832,-0.000141306906806312,0.000138169321804388,0.000111916100034494,-0.000184245052466871
"b_Hor_trab",-6.58590487153335e-05,0.000635304048717435,-0.0345877823502439,-0.000254437225529541,0.000584538132497277,0.000637954966062716,9.564106797822e-05,-0.00167084043556646,-4.76236539311824e-05,0.00297390173322049,-0.00123481805827797,0.00220052218177151,-6.54760671230569e-05,-0.000825782344821975,-0.00136367284536843,-0.000954894372450376,0.0011878310016513,0.000315445152961911,-0.000296255029514227,-1.95892158936654e-06,-0.00023818463828845,-0.000207676666169031,-0.0363357102725782,-0.0012173397207881,0.00209056509416783,-0.00044592782587527,-0.0246584864101484,-0.0490509181651704,-0.0672933413722451,-0.112490562597836,-0.00206751484319396,-0.00200462272248199,-0.00253822890728423,-0.000436028868473667,-0.00212078900241221,0.00107510990432881,0.000593684596679327,0.000790291280139178,-0.000702140091937349,-0.000727327707721017,-0.00169681613091385,-0.00219378352631135
"b_EduBasica",0.00276603172966747,0.00277343042505304,-0.00556612932097417,-0.000177758350884397,0.000153128458827604,-0.0123728710064066,0.00166482475943522,0.00301661411915225,-0.000280763181749977,-0.00123481805827794,0.0573734250949826,0.00136393087066744,0.00131583127526263,-0.00654414025239663,-0.000291685944372319,0.0086608285472273,0.00248110835988319,-0.0021857428848173,0.000212669769175428,0.00042791348171952,-0.000140344489795775,0.00032303441390058,0.150425235022472,0.00471380733096689,0.0100566768958611,0.00173923282315193,0.0294905129879531,0.17766512213973,0.192058384556968,0.395488695148442,0.000296959385510585,0.0039259048616032,0.00565257128949016,0.00748215295568279,-0.000918267098979991,0.0158493128851272,0.0156210300364759,0.0424222427739276,-0.000204892780875023,-0.000794163848396127,0.00189061298203408,0.00991006988785204
"b_Info_traf",-0.00545282070537331,-0.00242469217339468,-0.0592827639051662,0.000226637017723995,-0.00123714819046738,0.00153518741711632,0.00208712124533762,0.00154372408100722,9.2332926096068e-05,0.00220052218177152,0.00136393087066744,0.0901930773286656,0.000149848030766701,0.0153507706151615,0.0118568842834268,-0.001120102844424,-0.00441713784879571,-0.0017621346099766,0.00058809411670154,-0.000534594409063211,-0.000836750358099158,-0.000349454570530649,-0.215298502542023,-0.00252114370956131,0.0127991614850433,0.000141300106665252,-0.0228594081440339,-0.27395891637939,-0.33373123643854,-0.509594582920239,-0.00429808466907158,-0.00256947720761293,-0.00553629854580353,0.00900105100814987,-0.00302771104343218,0.0106940920963334,0.0107127239275032,0.00928333731820822,-0.00400708323395915,-0.00318720423299159,-0.000791712256139222,-0.000699229926948218
"b_Joven30",-0.00294538328626967,-0.00327134975125661,-0.128237124425006,-0.000160207066098636,-0.00227408972889415,-0.00753147042835775,0.00513618994567458,-0.0105984858249532,0.00237841206816753,-6.5476067123139e-05,0.00131583127526267,0.000149848030766634,0.319621774595552,0.127938414862259,0.112052626465294,-0.00240602239902248,-0.020682657804474,-0.00162569984899656,-0.00226936619493581,5.67048456236337e-05,-0.000929610424699752,-0.00150884537886222,-0.969230535449397,-0.00843489207409561,-0.00174228635000991,-0.00325739289776879,-0.0789939888564648,-1.05265218551262,-1.29091895625053,-2.40426477033732,-0.00885921846259472,-0.0178374748460608,-0.0224577567966255,-0.0248979313459551,-0.0101147170430178,-0.0042449598283963,-0.00311034858529007,-0.0371124310968912,-0.00342242343457948,-0.0069765704257697,-0.0101891318639901,-0.0334148748036335
