"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda1","lambda2","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4"
"asc_ruta2",0.0335387835408976,0.012661495323299,0.0217069358944452,-0.00117076890695349,0.00193659807988303,-0.00704278202948955,0.00163396522853788,-0.00235988230225898,0.000166852500231953,-7.86081461061509e-05,0.00277896682504301,-0.00537630324056313,-0.00275599323680373,-0.00428566617778123,-0.00534493858154795,0.00292385873539409,0.000371211687432846,-0.00228835887217302,0.000590517626300261,-0.000620850800454104,-0.000499947681902116,0.000116168954227432,-0.000954878165568521,-3.52649028435488e-07,5.59868252199467e-06,-3.78863676453864e-05,6.3371830645898e-06,-2.00330354363945e-05,0.00313230580100467,0.00225039398071816,-0.120767568048246,-0.00064237320239779,0.005291641061531,-0.0198837470811132,-0.000234435368996799,-0.0179218691338588,-0.00621746415415828,-0.00438597712114046,-0.00321600922776975,-0.00915322930232013,-0.00547061052446147,-0.00441371404791802,-0.00573874260791998,-0.0333845430638304,-0.174195376579189,-0.185416266949128,-0.301837430951771,-0.00717058100278621,-0.0066685325439821,-0.00680901895712274,-0.00682088886524059,-0.00252794043053305,0.00549715638810901,0.00273919856280707,0.00289036588213783,0.24809144660895,0.214047313431037,-0.0950829425616042,0.351961954394041,0.00116723111698555,0.00106244526025127,0.00114689577535135,0.000594411142535635
"asc_ruta3",0.012661495323299,0.069019500266585,0.0242940735041031,-0.00373945973669851,0.00911613245553329,-0.00422166100545312,0.00090506965257169,-0.00394901236073874,8.22725767961288e-05,0.000772984069468253,0.00350586677582801,-0.00153328579239899,-0.00131676660834146,-0.00276848705650307,-0.00688084079183945,0.000294105047656598,-0.00122516326455228,-0.00318191714650714,0.00687148227679898,0.0017055403723141,0.00211709285496742,-7.64779662655094e-06,-0.00279801172937813,-1.05328737183633e-07,2.98401503227268e-06,3.34096331851793e-06,4.6985902523471e-08,3.49292793994966e-06,0.0143810903305754,-0.014604311197441,-0.00279021957894598,0.000229291430158796,0.0108353552234121,0.0174807100243329,-0.00247653389034276,0.0136832894686193,0.0231707878852661,0.0234478295767081,0.0245510240075063,-0.00164872725885994,-0.0188647339602325,-0.0201671488647315,-0.0296610349919889,0.0128878823903151,0.00346724041688364,0.00345177954976266,0.00367939721329001,0.00228353244482053,0.000441323720577848,-0.000477538581169592,-8.72573673783415e-05,-0.00403163706133045,0.0108210224122217,0.00869053230991956,0.0159951956318322,0.17814351394567,0.0312375258199245,0.000820951010818209,0.243757117454068,0.00481248574861229,9.25834158250262e-05,-0.000393585250703629,-0.00268208656734262
"asc_rutaEC",0.0217069358944451,0.0242940735041032,0.812646488472853,0.000428986507798735,0.000207782303817565,-0.12402129229001,-0.00655929275054515,0.00526376845839189,-0.00183341228675651,-0.0343591239508723,-0.00391546427350426,-0.0566568334809785,-0.122131465787925,-0.100248441323821,-0.0919583029759277,-0.0744113990036526,-0.0332199298497994,-0.0318138157866594,0.0223710645157963,0.00311697328470349,-0.00527800844050307,0.000721797557469311,-0.00729237198332318,-2.21843617437207e-06,3.71804983961085e-05,-0.000250262077254418,3.90891921438883e-05,-0.000145578827098068,0.0836787622525118,0.041381508053493,-0.742980177997079,0.0145540144496743,0.0112098423317309,-0.242871795972998,0.00415816724495675,-0.0483546308460505,0.00937168010209364,0.0456976035308372,0.127938951640181,-0.0280184817676454,-0.00435785457276957,0.0176215718396733,-0.000945343568450053,-0.148974351468194,-1.07262365253848,-1.14599285494837,-1.77851208333899,-0.0331303391205522,-0.0229757179412035,-0.00469902581060173,0.0087856072836866,-0.0071477436084974,-0.00527123204238915,-0.00388265071131531,-0.0119181089335594,0.978685639137871,1.10009351475719,-0.707840457293741,1.83732597123878,0.000485052564973507,-0.00206822641281377,-0.000722515408006823,-0.00448052552800436
"b_time",-0.00117076890695349,-0.00373945973669851,0.000428986507798688,0.000891679794062232,-0.00170408013031808,-0.000254352071447283,-0.000944379109680674,0.00059396860200698,1.52227563763825e-05,-0.00026662305372338,-0.000259089364365356,0.000151496412129562,-0.000335001434721273,-0.000337537142662815,-6.26840988527462e-05,-0.000983868293444501,0.00174582936211142,0.000171391066380413,-0.000629069574904151,-7.58040106777867e-06,-8.73943280572667e-05,1.00190575765438e-05,-0.000122245051597151,-2.9504398400972e-08,5.53720939859157e-07,-3.59950328537202e-06,5.90995188771361e-07,-1.78885519823133e-06,-0.000278952874048839,0.00151624723111821,-0.00885619707825298,0.000733207417573659,-0.00106944202995508,-0.00263856496451897,-0.000142275771811616,-0.00259070437038152,-0.00237275769797632,-0.00222709965886877,-0.00107558139830775,-0.000547637642158398,0.00129878551210661,0.00101431895537491,0.0020539228589954,-0.00379529386675019,-0.0139558568639283,-0.0151739022659014,-0.0206304605276324,-0.000342096474983975,0.000341656651633454,0.00060768774739152,0.000100187433455241,0.000659000696043243,-0.000964010614980602,-0.000560344313810608,-0.00155833207736721,0.00129264037381367,0.013932315903924,-0.00928637136712283,0.0302488245972988,-0.000465012461607714,-0.000265298516146575,-0.000117285667590278,0.000609675457122269
"b_dist",0.00193659807988303,0.0091161324555333,0.000207782303817745,-0.00170408013031808,0.00655059173054822,0.00177464577051753,3.32770413402996e-05,-0.0011847746122518,-5.85421536788191e-05,0.000598567733796647,0.000273238849772521,-0.00119703367255984,-0.00203364794647852,0.000709739404474547,-0.000498702583853614,0.00116418823213007,-0.00110188142228153,-0.000258894907086031,0.000915280953154083,0.000472367618961593,0.000956997774788954,-1.95039656764346e-05,0.000241531876475154,5.57151776733132e-08,-1.17087655265932e-06,7.54731839708181e-06,-1.30212566296691e-06,2.85264743113539e-06,0.00340867953852704,-0.00168227926652229,0.0178944628239032,-0.00149757406954375,0.000548223295577799,0.00553807857279351,0.000909826220259501,0.00891743688989169,0.0127028817641477,0.0122429359872833,0.0114715668604904,0.00312767847994742,0.00230915280846699,0.00230227090599356,-0.00108392787611815,0.0137613131558893,0.0351495862026653,0.0363202270277409,0.0501300708200784,0.0021051937215402,0.00164623593300728,0.000945018283891484,8.71872462784895e-05,-0.000731126419992716,0.00197389736963262,0.00100276337585307,0.00261013008652299,-0.0144089359297269,-0.025408021693942,0.0179456266145581,-0.0529563036252615,-0.000722658797902511,-0.00053873113820571,-0.000435361106154764,-0.00110716647024896
"b_clima",-0.00704278202948953,-0.00422166100545312,-0.124021292290009,-0.000254352071447275,0.00177464577051754,0.101237582440509,0.00171827669357964,-0.00534206434944,-0.00030812609353965,0.000564498267533217,-0.0128254707228844,0.00102130208164817,-0.00900274055887852,-0.0110286585449459,-0.00579797226988698,0.014786612947882,-0.00139051774145902,0.00689823797149562,-0.0060310301208954,-0.00293204668680976,0.00188551597664207,-0.000100818148810648,0.00163884691351903,2.53524381806736e-07,-2.76320977072842e-06,3.86545812137599e-05,-5.57608704062887e-06,2.77145399603076e-05,-0.0113779544417623,-0.00412007016612735,0.0532677526895539,-0.00352438333082857,-0.00302626241367019,0.0749452307241777,-0.00191954501052043,0.0110435091354278,0.00729041338484703,0.00236771159258991,-0.010566458789723,0.0125417031311441,0.00603634652054114,-9.80620623054997e-05,-0.00121276493214278,0.0279593694846713,0.0937156653568252,0.095343410558924,0.126992420716771,0.00698149793496513,0.00800965626683465,0.00632502935565697,-0.00308053319557342,0.00228446280931892,-0.000775610951131542,0.000100598263233784,-0.00153252256457726,0.147504924464935,-0.066117413837142,0.134411241770483,0.000121510429174118,0.000768809087158937,0.00121406431015555,0.00254094344172891,0.00244970170402113
"b_cong",0.00163396522853788,0.000905069652571691,-0.00655929275054511,-0.000944379109680674,3.32770413402988e-05,0.00171827669357965,0.00613991521408104,-0.00155001570514307,-2.56684473704976e-05,0.000109565233084629,0.00183998428667,0.00228653910562146,0.00540897015373548,0.00440544258395279,0.00330463301813296,0.00341755347698555,-0.00389183584097637,-0.00187338480203756,0.00143922753060236,-0.000750617857553465,-0.000439957804722652,-2.84583197273495e-05,0.000531272788798594,8.05576120136355e-08,-1.28715751647591e-06,9.90880269877956e-06,-1.63855594669505e-06,5.64008781369465e-06,-0.0030755845114077,-0.00243374704685545,0.0260783554486963,-0.0021233399306357,0.000750657845240542,0.00697030250657094,-0.000896710495945485,0.00025137288280876,-0.0045230457849352,-0.00463968506453544,-0.0055124754802884,-0.000957894500228931,-0.00438284727749891,-0.00325417991690057,-0.00314979574969268,0.0012755616157667,0.0331519596677795,0.0376384809203079,0.0565949666032453,0.000590146961467474,-0.00256536971761035,-0.0023667328708207,-0.0011696046436556,8.69633386035549e-05,0.00113679782264811,8.63287310917776e-05,0.00195628484991305,0.00478483407894653,-0.044244542518449,0.0254160967078634,-0.073066024331341,0.00256862589134006,0.0013214242054651,0.00165565997614938,0.00025020623659722
"b_Hvalle",-0.00235988230225898,-0.00394901236073873,0.00526376845839173,0.000593968602006979,-0.0011847746122518,-0.00534206434943998,-0.00155001570514307,0.0554443945362671,1.47712199002008e-05,-0.00155444503046462,0.00316317118222147,0.00198502682196674,-0.00920738093877501,0.0029887632967602,0.00199540368578011,-0.00260430665574435,0.00177109847905446,-0.00465582898123656,0.00646443381023498,0.00113171585088594,0.00310980090061404,-0.000141237388090306,0.00225713253755571,4.682090114911e-07,-9.2825064944977e-06,5.03737216860956e-05,-8.27635768753502e-06,2.34978319246257e-05,-0.0210126874561856,0.000134030707603968,0.176895046882911,0.00112495472987723,-0.000479151798997762,0.0239780856099928,-0.000351095536522251,0.0338121988589984,0.0101181399098161,-0.000348277455724127,-0.0326038501132081,0.024334410553921,0.0177730890024844,0.016107544368968,0.0167676473667275,0.0713270383777142,0.267311280801637,0.287712413049818,0.46810434694876,0.0137442650809309,0.0128441969762018,0.0136680734948124,0.0153035725331794,0.00224235478358381,-0.000584375213335812,-0.0012466966458717,0.000239759733039371,-0.360683748750026,-0.248692307573571,0.127728244344163,-0.516440361870246,0.000677102009579252,-0.000386616334675702,-0.00130144781806189,0.00271096846004211
"b_T_prof",0.000166852500231953,8.22725767961289e-05,-0.00183341228675654,1.52227563763823e-05,-5.85421536788186e-05,-0.00030812609353964,-2.56684473704968e-05,1.47712199002e-05,0.00017389334940823,-4.32923344756788e-05,-0.000254014703045138,0.000115064496415131,0.00246002745943067,0.00156587936450448,0.000630127075051286,9.84178234858527e-05,-0.00011827355474121,-0.000305310010058488,0.000369073265458424,0.000170156784266558,4.60708077835651e-05,2.70284000016672e-06,-4.15368273400747e-05,-6.28811654659283e-09,-4.13094094848721e-08,-8.45146808136922e-07,1.17774012367663e-07,-8.48769520491805e-07,0.000263604915533853,-0.000408117425750584,-0.00181352031180475,0.000285891869000882,0.000218721043484774,-0.00167812354480923,-3.91042433109379e-05,0.00043383439610324,0.000715893663019743,0.000689090604628629,0.000545813557578553,0.000241824827600357,-0.000214905417365505,-0.000322110705920512,-0.000708001303827435,0.000472068180182617,-0.00172558952516942,-0.00191508375271083,-0.00427473754548527,0.000118529104557417,0.000405916826122237,0.000390659270761,0.000128099605350086,-6.89590522599133e-05,0.000217154567506884,0.000206713666418332,8.63900546881399e-05,0.00616694301379228,0.00396398488447459,-0.00329320109383108,-0.003505357464282,4.82995928042769e-05,3.94983180866477e-05,3.9089584581189e-06,0.000170194816650543
"b_Hor_trab",-7.86081461061552e-05,0.000772984069468241,-0.0343591239508718,-0.00026662305372338,0.00059856773379665,0.000564498267533311,0.000109565233084629,-0.0015544450304646,-4.32923344756772e-05,0.00298102215758444,-0.00118457853350236,0.00221502970012131,6.43480313962524e-05,-0.0006730175332908,-0.00135854445304079,-0.000737814579434739,0.00107805843679874,2.52793872602505e-05,0.000614319203250721,4.3020910354666e-05,0.000291712711515319,-3.97727202487252e-05,0.000319307141542904,1.22805056810493e-07,-2.0306044848101e-06,1.37088334084482e-05,-2.14916963251349e-06,7.35223207249702e-06,-0.00299931561943277,-0.00249176365233983,0.041716002893039,-0.000992902874330566,-0.000281726129687802,0.0109705814222334,-0.000140420679100792,0.00311976526494378,0.00182766404912401,-0.000372102654950584,-0.00409268923771077,0.00108424064267459,-0.000206646974177115,-0.00114978570934155,0.000402242821210697,0.00883691440737563,0.060297281219107,0.0641273551026044,0.101140257239542,0.00169106508682469,0.00121331075800752,7.34653646134867e-05,-0.000840262120009718,0.000232615050601118,0.000624420264191226,0.000301726584995538,0.000551713281175216,-0.0693566707336821,-0.0605055045375604,0.0366526914292367,-0.111582597080647,0.000109001369456773,0.000308853772151504,0.000346265927632741,-0.000573365882355636
