"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda1","lambda2","lambda3","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel1","zeta_UsoCel2","zeta_PasoPeaton","zeta_UsoDirec","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4"
"asc_ruta2",1,0.407314353640122,NA,-0.419546592174764,0.309632852711074,0.00296141175394359,0.0827680839980949,-0.0224176984225516,-0.0233648935888438,NA,-0.0181375260095705,-0.0158594080905135,0.0209590288326392,-0.00898528928064722,0.0280477731860002,-0.00140684026278965,-0.0154985017077602,-0.013763539985738,0.00669910560736364,-0.0332045027923426,0.0114918105771135,0.00132024478052086,0.0121566305680337,-0.000355841091251731,0.00297013392000063,0.00672938769071692,-0.00359922722455909,0.0122272401946818,0.00671920360851691,0.000361689335791854,1.05829510672632e-05,-0.000691364969570364,-0.000939093718134988,0.000838993605856481,NA,0.000543226180830082,0.00140451958845977,0.0017051996311701,-8.94018532735371e-05,0.00497672052149605,0.00492737103096015,0.00483301957265505,0.00394811106050667,0.00501052787045835,0.00501670854155924,0.00490118854472608,0.00389495180723267,0.00521332394530685,0.00445281838609827,0.00431424519394628,0.00271381470834912,0.00481845331448421,0.00506525602424183,0.00487257335309556,0.0035105891410166,0.00425058586364836,0.0038262835644558,0.00347370180199823,0.002583253975932,0.00522600969939943,NA,NA,NA,0.00195262267661942,0.00285897822581137,0.00266355946445948,0.00119579402371853,0.00239442615653053,0.00358408946741314,0.00393783772294827,0.00348785052496399,0.00152291408894659,0.00272221215075721,0.00318297352754756,0.00331678634488966
"asc_ruta3",0.407314353640122,1,NA,-0.51957243612698,0.453467559623643,-0.00886268061785274,0.0861312281552408,-0.0190890693130365,-0.0201469654590365,NA,-0.0187161762039727,-0.0171807020280514,0.027685236095611,-0.00954886914190774,0.0370729338867814,-0.0100917046401355,-0.011416233052517,-0.0239387712835129,0.0117710595542588,-0.0324555494888029,0.0115263413617995,0.000138534904647592,0.00819301819314574,-0.000680457523935665,0.00317008031580822,0.0045755205191946,-0.000576147108498452,0.0119391907033318,0.0062732743172376,0.00025388705406904,0.000359132329084992,-0.000691112335926053,-0.000696544080937884,0.00106268193599553,NA,0.000246488431076588,0.00144751169214666,0.00191043209202021,-0.000213098306646383,0.00440438286895636,0.00426225727307513,0.0041915189179648,0.00347356914874559,0.0043220184006771,0.00450775913103943,0.00444011016972006,0.00362553325282955,0.00461126401150378,0.00383383399994044,0.00374212495168204,0.00236450144987216,0.00417391611703416,0.00440774314959579,0.00426547898381333,0.00313719037562037,0.00371786907887509,0.00372181298849527,0.0034259695788453,0.00259408803110213,0.00541937468360457,NA,NA,NA,0.00196180905106222,0.00273991092273643,0.00251304770057797,0.00109751159765306,0.00244954524734564,0.00369898479829826,0.0040837962887693,0.00364622520052622,0.00158165022006437,0.00280482917483303,0.00326228235262801,0.0033615625844602
"asc_rutaEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b_time",-0.419546592174764,-0.51957243612698,NA,1,-0.693747924006358,0.0447705022899033,-0.387539549887892,0.0231317328390886,0.0182683207632133,NA,0.0123152561547907,0.015232937212617,-0.100437301157049,0.0347560707340943,-0.0518047669911062,-0.00569064595375966,0.0391296517377735,0.029568564009571,-0.00472644814807921,0.067512140146642,-0.00432813183487122,0.00369075172528518,0.012611245058152,0.00103923216586611,0.0109166839153262,0.00674838657827554,0.0134314412425038,-0.0100676124009959,-0.00499590569714018,0.00141961633426351,-0.00131152478594374,0.000816213603963183,0.000431023416108717,-0.00199233969875594,NA,0.00121222250315272,-0.000981593246624274,-0.00465931972262034,-0.00199016480817481,0.000275863632051528,0.00151835670882466,0.0013855132509199,0.00115615437086899,0.00124626397926459,0.000495016640025786,0.000161759144479968,-0.000453081819300593,0.000541310495770248,0.00115829866378704,0.000932170433598714,0.00068606235872878,0.00033222102052113,0.001079147768972,0.00113698177304579,0.000651276654728652,0.00687400664817239,0.00237211240935546,0.00169467215183526,0.00071614612024771,0.0023260027877442,NA,NA,NA,0.0010469642342866,0.00164472137851596,0.00155295907781868,0.000805517713570452,-0.000979635585453557,-0.00231750594210876,-0.00302493573681667,-0.00349046485442814,-0.000559358230667966,-0.00123562409279039,-0.00162324445128308,-0.00248907519178095
"b_dist",0.309632852711074,0.453467559623643,NA,-0.693747924006358,1,0.000808912562045062,-0.0387867631374072,-0.0363258336558061,-0.0363431425642325,NA,-0.0395995915049323,-0.0355247131517275,0.0137654187394233,-0.00771223285955069,0.0697523222332504,-0.0358770381137571,0.00233861738790454,-0.051332558233092,0.0316172715232797,-0.0440772086845841,0.0256976856399159,0.000644734029898754,0.0259308617874955,-0.00232130309453778,0.011584849328113,0.0138126779591332,0.00291138960251577,0.0241532269222618,0.0121360742263329,0.00112223472087932,-0.000120145912666125,-0.00140080219919713,-0.0018040920169193,0.0017075772062902,NA,0.00106042597090849,0.0027807109853742,0.00230287081657129,-0.00183676728410892,0.00951523277510769,0.0099098448873337,0.00973999745316901,0.00827895041247706,0.00987225518897633,0.0099387115778188,0.009658817023179,0.00768412823973369,0.0101807959150333,0.00874677390594097,0.00848326209646764,0.00546708499618462,0.00928257839723065,0.00998592708888956,0.00967841532674302,0.00701845275624008,0.0115367267567874,0.0096332244006862,0.0086575627986018,0.00632025449600117,0.0129411218897965,NA,NA,NA,0.00503449022638054,0.0070543279363149,0.00646657447859335,0.00287172372499115,0.00541056402687048,0.00773813122814934,0.00828859699304984,0.00700252968443727,0.00356667642017872,0.00615226373222694,0.00702955881352508,0.00670733337105882
"b_clima",0.00296141175394359,-0.00886268061785274,NA,0.0447705022899033,0.000808912562045062,1,-0.111293312023087,-0.897109742815477,-1.02750618060138,NA,-0.941348333957868,-0.565453646911351,1.01432882106056,0.281058245550684,0.593777393497329,0.292729529635543,-0.396921166045333,0.11093797881625,0.00853117794860498,-1.26208485333993,0.744267185992403,0.127239427278721,0.715314107359658,0.0271061032003041,0.39204611955149,0.42917559070505,0.177875082683251,0.607249235334626,0.416394809411966,0.0479575021845458,-0.0323261686353287,-0.0203681147620174,-0.064526423432466,0.0380800449218335,NA,0.0536384454081021,0.0753132163466722,0.0213554443771655,-0.0744244870642854,0.359634978082689,0.375275967517259,0.36505328858,0.294303182586894,0.380817957358222,0.36100037335631,0.345434303773639,0.261644753727351,0.37404585455605,0.341867641931933,0.328707234108131,0.211416190653235,0.351544381051867,0.379141012024655,0.364221827777981,0.257081705343641,0.384147557542529,0.299259874088706,0.26539446233861,0.190069119365902,0.39826421705738,NA,NA,NA,0.145158784561281,0.215438230613011,0.201563917342858,0.0921372724073782,0.146649738843574,0.201248997232177,0.21013695773205,0.168103310598796,0.0980970413364881,0.169780703851359,0.194607580489617,0.173882130182108
"b_cong",0.0827680839980949,0.0861312281552408,NA,-0.387539549887892,-0.0387867631374072,-0.111293312023087,1,0.0424990538689456,0.0613545436432771,NA,0.087727448147832,0.0479182770020924,0.158286054421713,-0.0604267920074718,-0.049559516753816,0.0825330172080699,-0.0620125233552367,0.0347704474624303,-0.038973188906668,-0.0296573145779595,-0.072709029075461,-0.0184885202666666,-0.125804128514738,0.000233394943338055,-0.075052059197638,-0.0695279959759808,-0.0526307942551011,-0.0501595235363926,-0.0322479137102447,-0.00832814907802846,0.00275449980355529,0.00126838219742879,0.00402309775446725,-0.000782260785839187,NA,-0.00785238495427679,-0.00594200877321278,0.00603969549008175,0.011455417805673,-0.0371808773540046,-0.041380906635498,-0.0402096483588462,-0.0332614874413123,-0.0407543205566201,-0.0388458884421183,-0.0368210250647134,-0.0274500677325865,-0.0396868717483288,-0.0367037423554682,-0.0349642573530058,-0.0227641868166662,-0.0359218996186558,-0.0406620246892919,-0.0396240838522149,-0.0282460436499969,-0.0617618475301002,-0.0416281440429276,-0.0362583323533006,-0.0251383027949898,-0.054366266262545,NA,NA,NA,-0.0205869901951521,-0.0295411714898427,-0.0272537454569557,-0.0124567292828162,-0.0151573152111751,-0.0190071247757735,-0.0187904436279833,-0.013172878972331,-0.0101650440976843,-0.0169195173937713,-0.0188462777311637,-0.0153969858575757
"b_Hvalle",-0.0224176984225516,-0.0190890693130365,NA,0.0231317328390886,-0.0363258336558061,-0.897109742815477,0.0424990538689456,1,0.641470315221297,NA,0.318858555609753,0.253457433914499,-0.546249120976674,-0.159255466737373,-0.386847676862282,-0.204746280350334,-0.0596990710755577,-0.172281693280887,-0.0588115041719636,0.866760501178083,-0.19367379918418,-0.0948951644344109,-0.291840727906696,-0.0244437237865298,-0.122256532344267,-0.220615691397388,-0.0587552500955632,-0.289099352428141,-0.218155823868657,-0.0283757340523501,0.0149443740761803,0.000601122426192434,0.0169756808122857,-0.00642956229941282,NA,-0.0291594094763866,-0.033201353136068,-0.0278166261941617,-0.0182547509087104,-0.124303317329893,-0.132808808951862,-0.130575205953842,-0.10749759462379,-0.136364227766976,-0.122072903780798,-0.115959492193471,-0.0857000725128278,-0.131428744978141,-0.120763733704982,-0.116001921619466,-0.0756038794817938,-0.123572615498624,-0.132665209848764,-0.126667928532153,-0.0892735000840438,-0.168184773255011,-0.117728483950332,-0.103810357918643,-0.0735882564186278,-0.183651697795398,NA,NA,NA,-0.0571351410242851,-0.0865446714700081,-0.0816000316397468,-0.0379052352931041,-0.0446834495869679,-0.0661052046557013,-0.0721615549849879,-0.0635120614589093,-0.026202204343318,-0.0498741862161483,-0.0607316529935021,-0.0701828400965888
"b_T_prof",-0.0233648935888438,-0.0201469654590365,NA,0.0182683207632133,-0.0363431425642325,-1.02750618060138,0.0613545436432771,0.641470315221297,1,NA,0.435594061135931,0.223370025502762,0.107282570348299,-0.36341111674959,-0.416059416121681,-0.204119528008915,-0.00567622688236186,-0.0675005582540217,-0.052665800309303,0.522848746656139,-0.367614364348103,-0.123104063695315,-0.269416203027325,-0.0290034047200094,-0.0716549617550226,-0.167892834491755,0.0251673100094317,-0.287911689502099,-0.157321046937436,-0.0314496397742694,0.0195290923323121,0.00582295164270004,0.0265327508605107,-0.00545653982302357,NA,-0.0334613478922455,-0.0478146886768898,-0.0103909754414613,0.0174468412204909,-0.212485845133885,-0.21988435376972,-0.213103579388121,-0.16688569472542,-0.22497694931956,-0.209439296533597,-0.199047151002018,-0.147209355991896,-0.219747960804286,-0.201382661577287,-0.193154888690023,-0.121017549619171,-0.201443107071889,-0.222538476845931,-0.214786978192422,-0.151641237441378,-0.13410770264004,-0.0939432078975018,-0.08090132926164,-0.0554876306547896,-0.141759830195156,NA,NA,NA,-0.0507369717554261,-0.0830057541292123,-0.0799749519391708,-0.0378983562210143,-0.0712592943603679,-0.0976713248270259,-0.101549982360495,-0.0811929155311926,-0.0454708407163467,-0.0796342627411277,-0.0921023500488791,-0.0892279212223785
"b_Hor_trab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
