"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",0.320049310676099,0.402545670718382,0.795063352948103,0.426576650795943,0.370452936298364,0.863940542283434,0.387620553840848
"asc_ruta2",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",0.196693041137034,0.571258526515152,0.344315282849117,0.730609192118946,0.559432777733789,0.351593701630819,0.725142989360727
"b_tt",0.449509739889936,0.11304767513628,3.97628469004822,7.00003184828102e-05,0.116914329118634,3.84477885027945,0.000120661206452821
"b_dt",-0.322274041826253,0.287034625952425,-1.1227706091448,0.261534930892736,0.275016877359047,-1.17183368861217,0.24126383430423
"b_Sem",0.156313382295918,0.138916727409357,1.12523081425102,0.260491238673525,0.120595967849296,1.29617420120759,0.194915475638126
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.397704991463811,0.302286316329016,-1.31565661421121,0.188289322345972,0.304081035096712,-1.30789146826379,0.190910123729281
"b_ACC_2",-2.31644874209707,1.1022684641469,-2.10152863612032,0.0355945869532834,0.792716527676673,-2.92216531536968,0.00347606984994697
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.636765109773501,0.30651493898734,-2.07743580745929,0.0377613541910631,0.321026774032996,-1.9835264883796,0.0473086513182663
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.208402629511949,0.236629270587577,-0.880713653870725,0.378472824714327,0.229084979106982,-0.90971756561405,0.362971478064871
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.557370565680466,0.246851507454379,2.25791841997754,0.0239507460018185,0.235581762542989,2.36593257331945,0.0179847195234586
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",-0.1287269816352,0.299647966450911,-0.429594043837065,0.667490970513797,0.307596141274107,-0.41849348662826,0.675586347731846
"b_No_Info",-0.364204716978958,0.322006288429293,-1.13104846105802,0.258034694973102,0.328622420870182,-1.10827714072143,0.26774214463771
"b_Si_Info",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_P",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_F",0.000158235767208545,0.328925018217797,0.000481069418391789,0.999616162153196,0.333330176113507,0.000474711797934135,0.999621234799823
