"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.675343429837883,-0.171178127478797,-0.484786313340234,-0.516768735950733,0.0161822576378519,-0.00935350175219018,0.145548367025418,0.287589939923385,0.441353327746087,0.313910061853452,-0.0787593178030945,0.0255100465810838
"asc_ruta4",0.675343429837883,1,-0.272062116962091,-0.212039402845328,-0.455254191123214,0.119931140267004,0.000601853348998257,0.132408353600427,0.20757616079463,0.285160689849244,0.201799647051154,-0.494057493052907,-0.443448536655455
"b_tt",-0.171178127478798,-0.272062116962093,1,-0.0029769392065199,-0.00270396230707818,-0.00565150945729802,0.146665445254806,-0.156842207595181,0.102423467663179,0.00453192584613554,-0.00536302875878617,0.00211561301562637,-0.0758196571086353
"b_dt",-0.484786313340234,-0.212039402845327,-0.00297693920652007,1,0.228831190863279,-0.0998797509430143,0.0834228956023588,-0.110792447224705,0.044952187949837,-0.0699293859279705,-0.20542395371894,0.00961186951642281,-0.000980216144117289
"b_Sem",-0.516768735950735,-0.455254191123215,-0.00270396230707768,0.228831190863279,1,-0.174452280205159,-0.0110884822268512,-0.123093577771269,0.0607101178468405,-0.0309567510658415,-0.0955361035993395,0.0947744978031351,0.033924461933406
"b_ACC_1",0.016182257637852,0.119931140267004,-0.00565150945729798,-0.0998797509430144,-0.174452280205159,1,-0.00441548140121483,-0.0499224539518595,-0.0603220932555284,-0.0455876146497375,0.0536754035783973,-0.125245700686327,-0.125515792234309
"b_ACC_2",-0.00935350175219009,0.000601853348998384,0.146665445254806,0.0834228956023587,-0.0110884822268513,-0.00441548140121476,1,0.0281657855219267,0.0402571488718222,-0.0303660477662916,-0.0115068215801714,-0.0186438648994508,0.0174726169029252
"b_SI_CAMFD",0.145548367025418,0.132408353600427,-0.156842207595181,-0.110792447224705,-0.123093577771269,-0.0499224539518595,0.0281657855219267,1,-0.040882663554355,-0.130605392451095,0.101523598117597,0.0276307128765437,0.0904513920835319
"b_SI_PANEL",0.287589939923385,0.207576160794629,0.102423467663179,0.0449521879498367,0.0607101178468405,-0.0603220932555284,0.0402571488718222,-0.040882663554355,1,-0.00332275741469344,-0.0500870523891152,0.1595425334712,-0.151375954506104
"b_SI_ZER",0.441353327746088,0.285160689849245,0.00453192584613564,-0.0699293859279709,-0.0309567510658412,-0.0455876146497374,-0.0303660477662918,-0.130605392451095,-0.00332275741469322,1,-0.0507185056551296,-0.0823119377236667,0.102537573204163
"b_Si_MTRP",0.313910061853452,0.201799647051154,-0.00536302875878611,-0.20542395371894,-0.0955361035993392,0.0536754035783973,-0.0115068215801715,0.101523598117597,-0.0500870523891151,-0.0507185056551297,1,-0.097861440612585,0.0319333673140155
"b_No_Info",-0.0787593178030948,-0.494057493052909,0.00211561301562635,0.00961186951642304,0.0947744978031348,-0.125245700686327,-0.0186438648994506,0.0276307128765436,0.1595425334712,-0.0823119377236664,-0.097861440612585,1,-0.0302016880799431
"b_UsoCel_F",0.0255100465810858,-0.443448536655453,-0.0758196571086373,-0.000980216144117773,0.0339244619334042,-0.125515792234309,0.0174726169029251,0.0904513920835321,-0.151375954506104,0.102537573204165,0.0319333673140161,-0.030201688079945,1
