"","asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.13723537801208,0.139960546348615,-0.00741393978939407,-0.0493904221584645,-0.0230867106629244,0.0018228943031452,-0.00274678828497025,0.0173093848243615,0.0244063786818302,0.0385177680549203,0.035770018188677,-0.00958809167499816,0.00315006071710512
"asc_ruta4",0.139960546348615,0.312965032802943,-0.0177944153515137,-0.0326229948563397,-0.0307138775510896,0.0204018338456946,0.000266904873082545,0.0237796001972891,0.0266024721744454,0.0375819432061015,0.0347255548661405,-0.0908285935907771,-0.0826924323057361
"b_tt",-0.0074139397893941,-0.0177944153515139,0.0136689603532604,-9.57187579048947e-05,-3.81242371631302e-05,-0.000200919244086375,0.0135929418817824,-0.00588670053275089,0.00274324016614299,0.000124822306609129,-0.000192867366645831,8.12832692447416e-05,-0.00295477346141385
"b_dt",-0.0493904221584645,-0.0326229948563397,-9.57187579049001e-05,0.0756342828323211,0.00758939845708022,-0.00835268555563975,0.0181870608476299,-0.00978161931073612,0.00283208833612484,-0.00453065223647454,-0.0173776606996085,0.000868689163239259,-8.98578099200489e-05
"b_Sem",-0.0230867106629245,-0.0307138775510897,-3.81242371631231e-05,0.00758939845708024,0.0145433874615085,-0.00639733027469743,-0.00106004134654778,-0.00476551056582181,0.00167722171682112,-0.00087948781917663,-0.00354389784948901,0.00375596442208744,0.00136370485687152
"b_ACC_1",0.00182289430314521,0.0204018338456946,-0.000200919244086374,-0.00835268555563975,-0.00639733027469742,0.0924652759054876,-0.00106435206673338,-0.00487333778503614,-0.00420206099855294,-0.00326571191061636,0.00502048341226948,-0.0125155330770934,-0.0127222035063434
"b_ACC_2",-0.00274678828497023,0.000266904873082602,0.0135929418817824,0.0181870608476299,-0.00106004134654779,-0.00106435206673336,0.628399493251762,0.00716772006391632,0.00731067606070312,-0.00567084596172871,-0.00280578361847256,-0.00485680929401609,0.00461690033678182
"b_SI_CAMFD",0.0173093848243615,0.0237796001972891,-0.00588670053275088,-0.00978161931073611,-0.0047655105658218,-0.00487333778503613,0.00716772006391633,0.103058189646032,-0.00300660967949999,-0.00987743157505247,0.0100251098230366,0.00291494614377143,0.00967901452525861
"b_SI_PANEL",0.0244063786818302,0.0266024721744453,0.002743240166143,0.00283208833612482,0.00167722171682112,-0.00420206099855294,0.00731067606070313,-0.00300660967949999,0.0524799276524464,-0.000179323380085128,-0.00352941698352866,0.0120107544612135,-0.0115592096391755
"b_SI_ZER",0.0385177680549203,0.0375819432061017,0.000124822306609132,-0.00453065223647457,-0.000879487819176621,-0.00326571191061636,-0.00567084596172874,-0.00987743157505245,-0.000179323380085117,0.0554987668428613,-0.00367526787897189,-0.00637238025066928,0.00805191780835982
"b_Si_MTRP",0.0357700181886771,0.0347255548661406,-0.000192867366645828,-0.0173776606996085,-0.003543897849489,0.00502048341226948,-0.00280578361847258,0.0100251098230366,-0.00352941698352865,-0.0036752678789719,0.0946153861267204,-0.00989212688541278,0.00327416250918052
"b_No_Info",-0.0095880916749982,-0.0908285935907774,8.12832692447409e-05,0.00086868916323928,0.00375596442208742,-0.0125155330770934,-0.00485680929401604,0.00291494614377142,0.0120107544612135,-0.00637238025066926,-0.00989212688541278,0.107992695498579,-0.00330828594847758
"b_UsoCel_F",0.00315006071710538,-0.0826924323057357,-0.00295477346141393,-8.98578099200933e-05,0.00136370485687145,-0.0127222035063434,0.00461690033678181,0.00967901452525863,-0.0115592096391755,0.00805191780835995,0.00327416250918058,-0.00330828594847778,0.111109006307861
