"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.842850809899726,0.606738422427136,0.23543722979359,0.56286931104077,0.256551757813754,-0.0492461869242809,0.000462745252233785,-0.0994101512935022,0.0333650600909837,-0.0354704509262056,-0.0380966962243585,0.0228844810868083,0.0214165081624826
"asc_ruta2",0.842850809899726,1,0.594615427990804,0.107041201423946,0.495397020315359,0.16564499899622,0.00764588975300029,0.000188857265895764,-0.0551944287878095,0.0472950063428449,-0.020011979054681,0.010434558035155,0.0118816529867904,0.00331662064198286
"asc_ruta4",0.606738422427136,0.594615427990804,1,-0.0630755762914045,0.483579067047071,0.101594151118595,0.00536787110853835,0.000220389840014076,-0.0830968725791585,0.0513752997076574,-0.0201588369896482,-0.0115200216762269,-0.465121084407982,-0.52284401178017
"b_tt",0.23543722979359,0.107041201423946,-0.0630755762914045,1,-0.108049813916593,-0.00440805813295631,-0.0783876144197171,0.000650776649515461,-0.0751727889001777,0.00245236132149116,-0.0610939230156682,-0.0952504814408018,0.013196481275775,0.0968051004324034
"b_dt",0.56286931104077,0.495397020315359,0.483579067047071,-0.108049813916593,1,0.27663334981609,-0.0229098930822636,0.000201870622352396,-0.106621277968979,0.0501956770085036,-0.101252915752371,-0.115840428727854,0.017244225801756,-0.0368170017006627
"b_Sem",0.256551757813754,0.16564499899622,0.101594151118595,-0.00440805813295631,0.27663334981609,1,-0.0523062356553204,0.000314018452531241,-0.0458779535263504,-0.0253826157626842,-0.0517628320537401,-0.128197395563118,0.0340318205065707,0.000442803970015066
"b_ACC_1",-0.0492461869242809,0.00764588975300029,0.00536787110853835,-0.0783876144197171,-0.0229098930822636,-0.0523062356553204,1,0.00021691086552533,-0.0252600289431125,-0.0120389360283004,0.0231559734923126,0.0382539714032984,-0.00313519288311815,-0.036409296317836
"b_ACC_2",0.000462745252233785,0.000188857265895764,0.000220389840014076,0.000650776649515461,0.000201870622352396,0.000314018452531241,0.00021691086552533,1,-0.000288573124977106,-0.000147691619796611,-0.000853751375788924,-0.00062890248260691,1.34048529649323e-05,0.000147124181503004
"b_SI_CAMFD",-0.0994101512935022,-0.0551944287878095,-0.0830968725791585,-0.0751727889001777,-0.106621277968979,-0.0458779535263504,-0.0252600289431125,-0.000288573124977106,1,-0.126842699963569,0.0649031412819199,0.0966682615985491,0.0444933209086859,0.0587160956273607
"b_SI_PANEL",0.0333650600909837,0.0472950063428449,0.0513752997076574,0.00245236132149116,0.0501956770085036,-0.0253826157626842,-0.0120389360283004,-0.000147691619796611,-0.126842699963569,1,0.00189683307742651,-0.0299523764322637,0.0572062628809568,-0.0149955986012959
"b_SI_ZER",-0.0354704509262056,-0.020011979054681,-0.0201588369896482,-0.0610939230156682,-0.101252915752371,-0.0517628320537401,0.0231559734923126,-0.000853751375788924,0.0649031412819199,0.00189683307742651,1,0.0415234191575326,-0.0357538934316351,0.0594321070387015
"b_Si_MTRP",-0.0380966962243585,0.010434558035155,-0.0115200216762269,-0.0952504814408018,-0.115840428727854,-0.128197395563118,0.0382539714032984,-0.00062890248260691,0.0966682615985491,-0.0299523764322637,0.0415234191575326,1,-0.0578341710284672,0.0179177597787744
"b_No_Info",0.0228844810868083,0.0118816529867904,-0.465121084407982,0.013196481275775,0.017244225801756,0.0340318205065707,-0.00313519288311815,1.34048529649323e-05,0.0444933209086859,0.0572062628809568,-0.0357538934316351,-0.0578341710284672,1,0.00131245650241087
"b_UsoCel_F",0.0214165081624826,0.00331662064198286,-0.52284401178017,0.0968051004324034,-0.0368170017006627,0.000442803970015066,-0.036409296317836,0.000147124181503004,0.0587160956273607,-0.0149955986012959,0.0594321070387015,0.0179177597787744,0.00131245650241087,1
