"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",1.62837790368946,0.373054687823435,4.36498442946833,1.27131813862924e-05,0.39763182576785,4.09519006821189,4.21822183058751e-05
"asc_ruta2",0.705264657203243,0.362065196705913,1.94789409095317,0.0514276369974986,0.365460328915316,1.92979812418071,0.0536318560203932
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",1.51755554649564,0.529465596598671,2.86620236752782,0.00415428591270728,0.556051914737534,2.72916162371629,0.00634955754334698
"b_tt",0.302906356980355,0.0997298177321743,3.03726973405099,0.00238731724122188,0.108054231858094,2.80328083196368,0.0050585600536821
"b_dt",-0.488286368077681,0.224891601104536,-2.1712076648461,0.0299154782251125,0.213593164485015,-2.28605802650551,0.0222508641007841
"b_Sem",0.295322665334405,0.160658077415828,1.83820614614992,0.066032034480684,0.132339246431217,2.23155770716813,0.0256442095067761
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.512280367690168,0.311018823270847,-1.6471040636793,0.0995366580168051,0.322810456564479,-1.58693858043549,0.11252655592292
"b_ACC_2",-11.9671818583415,127.163065427911,-0.0941089444334432,0.925022615287185,0.313734323707086,-38.1443181509032,0
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.319535634485105,0.28979473097577,-1.10262748190484,0.270188970683653,0.280904065627746,-1.13752584452997,0.255318526820797
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.272929320686952,0.212685752399149,-1.28325154651048,0.199403962143327,0.188952728583769,-1.44443175143646,0.148617564647934
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.267454177357741,0.260724234655716,1.02581249384397,0.304979975804239,0.246775098796807,1.08379726585769,0.278454697766782
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.384369558023168,0.362589017351547,1.06006949915558,0.289112982597696,0.331460704713015,1.15962330544118,0.246202208080921
"b_No_Info",-0.328439810629985,0.32317314198225,-1.01629673993151,0.309488100578795,0.333828003606829,-0.9838593739332,0.325184661251323
"b_Si_Info",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_P",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_F",0.0415345421898043,0.338661873489672,0.122643100511493,0.902389722781235,0.345613273203048,0.120176351460329,0.904343450790195
