"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.844666654756598,0.63596267498065,0.4743451193038,0.486484713394299,0.173083057304913,-0.102672313321353,0.326530780626973,-0.105497699249837,-0.0547590576919812,-0.0149593379211198,0.00332864566064782,0.00952048890805427,-0.0296276423113999
"asc_ruta2",0.844666654756599,1,0.620258644507317,0.316024815977564,0.399336918419331,0.123334996251226,-0.0105440195417685,0.209371634678186,-0.0331971378693021,-0.0702348495012058,-0.042963874743187,0.0994594335434943,0.00744235589795654,-0.0668660951002436
"asc_ruta4",0.635962674980651,0.620258644507318,1,0.106870265941172,0.473949478495986,0.0367069949443357,-0.066469088012228,0.209520860713811,-0.0764666877921816,0.0585310966729114,-0.0326641961328249,-0.021739439092927,-0.45769911121662,-0.504955194531313
"b_tt",0.474345119303801,0.316024815977564,0.106870265941172,1,-0.111669849091594,-0.0623272999548945,0.0274270748281508,0.375412176395891,-0.180457794608055,-0.045360935246304,-0.0464614035835559,-0.0687807866867833,0.0936640061322121,-0.00591861487955749
"b_dt",0.486484713394298,0.39933691841933,0.473949478495985,-0.111669849091594,1,0.226516618788112,-0.173232411656165,0.0284606436814677,-0.0494858900004499,0.0407550103103276,-0.020856385238794,-0.119215349717962,-0.00528342603316589,0.00151235299790008
"b_Sem",0.173083057304913,0.123334996251226,0.0367069949443355,-0.0623272999548945,0.226516618788112,1,-0.0988798072983769,0.0900612235472394,0.0175028930589549,-0.106110237976255,-0.0964902239992861,-0.127654980927892,0.0355940324801142,0.0267525430475937
"b_ACC_1",-0.102672313321353,-0.0105440195417684,-0.0664690880122279,0.0274270748281507,-0.173232411656165,-0.098879807298377,1,0.14567335120675,-0.118143406465729,-0.0862817031871255,-0.0215934901230449,0.0562978511988129,-0.0645109495342076,0.0116379159437149
"b_ACC_2",0.326530780626973,0.209371634678186,0.209520860713811,0.375412176395891,0.0284606436814677,0.0900612235472394,0.14567335120675,1,-0.172006113417246,-0.063855116635997,-0.236114966850427,-0.242069632856416,-0.0360758874798276,0.00441022475477552
"b_SI_CAMFD",-0.105497699249837,-0.033197137869302,-0.0764666877921814,-0.180457794608055,-0.04948589000045,0.0175028930589549,-0.118143406465729,-0.172006113417246,1,-0.0973161985655887,0.00766501028179453,0.10239206136185,-0.00705405322799591,0.146915291536484
"b_SI_PANEL",-0.0547590576919813,-0.070234849501206,0.0585310966729112,-0.045360935246304,0.0407550103103276,-0.106110237976255,-0.0862817031871255,-0.063855116635997,-0.0973161985655886,1,-0.0646651758235482,-0.0441116037783939,0.0508171641567278,-0.130659852129248
"b_SI_ZER",-0.0149593379211197,-0.042963874743187,-0.0326641961328249,-0.0464614035835559,-0.0208563852387939,-0.0964902239992861,-0.0215934901230449,-0.236114966850427,0.00766501028179453,-0.0646651758235482,1,-0.0947147099548044,-0.0417693910889127,0.151407937948473
"b_Si_MTRP",0.00332864566064777,0.0994594335434942,-0.021739439092927,-0.0687807866867833,-0.119215349717962,-0.127654980927892,0.0562978511988129,-0.242069632856416,0.10239206136185,-0.0441116037783939,-0.0947147099548043,1,-0.0836120456911077,0.0643366447056879
"b_No_Info",0.00952048890805408,0.00744235589795641,-0.457699111216617,0.0936640061322122,-0.00528342603316609,0.0355940324801139,-0.0645109495342075,-0.0360758874798274,-0.00705405322799606,0.0508171641567279,-0.0417693910889127,-0.0836120456911076,1,-0.051233042301757
"b_UsoCel_F",-0.0296276423113989,-0.0668660951002429,-0.504955194531311,-0.00591861487955755,0.00151235299790055,0.0267525430475941,0.011637915943715,0.00441022475477563,0.146915291536484,-0.130659852129247,0.151407937948473,0.0643366447056878,-0.0512330423017573,1
