"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.158111068863474,0.122745824584941,0.140613851909346,0.0203806182364501,0.0413178472298832,0.00910802790509822,-0.0131789884882888,0.0407349604153221,-0.0117837128432613,-0.00411424614734267,-0.00146789450409641,0.000438713251854473,0.00126375577712155,-0.00407163316568504
"asc_ruta2",0.122745824584941,0.133561252010891,0.1260458081272,0.0124796730679315,0.0311721712244684,0.00596506558519517,-0.00124392454386684,0.0240060175532198,-0.00340799467732477,-0.00485004831167324,-0.00387476186650825,0.012048091899955,0.000907974058126912,-0.00844571876154169
"asc_ruta4",0.140613851909346,0.126045808127201,0.309193731883278,0.00642116767927859,0.0562904525702593,0.00270117567379508,-0.0119311595868465,0.0365514529168621,-0.011943885856527,0.00614971755215327,-0.00448217335631047,-0.00400678209545282,-0.0849607181829351,-0.0970417451065606
"b_tt",0.0203806182364501,0.0124796730679315,0.00642116767927859,0.0116757170224427,-0.00257730050981199,-0.000891268897310565,0.000956684782256741,0.0127265934206589,-0.00547741252831534,-0.000926140653664054,-0.00123889768194944,-0.00246343421164292,0.0033786038668524,-0.000221030535104299
"b_dt",0.0413178472298831,0.0311721712244683,0.0562904525702592,-0.00257730050981199,0.0456220399147227,0.00640289054384651,-0.0119443933102857,0.00190719062351749,-0.00296911323203993,0.00164483191904944,-0.00109932910107005,-0.00844017743134661,-0.000376726132475674,0.000111642855188062
"b_Sem",0.00910802790509822,0.00596506558519516,0.00270117567379506,-0.000891268897310564,0.00640289054384651,0.0175136761459824,-0.00422419407220849,0.00373928472085221,0.000650663614784277,-0.00265337793705083,-0.00315118068920061,-0.0055996189137972,0.00157249261673039,0.00122361316795929
"b_ACC_1",-0.0131789884882888,-0.00124392454386683,-0.0119311595868465,0.00095668478225674,-0.0119443933102857,-0.00422419407220849,0.104206590867368,0.0147533192418091,-0.010713098743657,-0.00526283157026096,-0.00172017159082608,0.00602381273449735,-0.0069519044381813,0.00129841410082955
"b_ACC_2",0.0407349604153221,0.0240060175532198,0.036551452916862,0.0127265934206589,0.00190719062351749,0.00373928472085221,0.0147533192418091,0.0984292258719427,-0.015158769264541,-0.0037853923925484,-0.0182804501626422,-0.0251729663694444,-0.00377834685247331,0.000478203962536646
"b_SI_CAMFD",-0.0117837128432613,-0.00340799467732476,-0.0119438858565269,-0.00547741252831534,-0.00296911323203994,0.000650663614784276,-0.010713098743657,-0.015158769264541,0.0789070940861971,-0.00516530925577051,0.000531339498053529,0.00953358758193488,-0.000661484272163387,0.014263149664739
"b_SI_PANEL",-0.00411424614734267,-0.00485004831167325,0.00614971755215324,-0.000926140653664054,0.00164483191904943,-0.00265337793705084,-0.00526283157026096,-0.0037853923925484,-0.00516530925577051,0.0357031336392514,-0.0030152613781496,-0.00276272759104099,0.003205430453424,-0.00853268559107108
"b_SI_ZER",-0.00146789450409641,-0.00387476186650824,-0.00448217335631047,-0.00123889768194944,-0.00109932910107004,-0.00315118068920061,-0.00172017159082608,-0.0182804501626422,0.000531339498053529,-0.0030152613781496,0.0608979493861737,-0.00774730791918492,-0.00344098075675727,0.0129133937132217
"b_Si_MTRP",0.000438713251854467,0.012048091899955,-0.00400678209545282,-0.00246343421164291,-0.00844017743134661,-0.0055996189137972,0.00602381273449735,-0.0251729663694444,0.00953358758193487,-0.00276272759104099,-0.00774730791918491,0.109866198768848,-0.00925174520760367,0.0073702271033258
"b_No_Info",0.00126375577712152,0.000907974058126897,-0.0849607181829347,0.0033786038668524,-0.000376726132475688,0.00157249261673038,-0.00695190443818129,-0.00377834685247329,-0.000661484272163401,0.00320543045342401,-0.00344098075675727,-0.00925174520760366,0.111441135992121,-0.00591103218590496
"b_UsoCel_F",-0.00407163316568491,-0.0084457187615416,-0.0970417451065602,-0.000221030535104301,0.000111642855188097,0.0012236131679593,0.00129841410082956,0.000478203962536657,0.014263149664739,-0.00853268559107106,0.0129133937132217,0.00737022710332579,-0.00591103218590498,0.119448534614125
