"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.138899661455403,0.115223981702223,0.119124823103303,0.00633017643217988,0.0447350958841859,0.0130020235050429,-0.00848692011032656,0.00835107799790437,-0.00458677686096109,0.00332788687603582,-0.00399849856092594,-0.00391163880132653,0.0020166517097492,0.00278891398919175
"asc_ruta2",0.115223981702223,0.134052197564986,0.113872457991253,0.00206646388100916,0.0374865323523855,0.00916920126148646,-0.00317298061159319,0.0116621630375065,-0.00143508467870733,0.00248043958409992,-0.00289354416693297,0.00270947958497199,0.00111081713692746,0.0015682434865746
"asc_ruta4",0.119124823103303,0.113872457991253,0.331468323298103,-0.00233551141391501,0.0484318490868124,0.00758643083634385,0.00169479244871371,0.0068965824632989,0.0751873092209597,-0.000603324362575088,-0.00331367030762186,-0.00888508252992222,-0.0787843006449651,-0.084898188736067
"b_tt",0.00633017643217988,0.00206646388100916,-0.00233551141391501,0.00916431218617031,-0.00329274908330607,-0.00100877054245055,-0.0023285161674735,0.0032718479150839,0.00064106524834793,0.000609880727873508,-0.00178547831001654,-0.00175852831090368,-0.000602134950979763,0.00191864141348845
"b_dt",0.0447350958841859,0.0374865323523855,0.0484318490868124,-0.00329274908330607,0.0462535168907711,0.00895867153240422,-0.00365979798210771,-0.00149776756380832,-0.00466803896507986,0.00165220226713036,-0.00387806694267978,-0.00774327133085608,0.00145173395050522,-0.000205904473477793
"b_Sem",0.0130020235050429,0.00916920126148646,0.00758643083634385,-0.00100877054245055,0.00895867153240422,0.0244873495720346,-0.00353700084457405,0.00443914331247952,-0.00223899406828239,-0.00124491802607677,-0.00120733264076114,-0.00541081666264028,-0.000124738618533236,-0.000494973251556463
"b_ACC_1",-0.00848692011032656,-0.00317298061159319,0.00169479244871371,-0.0023285161674735,-0.00365979798210771,-0.00353700084457405,0.0923095241587499,0.0352046091839996,0.00476918868367072,-0.0038367547932467,-0.00157470665335779,0.00440136512563802,-0.00266182324770929,-0.00380196263236932
"b_ACC_2",0.00835107799790437,0.0116621630375065,0.0068965824632989,0.0032718479150839,-0.00149776756380832,0.00443914331247952,0.0352046091839996,1.29801517083872,-0.0053878266377692,0.00786448151572607,-0.00651571085592015,-0.0126923327288395,-0.00485861694246862,0.00244503276972136
"b_SI_CAMFD",-0.00458677686096109,-0.00143508467870733,0.0751873092209597,0.00064106524834793,-0.00466803896507986,-0.00223899406828239,0.00476918868367072,-0.0053878266377692,0.0892468038551077,-0.00310523919240176,-0.000513287017748076,-0.00471465139081178,-0.0050931499447002,-0.00111825460161005
"b_SI_PANEL",0.00332788687603582,0.00248043958409992,-0.000603324362575088,0.000609880727873508,0.00165220226713036,-0.00124491802607677,-0.0038367547932467,0.00786448151572607,-0.00310523919240176,0.0430635334780152,0.00119822469386924,-0.0041205793018708,0.00661857910361903,0.00123829575125892
"b_SI_ZER",-0.00399849856092594,-0.00289354416693297,-0.00331367030762186,-0.00178547831001654,-0.00387806694267978,-0.00120733264076114,-0.00157470665335779,-0.00651571085592015,-0.000513287017748076,0.00119822469386924,0.0627663377456502,-0.00351995099169425,-0.0016852045888897,0.00351467009983766
"b_Si_MTRP",-0.00391163880132653,0.00270947958497199,-0.00888508252992222,-0.00175852831090368,-0.00774327133085608,-0.00541081666264028,0.00440136512563802,-0.0126923327288395,-0.00471465139081178,-0.0041205793018708,-0.00351995099169425,0.111208059169752,-0.00295255672455338,5.23625667284924e-05
"b_No_Info",0.0020166517097492,0.00111081713692746,-0.0787843006449651,-0.000602134950979763,0.00145173395050522,-0.000124738618533236,-0.00266182324770929,-0.00485861694246862,-0.0050931499447002,0.00661857910361903,-0.0016852045888897,-0.00295255672455338,0.0973708841359946,0.000939202411211616
"b_UsoCel_F",0.00278891398919175,0.0015682434865746,-0.084898188736067,0.00191864141348845,-0.000205904473477793,-0.000494973251556463,-0.00380196263236932,0.00244503276972136,-0.00111825460161005,0.00123829575125892,0.00351467009983766,5.23625667284924e-05,0.000939202411211616,0.104232913649197
