"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.843212346112847,0.556639625373352,0.408154575297824,0.500568569684333,0.120547148035943,-0.123164137901947,0.116342611418482,-0.0455617360280189,0.00376567099034968,0.04880412068273,-0.00457273612298955,0.0413537984313098,0.0355904848378073
"asc_ruta2",0.843212346112849,1,0.534264999928829,0.276839726178778,0.379267991180912,0.0756789802070752,-0.0240604081855985,0.0907607274263341,-0.00821646904644298,-0.0638656471120492,0.0180759321316519,0.0915155582258206,0.071755543631719,-0.0183402532854297
"asc_ruta4",0.556639625373353,0.534264999928829,1,0.0485018482957174,0.444228334278659,0.020382333140575,-0.0632782052968379,0.0167811405947957,0.408142208648033,0.0385726184344086,0.00354680619873844,-0.0531452815932952,-0.437827346980496,-0.368620944981896
"b_tt",0.408154575297824,0.276839726178778,0.0485018482957177,1,-0.10154739189668,-0.175428572419273,-0.0632887457746098,0.137561809942806,-0.0504393373341952,-0.0244876021916921,0.0354770907326975,-0.0491739924449697,0.0976145923386942,0.00779271891847933
"b_dt",0.500568569684333,0.379267991180912,0.444228334278658,-0.10154739189668,1,0.211031151493629,-0.169412415763326,0.0426545278591239,-0.0402789686069878,0.1163342524929,-0.058666934449196,-0.168807984133124,-0.0424010512827125,0.00144196751894103
"b_Sem",0.120547148035944,0.0756789802070754,0.0203823331405754,-0.175428572419274,0.211031151493629,1,-0.0761295189006839,-0.056184820210286,-0.0325731834051256,-0.0868588460338976,-0.00677894279336286,-0.0125531734393921,-0.0379555638259058,0.0571986064688118
"b_ACC_1",-0.123164137901947,-0.0240604081855984,-0.0632782052968376,-0.0632887457746099,-0.169412415763326,-0.0761295189006839,1,0.0708816474074345,-0.00655926775037388,-0.125075456855164,-0.0718262356887163,0.0938555690221502,-0.0863545232440299,0.0127650068294901
"b_ACC_2",0.116342611418482,0.0907607274263341,0.0167811405947957,0.137561809942806,0.042654527859124,-0.0561848202102861,0.0708816474074345,1,-0.0869222160689878,-0.0361844445551145,0.00413057773508111,-0.0780638264955993,-0.000366787565662846,0.0782047646512947
"b_SI_CAMFD",-0.0455617360280173,-0.00821646904644227,0.408142208648036,-0.0504393373341956,-0.0402789686069865,-0.0325731834051258,-0.00655926775037391,-0.0869222160689877,1,-0.0158719537683789,0.00875194470558265,-0.0615127473913936,-0.0586113537441241,0.112860311035086
"b_SI_PANEL",0.00376567099034951,-0.0638656471120493,0.0385726184344082,-0.024487602191692,0.1163342524929,-0.0868588460338976,-0.125075456855164,-0.0361844445551145,-0.015871953768379,1,-0.156625806155769,-0.096379423405162,0.107733851344675,-0.0763678873492841
"b_SI_ZER",0.04880412068273,0.0180759321316519,0.00354680619873833,0.0354770907326975,-0.058666934449196,-0.00677894279336284,-0.0718262356887163,0.00413057773508112,0.00875194470558261,-0.156625806155769,1,-0.0858209237397076,-0.0195745238675661,0.11476362863057
"b_Si_MTRP",-0.00457273612298945,0.0915155582258207,-0.0531452815932951,-0.0491739924449697,-0.168807984133123,-0.0125531734393921,0.0938555690221502,-0.0780638264955993,-0.0615127473913936,-0.096379423405162,-0.0858209237397076,1,-0.0501694607811999,0.0203287657465635
"b_No_Info",0.0413537984313101,0.0717555436317206,-0.437827346980495,0.0976145923386944,-0.0424010512827117,-0.0379555638259053,-0.08635452324403,-0.000366787565662773,-0.0586113537441228,0.107733851344675,-0.0195745238675661,-0.0501694607811997,1,-0.0541472544305014
"b_UsoCel_F",0.0355904848378061,-0.0183402532854306,-0.368620944981899,0.00779271891847959,0.00144196751894008,0.0571986064688118,0.0127650068294903,0.0782047646512949,0.112860311035086,-0.0763678873492843,0.11476362863057,0.0203287657465637,-0.0541472544305008,1
