"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_car",0,NA,NA,NA,NA
"asc_bus",0.47465562785392,1.01867284478109,0.465954923885227,0.989610652475795,0.479638761634622
"asc_air",1.62909330208229,0.827435537658053,1.96884618552065,0.816695755357975,1.99473707484646
"asc_rail",0.944535652535437,0.803550756876131,1.17545238362713,0.794364900566142,1.18904504952607
"b_tt_car",-0.00364609334312741,0.00155450279706823,-2.34550452402138,0.00156656823738236,-2.32743984980815
"b_tt_bus",-0.0088461354009793,0.0026240874812223,-3.37112823573197,0.00261342374490663,-3.38488368685705
"b_tt_air",-0.0206852243647466,0.00659891025486229,-3.13464247365769,0.00641708748654519,-3.22345992759451
"b_tt_rail",-0.0112393620860028,0.00438598328207308,-2.56256382279014,0.0044632876540945,-2.51818008541129
"b_access",-0.011465798355716,0.00642985148771519,-1.78321355907246,0.00629027114084352,-1.82278284973554
"b_cost",-0.0339473669610131,0.00329470981390435,-10.3035984588835,0.00317674108666089,-10.6862240374445
