"","asc1","log_tt_a_mu","log_tt_b_mu","log_tt_a_sig","log_tt_b_sig","tc_a","tc_b","hw_a","hw_b","ch_a","ch_b","delta_a_mu","delta_a_sig","gamma_commute_a","gamma_car_av_a"
"asc1",1,-0.0113391467771442,0.0189060395530915,-0.019354428357809,0.0118028848604514,0.0114627201636212,-0.0214003674417121,0.0141448279601919,-0.00683229963516791,0.00758214846735168,-0.00616998135222434,NA,NA,NA,0.0393537023186101
"log_tt_a_mu",-0.0113391467771442,1,-0.226541327787185,-0.292563389455771,0.0206114662365643,-0.864119790158466,0.153871254129194,-0.326390885919064,0.0625718773238381,-0.328936234395276,0.356396873818903,NA,NA,NA,-0.0517633542495469
"log_tt_b_mu",0.0189060395530915,-0.226541327787185,1,0.0193454089394892,-0.51647445145309,0.196692532984741,-0.666651222901163,0.115798833668697,-0.220842240390164,0.139909051328388,-0.366634409934586,NA,NA,NA,0.0140100176396414
"log_tt_a_sig",-0.019354428357809,-0.292563389455771,0.0193454089394892,1,-0.13606326079853,0.145896997921713,-0.0449097537417081,-0.107451063567618,0.0178170986683941,0.0717824736708466,-0.0710203149701827,NA,NA,NA,0.054739689345031
"log_tt_b_sig",0.0118028848604514,0.0206114662365643,-0.51647445145309,-0.13606326079853,1,-0.00900382161147347,0.274243367942021,-0.00478513481320469,-0.0417052536905049,-0.0348054213968284,-0.0108886880042163,NA,NA,NA,-0.00677516471431644
"tc_a",0.0114627201636212,-0.864119790158466,0.196692532984741,0.145896997921713,-0.00900382161147347,1,-0.128823362357848,0.39803872533852,-0.103828594176171,0.343562586955958,-0.481324481411305,NA,NA,NA,0.0778846852516929
"tc_b",-0.0214003674417121,0.153871254129194,-0.666651222901163,-0.0449097537417081,0.274243367942021,-0.128823362357848,1,-0.0922271826927977,0.200363397640176,-0.226057282291208,0.266433317734957,NA,NA,NA,-0.031049478194421
"hw_a",0.0141448279601919,-0.326390885919064,0.115798833668697,-0.107451063567618,-0.00478513481320469,0.39803872533852,-0.0922271826927977,1,-0.406452093259569,0.326940959800729,-0.170449260380484,NA,NA,NA,-0.101070713063911
"hw_b",-0.00683229963516791,0.0625718773238381,-0.220842240390164,0.0178170986683941,-0.0417052536905049,-0.103828594176171,0.200363397640176,-0.406452093259569,1,-0.0904898584950198,0.371307546331561,NA,NA,NA,0.151733424123624
"ch_a",0.00758214846735168,-0.328936234395276,0.139909051328388,0.0717824736708466,-0.0348054213968284,0.343562586955958,-0.226057282291208,0.326940959800729,-0.0904898584950198,1,-0.198284857490868,NA,NA,NA,0.10020422156252
"ch_b",-0.00616998135222434,0.356396873818903,-0.366634409934586,-0.0710203149701827,-0.0108886880042163,-0.481324481411305,0.266433317734957,-0.170449260380484,0.371307546331561,-0.198284857490868,1,NA,NA,NA,-0.073291282002477
"delta_a_mu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"delta_a_sig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gamma_commute_a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gamma_car_av_a",0.0393537023186101,-0.0517633542495469,0.0140100176396414,0.054739689345031,-0.00677516471431644,0.0778846852516929,-0.031049478194421,-0.101070713063911,0.151733424123624,0.10020422156252,-0.073291282002477,NA,NA,NA,1
