"","asc1","log_tt_a_mu","log_tt_b_mu","log_tt_a_sig","log_tt_b_sig","tc_a","tc_b","hw_a","hw_b","ch_a","ch_b","delta_a_mu","delta_a_sig","gamma_commute_a","gamma_car_av_a"
"asc1",1,0.0189707509370903,0.0525589256138268,-0.005978850183992,0.0594614924589818,0.00611002921800065,-0.0557575715611889,-0.101847353403418,-0.0405798329472299,-0.0227000905380696,-0.108364494845998,0.150982645924821,-0.136331106995609,-0.0395162374782653,0.0600570205023179
"log_tt_a_mu",0.0189707509370903,1,-0.460979259907051,-0.244371565904838,0.0404410088914489,-0.957084199697092,0.395331471354034,-0.419083857973449,0.151734676391757,-0.729559428370877,0.675248380743588,0.0330749323263544,-0.151101038455303,0.630364270348381,-0.326588030915393
"log_tt_b_mu",0.0525589256138268,-0.460979259907051,1,0.0994618178523389,-0.431922342329611,0.457927187426327,-0.751138860237892,0.231021641324672,-0.274097028694814,0.379673839863854,-0.623274979206133,-0.037778540493905,0.152313381794766,-0.385758046031334,0.112739315957994
"log_tt_a_sig",-0.00597885018399201,-0.244371565904837,0.099461817852339,1,-0.122756286354451,0.125620807685813,-0.129675168801372,-0.238256733784798,0.123667348103626,0.174773669074636,-0.143796841161691,-0.0504870698149202,0.0225486235740168,-0.196016918736696,0.236429916741397
"log_tt_b_sig",0.0594614924589818,0.0404410088914489,-0.431922342329612,-0.122756286354451,1,-0.0311871486996171,0.231463139921101,-0.00322583528081136,-0.0597963912423878,-0.0619489061265697,0.0116013542697849,0.0867870660779086,-0.0992603770891356,0.0914894004154703,-0.0240149025363603
"tc_a",0.00611002921800065,-0.957084199697092,0.457927187426327,0.125620807685813,-0.0311871486996171,1,-0.386890243720295,0.439156156601305,-0.176914267760386,0.732956265573481,-0.724667647318792,0.0194441951448116,0.150085958380731,-0.687256207526774,0.308392382344725
"tc_b",-0.0557575715611889,0.395331471354034,-0.751138860237892,-0.129675168801372,0.231463139921101,-0.386890243720295,1,-0.158878393124169,0.201596454516543,-0.415948996847987,0.52364076883484,0.102392449962967,-0.105765889844904,0.273167344819115,-0.176007626060848
"hw_a",-0.101847353403418,-0.419083857973449,0.231021641324672,-0.238256733784798,-0.00322583528081135,0.439156156601305,-0.158878393124169,1,-0.603658357372804,0.355266398601741,-0.267708713539281,-0.319904776412564,0.474400169921143,-0.450843790821785,-0.214507758307055
"hw_b",-0.04057983294723,0.151734676391757,-0.274097028694814,0.123667348103626,-0.0597963912423878,-0.176914267760386,0.201596454516543,-0.603658357372804,1,-0.124912584742581,0.326437738388711,0.233948692700821,-0.419776338995358,0.322085746110539,0.306527576889465
"ch_a",-0.0227000905380696,-0.729559428370877,0.379673839863854,0.174773669074636,-0.0619489061265697,0.732956265573481,-0.415948996847987,0.355266398601741,-0.124912584742581,1,-0.518627322298092,-0.234098030940341,0.142963504607518,-0.550691748783204,0.405722985428909
"ch_b",-0.108364494845998,0.675248380743588,-0.623274979206133,-0.143796841161691,0.0116013542697849,-0.724667647318792,0.52364076883484,-0.267708713539281,0.326437738388711,-0.518627322298092,1,-0.126696249272384,-0.103019849810167,0.56511896268013,-0.242729829561234
"delta_a_mu",0.15098264592482,0.0330749323263538,-0.0377785404939049,-0.0504870698149202,0.0867870660779087,0.0194441951448118,0.102392449962967,-0.319904776412564,0.233948692700821,-0.234098030940342,-0.126696249272384,1,-0.793141192031038,0.271325576041784,0.127283143690615
"delta_a_sig",-0.136331106995609,-0.151101038455303,0.152313381794766,0.0225486235740167,-0.0992603770891355,0.150085958380731,-0.105765889844904,0.474400169921143,-0.419776338995358,0.142963504607519,-0.103019849810167,-0.793141192031043,1,-0.642509352586443,-0.447872410321748
"gamma_commute_a",-0.039516237478265,0.630364270348382,-0.385758046031334,-0.196016918736696,0.0914894004154705,-0.687256207526774,0.273167344819115,-0.450843790821785,0.322085746110539,-0.550691748783204,0.56511896268013,0.271325576041768,-0.642509352586428,1,-0.00313778572415894
"gamma_car_av_a",0.0600570205023178,-0.326588030915393,0.112739315957994,0.236429916741397,-0.0240149025363604,0.308392382344725,-0.176007626060848,-0.214507758307055,0.306527576889465,0.405722985428909,-0.242729829561233,0.127283143690623,-0.447872410321753,-0.00313778572416007,1
