"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.150564177225363,0.123930710233249,0.132588983361861,0.00701250327787119,0.0517794256247958,0.0160862444439067,-0.010106835772818,0.00155085426832689,-0.00297513504324092,0.00212292505292713,-0.00644153717101022,-0.00465285010598845,-0.00167058317951583,0.00323593355156878
"asc_ruta2",0.123930710233249,0.142747385785524,0.124672299860764,0.00205248474568724,0.0434486086077042,0.0118318071628625,-0.00442075495604169,0.00916929610417328,-0.000509813998663124,0.00265304358563523,-0.00449395569362368,0.00188289654667632,-0.00138813228775074,0.00175481561391439
"asc_ruta4",0.132588983361861,0.124672299860764,0.400592202597399,-0.00291024244275006,0.0570302449694176,0.0131099345384919,0.000484994499661182,-0.00120972716859321,0.0831839346049701,-0.00220887203491733,-0.00954832602055669,-0.0121040191427954,-0.105753270100845,-0.114708229517842
"b_tt",0.00701250327787119,0.00205248474568724,-0.00291024244275006,0.0112175860338321,-0.00431538899150361,-0.00131755339005902,-0.00093649794868804,0.00381461238478529,0.000259465288531673,0.000887552952876024,-0.00164709357800316,-0.00197595342206156,-0.00223989361785352,0.00271976576537087
"b_dt",0.0517794256247958,0.0434486086077042,0.0570302449694176,-0.00431538899150361,0.0517764214197514,0.00991865156957834,-0.00540647278603559,-0.00518140622807182,-0.00448185180231847,0.00173572752265648,-0.0051804913512865,-0.00782390285278814,-9.46685954328551e-05,0.000361745931875267
"b_Sem",0.0160862444439067,0.0118318071628625,0.0131099345384919,-0.00131755339005902,0.00991865156957834,0.0303824829741525,-0.00381527658120293,0.00305945475059219,-0.00148643377453065,-0.00147981966382842,-0.00235084270740026,-0.0069582979742714,-0.00269239407952651,-0.00236678734085878
"b_ACC_1",-0.010106835772818,-0.00442075495604169,0.000484994499661182,-0.00093649794868804,-0.00540647278603559,-0.00381527658120293,0.108814756055811,0.0440110613503089,0.00465135496699809,-0.00245554243046214,-0.00141185094018309,0.00443868798848503,-0.0051255959547673,-0.000441662142426343
"b_ACC_2",0.00155085426832689,0.00916929610417328,-0.00120972716859321,0.00381461238478529,-0.00518140622807182,0.00305945475059219,0.0440110613503089,1.3654024987847,-0.00597779889814558,0.0116780283131109,-0.0015280349846306,-0.0127720954624249,-0.00303974495694579,0.00544963472296515
"b_SI_CAMFD",-0.00297513504324092,-0.000509813998663124,0.0831839346049701,0.000259465288531673,-0.00448185180231847,-0.00148643377453065,0.00465135496699809,-0.00597779889814558,0.0981434470001209,-0.00378650231298333,-0.00034742885882124,-0.00557319344523384,-0.00460533465962872,-0.00107819677809861
"b_SI_PANEL",0.00212292505292713,0.00265304358563523,-0.00220887203491733,0.000887552952876024,0.00173572752265648,-0.00147981966382842,-0.00245554243046214,0.0116780283131109,-0.00378650231298333,0.0492393117405328,0.000237699367515849,-0.00438779711054242,0.00749806568777941,0.00226572396799554
"b_SI_ZER",-0.00644153717101022,-0.00449395569362368,-0.00954832602055669,-0.00164709357800316,-0.0051804913512865,-0.00235084270740026,-0.00141185094018309,-0.0015280349846306,-0.00034742885882124,0.000237699367515849,0.0698154472750833,-0.00331288725995573,0.000195695359099362,0.00727625101339048
"b_Si_MTRP",-0.00465285010598845,0.00188289654667632,-0.0121040191427954,-0.00197595342206156,-0.00782390285278814,-0.0069582979742714,0.00443868798848503,-0.0127720954624249,-0.00557319344523384,-0.00438779711054242,-0.00331288725995573,0.118849749115876,-0.00186320750657057,0.000318749562312392
"b_No_Info",-0.00167058317951583,-0.00138813228775074,-0.105753270100845,-0.00223989361785352,-9.46685954328551e-05,-0.00269239407952651,-0.0051255959547673,-0.00303974495694579,-0.00460533465962872,0.00749806568777941,0.000195695359099362,-0.00186320750657057,0.121887400641021,0.00757897333443515
"b_UsoCel_F",0.00323593355156878,0.00175481561391439,-0.114708229517842,0.00271976576537087,0.000361745931875267,-0.00236678734085878,-0.000441662142426343,0.00544963472296515,-0.00107819677809861,0.00226572396799554,0.00727625101339048,0.000318749562312392,0.00757897333443515,0.133575684609357
