"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",1.96363770370228,0.388026000707895,5.06058279630726,4.17976903754891e-07,0.416685531977309,4.7125171214469,2.44675515781445e-06
"asc_ruta2",0.886990266082029,0.377819250152139,2.34765768479203,0.0188918747405717,0.387555206553407,2.28868107325968,0.0220978894944193
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",1.31311094215374,0.632923536137975,2.07467548160112,0.0380166212264699,0.641036942453881,2.04841695570175,0.0405191615338893
"b_tt",0.322320194560578,0.10591310605318,3.04325127051545,0.00234036824982042,0.105885076792666,3.04405686168331,0.00233411018995344
"b_dt",-0.22231308576872,0.227544328471952,-0.977010006189293,0.328564198625994,0.211595555610391,-1.05065101734964,0.29341890052665
"b_Sem",0.437782675791954,0.174305716986427,2.51157955895413,0.0120192190170951,0.147413474150724,2.96976024962507,0.00298032247402968
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.596504075989772,0.329870817223668,-1.80829598995813,0.0705604456610098,0.31547502932277,-1.89081233234303,0.0586494003509257
"b_ACC_2",-2.55599220213677,1.16850438543666,-2.18740488610287,0.0287129798030588,0.751362529586947,-3.40180951469845,0.000669412786302281
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.472763513181092,0.313278545387521,-1.50908359395084,0.131277421582763,0.326697965634379,-1.4470965935251,0.14786987197403
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.430623590718595,0.221899327940697,-1.94062593480987,0.0523036659846838,0.200167369072693,-2.15131763340612,0.0314511373909363
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",-0.0078683204228432,0.264226129054421,-0.0297787370651092,0.97624351660948,0.262557800861875,-0.0299679552350552,0.976092609704237
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.246915820838627,0.344745919650801,0.716225506276425,0.4738521160378,0.340029817831715,0.726159318653719,0.467741107910165
"b_No_Info",-0.407622095356364,0.349123761209433,-1.16755758457769,0.24298526769322,0.365273439221559,-1.11593686150588,0.264449161880436
"b_Si_Info",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_P",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_F",0.124996856146121,0.365480074161858,0.342007307601574,0.732345392850323,0.358322243356518,0.348839231902646,0.727210008481433
