"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.8508803831695,0.550089746953606,0.391583876008981,0.560175563132947,0.152830129296536,-0.129672154636512,0.096579300427727,-0.0278499451586412,-0.021114192708679,0.0286734148612914,-0.0161350776508527,0.00444317845304131,0.0525336653567128
"asc_ruta2",0.850880383169501,1,0.524526952695048,0.273219200728626,0.439465647677891,0.108850086189735,-0.0135175029623628,0.0968307190934942,0.00364685525522449,-0.0641872707388375,0.000754345606592215,0.0769011931756419,0.0324976545730369,0.00967628469129561
"asc_ruta4",0.550089746953606,0.524526952695047,1,0.0150713632647709,0.472382681657282,0.0439649402610842,-0.0812277599419263,-0.00551327992048539,0.39457181085412,0.0247663874888214,-0.0206111080480967,-0.0868433424419412,-0.492484176347833,-0.376272531961699
"b_tt",0.391583876008981,0.273219200728626,0.0150713632647714,1,-0.11178569681776,-0.163764132623373,-0.043749769660607,0.145960832000208,-0.0902644059887989,-0.000447549936191759,0.0529511862075651,-0.0442658475812281,0.0836853825229176,0.0273351285434645
"b_dt",0.560175563132947,0.439465647677891,0.472382681657282,-0.111785696817761,1,0.191566902757292,-0.185093523122396,0.0285742953520443,-0.021207668697643,0.104076954741096,-0.0782792715503404,-0.160641700143061,-0.0763971620281446,0.0327816089612456
"b_Sem",0.152830129296536,0.108850086189735,0.0439649402610839,-0.163764132623373,0.191566902757292,1,0.00355998656397366,-0.071532583033677,-0.0119050920110728,-0.0879515599771279,-0.00761799843217593,-0.0318114581056639,-0.0692862869689355,0.0736566285165939
"b_ACC_1",-0.129672154636513,-0.0135175029623628,-0.0812277599419261,-0.0437497696606069,-0.185093523122397,0.00355998656397363,1,0.110334079582778,-0.0197822026261704,-0.0895095551728683,-0.0582219891347288,0.0892515066846369,-0.0933543649745156,0.0485929157085912
"b_ACC_2",0.0965793004277271,0.0968307190934943,-0.0055132799204853,0.145960832000208,0.0285742953520443,-0.071532583033677,0.110334079582778,1,-0.0887390257645417,-0.0137139958785447,0.0636779259866204,-0.0730112411636542,0.0123157086076213,0.0999071614314364
"b_SI_CAMFD",-0.0278499451586434,0.0036468552552223,0.394571810854119,-0.0902644059887985,-0.0212076686976446,-0.0119050920110733,-0.0197822026261704,-0.0887390257645418,1,-0.0050244844274933,0.0160924080498446,-0.0924135615954296,-0.0440251042922421,0.133169660917444
"b_SI_PANEL",-0.0211141927086788,-0.0641872707388375,0.0247663874888213,-0.000447549936191773,0.104076954741096,-0.0879515599771278,-0.0895095551728683,-0.0137139958785447,-0.00502448442749344,1,-0.160278188181305,-0.0704311402643466,0.0718208539465513,-0.0331082157555702
"b_SI_ZER",0.0286734148612914,0.000754345606592342,-0.0206111080480968,0.0529511862075651,-0.0782792715503404,-0.00761799843217594,-0.0582219891347288,0.0636779259866204,0.0160924080498444,-0.160278188181305,1,-0.0870812808398955,-0.0217316560252291,0.150377359796634
"b_Si_MTRP",-0.0161350776508527,0.076901193175642,-0.0868433424419413,-0.0442658475812281,-0.160641700143061,-0.0318114581056638,0.0892515066846369,-0.0730112411636542,-0.0924135615954298,-0.0704311402643466,-0.0870812808398955,1,-0.0175892030970157,0.0175294890816554
"b_No_Info",0.00444317845304206,0.0324976545730375,-0.492484176347832,0.0836853825229177,-0.0763971620281433,-0.0692862869689354,-0.0933543649745155,0.0123157086076214,-0.0440251042922426,0.0718208539465513,-0.021731656025229,-0.0175892030970157,1,0.00535926800637145
"b_UsoCel_F",0.0525336653567126,0.00967628469129587,-0.376272531961701,0.0273351285434648,0.0327816089612458,0.0736566285165937,0.0485929157085912,0.0999071614314365,0.133169660917443,-0.0331082157555702,0.150377359796635,0.0175294890816553,0.00535926800637254,1
