"","asc_ruta1","asc_ruta2","asc_ruta4","b_gain","b_loss","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.164095392873193,0.137031873858554,0.145884035600781,-0.0355950271980721,-0.0113407144579574,0.116099300518631,0.0128672732597394,-0.00792184021551792,0.00181992825721728,0.00121055222849313,0.00199733196513019,-0.00528346463170377,-0.00410881525720303,-0.00162687464054527,0.00164718176962011
"asc_ruta2",0.137031873858554,0.154817436121934,0.134626084799639,-0.0192933969776765,-0.0105603988336265,0.0828514438216974,0.0093527389580665,-0.00220920793527948,0.0122636216116616,0.00238943045071046,0.00277446453255791,-0.00501275596069501,0.00186076147403647,-0.00249942805457862,0.00116297616246588
"asc_ruta4",0.145884035600781,0.134626084799639,0.400940569857809,-0.0146425314824615,-0.00644090847194805,0.0846334427865304,0.0119833486887416,0.00269328543271051,0.00390925158847767,0.0833476142060451,-0.00175456588607879,-0.0110500658998568,-0.0134045055418256,-0.105635384487347,-0.110723633672794
"b_gain",-0.0355950271980721,-0.0192933969776765,-0.0146425314824615,0.223290057459932,-0.0073511677595581,-0.307450426672879,0.00474153535662874,0.00525976525018999,0.00834505334390619,-0.00981754835036384,-0.00367976848376671,-0.00273262523380695,0.00933778105641976,-0.0020395217336455,-0.0104933944224094
"b_loss",-0.0113407144579574,-0.0105603988336265,-0.00644090847194805,-0.0073511677595581,0.0163550398510993,-0.00706467120109422,0.00348664500437669,-0.00350307661583141,-0.00119053413042774,-0.00206042490210707,-0.000959926697624604,3.11877774378281e-05,-0.00143657069664446,0.00234793620852525,0.00104107196813704
"b_dt",0.116099300518631,0.0828514438216974,0.0846334427865304,-0.307450426672879,-0.00706467120109422,0.489198387082555,-0.00186886643149565,-0.00888834128538262,-0.0120774090993563,0.0132418461655253,0.00775530288144027,-0.00177047073332896,-0.0199536117500421,-0.000801656544836946,0.0142820875174637
"b_Sem",0.0128672732597394,0.0093527389580665,0.0119833486887416,0.00474153535662874,0.00348664500437669,-0.00186886643149565,0.0315057387461194,-0.00335904887845241,0.00503235137769671,-0.000890206319204219,-0.00185322474793809,-0.00317968761956812,-0.00788610249039585,-0.00319284934622728,-0.00181158643913855
"b_ACC_1",-0.00792184021551792,-0.00220920793527948,0.00269328543271051,0.00525976525018999,-0.00350307661583141,-0.00888834128538262,-0.00335904887845241,0.107354994305055,0.0420912242871785,0.00537423366838752,-0.00191607565299661,-0.000341575518039383,0.00542982616286341,-0.00581473332724531,-0.00217066203103286
"b_ACC_2",0.00181992825721728,0.0122636216116616,0.00390925158847767,0.00834505334390619,-0.00119053413042774,-0.0120774090993563,0.00503235137769671,0.0420912242871785,1.3861462396208,-0.0061997060172986,0.0119845170068289,-0.00400965232433031,-0.0110552558600964,-0.00252322438444792,0.00327221655588521
"b_SI_CAMFD",0.00121055222849313,0.00238943045071046,0.0833476142060451,-0.00981754835036384,-0.00206042490210707,0.0132418461655253,-0.000890206319204219,0.00537423366838752,-0.0061997060172986,0.0955898910271297,-0.00350532442568614,-0.000275156231723288,-0.00618847036714024,-0.00527907561399817,-0.00158590081349617
"b_SI_PANEL",0.00199733196513019,0.00277446453255791,-0.00175456588607879,-0.00367976848376671,-0.000959926697624604,0.00775530288144027,-0.00185322474793809,-0.00191607565299661,0.0119845170068289,-0.00350532442568614,0.049388057214236,0.000389991350271938,-0.00431528832762009,0.00722116857424879,0.00183058426985527
"b_SI_ZER",-0.00528346463170377,-0.00501275596069501,-0.0110500658998568,-0.00273262523380695,3.11877774378281e-05,-0.00177047073332896,-0.00317968761956812,-0.000341575518039383,-0.00400965232433031,-0.000275156231723288,0.000389991350271938,0.0679951180441622,-0.00350441330944017,0.000373249975472946,0.00830142677668932
"b_Si_MTRP",-0.00410881525720303,0.00186076147403647,-0.0134045055418256,0.00933778105641976,-0.00143657069664446,-0.0199536117500421,-0.00788610249039585,0.00542982616286341,-0.0110552558600964,-0.00618847036714024,-0.00431528832762009,-0.00350441330944017,0.120137767498416,-0.00301783895300655,0.00132657753615196
"b_No_Info",-0.00162687464054527,-0.00249942805457862,-0.105635384487347,-0.0020395217336455,0.00234793620852525,-0.000801656544836946,-0.00319284934622728,-0.00581473332724531,-0.00252322438444792,-0.00527907561399817,0.00722116857424879,0.000373249975472946,-0.00301783895300655,0.119605898090609,0.00810087351517749
"b_UsoCel_F",0.00164718176962011,0.00116297616246588,-0.110723633672794,-0.0104933944224094,0.00104107196813704,0.0142820875174637,-0.00181158643913855,-0.00217066203103286,0.00327221655588521,-0.00158590081349617,0.00183058426985527,0.00830142677668932,0.00132657753615196,0.00810087351517749,0.128422380868846
