"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt_ruta1","b_tt_ruta2","b_tt_ruta3","b_tt_rutaEC","b_dt_ruta1","b_dt_ruta2","b_dt_ruta3","b_dt_rutaEC","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC"
"asc_ruta2",1,0.999140138014998,0.999432818368102,-0.00271174243051779,0.00299895021799759,-0.00403076500098554,0.00388021209991122,-0.00172342497336073,0.00165932162664669,-0.00558223261220887,-0.00720129875845316,-0.00343509716126553,-0.00290568093008587,0.00287923268422575,0.000866232098763307,-0.000572327582577509,-0.000555166632986528,-0.00183568257182095,-0.00144763477084851,0.00233095765199009,0.0276924234030152,-0.00704300575934687,0.010370167052936,0.00654672271642507,0.0284026317542227,-0.00658096937364171,0.010911066749569,0.00752100217767956,0.0284034242132118,-0.00797055135692278,0.0116778588586242,0.00176533719944852,0.028076189041618,-0.00292980714547941,0.00687161709537978,-0.999351345633913,0.00824134924975198,0.00326184716990948,0.00533009474544887,-0.999340417398708,0.00862424570465165,0.00286867018040691,0.00558747034309391
"asc_ruta3",0.999140138014998,1,0.999668528807293,-0.00356078393309322,-0.00368268893878783,0.00595301616321651,-0.00218083991100644,-0.00132140264171667,-0.00115503718662887,0.00231301007118532,-0.00146538051440636,-0.000116147775073092,-0.00039553784765387,0.000197147182701901,-0.000169666785449,0.000480734417099666,0.00149330833248504,-5.7724710215136e-05,0.000269468500248202,-0.00330570053064027,-0.00252426504872184,0.00656055446042749,-0.00341690300430808,-0.00338512259879376,-0.00268665813332511,0.00769921575016188,-0.00364704755237462,-0.002981509320343,-0.00262947722718376,0.007447328491174,-0.00354848433854542,-0.00278363030850259,-0.00252574116120083,0.00745470644918715,-0.00311139835315935,-0.999835905679389,-0.00906841403373635,-0.00322517268407499,-0.00993824773374352,-0.999824127296765,-0.00879722843667685,-0.00193599708395235,-0.00985023310376646
"asc_rutaEC",0.999432818368102,0.999668528807293,1,-0.00253021649900826,0.000248203574007313,-0.00212461507761066,0.00250907609423163,0.00222529759128501,0.000607499233002534,0.000361854198736968,0.00273131410021104,-0.00109491469706219,-0.000933137815037142,0.000568957270480945,0.000971291623676186,-0.000131238314364499,0.00138610392508068,-1.98738623595209e-05,-8.56372857928301e-05,-0.00274541792037175,-6.00918856252268e-05,-0.00210585422960952,0.00186574917159469,-0.00187699968765585,0.000117591024396449,-0.00219275780586343,0.00181802409224473,-0.00172773176930125,0.000159670422665144,-0.00217491724955969,0.00191551075590632,-0.00220250414500237,-5.08994256389461e-05,-0.00229464596390879,0.0019093699511331,-0.999799648969531,0.00789328157930457,0.00821346190917437,0.0100186274387567,-0.999789156769864,0.00782199996527187,0.00724721288532758,0.0100994529005277
"b_tt_ruta1",-0.00271174243051779,-0.00356078393309322,-0.00253021649900826,1,0.624345007527483,-0.191464081188403,-0.391126649218589,-0.370282481215395,-0.169488413267779,-0.0858342574014953,-0.133970958276015,0.218169754369261,0.167775337069185,-0.0112395937921971,-0.0224046138241073,0.00516890658460569,-0.0773506555628156,0.0967101972381303,0.0265537568405423,0.225951476939995,0.0549310080503858,-0.0109364326486178,0.0419699771725311,0.135881580043177,0.0510763912793653,0.00275097338639525,0.0369978609617389,0.0930178836666706,0.0528285934779691,0.0142172344948741,0.0278842912445647,0.102214434872683,0.0503392995979247,0.00437633757734247,0.0236488925925672,-0.00360540666315815,-0.204929951012028,-0.166846528913578,-0.0787148315482339,-0.00352430393610237,-0.21227564435748,-0.1725848397233,-0.0875183609186565
"b_tt_ruta2",0.00299895021799759,-0.00368268893878783,0.000248203574007313,0.624345007527483,1,-0.374055460437599,0.0852722235457775,-0.16403665805181,-0.292474207651354,-0.022035844743039,-0.123891686299846,-0.0555496794511689,-0.150198971589186,0.0949338795902232,0.0825261271484548,-0.00448872292830375,-0.0431530628701981,0.126792224537983,0.0126871467468151,0.0100345723297692,0.0291279490509078,-0.0374477595283406,0.0935110060292607,-0.0208849100717381,0.0219671174327792,-0.0272998042636082,0.0282505834536174,-0.00718646775783864,0.0213423093680561,-0.0474433258658699,0.00874041231164451,-0.0150706472555259,0.0177080268759635,-0.0404280012764324,-0.0273265593202415,-0.000142708304435383,0.0195540602614891,-0.0952629344619695,-0.0238669959569801,-6.65214352310471e-05,0.0148987323706289,-0.098703225871093,-0.0262091804090082
"b_tt_ruta3",-0.00403076500098554,0.00595301616321651,-0.00212461507761066,-0.191464081188403,-0.374055460437599,1,-0.343978472165819,-0.206594261116165,-0.0816066572715174,-0.252008101696522,-0.0822531783791038,0.0803307597762503,0.0861745489163158,-0.0341480880231093,-0.038955811196879,0.0418413831622991,0.158007342724532,0.252122554968904,0.206759430485358,0.108031116872825,-0.0220146930563132,0.121978372111629,-0.0359292403172121,0.0732569749818703,-0.0252082271069849,0.108757328905197,-0.0252564536142558,0.0655700713630996,-0.0269206988450816,0.110579382559331,-0.0158493775647825,0.121954641655042,-0.0260649732860398,0.0440398733655646,0.0440244761299484,-0.000790972615216641,-0.204453088728948,-0.119658455615143,-0.173524932251879,-0.000615956251319929,-0.206332922251445,-0.138117698033968,-0.1882293269865
"b_tt_rutaEC",0.00388021209991122,-0.00218083991100644,0.00250907609423163,-0.391126649218589,0.0852722235457775,-0.343978472165819,1,0.160752981125531,-0.0704237831082764,0.0649243675145902,0.021100577177082,-0.191160959225506,-0.212890249946612,0.0623349454087357,0.0594140290394373,-0.00975202705357333,-0.000586660021353464,0.0204056102971497,-0.000246331298208155,-0.134143409198293,-0.00115819856601235,-0.0416561425998854,0.0639441269558433,-0.0942162165309788,-0.00150861670288066,-0.0463977012205317,-0.0132909137983665,-0.0596538903368628,-0.00393692518243936,-0.0665790740199886,-0.0185822721416848,-0.0790745606460351,-0.0055198235863757,-0.0422660407872771,-0.0515851227431172,0.00328768392517124,0.187726181876299,0.0607696502423215,0.0501261666538466,0.0032068973412586,0.188779694340236,0.0696467305910082,0.0499131059341696
"b_dt_ruta1",-0.00172342497336073,-0.00132140264171667,0.00222529759128501,-0.370282481215395,-0.16403665805181,-0.206594261116165,0.160752981125531,1,0.6169446792787,0.68942201246427,0.762869052074986,-0.125073294299869,-0.122076635040032,-0.00568133729910001,0.0426478961817872,-0.0231728150215116,-0.0248480788115888,-0.0198110245026628,-0.0132936181340154,-0.000916589771511446,-0.0449871576304347,-0.111706136565579,0.0662112218445042,0.0651497009006103,-0.0235433641640761,-0.104493856671137,0.0902818072519443,0.0487117308416902,-0.0162225957062489,-0.0854164390955072,0.0817091964037872,0.0156464737008302,0.00981822608324512,-0.0734256859675729,0.0381937394441282,0.000349038372493669,0.123921409982076,0.0569377044269184,0.067949985270118,-5.66416005127104e-05,0.146562939195763,0.0565105886098718,0.0786275668687141
"b_dt_ruta2",0.00165932162664669,-0.00115503718662887,0.000607499233002534,-0.169488413267779,-0.292474207651354,-0.0816066572715174,-0.0704237831082764,0.6169446792787,1,0.249130385506809,0.284401186452842,-0.0224229255460861,-0.0070883009985539,-0.129672591751314,-0.10478556762577,-0.0178145301083391,-0.0513863108823595,-0.0421253131430395,-0.0182127087140966,0.0635783654355907,0.077566022161108,-0.0949057549988203,0.0920995389624634,0.13478878269021,0.0749424302921313,-0.0930575136699801,0.119231283208039,0.108316741923235,0.0708696563505628,-0.0634347635497952,0.119321533480165,0.0720406502351113,0.0725216222246771,-0.0494710624933836,0.0708691054695162,-0.000554350944083763,-0.0379467337260019,-0.0648520554485919,-0.0179461532798043,-0.000750372092806626,-0.0392626249263663,-0.0667333213037016,-0.00966543813368304
"b_dt_ruta3",-0.00558223261220887,0.00231301007118532,0.000361854198736968,-0.0858342574014953,-0.022035844743039,-0.252008101696522,0.0649243675145902,0.68942201246427,0.249130385506809,1,0.749796249896935,-0.00521976613031345,-0.0224329228921081,0.0623221474068868,0.0807126067114181,0.000592997070903061,-0.0846100393115492,-0.0109650692348838,-0.0135121765115317,-0.0348062634383538,-0.0942013288587681,-0.0233344645528282,0.0255519195394562,0.00357360034152086,-0.0677901787776688,-0.0527261608100735,0.031900256103553,-0.01138097669827,-0.0559893203556555,-0.0571666855777207,0.0200904027503492,-0.0289312869425764,-0.0227071736543481,-0.0980422543479879,-0.0076688337346363,-0.000750386411788554,-0.0324004658812033,-0.0698650688791766,-0.0767091270402016,-0.00100471827856204,0.000406053943547867,-0.0529694889860145,-0.0684547144502788
