"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt_ruta1","b_tt_ruta2","b_tt_ruta3","b_tt_rutaEC","b_dt_ruta1","b_dt_ruta2","b_dt_ruta3","b_dt_rutaEC","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC"
"asc_ruta2",1,-0.406997896579776,0.215338397961212,-0.093354039017343,0.0919256635731315,-0.266073726138523,0.169664430121117,-0.189221373096203,0.0657523493658561,-0.375381080240626,-0.378522019640232,-0.0332987397129711,-0.120933573599777,0.262187997356881,0.106431670162632,-0.20860504257517,-0.114441873923048,-0.0913344825076254,-0.0811386318573225,-0.00943465734908144,0.659854808926547,-0.383939533776961,0.18115228650131,0.0473216890830379,0.698662922875261,-0.243967644089313,0.187264626128093,0.0427464191502136,0.687050981229848,-0.334916090368396,0.232452197976019,-0.0829927115137925,0.646310793385191,-0.176121350784691,0.192470322675359,0.267966991806283,0.432926223660932,0.380747820768971,0.315495885342054,0.26202982119547,0.428754620084955,0.406192042331926,0.326611122754699
"asc_ruta3",-0.406999674045346,1,-0.780229210968178,-0.00873643747592935,-0.164303782181822,0.34089439555904,-0.140316222148689,-0.110857915587121,-0.107197117329527,0.0656409721347881,-0.0375683565317205,0.0482275807809328,0.054760581337884,-0.0331127698385837,-0.0339068676822805,0.170902456545944,0.0167920449239501,0.100564042663629,0.136626068877021,-0.105528350443835,-0.117835611050099,0.386607887838741,-0.0392179519306822,-0.148140662855646,-0.124595994690291,0.476984751698454,-0.0171377908915222,-0.122465010835192,-0.112844825374034,0.40959698821502,-0.020557215561226,-0.145570350567164,-0.116664273625797,0.514331212350013,-0.0107889970439683,-0.612229478401765,-0.824350101898887,-0.824982177905453,-0.891360160747861,-0.543295939307863,-0.819446070084348,-0.629900410976115,-0.88028497572897
"asc_rutaEC",0.215337101123442,-0.780227987913818,1,-0.278813421479997,0.0132344938559669,-0.483163875448518,0.350374019824549,0.264742766563417,0.105903140144081,0.135463000946139,0.249860568363987,-0.148677820503629,-0.0970558225708959,-0.0521439074449123,0.0857694673993949,-0.193566532917151,0.129687088921397,-0.120626899777572,-0.0944155540167665,-0.311748860568671,-0.0774398168060214,-0.191937055027103,0.0540949323056782,-0.231958353800121,-0.0515020599786498,-0.188443618367301,0.031851973503031,-0.219830732401097,-0.0465166812167934,-0.138017643370321,0.0633191581967215,-0.221954710208503,-0.0413044505434929,-0.215617146332069,0.0707861061414752,0.899061284954134,0.794096593608458,0.832180327264662,0.91169439232375,0.879150237917815,0.78816018400596,0.699298584469031,0.91955260383277
"b_tt_ruta1",-0.0933540389573476,-0.00873643715230932,-0.278813421600594,1,0.566063168791222,0.469254350612699,-0.573316757928622,-0.508320202534872,-0.305459004717212,-0.328152114887052,-0.295638328970707,0.264023705386959,0.202521988878108,0.0875402999866497,-0.0488683302187364,0.216674614856497,0.0781893397958494,0.195161571787311,0.0426191352503673,0.353868023851426,0.134970726528743,0.0078517951109646,0.0398760166632015,0.275747737377339,0.108381252776818,-0.0290829737221625,0.0307555425520203,0.208869384117018,0.0882448310564442,-0.00775293722579385,-0.0180864218182572,0.21521311250637,0.0467562841538967,-0.0595821246594201,0.0190785863778058,-0.34652382063266,-0.24361702830754,-0.208767469124977,-0.145228355514244,-0.329041346990923,-0.246717101364943,-0.295315975153176,-0.163776914537414
"b_tt_ruta2",0.0919256635746391,-0.164303781862995,0.0132344936961881,0.566063168791247,1,-0.0997899097213457,0.270771174274633,-0.239733463888786,-0.344898626087006,-0.147000842220976,-0.171674512313417,-0.0027530469046296,-0.123270934591308,0.197648152624467,0.144908894090259,-0.00291283383912581,0.0280950850299799,0.208183480644074,0.0405046498575276,0.0287903609783338,0.00467048873022133,-0.0565281014857952,0.0585830153184363,0.0229392603682011,-0.0236417090720028,-0.10136289940217,-0.0392153245599286,0.0229194785532341,-0.0442421165695082,-0.0571043261515924,-0.0554546384843586,0.034032795372616,-0.0567254961101081,-0.127372522912193,-0.0812820896188381,0.0486428036715655,0.0279806160213489,-0.0633926504254747,-0.00710044512856613,0.0347733334841206,0.0278940791669632,-0.127455541191712,-0.0192672672440443
"b_tt_ruta3",-0.266073726101122,0.340894395491007,-0.483163875432414,0.469254350612685,-0.0997899097213456,1,-0.59849966455988,-0.392963492205125,-0.0952876441597874,-0.274381665401198,-0.233894189909514,0.228675288641971,0.218494477189693,-0.0651456092152935,-0.186466189304699,0.364804884315326,0.141935752508732,0.272233979138387,0.19094994214405,0.342073246221834,0.0649489899926198,0.0945671205678078,-0.0436466821010004,0.239434981629757,0.0493841135933447,0.0555754048880065,-0.00590942558770557,0.191436340947384,0.0333546902013828,0.0411147657493579,-0.0605643102554841,0.161692738850955,-0.00627534564420396,-0.0191627973449498,-0.0064516920116122,-0.465042596444642,-0.464332230733502,-0.434648440818287,-0.389811430844744,-0.422286599913764,-0.46843442585221,-0.513838000110877,-0.409913028556245
"b_tt_rutaEC",0.169664429988129,-0.140316222312997,0.350374019775102,-0.573316757928625,0.270771174274639,-0.598499664559881,1,0.314018800543528,-0.0190987559788442,0.224459900424972,0.166389861045182,-0.261211713995715,-0.301015162725403,0.109534299901712,0.186970548121508,-0.212174432277259,-0.00857151255196115,-0.00341314365640736,-0.00399376936661173,-0.377737007971901,-0.122061306035709,-0.0510996323477072,0.0534552990110368,-0.289866844934697,-0.107146272587961,-0.0704045001253271,-0.0397312705276429,-0.231714034875363,-0.106638138840702,-0.0709810541957812,-0.00741645576175911,-0.233098223784974,-0.0683501616401909,-0.0521777622612254,-0.0597919978273838,0.466037611470181,0.274981183405889,0.184700299363667,0.163643850247779,0.453602375152501,0.282617744380001,0.214234943082661,0.177419727293088
"b_dt_ruta1",-0.189221373157731,-0.110857915721162,0.264742766606093,-0.508320202534865,-0.239733463888776,-0.392963492205133,0.31401880054352,1,0.526235583185788,0.832366045713575,0.869892408746619,-0.164013782238785,-0.176216955743346,-0.359386867518131,0.11607836881714,0.0143946358532583,-0.0610425085607868,0.00103236034961676,0.0180193647325552,-0.0954740098259125,-0.0999517043255085,-0.173066118499972,0.0700981221560532,-0.0168403659256624,-0.093591521966,-0.105776383432518,0.0542972366065789,-0.000987854842678786,-0.0544762681981385,-0.0460631944271547,0.108832462678993,-0.0258542168149554,0.0554792122194267,-0.0585899626013212,0.000429279239532185,0.0884096923844419,0.157821583894548,0.104372807910775,0.112453909829799,0.0465221332431361,0.185991913557577,0.128613249444431,0.12645521892167
"b_dt_ruta2",0.065752349349843,-0.107197117460218,0.10590314023004,-0.305459004717198,-0.344898626086989,-0.0952876441597943,-0.0190987559788572,0.52623558318578,1,0.15608175267357,0.232601309047868,-0.036899687949103,-0.0694526427652208,-0.142163890280453,-0.0841992518379567,0.0773984136971892,-0.112268845669912,-0.00954842212985897,0.0342151049122442,0.0157325354939629,0.103912381843303,-0.162564289179918,0.0489885919588851,0.0577338182757892,0.0932882429348132,-0.0784778375098238,0.0639200366907252,0.082271555094074,0.0945363031468669,-0.0265081227217415,0.122291830497138,0.0836935991115022,0.109473738426794,-0.0341218095140114,0.0583822523783068,0.0254712944891911,0.00243079623527554,-0.0458025863482149,0.0274498965205385,0.0148387661229696,-0.00221267489817426,-0.0481538972720769,0.0335652619828551
"b_dt_ruta3",-0.375381080294324,0.0656409720718998,0.135463000944449,-0.32815211488705,-0.14700084222097,-0.274381665401198,0.224459900424967,0.832366045713575,0.156081752673576,1,0.914031200623664,-0.113154217657238,-0.108493786416763,-0.373825767643038,0.164208291635899,0.0857750205810268,-0.06544780706726,0.0547581462723517,0.0461937480903763,-0.104593642135334,-0.188717084060923,-0.217922595888904,0.0415223204485419,-0.050649999326932,-0.174285751085521,-0.143615840743532,0.00122445761082487,-0.0482452074168479,-0.130524907902385,-0.108069619629137,0.0388360065868253,-0.0500172633043389,-0.00671454184391614,-0.141451725195963,-0.0639817105818691,-0.0146389583868702,0.0162928875736686,-0.00440222260408115,-0.024069341893698,-0.0306782030784753,0.054137771323468,0.0377149136705747,-0.0110651631131217
