"","asc_ruta1","asc_ruta2","asc_ruta4","b_gain","b_loss","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.859732742770655,0.56874759480765,-0.185954392894898,-0.218910412010326,0.409768812281983,0.178954859610935,-0.059685214330347,0.00381594009772809,0.00966561192669724,0.0221866170416325,-0.0500186244913309,-0.0292636599845113,-0.0116126034869853,0.0113467888808826
"asc_ruta2",0.859732742770655,1,0.540355129698523,-0.103768149528879,-0.209867206446322,0.301056242854646,0.133916485701207,-0.0171362398577763,0.0264730683561952,0.0196416729434473,0.0317291377810579,-0.0488571084903893,0.0136439774057026,-0.0183676843124026,0.00824784553640886
"asc_ruta4",0.56874759480765,0.540355129698523,1,-0.0489374653697998,-0.0795392190716389,0.191099476754196,0.106621149680638,0.0129816905913166,0.00524383591955078,0.425742678290254,-0.0124686291538044,-0.0669246333192265,-0.0610760607372884,-0.482384247787861,-0.487955221392004
"b_gain",-0.185954392894898,-0.103768149528879,-0.0489374653697998,1,-0.121645441155955,-0.930246188186489,0.0565313643363233,0.0339719551564677,0.0149999530203489,-0.0671989323082968,-0.0350408660532,-0.022177189917591,0.0570123858120368,-0.0124800793507496,-0.0619670677382143
"b_loss",-0.218910412010326,-0.209867206446322,-0.0795392190716389,-0.121645441155955,1,-0.0789811844614004,0.153598542448508,-0.0836012374683634,-0.00790699604267441,-0.0521104715927715,-0.0337754618143228,0.000935232858571186,-0.0324086858783358,0.053086512049765,0.0227161428411295
"b_dt",0.409768812281983,0.301056242854646,0.191099476754196,-0.930246188186489,-0.0789811844614004,1,-0.0150536190461805,-0.0387852939255251,-0.0146665086816845,0.061235045765011,0.0498936509236735,-0.00970749952118034,-0.082307465903201,-0.00331412997002867,0.0569808368434146
"b_Sem",0.178954859610935,0.133916485701207,0.106621149680638,0.0565313643363233,0.153598542448508,-0.0150536190461805,1,-0.0577577628355404,0.0240808381243432,-0.0162214568588837,-0.0469810031969797,-0.0686990539036258,-0.128182224656865,-0.0520124480514858,-0.0284802546910009
"b_ACC_1",-0.059685214330347,-0.0171362398577763,0.0129816905913166,0.0339719551564677,-0.0836012374683634,-0.0387852939255251,-0.0577577628355404,1,0.109112851577566,0.0530517159303475,-0.0263142232273498,-0.00399794433541057,0.047811791894619,-0.0513147688890107,-0.018486756651791
"b_ACC_2",0.00381594009772809,0.0264730683561952,0.00524383591955078,0.0149999530203489,-0.00790699604267441,-0.0146665086816845,0.0240808381243432,0.109112851577566,1,-0.0170318015209429,0.0458041722475113,-0.0130606059050448,-0.0270909661753505,-0.00619690800913564,0.00775563127825967
"b_SI_CAMFD",0.00966561192669724,0.0196416729434473,0.425742678290254,-0.0671989323082968,-0.0521104715927715,0.061235045765011,-0.0162214568588837,0.0530517159303475,-0.0170318015209429,1,-0.0510165709678898,-0.00341298597663149,-0.0577480805824953,-0.0493714180373643,-0.0143136264833079
"b_SI_PANEL",0.0221866170416325,0.0317291377810579,-0.0124686291538044,-0.0350408660532,-0.0337754618143228,0.0498936509236735,-0.0469810031969797,-0.0263142232273498,0.0458041722475113,-0.0510165709678898,1,0.00672984617267625,-0.0560220592678707,0.0939550685997464,0.0229857350428982
"b_SI_ZER",-0.0500186244913309,-0.0488571084903893,-0.0669246333192265,-0.022177189917591,0.000935232858571186,-0.00970749952118034,-0.0686990539036258,-0.00399794433541057,-0.0130606059050448,-0.00341298597663149,0.00672984617267625,1,-0.0387736491686496,0.0041388970463687,0.0888369248811946
"b_Si_MTRP",-0.0292636599845113,0.0136439774057026,-0.0610760607372884,0.0570123858120368,-0.0324086858783358,-0.082307465903201,-0.128182224656865,0.047811791894619,-0.0270909661753505,-0.0577480805824953,-0.0560220592678707,-0.0387736491686496,1,-0.0251756088910939,0.0106800307124405
"b_No_Info",-0.0116126034869853,-0.0183676843124026,-0.482384247787861,-0.0124800793507496,0.053086512049765,-0.00331412997002867,-0.0520124480514858,-0.0513147688890107,-0.00619690800913564,-0.0493714180373643,0.0939550685997464,0.0041388970463687,-0.0251756088910939,1,0.0653634842387316
"b_UsoCel_F",0.0113467888808826,0.00824784553640886,-0.487955221392004,-0.0619670677382143,0.0227161428411295,0.0569808368434146,-0.0284802546910009,-0.018486756651791,0.00775563127825967,-0.0143136264833079,0.0229857350428982,0.0888369248811946,0.0106800307124405,0.0653634842387316,1
