"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_ruta1",1.9188507685018,0.405086895459719,4.73688680134706,2.17026307458568e-06,0.444822051680218,4.31374919758083,1.60509027726796e-05
"asc_ruta2",0.89742860625987,0.393468469031426,2.28081454269768,0.0225594234630997,0.418521212779556,2.14428463565732,0.032010087127911
"asc_ruta3",0,NA,NA,NA,NA,NA,NA
"asc_ruta4",1.43064026564492,0.633198681187674,2.25938604761701,0.0238593815398385,0.645138420796328,2.21757101968754,0.0265840956949774
"b_gain",-1.3877038267612,0.472535773735632,-2.93671697232721,0.00331706686477595,0.5329372531555,-2.60387844637368,0.00921754412420195
"b_loss",0.122273699742653,0.127886824384294,0.956108655690962,0.339017342203916,0.124145410884546,0.98492323535315,0.324661779185762
"b_dt",1.75162154960316,0.699427184975359,2.50436583997643,0.0122671118412445,0.754398854043011,2.32187726719863,0.0202395452009632
"b_Sem",0.46632920874194,0.177498559842381,2.62722812599742,0.00860836011096655,0.155678854589553,2.99545631917331,0.00274034547101842
"b_ACC_0",0,NA,NA,NA,NA,NA,NA
"b_ACC_1",-0.62461802838569,0.327650719982507,-1.90635329114808,0.0566043844728725,0.306080035244654,-2.04070163506883,0.0412804927510371
"b_ACC_2",-2.70677927890887,1.17734711942604,-2.29904947678339,0.021502129956847,0.725764589130777,-3.72955545013665,0.000191817892045254
"b_NO_CAMFD",0,NA,NA,NA,NA,NA,NA
"b_SI_CAMFD",-0.439810923648943,0.309176148865222,-1.42252539616395,0.154873784328932,0.316967177605264,-1.38755983181534,0.165271120067044
"b_NO_PANEL",0,NA,NA,NA,NA,NA,NA
"b_SI_PANEL",-0.441415092250004,0.222234239518207,-1.98626050246339,0.0470044059106944,0.200158269701283,-2.20533027642962,0.0274309267649568
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",0.0510039907288964,0.260758735317079,0.195598397372484,0.844924514762588,0.258930588449682,0.196979395266805,0.843843662074945
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.240835536721501,0.346608954729124,0.694833568018215,0.487159608790483,0.336445349015152,0.715823646920602,0.474100249117317
"b_No_Info",-0.315191042870546,0.345840856595355,-0.911375960531263,0.362097315446863,0.364517820332995,-0.864679379961759,0.387214790115254
"b_Si_Info",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_P",0,NA,NA,NA,NA,NA,NA
"b_UsoCel_F",0.122993399871855,0.358360685439749,0.343211197179536,0.731439581598381,0.349333639259796,0.352080034812755,0.72477824088941
