"","asc_ruta1","asc_ruta2","asc_ruta4","b_gain","b_loss","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",1,0.879530940462484,0.599060743169416,-0.305497220161243,-0.255215956958116,0.510233121508658,0.0807671403266729,-0.122938346879722,0.0773427937212373,0.0256142790043602,-0.0383628456399746,0.0734252170237999,0.0104152939437196,0.0429316999762472,0.0280672778239721
"asc_ruta2",0.879530940462483,1,0.568958739252641,-0.279997490256687,-0.213213516728667,0.446200651072928,0.056180822426192,-0.0196621303434366,0.0987432698674468,0.033681155497661,-0.0721232309738307,0.0230625689592678,0.0928874351184239,0.0528985754706464,-0.00517575356764397
"asc_ruta4",0.599060743169417,0.568958739252642,1,-0.123916073932938,-0.0556455527433262,0.271196406039564,0.0563168196232866,-0.0764981178104111,0.00926076203476213,0.391763673299885,-0.00351401811588899,-0.0322766433775918,-0.064220451096523,-0.466076212402787,-0.375173802177275
"b_gain",-0.305497220161244,-0.279997490256687,-0.123916073932938,1,-0.166271136597691,-0.949295334629803,0.127177479873515,-0.0144793809064565,0.0079954535121571,-0.120771192991995,-0.0511978447845897,-0.234712908336461,0.11118943398204,-0.115452043815947,-0.0301521385422028
"b_loss",-0.255215956958115,-0.213213516728666,-0.055645552743325,-0.166271136597691,1,0.00506048481045787,0.196589759076467,-0.0227554647708319,-0.0196786630314154,0.0494554526935022,-0.0316809792041736,0.102093160659525,-0.193556819821514,-0.0275236940813962,0.0493913493378038
"b_dt",0.51023312150866,0.446200651072929,0.271196406039564,-0.949295334629804,0.00506048481045764,1,-0.119410333129341,-0.0342705878100125,0.0163956867197182,0.101686397088317,0.069978973498116,0.202836972396864,-0.121233858017132,0.105798210822157,0.0202748691217803
"b_Sem",0.080767140326673,0.0561808224261922,0.0563168196232865,0.127177479873515,0.196589759076467,-0.119410333129341,1,0.0395966530979984,-0.0394586262023621,0.0194510841039717,-0.125740546458012,-0.00475126575393098,-0.0696241935580408,-0.121992188009109,0.0703260320503236
"b_ACC_1",-0.122938346879722,-0.0196621303434368,-0.0764981178104111,-0.0144793809064566,-0.022755464770832,-0.0342705878100124,0.0395966530979983,1,0.0967595667044298,-0.0167493944633739,-0.0605736729252031,-0.0814229077437761,0.0998374571949376,-0.10898915290659,0.0301196960391991
"b_ACC_2",0.0773427937212372,0.0987432698674467,0.00926076203476218,0.00799545351215712,-0.0196786630314154,0.0163956867197182,-0.0394586262023621,0.0967595667044298,1,-0.100872051072158,-0.00275884085805567,0.0630984633895975,-0.0601465570135552,0.0131753642840267,0.0910611471436136
"b_SI_CAMFD",0.0256142790043617,0.0336811554976622,0.391763673299886,-0.120771192991996,0.0494554526935021,0.101686397088317,0.019451084103972,-0.016749394463374,-0.100872051072158,1,-0.0310880413355366,0.0246382912228705,-0.0498394762982311,-0.0517022294136285,0.126203654655886
"b_SI_PANEL",-0.0383628456399745,-0.0721232309738307,-0.00351401811588892,-0.0511978447845896,-0.0316809792041735,0.0699789734981158,-0.125740546458012,-0.0605736729252031,-0.00275884085805566,-0.0310880413355366,1,-0.116043667607096,-0.054532653732166,0.0807576744271307,-0.0562293485513998
"b_SI_ZER",0.0734252170237999,0.0230625689592677,-0.0322766433775917,-0.234712908336461,0.102093160659525,0.202836972396864,-0.00475126575393098,-0.0814229077437761,0.0630984633895975,0.0246382912228708,-0.116043667607096,1,-0.0817495057454942,0.0384347786349601,0.194943569034418
"b_Si_MTRP",0.0104152939437194,0.0928874351184237,-0.0642204510965232,0.11118943398204,-0.193556819821514,-0.121233858017131,-0.0696241935580409,0.0998374571949377,-0.0601465570135552,-0.0498394762982312,-0.054532653732166,-0.0817495057454942,1,-0.0405496054095387,0.042819505361568
"b_No_Info",0.0429316999762482,0.0528985754706464,-0.466076212402786,-0.115452043815947,-0.0275236940813953,0.105798210822157,-0.121992188009109,-0.10898915290659,0.0131753642840266,-0.0517022294136282,0.0807576744271309,0.03843477863496,-0.0405496054095388,1,0.00689159245853601
"b_UsoCel_F",0.0280672778239724,-0.00517575356764332,-0.375173802177273,-0.0301521385422027,0.0493913493378045,0.0202748691217803,0.0703260320503236,0.0301196960391992,0.0910611471436134,0.126203654655887,-0.0562293485513998,0.194943569034417,0.0428195053615679,0.0068915924585375,1
