"","asc_ruta1","asc_ruta2","asc_ruta4","b_gain","b_loss","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F"
"asc_ruta1",0.197866657660998,0.163740045170642,0.171913537354278,-0.0724218560478354,-0.0140936928842205,0.171220584822097,0.0055930749978901,-0.0167381972152923,0.0249690453910641,0.00361145940439778,-0.00341562875660174,0.00845697226008127,0.0015587352942196,0.00696118473680311,0.0043614109607619
"asc_ruta2",0.163740045170642,0.175160005546471,0.153621200455121,-0.0624521929602262,-0.0110780387207521,0.140879789747031,0.00366045603715295,-0.00251873831449232,0.0299930584950341,0.00446805746720088,-0.00604179780644157,0.0024992431792528,0.0130794347354218,0.00807012416501204,-0.000756713485308824
"asc_ruta4",0.171913537354278,0.153621200455122,0.41620358198758,-0.0426046136201244,-0.00445670653618678,0.13198903591568,0.00565614657454034,-0.0151056236143219,0.00433606122841538,0.0801108542221793,-0.000453764421446721,-0.00539168645898038,-0.0139392943063425,-0.109604556596032,-0.0845523766812521
"b_gain",-0.0724218560478357,-0.0624521929602264,-0.0426046136201243,0.284022115800929,-0.0110007834307036,-0.38166158162806,0.0105515417482145,-0.00236189765531778,0.00309253737021886,-0.0204011067464004,-0.00546136617998524,-0.0323889159359524,0.019936739195655,-0.0224283058266818,-0.00561351137940453
"b_loss",-0.0140936928842204,-0.0110780387207521,-0.00445670653618668,-0.0110007834307036,0.0154120830436928,0.000473940492871282,0.00379945397711801,-0.000864671974783769,-0.00177305429133427,0.00194607307736172,-0.00078723211846604,0.00328178917148051,-0.00808450952773323,-0.00124553563429912,0.00214201234480303
"b_dt",0.171220584822098,0.140879789747031,0.13198903591568,-0.381661581628061,0.000473940492871261,0.569117630981409,-0.0140240211339504,-0.00791329901098181,0.00897690038940607,0.0243152182800805,0.010566766865974,0.0396215533452318,-0.0307708487105876,0.029093643174902,0.00534317609819783
"b_Sem",0.00559307499789011,0.00366045603715297,0.00565614657454032,0.0105515417482145,0.00379945397711801,-0.0140240211339504,0.0242359057663153,0.00188678801575092,-0.00445828022936062,0.000959815440312747,-0.00391812700184225,-0.000191523605346233,-0.0036467360853493,-0.00692277813047808,0.00382460113972034
"b_ACC_1",-0.0167381972152923,-0.00251873831449234,-0.0151056236143218,-0.0023618976553178,-0.000864671974783771,-0.00791329901098179,0.00188678801575092,0.0936849879753689,0.0214943686035741,-0.00162498144441111,-0.00371101277106348,-0.00645304908667842,0.0102811818997183,-0.0121600971472731,0.0032205199640968
"b_ACC_2",0.0249690453910641,0.0299930584950341,0.0043360612284154,0.00309253737021887,-0.00177305429133428,0.00897690038940607,-0.00445828022936063,0.0214943686035741,0.526734238836166,-0.0232049650696679,-0.000400770698881601,0.011857630586105,-0.0146865935388056,0.00348559698427337,0.0230870955291939
"b_SI_CAMFD",0.00361145940439799,0.00446805746720103,0.0801108542221796,-0.0204011067464005,0.00194607307736172,0.0243152182800806,0.000959815440312762,-0.00162498144441112,-0.023204965069668,0.100468191679047,-0.00197233731590425,0.00202212610259295,-0.00531498804488269,-0.00597368513573722,0.0139741896372288
"b_SI_PANEL",-0.00341562875660173,-0.00604179780644157,-0.000453764421446712,-0.00546136617998524,-0.000787232118466039,0.010566766865974,-0.00391812700184225,-0.00371101277106348,-0.0004007706988816,-0.00197233731590426,0.0400633329298113,-0.00601420659796822,-0.00367235535852654,0.00589218137343969,-0.00393166945309085
"b_SI_ZER",0.00845697226008127,0.00249924317925279,-0.00539168645898036,-0.0323889159359524,0.00328178917148051,0.0396215533452318,-0.000191523605346234,-0.00645304908667842,0.011857630586105,0.00202212610259298,-0.00601420659796822,0.0670450496348986,-0.00712168930501338,0.00362765942180009,0.0176332627724391
"b_Si_MTRP",0.00155873529421956,0.0130794347354217,-0.0139392943063425,0.019936739195655,-0.00808450952773322,-0.0307708487105876,-0.00364673608534931,0.0102811818997183,-0.0146865935388056,-0.0053149880448827,-0.00367235535852654,-0.00712168930501339,0.113195472873928,-0.00497301679757085,0.00503264832413226
"b_No_Info",0.00696118473680327,0.00807012416501202,-0.109604556596032,-0.0224283058266818,-0.00124553563429907,0.0290936431749021,-0.00692277813047807,-0.0121600971472731,0.00348559698427334,-0.00597368513573718,0.0058921813734397,0.00362765942180007,-0.00497301679757087,0.132873241340318,0.000877563921242419
"b_UsoCel_F",0.00436141096076195,-0.00075671348530873,-0.0845523766812515,-0.00561351137940451,0.00214201234480306,0.00534317609819784,0.00382460113972034,0.0032205199640968,0.0230870955291938,0.0139741896372289,-0.00393166945309085,0.0176332627724391,0.00503264832413225,0.000877563921242609,0.122033991518493
